latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
38.4464,-120.3885,302.9,1.1,1.1,01-11-2000,"608",Terra,MODIS,"52",6.2,273.5,11.3,N,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
40.8423,-121.2769,302.6,1.7,1.3,02-11-2000,"1851",Terra,MODIS,"53",6.2,277.8,12.5,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
39.3986,-121.2372,304.9,1.6,1.2,02-11-2000,"1851",Terra,MODIS,"60",6.2,290.1,11.3,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
38.8696,-120.4782,310.7,1.4,1.2,02-11-2000,"1851",Terra,MODIS,"55",6.2,283.4,18.2,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
38.8607,-120.4966,312,1.4,1.2,02-11-2000,"1851",Terra,MODIS,"54",6.2,284.4,19.3,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
38.8591,-120.4803,346.6,1.4,1.2,02-11-2000,"1851",Terra,MODIS,"95",6.2,285.9,95.5,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
38.8575,-120.4642,311,1.4,1.2,02-11-2000,"1851",Terra,MODIS,"42",6.2,285.2,17.4,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
39.0429,-122.6251,336.5,1.9,1.3,02-11-2000,"1851",Terra,MODIS,"90",6.2,287.5,93.6,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
39.0411,-122.6037,318,1.9,1.3,02-11-2000,"1851",Terra,MODIS,"77",6.2,286.9,36.5,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
39.039,-122.6326,321.5,1.9,1.3,02-11-2000,"1851",Terra,MODIS,"81",6.2,287,47.9,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
39.0371,-122.6106,331.6,1.9,1.3,02-11-2000,"1851",Terra,MODIS,"87",6.2,287.9,77.9,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
38.4263,-120.2898,304.5,1.4,1.2,02-11-2000,"1851",Terra,MODIS,"59",6.2,283.6,13,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
38.5753,-122.511,300.3,1.9,1.3,02-11-2000,"1851",Terra,MODIS,"35",6.2,287.4,8.4,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
38.2971,-120.691,302.7,1.4,1.2,02-11-2000,"1852",Terra,MODIS,"53",6.2,288.4,8.9,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
37.7305,-121.0243,303.1,1.5,1.2,02-11-2000,"1852",Terra,MODIS,"55",6.2,289.3,8,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
37.5028,-120.6337,303.9,1.4,1.2,02-11-2000,"1852",Terra,MODIS,"57",6.2,288.9,7.9,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
36.1008,-119.1438,304.2,1.1,1.1,02-11-2000,"1852",Terra,MODIS,"47",6.2,290.5,4.4,D,"0","4","9","06","01779778","06",CA,California,"00",G4000,A,"403501101370","20466718403","+37.1551773","-119.5434183"
