year,fips,pop2010,pop2023,state,stateCode,growthSince2010,name,ctyname,slug,landArea,density,StatePercentage,StateRank,densityMi,area
2023,6037,9818605,10072629,California,CA,0.0258717,Los Angeles County,Los Angeles,los-angeles-county-ca,4058,2482.165845,0.250416516,1,2482.165845,4058
2023,6073,3095313,3359630,California,CA,0.085392657,San Diego County,San Diego,san-diego-county-ca,4207,798.5809365,0.083524057,2,798.5809365,4207
2023,6059,3010232,3240017,California,CA,0.076334648,Orange County,Orange,orange-county-ca,791,4096.102402,0.080550348,3,4096.102402,791
2023,6065,2189641,2486747,California,CA,0.135687083,Riverside County,Riverside,riverside-county-ca,7206,345.0939495,0.061823236,4,345.0939495,7206
2023,6071,2035210,2225586,California,CA,0.093541207,San Bernardino County,San Bernardino,san-bernardino-county-ca,20057,110.9630553,0.05533049,5,110.9630553,20057
2023,6085,1781642,1982645,California,CA,0.112818961,Santa Clara County,Santa Clara,santa-clara-county-ca,1290,1536.934109,0.049290712,6,1536.934109,1290
2023,6001,1510271,1733977,California,CA,0.148123085,Alameda County,Alameda,alameda-county-ca,739,2346.38295,0.043108555,7,2346.38295,739
2023,6067,1418788,1634936,California,CA,0.152346933,Sacramento County,Sacramento,sacramento-county-ca,965,1694.234197,0.040646288,8,1694.234197,965
2023,6013,1049025,1200997,California,CA,0.14486976,Contra Costa County,Contra Costa,contra-costa-county-ca,723,1661.130014,0.029858092,9,1661.130014,723
2023,6019,930450,1032114,California,CA,0.10926326,Fresno County,Fresno,fresno-county-ca,5959,173.2025508,0.025659477,10,173.2025508,5959
2023,6029,839631,930115,California,CA,0.107766388,Kern County,Kern,kern-county-ca,8132,114.377152,0.023123671,11,114.377152,8132
2023,6075,805235,894584,California,CA,0.110960154,San Francisco County,San Francisco,san-francisco-county-ca,47,19033.70213,0.022240332,12,19033.70213,47
2023,6111,823318,849999,California,CA,0.032406676,Ventura County,Ventura,ventura-county-ca,1843,461.2040152,0.0211319,13,461.2040152,1843
2023,6077,685306,807412,California,CA,0.17817734,San Joaquin County,San Joaquin,san-joaquin-county-ca,1391,580.4543494,0.020073141,14,580.4543494,1391
2023,6081,718451,778239,California,CA,0.083217923,San Mateo County,San Mateo,san-mateo-county-ca,448,1737.140625,0.019347868,15,1737.140625,448
2023,6099,514453,564404,California,CA,0.097095361,Stanislaus County,Stanislaus,stanislaus-county-ca,1495,377.5277592,0.014031698,16,377.5277592,1495
2023,6097,483878,490357,California,CA,0.013389739,Sonoma County,Sonoma,sonoma-county-ca,1576,311.1402284,0.012190809,17,311.1402284,1576
2023,6107,442179,482399,California,CA,0.090958639,Tulare County,Tulare,tulare-county-ca,4824,99.9997927,0.011992964,18,99.9997927,4824
2023,6095,413344,465536,California,CA,0.126267709,Solano County,Solano,solano-county-ca,822,566.3454988,0.011573731,19,566.3454988,822
2023,6083,423895,455528,California,CA,0.074624612,Santa Barbara County,Santa Barbara,santa-barbara-county-ca,2735,166.5550274,0.011324922,20,166.5550274,2735
2023,6053,415057,446229,California,CA,0.075102938,Monterey County,Monterey,monterey-county-ca,3281,136.0039622,0.011093738,21,136.0039622,3281
2023,6061,348432,421632,California,CA,0.210084034,Placer County,Placer,placer-county-ca,1407,299.6673774,0.01048223,22,299.6673774,1407
2023,6047,255793,288825,California,CA,0.129135668,Merced County,Merced,merced-county-ca,1935,149.2635659,0.007180504,23,149.2635659,1935
2023,6079,269637,286261,California,CA,0.06165326,San Luis Obispo County,San Luis Obispo,san-luis-obispo-county-ca,3301,86.71947895,0.00711676,24,86.71947895,3301
2023,6087,262382,273405,California,CA,0.042011266,Santa Cruz County,Santa Cruz,santa-cruz-county-ca,445,614.3932584,0.006797146,25,614.3932584,445
2023,6041,252409,265294,California,CA,0.051048101,Marin County,Marin,marin-county-ca,520,510.1807692,0.006595497,26,510.1807692,520
2023,6113,200849,221068,California,CA,0.100667666,Yolo County,Yolo,yolo-county-ca,1015,217.8009852,0.005495991,27,217.8009852,1015
2023,6007,220000,209121,California,CA,-0.04945,Butte County,Butte,butte-county-ca,1636,127.8245721,0.005198976,28,127.8245721,1636
2023,6017,181058,194224,California,CA,0.07271703,El Dorado County,El Dorado,el-dorado-county-ca,1708,113.7142857,0.00482862,29,113.7142857,1708
2023,6089,177223,183634,California,CA,0.036174763,Shasta County,Shasta,shasta-county-ca,3775,48.64476821,0.004565341,30,48.64476821,3775
2023,6025,174528,181253,California,CA,0.038532499,Imperial County,Imperial,imperial-county-ca,4177,43.3931051,0.004506147,31,43.3931051,4177
2023,6039,150865,157872,California,CA,0.046445498,Madera County,Madera,madera-county-ca,2137,73.87552644,0.00392487,32,73.87552644,2137
2023,6031,152982,152336,California,CA,-0.004222719,Kings County,Kings,kings-county-ca,1389,109.6731461,0.003787239,33,109.6731461,1389
2023,6055,136484,138481,California,CA,0.014631752,Napa County,Napa,napa-county-ca,748,185.1350267,0.003442788,34,185.1350267,748
2023,6023,134623,137015,California,CA,0.017768138,Humboldt County,Humboldt,humboldt-county-ca,3568,38.40106502,0.003406342,35,38.40106502,3568
2023,6057,98764,103285,California,CA,0.045775789,Nevada County,Nevada,nevada-county-ca,958,107.8131524,0.002567777,36,107.8131524,958
2023,6101,94737,101103,California,CA,0.067196555,Sutter County,Sutter,sutter-county-ca,602,167.9451827,0.002513531,37,167.9451827,602
2023,6045,87841,92729,California,CA,0.055645997,Mendocino County,Mendocino,mendocino-county-ca,3506,26.44865944,0.002305344,38,26.44865944,3506
2023,6115,72155,84401,California,CA,0.169717968,Yuba County,Yuba,yuba-county-ca,632,133.5458861,0.002098301,39,133.5458861,632
2023,6033,64665,69213,California,CA,0.07033171,Lake County,Lake,lake-county-ca,1256,55.10589172,0.00172071,40,55.10589172,1256
2023,6069,55269,66891,California,CA,0.210280627,San Benito County,San Benito,san-benito-county-ca,1389,48.15766739,0.001662983,41,48.15766739,1389
2023,6103,63463,66540,California,CA,0.048484944,Tehama County,Tehama,tehama-county-ca,2950,22.5559322,0.001654257,42,22.5559322,2950
2023,6109,55365,55698,California,CA,0.00601463,Tuolumne County,Tuolumne,tuolumne-county-ca,2221,25.07789284,0.001384713,43,25.07789284,2221
2023,6009,45578,45205,California,CA,-0.008183773,Calaveras County,Calaveras,calaveras-county-ca,1020,44.31862745,0.001123845,44,44.31862745,1020
2023,6093,44900,43830,California,CA,-0.023830735,Siskiyou County,Siskiyou,siskiyou-county-ca,6278,6.981522778,0.001089661,45,6.981522778,6278
2023,6005,38091,41188,California,CA,0.081305295,Amador County,Amador,amador-county-ca,595,69.22352941,0.001023978,46,69.22352941,595
2023,6035,34895,32082,California,CA,-0.080613268,Lassen County,Lassen,lassen-county-ca,4541,7.064963664,0.000797593,47,7.064963664,4541
2023,6021,28122,29157,California,CA,0.036803926,Glenn County,Glenn,glenn-county-ca,1314,22.18949772,0.000724875,48,22.18949772,1314
2023,6015,28610,27482,California,CA,-0.039426774,Del Norte County,Del Norte,del-norte-county-ca,1006,27.31809145,0.000683232,49,27.31809145,1006
2023,6011,21419,21965,California,CA,0.025491386,Colusa County,Colusa,colusa-county-ca,1151,19.08340573,0.000546074,50,19.08340573,1151
2023,6063,20007,19724,California,CA,-0.014145049,Plumas County,Plumas,plumas-county-ca,2553,7.725812769,0.00049036,51,7.725812769,2553
2023,6027,18546,19157,California,CA,0.032945109,Inyo County,Inyo,inyo-county-ca,10181,1.881642275,0.000476264,52,1.881642275,10181
2023,6105,13786,16811,California,CA,0.219425504,Trinity County,Trinity,trinity-county-ca,3179,5.288140925,0.00041794,53,5.288140925,3179
2023,6043,18251,16795,California,CA,-0.079776451,Mariposa County,Mariposa,mariposa-county-ca,1449,11.59075224,0.000417542,54,11.59075224,1449
2023,6051,14202,12892,California,CA,-0.09224053,Mono County,Mono,mono-county-ca,3049,4.228271564,0.000320509,55,4.228271564,3049
2023,6049,9686,8403,California,CA,-0.132459219,Modoc County,Modoc,modoc-county-ca,3915,2.146360153,0.000208908,56,2.146360153,3915
2023,6091,3240,3236,California,CA,-0.001234568,Sierra County,Sierra,sierra-county-ca,953,3.395592865,8.04505E-05,57,3.395592865,953
2023,6003,1175,1213,California,CA,0.032340426,Alpine County,Alpine,alpine-county-ca,738,1.643631436,3.01565E-05,58,1.643631436,738
