,Value,Anomaly,year,Month,county
0,8.43,4.46,1895,January,Alameda
1,2.09,-1.25,1895,February,Alameda
2,1.97,-0.9,1895,March,Alameda
3,1.75,0.41,1895,April,Alameda
4,1.2,0.62,1895,May,Alameda
5,0.0,-0.14,1895,June,Alameda
6,0.05,0.04,1895,July,Alameda
7,0.01,-0.02,1895,August,Alameda
8,0.5,0.28,1895,September,Alameda
9,0.57,-0.35,1895,October,Alameda
10,1.57,-0.54,1895,November,Alameda
11,1.47,-1.75,1895,December,Alameda
12,8.47,4.5,1896,January,Alameda
13,0.23,-3.11,1896,February,Alameda
14,2.71,-0.16,1896,March,Alameda
15,4.13,2.79,1896,April,Alameda
16,0.72,0.14,1896,May,Alameda
17,0.0,-0.14,1896,June,Alameda
18,0.02,0.01,1896,July,Alameda
19,0.27,0.24,1896,August,Alameda
20,0.47,0.25,1896,September,Alameda
21,1.56,0.64,1896,October,Alameda
22,4.12,2.01,1896,November,Alameda
23,3.3,0.08,1896,December,Alameda
24,2.66,-1.31,1897,January,Alameda
25,4.3,0.96,1897,February,Alameda
26,4.11,1.24,1897,March,Alameda
27,0.56,-0.78,1897,April,Alameda
28,0.14,-0.44,1897,May,Alameda
29,0.21,0.07,1897,June,Alameda
30,0.0,-0.01,1897,July,Alameda
31,0.02,-0.01,1897,August,Alameda
32,0.15,-0.07,1897,September,Alameda
33,1.82,0.9,1897,October,Alameda
34,0.97,-1.14,1897,November,Alameda
35,1.54,-1.68,1897,December,Alameda
36,1.14,-2.83,1898,January,Alameda
37,2.49,-0.85,1898,February,Alameda
38,0.48,-2.39,1898,March,Alameda
39,0.21,-1.13,1898,April,Alameda
40,1.35,0.77,1898,May,Alameda
41,0.18,0.04,1898,June,Alameda
42,0.0,-0.01,1898,July,Alameda
43,0.02,-0.01,1898,August,Alameda
44,0.86,0.64,1898,September,Alameda
45,0.95,0.03,1898,October,Alameda
46,0.65,-1.46,1898,November,Alameda
47,1.32,-1.9,1898,December,Alameda
48,4.52,0.55,1899,January,Alameda
49,0.25,-3.09,1899,February,Alameda
50,7.19,4.32,1899,March,Alameda
51,0.55,-0.79,1899,April,Alameda
52,0.86,0.28,1899,May,Alameda
53,0.22,0.08,1899,June,Alameda
54,0.0,-0.01,1899,July,Alameda
55,0.04,0.01,1899,August,Alameda
56,0.03,-0.19,1899,September,Alameda
57,4.2,3.28,1899,October,Alameda
58,3.69,1.58,1899,November,Alameda
59,2.65,-0.57,1899,December,Alameda
60,2.9,-1.07,1900,January,Alameda
61,0.48,-2.86,1900,February,Alameda
62,1.87,-1.0,1900,March,Alameda
63,1.77,0.43,1900,April,Alameda
64,1.24,0.66,1900,May,Alameda
65,0.03,-0.11,1900,June,Alameda
66,0.02,0.01,1900,July,Alameda
67,0.01,-0.02,1900,August,Alameda
68,0.12,-0.1,1900,September,Alameda
69,1.96,1.04,1900,October,Alameda
70,6.0,3.89,1900,November,Alameda
71,1.61,-1.61,1900,December,Alameda
72,4.48,0.51,1901,January,Alameda
73,5.4,2.06,1901,February,Alameda
74,0.89,-1.98,1901,March,Alameda
75,2.41,1.07,1901,April,Alameda
76,1.01,0.43,1901,May,Alameda
77,0.0,-0.14,1901,June,Alameda
78,0.0,-0.01,1901,July,Alameda
79,0.0,-0.03,1901,August,Alameda
80,0.68,0.46,1901,September,Alameda
81,1.1,0.18,1901,October,Alameda
82,2.26,0.15,1901,November,Alameda
83,0.93,-2.29,1901,December,Alameda
84,1.04,-2.93,1902,January,Alameda
85,7.5,4.16,1902,February,Alameda
86,3.12,0.25,1902,March,Alameda
87,1.6,0.26,1902,April,Alameda
88,1.05,0.47,1902,May,Alameda
89,0.01,-0.13,1902,June,Alameda
90,0.0,-0.01,1902,July,Alameda
91,0.0,-0.03,1902,August,Alameda
92,0.0,-0.22,1902,September,Alameda
93,1.77,0.85,1902,October,Alameda
94,2.5,0.39,1902,November,Alameda
95,1.72,-1.5,1902,December,Alameda
96,3.85,-0.12,1903,January,Alameda
