,Value,Anomaly,year,Month,county
0,45.2,-1.2,1895,January,Alameda
1,50.0,0.5,1895,February,Alameda
2,50.6,-1.3,1895,March,Alameda
3,54.5,-0.7,1895,April,Alameda
4,59.3,-0.5,1895,May,Alameda
5,65.9,0.9,1895,June,Alameda
6,67.4,-1.7,1895,July,Alameda
7,67.3,-1.6,1895,August,Alameda
8,63.7,-3.5,1895,September,Alameda
9,60.2,-1.3,1895,October,Alameda
10,51.2,-1.9,1895,November,Alameda
11,44.4,-2.7,1895,December,Alameda
12,49.2,2.8,1896,January,Alameda
13,51.1,1.6,1896,February,Alameda
14,52.7,0.8,1896,March,Alameda
15,50.6,-4.6,1896,April,Alameda
16,57.4,-2.4,1896,May,Alameda
17,65.3,0.3,1896,June,Alameda
18,71.0,1.9,1896,July,Alameda
19,68.1,-0.8,1896,August,Alameda
20,64.5,-2.7,1896,September,Alameda
21,60.8,-0.7,1896,October,Alameda
22,50.0,-3.1,1896,November,Alameda
23,49.1,2.0,1896,December,Alameda
24,44.3,-2.1,1897,January,Alameda
25,46.7,-2.8,1897,February,Alameda
26,46.2,-5.7,1897,March,Alameda
27,57.0,1.8,1897,April,Alameda
28,62.0,2.2,1897,May,Alameda
29,64.9,-0.1,1897,June,Alameda
30,69.1,0.0,1897,July,Alameda
31,68.0,-0.9,1897,August,Alameda
32,66.3,-0.9,1897,September,Alameda
33,59.0,-2.5,1897,October,Alameda
34,50.2,-2.9,1897,November,Alameda
35,46.0,-1.1,1897,December,Alameda
36,42.4,-4.0,1898,January,Alameda
37,50.0,0.5,1898,February,Alameda
38,49.4,-2.5,1898,March,Alameda
39,57.4,2.2,1898,April,Alameda
40,56.7,-3.1,1898,May,Alameda
41,66.6,1.6,1898,June,Alameda
42,69.6,0.5,1898,July,Alameda
43,69.3,0.4,1898,August,Alameda
44,66.1,-1.1,1898,September,Alameda
45,62.0,0.5,1898,October,Alameda
46,52.4,-0.7,1898,November,Alameda
47,45.2,-1.9,1898,December,Alameda
48,50.1,3.7,1899,January,Alameda
49,49.1,-0.4,1899,February,Alameda
50,50.6,-1.3,1899,March,Alameda
51,55.4,0.2,1899,April,Alameda
52,56.9,-2.9,1899,May,Alameda
53,65.5,0.5,1899,June,Alameda
54,68.0,-1.1,1899,July,Alameda
55,66.2,-2.7,1899,August,Alameda
56,66.6,-0.6,1899,September,Alameda
57,58.9,-2.6,1899,October,Alameda
58,53.9,0.8,1899,November,Alameda
59,45.9,-1.2,1899,December,Alameda
60,47.7,1.3,1900,January,Alameda
61,49.4,-0.1,1900,February,Alameda
62,53.8,1.9,1900,March,Alameda
63,53.8,-1.4,1900,April,Alameda
64,61.7,1.9,1900,May,Alameda
65,65.8,0.8,1900,June,Alameda
66,69.8,0.7,1900,July,Alameda
67,68.0,-0.9,1900,August,Alameda
68,66.6,-0.6,1900,September,Alameda
69,60.7,-0.8,1900,October,Alameda
70,55.5,2.4,1900,November,Alameda
71,48.3,1.2,1900,December,Alameda
72,46.4,0.0,1901,January,Alameda
73,50.2,0.7,1901,February,Alameda
74,53.3,1.4,1901,March,Alameda
75,52.5,-2.7,1901,April,Alameda
76,58.0,-1.8,1901,May,Alameda
77,64.4,-0.6,1901,June,Alameda
78,67.2,-1.9,1901,July,Alameda
79,68.2,-0.7,1901,August,Alameda
80,64.1,-3.1,1901,September,Alameda
81,63.3,1.8,1901,October,Alameda
82,55.0,1.9,1901,November,Alameda
83,46.8,-0.3,1901,December,Alameda
84,43.1,-3.3,1902,January,Alameda
85,50.1,0.6,1902,February,Alameda
86,48.8,-3.1,1902,March,Alameda
87,53.3,-1.9,1902,April,Alameda
88,56.0,-3.8,1902,May,Alameda
89,65.4,0.4,1902,June,Alameda
90,69.3,0.2,1902,July,Alameda
91,68.9,0.0,1902,August,Alameda
92,67.9,0.7,1902,September,Alameda
93,60.8,-0.7,1902,October,Alameda
94,51.6,-1.5,1902,November,Alameda
95,47.4,0.3,1902,December,Alameda
96,45.4,-1.0,1903,January,Alameda
97,44.4,-5.1,1903,February,Alameda
98,50.1,-1.8,1903,March,Alameda
99,53.1,-2.1,1903,April,Alameda
100,60.0,0.2,1903,May,Alameda
101,65.4,0.4,1903,June,Alameda
102,65.5,-3.6,1903,July,Alameda
103,66.9,-2.0,1903,August,Alameda
104,66.1,-1.1,1903,September,Alameda
105,63.1,1.6,1903,October,Alameda
106,54.0,0.9,1903,November,Alameda
107,47.2,0.1,1903,December,Alameda
108,44.8,-1.6,1904,January,Alameda
109,48.0,-1.5,1904,February,Alameda
110,51.2,-0.7,1904,March,Alameda
111,54.4,-0.8,1904,April,Alameda
112,61.7,1.9,1904,May,Alameda
113,66.2,1.2,1904,June,Alameda
114,66.9,-2.2,1904,July,Alameda
115,67.2,-1.7,1904,August,Alameda
116,68.3,1.1,1904,September,Alameda
117,60.9,-0.6,1904,October,Alameda
118,53.6,0.5,1904,November,Alameda
119,46.1,-1.0,1904,December,Alameda
120,48.0,1.6,1905,January,Alameda
121,49.9,0.4,1905,February,Alameda
122,53.9,2.0,1905,March,Alameda
123,55.2,0.0,1905,April,Alameda
124,56.4,-3.4,1905,May,Alameda
125,62.3,-2.7,1905,June,Alameda
126,68.6,-0.5,1905,July,Alameda
127,67.1,-1.8,1905,August,Alameda
128,65.8,-1.4,1905,September,Alameda
129,60.0,-1.5,1905,October,Alameda
130,52.4,-0.7,1905,November,Alameda
131,45.2,-1.9,1905,December,Alameda
132,47.8,1.4,1906,January,Alameda
133,52.6,3.1,1906,February,Alameda
134,51.0,-0.9,1906,March,Alameda
135,54.9,-0.3,1906,April,Alameda
136,57.8,-2.0,1906,May,Alameda
137,63.5,-1.5,1906,June,Alameda
138,71.6,2.5,1906,July,Alameda
139,69.1,0.2,1906,August,Alameda
140,66.6,-0.6,1906,September,Alameda
141,62.3,0.8,1906,October,Alameda
142,52.0,-1.1,1906,November,Alameda
143,46.9,-0.2,1906,December,Alameda
144,45.1,-1.3,1907,January,Alameda
145,53.0,3.5,1907,February,Alameda
146,48.6,-3.3,1907,March,Alameda
147,56.5,1.3,1907,April,Alameda
148,58.6,-1.2,1907,May,Alameda
149,62.5,-2.5,1907,June,Alameda
150,66.9,-2.2,1907,July,Alameda
151,67.3,-1.6,1907,August,Alameda
152,63.4,-3.8,1907,September,Alameda
153,61.0,-0.5,1907,October,Alameda
154,54.0,0.9,1907,November,Alameda
155,48.9,1.8,1907,December,Alameda
156,47.7,1.3,1908,January,Alameda
157,47.1,-2.4,1908,February,Alameda
158,51.3,-0.6,1908,March,Alameda
159,56.0,0.8,1908,April,Alameda
160,56.5,-3.3,1908,May,Alameda
161,61.6,-3.4,1908,June,Alameda
162,70.4,1.3,1908,July,Alameda
163,67.6,-1.3,1908,August,Alameda
164,66.3,-0.9,1908,September,Alameda
165,58.2,-3.3,1908,October,Alameda
166,52.6,-0.5,1908,November,Alameda
167,43.1,-4.0,1908,December,Alameda
168,49.6,3.2,1909,January,Alameda
169,48.3,-1.2,1909,February,Alameda
170,48.4,-3.5,1909,March,Alameda
171,55.9,0.7,1909,April,Alameda
172,57.2,-2.6,1909,May,Alameda
173,62.9,-2.1,1909,June,Alameda
174,66.5,-2.6,1909,July,Alameda
175,67.0,-1.9,1909,August,Alameda
176,66.3,-0.9,1909,September,Alameda
177,59.7,-1.8,1909,October,Alameda
178,52.0,-1.1,1909,November,Alameda
179,44.6,-2.5,1909,December,Alameda
180,43.1,-3.3,1910,January,Alameda
181,46.7,-2.8,1910,February,Alameda
182,53.6,1.7,1910,March,Alameda
183,56.3,1.1,1910,April,Alameda
184,61.4,1.6,1910,May,Alameda
185,61.0,-4.0,1910,June,Alameda
186,67.4,-1.7,1910,July,Alameda
187,66.4,-2.5,1910,August,Alameda
188,63.2,-4.0,1910,September,Alameda
189,61.3,-0.2,1910,October,Alameda
190,52.2,-0.9,1910,November,Alameda
191,48.3,1.2,1910,December,Alameda
192,47.0,0.6,1911,January,Alameda
193,45.1,-4.4,1911,February,Alameda
194,51.7,-0.2,1911,March,Alameda
195,52.4,-2.8,1911,April,Alameda
196,56.1,-3.7,1911,May,Alameda
197,61.6,-3.4,1911,June,Alameda
198,67.8,-1.3,1911,July,Alameda
199,64.5,-4.4,1911,August,Alameda
200,62.5,-4.7,1911,September,Alameda
201,59.2,-2.3,1911,October,Alameda
202,52.1,-1.0,1911,November,Alameda
203,46.4,-0.7,1911,December,Alameda
204,48.5,2.1,1912,January,Alameda
205,50.7,1.2,1912,February,Alameda
206,48.7,-3.2,1912,March,Alameda
207,50.8,-4.4,1912,April,Alameda
208,59.0,-0.8,1912,May,Alameda
209,65.0,0.0,1912,June,Alameda
210,66.6,-2.5,1912,July,Alameda
211,67.2,-1.7,1912,August,Alameda
212,66.6,-0.6,1912,September,Alameda
213,58.6,-2.9,1912,October,Alameda
214,52.5,-0.6,1912,November,Alameda
215,46.8,-0.3,1912,December,Alameda
216,43.8,-2.6,1913,January,Alameda
217,48.8,-0.7,1913,February,Alameda
218,49.9,-2.0,1913,March,Alameda
219,54.1,-1.1,1913,April,Alameda
220,59.8,0.0,1913,May,Alameda
221,63.1,-1.9,1913,June,Alameda
