Alpine County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,14.23,7.63
189502,5.86,-0.07
189503,2.20,-2.90
189504,2.40,-0.41
189505,1.97,0.16
189506,0.11,-0.72
189507,0.52,0.07
189508,0.23,-0.21
189509,1.63,0.80
189510,0.52,-1.32
189511,3.81,0.01
189512,5.03,-0.67
189601,16.00,9.40
189602,0.24,-5.69
189603,7.99,2.89
189604,8.75,5.94
189605,2.85,1.04
189606,0.23,-0.60
189607,1.25,0.80
189608,1.89,1.45
189609,1.02,0.19
189610,1.62,-0.22
189611,6.82,3.02
189612,3.41,-2.29
189701,4.61,-1.99
189702,13.62,7.69
189703,9.18,4.08
189704,0.67,-2.14
189705,0.71,-1.10
189706,0.88,0.05
189707,0.58,0.13
189708,0.43,-0.01
189709,0.25,-0.58
189710,4.15,2.31
189711,2.76,-1.04
189712,5.76,0.06
189801,2.03,-4.57
189802,3.94,-1.99
189803,2.86,-2.24
189804,0.91,-1.90
189805,2.17,0.36
189806,0.69,-0.14
189807,0.12,-0.33
189808,0.30,-0.14
189809,1.23,0.40
189810,1.62,-0.22
189811,3.42,-0.38
189812,1.61,-4.09
189901,7.17,0.57
189902,0.65,-5.28
189903,10.21,5.11
189904,1.29,-1.52
189905,1.76,-0.05
189906,1.11,0.28
189907,0.05,-0.40
189908,1.06,0.62
189909,0.00,-0.83
189910,5.29,3.45
189911,5.18,1.38
189912,6.99,1.29
190001,2.67,-3.93
190002,1.82,-4.11
190003,4.24,-0.86
190004,4.14,1.33
190005,1.80,-0.01
190006,0.46,-0.37
190007,0.38,-0.07
190008,0.13,-0.31
190009,0.79,-0.04
190010,4.26,2.42
190011,8.19,4.39
190012,2.58,-3.12
190101,11.41,4.81
190102,10.18,4.25
190103,2.15,-2.95
190104,4.64,1.83
190105,1.67,-0.14
190106,0.15,-0.68
190107,0.08,-0.37
190108,0.76,0.32
190109,1.97,1.14
190110,2.99,1.15
190111,4.52,0.72
190112,3.57,-2.13
190201,1.23,-5.37
190202,10.26,4.33
190203,6.03,0.93
190204,2.35,-0.46
190205,1.31,-0.50
190206,0.25,-0.58
190207,0.07,-0.38
190208,0.31,-0.13
190209,0.00,-0.83
190210,2.44,0.60
190211,5.31,1.51
190212,3.13,-2.57
190301,9.83,3.23
190302,2.66,-3.27
190303,7.66,2.56
190304,1.47,-1.34
190305,0.71,-1.10
190306,0.13,-0.70
190307,0.00,-0.45
190308,0.02,-0.42
190309,0.20,-0.63
190310,0.43,-1.41
190311,7.45,3.65
190312,0.86,-4.84
190401,2.25,-4.35
190402,18.38,12.45
190403,11.90,6.80
190404,2.03,-0.78
190405,0.42,-1.39
190406,0.02,-0.81
190407,0.10,-0.35
190408,0.56,0.12
190409,4.03,3.20
190410,4.15,2.31
190411,1.23,-2.57
190412,3.71,-1.99
190501,3.71,-2.89
190502,4.62,-1.31
190503,6.52,1.42
190504,2.08,-0.73
190505,3.62,1.81
190506,0.05,-0.78
190507,0.00,-0.45
190508,0.16,-0.28
190509,0.19,-0.64
190510,0.01,-1.83
190511,3.19,-0.61
190512,1.88,-3.82
190601,13.64,7.04
190602,6.29,0.36
190603,10.30,5.20
190604,4.97,2.16
190605,5.17,3.36
190606,1.73,0.90
190607,0.13,-0.32
190608,0.44,0.00
190609,0.22,-0.61
190610,0.14,-1.70
190611,2.76,-1.04
190612,14.10,8.40
190701,8.14,1.54
190702,5.29,-0.64
190703,20.15,15.05
190704,1.10,-1.71
190705,1.06,-0.75
190706,2.09,1.26
190707,0.53,0.08
190708,0.27,-0.17
190709,0.01,-0.82
190710,1.15,-0.69
190711,0.23,-3.57
190712,7.51,1.81
190801,2.82,-3.78
190802,4.95,-0.98
190803,1.82,-3.28
190804,0.79,-2.02
190805,4.03,2.22
190806,0.13,-0.70
190807,0.10,-0.35
190808,0.04,-0.40
190809,0.70,-0.13
190810,2.62,0.78
190811,1.57,-2.23
190812,2.42,-3.28
190901,25.95,19.35
190902,7.40,1.47
190903,2.91,-2.19
190904,0.19,-2.62
190905,0.49,-1.32
190906,0.35,-0.48
190907,0.01,-0.44
190908,0.04,-0.40
190909,0.21,-0.62
190910,3.01,1.17
190911,6.43,2.63
190912,11.52,5.82
191001,6.93,0.33
191002,3.05,-2.88
191003,2.08,-3.02
191004,1.46,-1.35
191005,0.27,-1.54
191006,0.16,-0.67
191007,0.58,0.13
191008,0.00,-0.44
191009,1.24,0.41
191010,0.59,-1.25
191011,1.87,-1.93
191012,4.08,-1.62
191101,21.24,14.64
191102,7.26,1.33
191103,9.74,4.64
191104,3.23,0.42
191105,0.84,-0.97
191106,0.38,-0.45
191107,0.42,-0.03
191108,0.00,-0.44
191109,0.08,-0.75
191110,0.57,-1.27
191111,1.91,-1.89
191112,2.28,-3.42
191201,3.28,-3.32
191202,0.09,-5.84
191203,2.76,-2.34
191204,3.21,0.40
191205,2.51,0.70
191206,0.55,-0.28
191207,0.80,0.35
191208,0.04,-0.40
191209,1.44,0.61
191210,1.39,-0.45
191211,2.85,-0.95
191212,1.55,-4.15
191301,6.41,-0.19
191302,1.96,-3.97
191303,2.26,-2.84
191304,1.25,-1.56
191305,4.29,2.48
191306,1.23,0.40
191307,2.03,1.58
191308,1.33,0.89
191309,0.06,-0.77
191310,0.02,-1.82
191311,3.71,-0.09
191312,8.81,3.11
191401,23.28,16.68
191402,8.02,2.09
191403,0.14,-4.96
191404,4.34,1.53
191405,0.82,-0.99
191406,1.28,0.45
191407,0.23,-0.22
191408,0.18,-0.26
191409,0.50,-0.33
191410,1.25,-0.59
191411,0.09,-3.71
191412,2.92,-2.78
191501,4.43,-2.17
191502,12.78,6.85
191503,1.37,-3.73
191504,2.86,0.05
191505,4.09,2.28
191506,0.01,-0.82
191507,0.26,-0.19
191508,0.25,-0.19
191509,0.29,-0.54
191510,0.00,-1.84
191511,1.00,-2.80
191512,7.90,2.20
191601,19.57,12.97
191602,3.77,-2.16
191603,1.73,-3.37
191604,0.81,-2.00
191605,0.61,-1.20
191606,0.00,-0.83
191607,0.06,-0.39
191608,0.27,-0.17
191609,0.93,0.10
191610,3.78,1.94
191611,1.79,-2.01
191612,6.31,0.61
191701,1.08,-5.52
191702,8.19,2.26
191703,2.73,-2.37
191704,2.29,-0.52
191705,3.60,1.79
191706,0.00,-0.83
191707,0.74,0.29
191708,0.19,-0.25
191709,0.06,-0.77
191710,0.03,-1.81
191711,1.97,-1.83
191712,1.16,-4.54
191801,0.76,-5.84
191802,11.62,5.69
191803,10.93,5.83
191804,0.41,-2.40
191805,0.56,-1.25
191806,0.26,-0.57
191807,0.40,-0.05
191808,0.07,-0.37
191809,3.61,2.78
191810,2.61,0.77
191811,1.74,-2.06
191812,1.66,-4.04
191901,1.21,-5.39
191902,11.26,5.33
191903,3.36,-1.74
191904,1.73,-1.08
