Amador County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,15.00,8.30
189502,4.85,-1.20
189503,3.22,-2.39
189504,3.09,0.13
189505,2.59,1.11
189506,0.03,-0.45
189507,0.12,0.07
189508,0.05,-0.02
189509,2.12,1.57
189510,0.27,-1.53
189511,2.45,-1.54
189512,3.82,-1.68
189601,15.11,8.41
189602,0.39,-5.66
189603,6.96,1.35
189604,10.61,7.65
189605,2.62,1.14
189606,0.06,-0.42
189607,0.15,0.10
189608,0.38,0.31
189609,0.55,0.00
189610,1.52,-0.28
189611,8.31,4.32
189612,3.62,-1.88
189701,5.05,-1.65
189702,12.19,6.14
189703,7.92,2.31
189704,1.08,-1.88
189705,0.54,-0.94
189706,0.68,0.20
189707,0.04,-0.01
189708,0.08,0.01
189709,0.21,-0.34
189710,2.93,1.13
189711,2.65,-1.34
189712,3.96,-1.54
189801,1.56,-5.14
189802,4.84,-1.21
189803,2.06,-3.55
189804,0.79,-2.17
189805,2.55,1.07
189806,0.61,0.13
189807,0.01,-0.04
189808,0.03,-0.04
189809,0.75,0.20
189810,1.47,-0.33
189811,2.47,-1.52
189812,2.53,-2.97
189901,6.49,-0.21
189902,0.54,-5.51
189903,13.66,8.05
189904,1.33,-1.63
189905,1.77,0.29
189906,0.86,0.38
189907,0.00,-0.05
189908,0.21,0.14
189909,0.00,-0.55
189910,7.08,5.28
189911,7.00,3.01
189912,6.76,1.26
190001,3.96,-2.74
190002,2.07,-3.98
190003,4.10,-1.51
190004,4.18,1.22
190005,2.55,1.07
190006,0.11,-0.37
190007,0.06,0.01
190008,0.02,-0.05
190009,0.36,-0.19
190010,3.81,2.01
190011,9.13,5.14
190012,2.41,-3.09
190101,7.65,0.95
190102,10.20,4.15
190103,1.72,-3.89
190104,4.95,1.99
190105,1.74,0.26
190106,0.06,-0.42
190107,0.00,-0.05
190108,0.05,-0.02
190109,1.84,1.29
190110,2.81,1.01
190111,4.40,0.41
190112,3.25,-2.25
190201,1.30,-5.40
190202,10.92,4.87
190203,5.24,-0.37
190204,3.18,0.22
190205,1.65,0.17
190206,0.22,-0.26
190207,0.00,-0.05
190208,0.03,-0.04
190209,0.00,-0.55
190210,2.83,1.03
190211,4.65,0.66
190212,4.54,-0.96
190301,8.83,2.13
190302,2.58,-3.47
190303,12.62,7.01
190304,1.35,-1.61
190305,0.29,-1.19
190306,0.03,-0.45
190307,0.00,-0.05
190308,0.00,-0.07
190309,0.02,-0.53
190310,0.47,-1.33
190311,8.87,4.88
190312,1.85,-3.65
190401,2.94,-3.76
190402,15.62,9.57
190403,13.31,7.70
190404,3.27,0.31
190405,0.28,-1.20
190406,0.00,-0.48
190407,0.00,-0.05
190408,0.09,0.02
190409,3.02,2.47
190410,5.38,3.58
190411,2.49,-1.50
190412,3.38,-2.12
190501,3.80,-2.90
190502,4.51,-1.54
190503,7.57,1.96
190504,2.29,-0.67
190505,4.27,2.79
190506,0.03,-0.45
190507,0.00,-0.05
190508,0.01,-0.06
190509,0.09,-0.46
190510,0.00,-1.80
190511,2.56,-1.43
190512,2.12,-3.38
190601,13.64,6.94
190602,7.07,1.02
190603,14.06,8.45
190604,4.72,1.76
190605,5.05,3.57
190606,1.45,0.97
190607,0.01,-0.04
190608,0.04,-0.03
190609,0.27,-0.28
190610,0.07,-1.73
190611,2.39,-1.60
190612,13.97,8.47
190701,7.55,0.85
190702,6.30,0.25
190703,18.39,12.78
190704,1.44,-1.52
190705,0.79,-0.69
190706,2.16,1.68
190707,0.08,0.03
190708,0.00,-0.07
190709,0.01,-0.54
190710,1.02,-0.78
190711,0.15,-3.84
190712,6.94,1.44
190801,4.59,-2.11
190802,2.79,-3.26
190803,1.55,-4.06
190804,0.73,-2.23
190805,2.83,1.35
190806,0.18,-0.30
190807,0.00,-0.05
190808,0.00,-0.07
190809,0.50,-0.05
190810,1.80,0.00
190811,2.28,-1.71
190812,2.19,-3.31
190901,19.99,13.29
190902,8.81,2.76
190903,4.60,-1.01
190904,0.09,-2.87
190905,0.16,-1.32
190906,0.27,-0.21
190907,0.00,-0.05
190908,0.00,-0.07
190909,0.07,-0.48
190910,2.42,0.62
190911,6.86,2.87
190912,7.50,2.00
191001,6.33,-0.37
191002,3.72,-2.33
191003,4.71,-0.90
191004,1.20,-1.76
191005,0.21,-1.27
191006,0.02,-0.46
191007,0.02,-0.03
191008,0.00,-0.07
191009,1.04,0.49
191010,1.51,-0.29
191011,2.28,-1.71
191012,3.16,-2.34
191101,25.63,18.93
191102,5.07,-0.98
191103,8.47,2.86
191104,3.47,0.51
191105,0.63,-0.85
191106,0.20,-0.28
191107,0.01,-0.04
191108,0.00,-0.07
191109,0.11,-0.44
191110,0.75,-1.05
191111,1.45,-2.54
191112,2.62,-2.88
191201,4.25,-2.45
191202,0.06,-5.99
191203,5.22,-0.39
191204,3.77,0.81
191205,2.94,1.46
191206,0.96,0.48
191207,0.07,0.02
191208,0.00,-0.07
191209,2.55,2.00
191210,1.21,-0.59
191211,3.18,-0.81
191212,1.85,-3.65
191301,6.90,0.20
191302,0.60,-5.45
191303,2.60,-3.01
191304,2.13,-0.83
191305,2.35,0.87
191306,0.64,0.16
191307,0.22,0.17
191308,0.09,0.02
191309,0.01,-0.54
191310,0.02,-1.78
191311,4.82,0.83
191312,7.54,2.04
191401,16.65,9.95
191402,6.44,0.39
191403,1.09,-4.52
191404,3.30,0.34
191405,0.92,-0.56
191406,1.78,1.30
191407,0.01,-0.04
191408,0.01,-0.06
191409,0.17,-0.38
191410,1.97,0.17
191411,0.39,-3.60
191412,6.26,0.76
191501,6.84,0.14
191502,11.63,5.58
191503,2.04,-3.57
191504,2.34,-0.62
191505,4.78,3.30
191506,0.00,-0.48
191507,0.02,-0.03
191508,0.02,-0.05
191509,0.19,-0.36
191510,0.00,-1.80
191511,1.32,-2.67
191512,7.63,2.13
191601,16.24,9.54
191602,5.17,-0.88
191603,4.48,-1.13
191604,0.91,-2.05
191605,0.73,-0.75
191606,0.00,-0.48
191607,0.07,0.02
191608,0.04,-0.03
191609,0.44,-0.11
191610,3.42,1.62
191611,2.29,-1.70
191612,7.83,2.33
191701,2.23,-4.47
191702,8.99,2.94
191703,2.79,-2.82
191704,2.07,-0.89
191705,1.03,-0.45
191706,0.00,-0.48
191707,0.06,0.01
191708,0.01,-0.06
191709,0.23,-0.32
191710,0.01,-1.79
191711,1.24,-2.75
191712,1.88,-3.62
191801,1.10,-5.60
191802,10.43,4.38
191803,11.94,6.33
191804,1.17,-1.79
191805,0.54,-0.94
191806,0.07,-0.41
191807,0.03,-0.02
191808,0.05,-0.02
191809,2.85,2.30
191810,1.76,-0.04
191811,3.21,-0.78
191812,2.28,-3.22
191901,2.08,-4.62
191902,12.11,6.06
191903,4.45,-1.16
191904,0.56,-2.40
191905,0.28,-1.20
