Butte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,22.24,13.51
189502,4.48,-3.13
189503,4.59,-1.75
189504,2.64,-0.60
189505,3.33,1.57
189506,0.00,-0.63
189507,0.12,0.09
189508,0.20,0.10
189509,2.90,2.25
189510,0.19,-2.20
189511,2.10,-3.25
189512,5.57,-2.01
189601,19.24,10.51
189602,0.70,-6.91
189603,7.56,1.22
189604,11.75,8.51
189605,4.10,2.34
189606,0.05,-0.58
189607,0.06,0.03
189608,0.33,0.23
189609,1.15,0.50
189610,1.49,-0.90
189611,11.08,5.73
189612,6.47,-1.11
189701,4.33,-4.40
189702,10.98,3.37
189703,7.86,1.52
189704,1.83,-1.41
189705,0.70,-1.06
189706,1.24,0.61
189707,0.00,-0.03
189708,0.06,-0.04
189709,0.56,-0.09
189710,3.68,1.29
189711,4.77,-0.58
189712,3.97,-3.61
189801,1.50,-7.23
189802,8.74,1.13
189803,0.67,-5.67
189804,1.04,-2.20
189805,3.03,1.27
189806,1.40,0.77
189807,0.01,-0.02
189808,0.01,-0.09
189809,0.39,-0.26
189810,1.66,-0.73
189811,3.07,-2.28
189812,2.29,-5.29
189901,9.57,0.84
189902,0.63,-6.98
189903,12.64,6.30
189904,1.35,-1.89
189905,2.06,0.30
189906,0.74,0.11
189907,0.00,-0.03
189908,0.38,0.28
189909,0.07,-0.58
189910,9.95,7.56
189911,8.96,3.61
189912,8.33,0.75
190001,6.90,-1.83
190002,2.39,-5.22
190003,6.46,0.12
190004,4.25,1.01
190005,1.60,-0.16
190006,0.41,-0.22
190007,0.02,-0.01
190008,0.03,-0.07
190009,0.34,-0.31
190010,6.26,3.87
190011,7.96,2.61
190012,4.32,-3.26
190101,10.64,1.91
190102,9.96,2.35
190103,2.35,-3.99
190104,5.24,2.00
190105,1.07,-0.69
190106,0.03,-0.60
190107,0.00,-0.03
190108,0.11,0.01
190109,2.48,1.83
190110,3.79,1.40
190111,5.75,0.40
190112,4.19,-3.39
190201,1.86,-6.87
190202,17.26,9.65
190203,5.77,-0.57
190204,4.17,0.93
190205,1.39,-0.37
190206,0.14,-0.49
190207,0.05,0.02
190208,0.03,-0.07
190209,0.02,-0.63
190210,4.82,2.43
190211,8.00,2.65
190212,7.33,-0.25
190301,9.88,1.15
190302,2.71,-4.90
190303,9.81,3.47
190304,1.02,-2.22
190305,0.72,-1.04
190306,0.28,-0.35
190307,0.00,-0.03
190308,0.02,-0.08
190309,0.19,-0.46
190310,1.40,-0.99
190311,14.56,9.21
190312,3.96,-3.62
190401,2.57,-6.16
190402,19.37,11.76
190403,14.41,8.07
190404,3.55,0.31
190405,0.35,-1.41
190406,0.01,-0.62
190407,0.02,-0.01
190408,0.11,0.01
190409,3.26,2.61
190410,5.42,3.03
190411,3.89,-1.46
190412,7.31,-0.27
190501,8.65,-0.08
190502,5.60,-2.01
190503,9.80,3.46
190504,2.05,-1.19
190505,3.18,1.42
190506,0.44,-0.19
190507,0.00,-0.03
190508,0.18,0.08
190509,0.34,-0.31
190510,0.11,-2.28
190511,2.81,-2.54
190512,2.53,-5.05
190601,15.46,6.73
190602,9.02,1.41
190603,16.06,9.72
190604,3.01,-0.23
190605,5.98,4.22
190606,2.38,1.75
190607,0.01,-0.02
190608,0.07,-0.03
190609,0.53,-0.12
190610,0.09,-2.30
190611,3.27,-2.08
190612,17.84,10.26
190701,10.65,1.92
190702,6.92,-0.69
190703,19.17,12.83
190704,2.58,-0.66
190705,0.99,-0.77
190706,2.09,1.46
190707,0.00,-0.03
190708,0.01,-0.09
190709,0.07,-0.58
190710,1.27,-1.12
190711,0.33,-5.02
190712,10.12,2.54
190801,8.01,-0.72
190802,6.23,-1.38
190803,2.01,-4.33
190804,0.84,-2.40
190805,4.34,2.58
190806,0.17,-0.46
190807,0.00,-0.03
190808,0.01,-0.09
190809,0.21,-0.44
190810,1.69,-0.70
190811,3.93,-1.42
190812,4.68,-2.90
190901,26.16,17.43
190902,12.05,4.44
190903,5.38,-0.96
190904,0.17,-3.07
190905,0.79,-0.97
190906,0.32,-0.31
190907,0.00,-0.03
190908,0.00,-0.10
190909,1.52,0.87
190910,2.90,0.51
190911,6.19,0.84
190912,9.66,2.08
191001,6.85,-1.88
191002,4.48,-3.13
191003,4.67,-1.67
191004,0.56,-2.68
191005,0.35,-1.41
191006,0.04,-0.59
191007,0.01,-0.02
191008,0.00,-0.10
191009,0.98,0.33
191010,1.37,-1.02
191011,2.73,-2.62
191012,3.22,-4.36
191101,22.63,13.90
191102,4.50,-3.11
191103,10.01,3.67
191104,3.60,0.36
191105,0.72,-1.04
191106,0.25,-0.38
191107,0.01,-0.02
191108,0.00,-0.10
191109,0.36,-0.29
191110,1.11,-1.28
191111,1.13,-4.22
191112,2.61,-4.97
191201,7.12,-1.61
191202,1.09,-6.52
191203,6.67,0.33
191204,3.96,0.72
191205,3.47,1.71
191206,0.54,-0.09
191207,0.03,0.00
191208,0.01,-0.09
191209,3.16,2.51
191210,1.65,-0.74
191211,6.53,1.18
191212,2.69,-4.89
191301,8.28,-0.45
191302,1.18,-6.43
191303,4.53,-1.81
191304,3.08,-0.16
191305,1.85,0.09
191306,1.02,0.39
191307,0.17,0.14
191308,0.03,-0.07
191309,0.03,-0.62
191310,0.05,-2.34
191311,11.01,5.66
191312,17.74,10.16
191401,19.10,10.37
191402,9.62,2.01
191403,1.36,-4.98
191404,3.50,0.26
191405,1.46,-0.30
191406,2.39,1.76
191407,0.00,-0.03
191408,0.00,-0.10
191409,0.01,-0.64
191410,2.48,0.09
191411,1.24,-4.11
191412,8.94,1.36
191501,14.10,5.37
191502,15.64,8.03
191503,4.76,-1.58
191504,1.69,-1.55
191505,8.65,6.89
191506,0.01,-0.62
191507,0.06,0.03
191508,0.01,-0.09
191509,0.02,-0.63
191510,0.26,-2.13
191511,3.27,-2.08
191512,11.04,3.46
191601,21.64,12.91
191602,6.23,-1.38
191603,3.30,-3.04
191604,0.67,-2.57
191605,1.97,0.21
191606,0.53,-0.10
191607,0.13,0.10
191608,0.04,-0.06
191609,0.67,0.02
191610,2.85,0.46
191611,4.14,-1.21
191612,9.03,1.45
191701,3.83,-4.90
191702,10.13,2.52
191703,2.69,-3.65
191704,4.45,1.21
191705,2.39,0.63
191706,0.00,-0.63
191707,0.01,-0.02
191708,0.04,-0.06
191709,0.60,-0.05
191710,0.01,-2.38
191711,2.25,-3.10
191712,3.26,-4.32
191801,1.33,-7.40
191802,8.24,0.63
191803,8.95,2.61
191804,2.16,-1.08
191805,0.61,-1.15
191806,0.01,-0.62
191807,0.00,-0.03
191808,0.02,-0.08
191809,3.19,2.54
191810,1.68,-0.71
191811,3.67,-1.68
191812,2.87,-4.71
191901,5.27,-3.46
191902,13.82,6.21
191903,5.14,-1.20
191904,1.58,-1.66
191905,0.13,-1.63
