Calaveras County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,14.20,7.54
189502,4.72,-1.25
189503,3.42,-2.16
189504,2.96,0.16
189505,2.17,0.77
189506,0.03,-0.38
189507,0.09,0.05
189508,0.04,-0.01
189509,1.59,1.12
189510,0.36,-1.40
189511,2.48,-1.34
189512,3.45,-1.86
189601,14.95,8.29
189602,0.35,-5.62
189603,6.39,0.81
189604,9.39,6.59
189605,2.25,0.85
189606,0.06,-0.35
189607,0.12,0.08
189608,0.37,0.32
189609,0.38,-0.09
189610,1.84,0.08
189611,7.57,3.75
189612,3.58,-1.73
189701,5.19,-1.47
189702,11.57,5.60
189703,7.41,1.83
189704,0.90,-1.90
189705,0.48,-0.92
189706,0.61,0.20
189707,0.03,-0.01
189708,0.06,0.01
189709,0.17,-0.30
189710,2.83,1.07
189711,2.59,-1.23
189712,3.91,-1.40
189801,1.58,-5.08
189802,4.32,-1.65
189803,2.24,-3.34
189804,0.71,-2.09
189805,2.47,1.07
189806,0.44,0.03
189807,0.00,-0.04
189808,0.02,-0.03
189809,0.77,0.30
189810,1.45,-0.31
189811,2.08,-1.74
189812,2.48,-2.83
189901,6.42,-0.24
189902,0.56,-5.41
189903,13.39,7.81
189904,1.27,-1.53
189905,1.61,0.21
189906,0.76,0.35
189907,0.00,-0.04
189908,0.21,0.16
189909,0.00,-0.47
189910,7.06,5.30
189911,6.75,2.93
189912,6.21,0.90
190001,3.70,-2.96
190002,1.82,-4.15
190003,3.60,-1.98
190004,4.07,1.27
190005,2.59,1.19
190006,0.12,-0.29
190007,0.04,0.00
190008,0.01,-0.04
190009,0.27,-0.20
190010,3.79,2.03
190011,9.64,5.82
190012,2.23,-3.08
190101,7.90,1.24
190102,10.20,4.23
190103,1.69,-3.89
190104,4.53,1.73
190105,1.81,0.41
190106,0.05,-0.36
190107,0.00,-0.04
190108,0.04,-0.01
190109,1.40,0.93
190110,2.50,0.74
190111,4.43,0.61
190112,2.85,-2.46
190201,1.27,-5.39
190202,9.97,4.00
190203,4.82,-0.76
190204,3.07,0.27
190205,1.62,0.22
190206,0.15,-0.26
190207,0.00,-0.04
190208,0.02,-0.03
190209,0.00,-0.47
190210,2.60,0.84
190211,4.81,0.99
190212,3.75,-1.56
190301,8.41,1.75
190302,2.48,-3.49
190303,12.91,7.33
190304,1.04,-1.76
190305,0.19,-1.21
190306,0.02,-0.39
190307,0.00,-0.04
190308,0.00,-0.05
190309,0.02,-0.45
190310,0.35,-1.41
190311,7.97,4.15
190312,1.73,-3.58
190401,3.06,-3.60
190402,14.03,8.06
190403,10.95,5.37
190404,3.27,0.47
190405,0.18,-1.22
190406,0.00,-0.41
190407,0.00,-0.04
190408,0.09,0.04
190409,2.60,2.13
190410,5.19,3.43
190411,1.98,-1.84
190412,3.21,-2.10
190501,3.62,-3.04
190502,4.77,-1.20
190503,7.58,2.00
190504,1.95,-0.85
190505,4.78,3.38
190506,0.01,-0.40
190507,0.00,-0.04
190508,0.00,-0.05
190509,0.08,-0.39
190510,0.00,-1.76
190511,2.40,-1.42
190512,2.04,-3.27
190601,11.32,4.66
190602,5.98,0.01
190603,15.55,9.97
190604,4.91,2.11
190605,5.37,3.97
190606,1.20,0.79
190607,0.00,-0.04
190608,0.04,-0.01
190609,0.24,-0.23
190610,0.07,-1.69
190611,2.27,-1.55
190612,13.53,8.22
190701,8.35,1.69
190702,5.92,-0.05
190703,18.32,12.74
190704,1.48,-1.32
190705,0.75,-0.65
190706,1.82,1.41
190707,0.07,0.03
190708,0.01,-0.04
190709,0.00,-0.47
190710,1.07,-0.69
190711,0.10,-3.72
190712,6.51,1.20
190801,5.04,-1.62
190802,2.75,-3.22
190803,1.57,-4.01
190804,0.72,-2.08
190805,2.59,1.19
190806,0.11,-0.30
190807,0.00,-0.04
190808,0.00,-0.05
190809,0.50,0.03
190810,1.72,-0.04
190811,2.38,-1.44
190812,1.99,-3.32
190901,18.56,11.90
190902,8.93,2.96
190903,4.83,-0.75
190904,0.05,-2.75
190905,0.11,-1.29
190906,0.26,-0.15
190907,0.00,-0.04
190908,0.00,-0.05
190909,0.04,-0.43
190910,2.12,0.36
190911,6.91,3.09
190912,7.91,2.60
191001,6.31,-0.35
191002,3.41,-2.56
191003,5.12,-0.46
191004,1.25,-1.55
191005,0.15,-1.25
191006,0.01,-0.40
191007,0.01,-0.03
191008,0.00,-0.05
191009,1.01,0.54
191010,1.38,-0.38
191011,2.30,-1.52
191012,2.66,-2.65
191101,24.55,17.89
191102,4.64,-1.33
191103,9.45,3.87
191104,3.37,0.57
191105,0.73,-0.67
191106,0.15,-0.26
191107,0.00,-0.04
191108,0.00,-0.05
191109,0.11,-0.36
191110,0.78,-0.98
191111,1.25,-2.57
191112,2.82,-2.49
191201,4.07,-2.59
191202,0.04,-5.93
191203,5.87,0.29
191204,3.42,0.62
191205,2.74,1.34
191206,0.95,0.54
191207,0.03,-0.01
191208,0.00,-0.05
191209,2.17,1.70
191210,1.11,-0.65
191211,2.97,-0.85
191212,1.85,-3.46
191301,6.79,0.13
191302,0.70,-5.27
191303,2.45,-3.13
191304,1.92,-0.88
191305,2.08,0.68
191306,0.50,0.09
191307,0.15,0.11
191308,0.04,-0.01
191309,0.00,-0.47
191310,0.00,-1.76
191311,5.08,1.26
191312,7.07,1.76
191401,16.69,10.03
191402,6.46,0.49
191403,1.18,-4.40
191404,3.33,0.53
191405,0.80,-0.60
191406,1.66,1.25
191407,0.00,-0.04
191408,0.00,-0.05
191409,0.13,-0.34
191410,1.86,0.10
191411,0.40,-3.42
191412,6.62,1.31
191501,7.79,1.13
191502,12.15,6.18
191503,2.07,-3.51
191504,2.36,-0.44
191505,5.18,3.78
191506,0.00,-0.41
191507,0.01,-0.03
191508,0.01,-0.04
191509,0.23,-0.24
191510,0.00,-1.76
191511,1.20,-2.62
191512,7.72,2.41
191601,15.99,9.33
191602,5.38,-0.59
191603,5.46,-0.12
191604,0.89,-1.91
191605,0.64,-0.76
191606,0.00,-0.41
191607,0.06,0.02
191608,0.06,0.01
191609,0.41,-0.06
191610,3.51,1.75
191611,2.46,-1.36
191612,8.44,3.13
191701,2.22,-4.44
191702,9.86,3.89
191703,2.88,-2.70
191704,1.79,-1.01
191705,0.86,-0.54
191706,0.00,-0.41
191707,0.04,0.00
191708,0.01,-0.04
191709,0.19,-0.28
191710,0.01,-1.75
191711,1.12,-2.70
191712,1.93,-3.38
191801,1.13,-5.53
191802,10.37,4.40
191803,12.03,6.45
191804,0.96,-1.84
191805,0.59,-0.81
191806,0.05,-0.36
191807,0.02,-0.02
191808,0.04,-0.01
191809,2.46,1.99
191810,1.58,-0.18
191811,3.29,-0.53
191812,2.59,-2.72
191901,1.97,-4.69
191902,11.06,5.09
191903,4.33,-1.25
191904,0.32,-2.48
