Colusa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,13.05,8.59
189502,2.56,-1.52
189503,2.57,-0.47
189504,1.06,-0.26
189505,1.12,0.45
189506,0.00,-0.29
189507,0.11,0.10
189508,0.03,-0.01
189509,1.23,0.96
189510,0.05,-1.06
189511,1.59,-0.95
189512,2.74,-1.42
189601,11.24,6.78
189602,0.18,-3.90
189603,3.02,-0.02
189604,4.96,3.64
189605,1.51,0.84
189606,0.01,-0.28
189607,0.03,0.02
189608,0.17,0.13
189609,0.44,0.17
189610,0.83,-0.28
189611,4.91,2.37
189612,4.63,0.47
189701,3.17,-1.29
189702,6.19,2.11
189703,4.16,1.12
189704,0.55,-0.77
189705,0.25,-0.42
189706,0.81,0.52
189707,0.00,-0.01
189708,0.03,-0.01
189709,0.20,-0.07
189710,1.85,0.74
189711,1.62,-0.92
189712,2.18,-1.98
189801,1.02,-3.44
189802,4.69,0.61
189803,0.35,-2.69
189804,0.39,-0.93
189805,1.77,1.10
189806,0.48,0.19
189807,0.00,-0.01
189808,0.00,-0.04
189809,0.46,0.19
189810,0.86,-0.25
189811,1.21,-1.33
189812,1.37,-2.79
189901,6.25,1.79
189902,0.23,-3.85
189903,7.68,4.64
189904,0.53,-0.79
189905,1.16,0.49
189906,0.39,0.10
189907,0.00,-0.01
189908,0.06,0.02
189909,0.29,0.02
189910,3.87,2.76
189911,4.65,2.11
189912,5.32,1.16
190001,3.87,-0.59
190002,1.24,-2.84
190003,2.82,-0.22
190004,1.64,0.32
190005,0.87,0.20
190006,0.29,0.00
190007,0.01,0.00
190008,0.01,-0.03
190009,0.12,-0.15
190010,2.76,1.65
190011,4.07,1.53
190012,2.34,-1.82
190101,5.34,0.88
190102,5.00,0.92
190103,0.91,-2.13
190104,2.04,0.72
190105,0.64,-0.03
190106,0.00,-0.29
190107,0.00,-0.01
190108,0.01,-0.03
190109,0.87,0.60
190110,1.22,0.11
190111,3.58,1.04
190112,1.76,-2.40
190201,1.18,-3.28
190202,9.96,5.88
190203,3.06,0.02
190204,2.19,0.87
190205,1.01,0.34
190206,0.03,-0.26
190207,0.00,-0.01
190208,0.01,-0.03
190209,0.00,-0.27
190210,2.77,1.66
190211,3.98,1.44
190212,3.35,-0.81
190301,4.73,0.27
190302,1.67,-2.41
190303,5.03,1.99
190304,0.27,-1.05
190305,0.07,-0.60
190306,0.01,-0.28
190307,0.00,-0.01
190308,0.00,-0.04
190309,0.00,-0.27
190310,0.52,-0.59
190311,6.22,3.68
190312,2.49,-1.67
190401,1.16,-3.30
190402,10.12,6.04
190403,8.17,5.13
190404,1.59,0.27
190405,0.07,-0.60
190406,0.02,-0.27
190407,0.03,0.02
190408,0.04,0.00
190409,1.49,1.22
190410,2.95,1.84
190411,1.95,-0.59
190412,3.64,-0.52
190501,5.75,1.29
190502,3.08,-1.00
190503,4.41,1.37
190504,0.87,-0.45
190505,2.01,1.34
190506,0.19,-0.10
190507,0.00,-0.01
190508,0.03,-0.01
190509,0.04,-0.23
190510,0.06,-1.05
190511,1.21,-1.33
190512,1.47,-2.69
190601,7.76,3.30
190602,4.98,0.90
190603,6.77,3.73
190604,0.97,-0.35
190605,1.53,0.86
190606,0.64,0.35
190607,0.00,-0.01
190608,0.00,-0.04
190609,0.42,0.15
190610,0.01,-1.10
190611,0.86,-1.68
190612,5.67,1.51
190701,4.40,-0.06
190702,2.10,-1.98
190703,7.45,4.41
190704,0.67,-0.65
190705,0.53,-0.14
190706,0.86,0.57
190707,0.00,-0.01
190708,0.00,-0.04
190709,0.01,-0.26
190710,0.68,-0.43
190711,0.06,-2.48
190712,5.54,1.38
190801,3.26,-1.20
190802,3.85,-0.23
190803,0.75,-2.29
190804,0.17,-1.15
190805,1.18,0.51
190806,0.02,-0.27
190807,0.00,-0.01
190808,0.00,-0.04
190809,0.06,-0.21
190810,0.41,-0.70
190811,1.52,-1.02
190812,2.21,-1.95
190901,11.87,7.41
190902,4.81,0.73
190903,2.06,-0.98
190904,0.01,-1.31
190905,0.08,-0.59
190906,0.19,-0.10
190907,0.00,-0.01
190908,0.00,-0.04
190909,0.56,0.29
190910,1.07,-0.04
190911,1.95,-0.59
190912,4.17,0.01
191001,3.20,-1.26
191002,1.75,-2.33
191003,3.18,0.14
191004,0.40,-0.92
191005,0.07,-0.60
191006,0.03,-0.26
191007,0.00,-0.01
191008,0.00,-0.04
191009,0.48,0.21
191010,0.26,-0.85
191011,0.40,-2.14
191012,1.54,-2.62
191101,8.54,4.08
191102,2.19,-1.89
191103,6.56,3.52
191104,0.90,-0.42
191105,0.21,-0.46
191106,0.34,0.05
191107,0.00,-0.01
191108,0.00,-0.04
191109,0.15,-0.12
191110,0.21,-0.90
191111,0.23,-2.31
191112,1.14,-3.02
191201,2.34,-2.12
191202,0.33,-3.75
191203,3.33,0.29
191204,1.42,0.10
191205,1.05,0.38
191206,0.47,0.18
191207,0.00,-0.01
191208,0.00,-0.04
191209,1.42,1.15
191210,0.47,-0.64
191211,2.09,-0.45
191212,0.61,-3.55
191301,3.65,-0.81
191302,0.25,-3.83
191303,1.16,-1.88
191304,0.74,-0.58
191305,0.67,0.00
191306,0.47,0.18
191307,0.05,0.04
191308,0.00,-0.04
191309,0.00,-0.27
191310,0.00,-1.11
191311,5.84,3.30
191312,8.21,4.05
191401,8.48,4.02
191402,4.95,0.87
191403,0.67,-2.37
191404,1.01,-0.31
191405,0.35,-0.32
191406,0.56,0.27
191407,0.00,-0.01
191408,0.00,-0.04
191409,0.01,-0.26
191410,0.67,-0.44
191411,0.21,-2.33
191412,5.51,1.35
191501,7.72,3.26
191502,8.78,4.70
191503,3.02,-0.02
191504,0.67,-0.65
191505,1.91,1.24
191506,0.00,-0.29
191507,0.00,-0.01
191508,0.00,-0.04
191509,0.00,-0.27
191510,0.02,-1.09
191511,1.34,-1.20
191512,6.79,2.63
191601,9.88,5.42
191602,2.45,-1.63
191603,1.28,-1.76
191604,0.05,-1.27
191605,0.81,0.14
191606,0.19,-0.10
191607,0.09,0.08
191608,0.18,0.14
191609,0.24,-0.03
191610,0.98,-0.13
191611,1.18,-1.36
191612,3.84,-0.32
191701,1.69,-2.77
191702,4.26,0.18
191703,0.46,-2.58
191704,0.64,-0.68
191705,0.23,-0.44
191706,0.00,-0.29
191707,0.00,-0.01
191708,0.01,-0.03
191709,0.32,0.05
191710,0.00,-1.11
191711,0.66,-1.88
191712,1.36,-2.80
191801,0.71,-3.75
191802,4.51,0.43
191803,3.39,0.35
191804,0.46,-0.86
191805,0.13,-0.54
191806,0.03,-0.26
191807,0.00,-0.01
191808,0.00,-0.04
191809,1.47,1.20
191810,0.36,-0.75
191811,2.98,0.44
191812,2.39,-1.77
191901,2.47,-1.99
191902,5.28,1.20
191903,1.96,-1.08
191904,0.25,-1.07
