Contra Costa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,8.98,4.89
189502,2.20,-1.17
189503,1.80,-0.96
189504,1.33,0.11
189505,0.85,0.31
189506,0.00,-0.13
189507,0.04,0.03
189508,0.01,-0.02
189509,0.67,0.48
189510,0.30,-0.58
189511,1.60,-0.46
189512,1.53,-1.68
189601,9.36,5.27
189602,0.21,-3.16
189603,2.50,-0.26
189604,4.36,3.14
189605,0.65,0.11
189606,0.00,-0.13
189607,0.01,0.00
189608,0.25,0.22
189609,0.48,0.29
189610,1.32,0.44
189611,3.90,1.84
189612,3.11,-0.10
189701,3.08,-1.01
189702,4.23,0.86
189703,4.19,1.43
189704,0.35,-0.87
189705,0.10,-0.44
189706,0.19,0.06
189707,0.00,-0.01
189708,0.01,-0.02
189709,0.13,-0.06
189710,1.74,0.86
189711,0.96,-1.10
189712,1.48,-1.73
189801,1.19,-2.90
189802,2.63,-0.74
189803,0.37,-2.39
189804,0.18,-1.04
189805,1.35,0.81
189806,0.20,0.07
189807,0.00,-0.01
189808,0.02,-0.01
189809,0.67,0.48
189810,0.97,0.09
189811,0.71,-1.35
189812,1.36,-1.85
189901,4.52,0.43
189902,0.21,-3.16
189903,7.31,4.55
189904,0.47,-0.75
189905,0.82,0.28
189906,0.19,0.06
189907,0.00,-0.01
189908,0.03,0.00
189909,0.06,-0.13
189910,3.81,2.93
189911,3.64,1.58
189912,2.61,-0.60
190001,3.22,-0.87
190002,0.49,-2.88
190003,1.86,-0.90
190004,1.43,0.21
190005,1.08,0.54
190006,0.04,-0.09
190007,0.01,0.00
190008,0.01,-0.02
190009,0.08,-0.11
190010,1.97,1.09
190011,5.03,2.97
190012,1.53,-1.68
190101,4.41,0.32
190102,5.49,2.12
190103,0.78,-1.98
190104,2.08,0.86
190105,0.86,0.32
190106,0.00,-0.13
190107,0.00,-0.01
190108,0.00,-0.03
190109,0.62,0.43
190110,1.04,0.16
190111,2.45,0.39
190112,1.14,-2.07
190201,1.04,-3.05
190202,7.98,4.61
190203,2.83,0.07
190204,1.43,0.21
190205,0.88,0.34
190206,0.01,-0.12
190207,0.00,-0.01
190208,0.01,-0.02
190209,0.00,-0.19
190210,2.02,1.14
190211,2.45,0.39
190212,1.91,-1.30
190301,3.96,-0.13
190302,1.56,-1.81
190303,6.43,3.67
190304,0.56,-0.66
190305,0.02,-0.52
190306,0.00,-0.13
190307,0.00,-0.01
190308,0.00,-0.03
190309,0.00,-0.19
190310,0.26,-0.62
190311,3.53,1.47
190312,1.25,-1.96
190401,1.04,-3.05
190402,6.43,3.06
190403,6.91,4.15
190404,1.57,0.35
190405,0.15,-0.39
190406,0.00,-0.13
190407,0.00,-0.01
190408,0.17,0.14
190409,1.08,0.89
190410,2.29,1.41
190411,1.38,-0.68
190412,2.05,-1.16
190501,3.90,-0.19
190502,2.86,-0.51
190503,4.04,1.28
190504,0.97,-0.25
190505,2.43,1.89
190506,0.00,-0.13
190507,0.00,-0.01
190508,0.00,-0.03
190509,0.01,-0.18
190510,0.00,-0.88
190511,1.30,-0.76
190512,1.25,-1.96
190601,6.48,2.39
190602,3.46,0.09
190603,7.03,4.27
190604,1.06,-0.16
190605,2.29,1.75
190606,0.54,0.41
190607,0.00,-0.01
190608,0.01,-0.02
190609,0.16,-0.03
190610,0.01,-0.87
190611,1.40,-0.66
190612,7.19,3.98
190701,5.27,1.18
190702,3.08,-0.29
190703,8.45,5.69
190704,0.51,-0.71
190705,0.12,-0.42
190706,0.65,0.52
190707,0.00,-0.01
190708,0.00,-0.03
190709,0.05,-0.14
190710,0.91,0.03
190711,0.07,-1.99
190712,4.37,1.16
190801,3.97,-0.12
190802,2.66,-0.71
190803,0.83,-1.93
190804,0.24,-0.98
190805,0.67,0.13
190806,0.02,-0.11
190807,0.00,-0.01
190808,0.00,-0.03
190809,0.05,-0.14
190810,0.52,-0.36
190811,1.25,-0.81
190812,1.99,-1.22
190901,11.97,7.88
190902,6.48,3.11
190903,2.66,-0.10
190904,0.00,-1.22
190905,0.00,-0.54
190906,0.04,-0.09
190907,0.00,-0.01
190908,0.00,-0.03
190909,0.61,0.42
190910,0.90,0.02
190911,2.16,0.10
190912,6.15,2.94
191001,3.20,-0.89
191002,1.54,-1.83
191003,2.96,0.20
191004,0.20,-1.02
191005,0.01,-0.53
191006,0.03,-0.10
191007,0.00,-0.01
191008,0.00,-0.03
191009,0.16,-0.03
191010,0.36,-0.52
191011,0.27,-1.79
191012,1.43,-1.78
191101,13.84,9.75
191102,2.29,-1.08
191103,4.82,2.06
191104,1.09,-0.13
191105,0.25,-0.29
191106,0.06,-0.07
191107,0.00,-0.01
191108,0.00,-0.03
191109,0.00,-0.19
191110,0.45,-0.43
191111,0.37,-1.69
191112,1.91,-1.30
191201,2.68,-1.41
191202,0.36,-3.01
191203,2.56,-0.20
191204,1.63,0.41
191205,1.27,0.73
191206,0.62,0.49
191207,0.00,-0.01
191208,0.00,-0.03
191209,0.79,0.60
191210,0.45,-0.43
191211,1.38,-0.68
191212,0.64,-2.57
191301,3.06,-1.03
191302,0.34,-3.03
191303,1.65,-1.11
191304,0.43,-0.79
191305,0.64,0.10
191306,0.09,-0.04
191307,0.04,0.03
191308,0.01,-0.02
191309,0.00,-0.19
191310,0.08,-0.80
191311,3.86,1.80
191312,3.99,0.78
191401,11.55,7.46
191402,3.45,0.08
191403,0.80,-1.96
191404,0.96,-0.26
191405,0.43,-0.11
191406,0.27,0.14
191407,0.00,-0.01
191408,0.00,-0.03
191409,0.01,-0.18
191410,0.74,-0.14
191411,0.35,-1.71
191412,5.24,2.03
191501,5.52,1.43
191502,6.42,3.05
191503,2.11,-0.65
191504,0.65,-0.57
191505,3.10,2.56
191506,0.00,-0.13
191507,0.00,-0.01
191508,0.00,-0.03
191509,0.01,-0.18
191510,0.02,-0.86
191511,0.82,-1.24
191512,5.78,2.57
191601,13.53,9.44
191602,2.72,-0.65
191603,1.46,-1.30
191604,0.09,-1.13
191605,0.07,-0.47
191606,0.02,-0.11
191607,0.02,0.01
191608,0.15,0.12
191609,0.50,0.31
191610,0.67,-0.21
191611,0.81,-1.25
191612,4.42,1.21
191701,1.44,-2.65
191702,4.30,0.93
191703,1.06,-1.70
191704,0.39,-0.83
191705,0.16,-0.38
191706,0.00,-0.13
191707,0.00,-0.01
191708,0.00,-0.03
191709,0.13,-0.06
191710,0.00,-0.88
191711,0.43,-1.63
191712,1.01,-2.20
191801,0.86,-3.23
191802,4.10,0.73
191803,3.20,0.44
191804,0.60,-0.62
191805,0.00,-0.54
191806,0.00,-0.13
191807,0.00,-0.01
191808,0.00,-0.03
191809,1.08,0.89
191810,0.23,-0.65
191811,2.78,0.72
191812,1.76,-1.45
191901,1.61,-2.48
191902,7.71,4.34
191903,2.28,-0.48
191904,0.09,-1.13
