Del Norte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,18.29,4.39
189502,5.26,-6.36
189503,8.45,-1.59
189504,4.64,-1.08
189505,7.53,3.82
189506,0.17,-1.34
189507,0.69,0.32
189508,0.17,-0.35
189509,3.62,1.84
189510,0.00,-5.53
189511,3.22,-8.67
189512,11.43,-1.97
189601,17.17,3.27
189602,7.95,-3.67
189603,8.66,-1.38
189604,13.04,7.32
189605,10.31,6.60
189606,0.45,-1.06
189607,0.38,0.01
189608,1.04,0.52
189609,1.43,-0.35
189610,4.04,-1.49
189611,17.24,5.35
189612,16.93,3.53
189701,3.92,-9.98
189702,17.68,6.06
189703,13.79,3.75
189704,3.00,-2.72
189705,1.46,-2.25
189706,2.07,0.56
189707,0.10,-0.27
189708,0.30,-0.22
189709,2.20,0.42
189710,4.48,-1.05
189711,11.88,-0.01
189712,12.78,-0.62
189801,4.09,-9.81
189802,13.17,1.55
189803,2.25,-7.79
189804,3.48,-2.24
189805,4.83,1.12
189806,1.97,0.46
189807,0.23,-0.14
189808,0.44,-0.08
189809,2.29,0.51
189810,4.74,-0.79
189811,10.83,-1.06
189812,6.04,-7.36
189901,12.95,-0.95
189902,11.64,0.02
189903,13.56,3.52
189904,3.10,-2.62
189905,4.92,1.21
189906,1.11,-0.40
189907,0.06,-0.31
189908,1.33,0.81
189909,2.03,0.25
189910,9.19,3.66
189911,20.88,8.99
189912,14.18,0.78
190001,10.20,-3.70
190002,13.55,1.93
190003,6.77,-3.27
190004,6.25,0.53
190005,4.95,1.24
190006,2.84,1.33
190007,0.00,-0.37
190008,0.50,-0.02
190009,0.81,-0.97
190010,13.04,7.51
190011,6.69,-5.20
190012,10.29,-3.11
190101,12.76,-1.14
190102,15.51,3.89
190103,7.46,-2.58
190104,6.51,0.79
190105,2.62,-1.09
190106,0.31,-1.20
190107,0.09,-0.28
190108,0.47,-0.05
190109,5.66,3.88
190110,3.88,-1.65
190111,8.69,-3.20
190112,11.27,-2.13
190201,6.35,-7.55
190202,32.79,21.17
190203,9.19,-0.85
190204,10.33,4.61
190205,6.12,2.41
190206,1.16,-0.35
190207,0.50,0.13
190208,0.38,-0.14
190209,0.75,-1.03
190210,4.29,-1.24
190211,19.94,8.05
190212,19.07,5.67
190301,27.84,13.94
190302,6.36,-5.26
190303,11.86,1.82
190304,2.73,-2.99
190305,1.36,-2.35
190306,1.15,-0.36
190307,0.24,-0.13
190308,0.71,0.19
190309,0.69,-1.09
190310,3.60,-1.93
190311,26.58,14.69
190312,7.91,-5.49
190401,8.79,-5.11
190402,31.67,20.05
190403,31.59,21.55
190404,7.47,1.75
190405,1.37,-2.34
190406,1.12,-0.39
190407,1.63,1.26
190408,0.00,-0.52
190409,2.19,0.41
190410,6.88,1.35
190411,8.61,-3.28
190412,18.28,4.88
190501,11.69,-2.21
190502,2.96,-8.66
190503,12.21,2.17
190504,1.92,-3.80
190505,2.56,-1.15
190506,0.58,-0.93
190507,0.03,-0.34
190508,0.02,-0.50
190509,1.94,0.16
190510,3.26,-2.27
190511,7.21,-4.68
190512,9.56,-3.84
190601,16.66,2.76
190602,13.29,1.67
190603,11.12,1.08
190604,3.94,-1.78
190605,7.44,3.73
190606,4.71,3.20
190607,0.00,-0.37
190608,0.00,-0.52
190609,2.31,0.53
190610,2.53,-3.00
190611,9.06,-2.83
190612,14.16,0.76
190701,18.24,4.34
190702,16.90,5.28
190703,18.73,8.69
190704,6.27,0.55
190705,3.65,-0.06
190706,2.89,1.38
190707,0.30,-0.07
190708,2.26,1.74
190709,1.60,-0.18
190710,2.63,-2.90
190711,5.16,-6.73
190712,23.78,10.38
190801,9.21,-4.69
190802,19.60,7.98
190803,4.96,-5.08
190804,2.77,-2.95
190805,3.78,0.07
190806,1.33,-0.18
190807,0.04,-0.33
190808,0.11,-0.41
190809,0.74,-1.04
190810,8.85,3.32
190811,8.10,-3.79
190812,7.39,-6.01
190901,33.46,19.56
190902,18.30,6.68
190903,4.74,-5.30
190904,0.60,-5.12
190905,1.84,-1.87
190906,0.92,-0.59
190907,0.75,0.38
190908,0.04,-0.48
190909,2.13,0.35
190910,9.49,3.96
190911,26.48,14.59
190912,10.16,-3.24
191001,10.10,-3.80
191002,11.10,-0.52
191003,4.48,-5.56
191004,2.12,-3.60
191005,1.70,-2.01
191006,0.64,-0.87
191007,0.09,-0.28
191008,0.00,-0.52
191009,0.68,-1.10
191010,2.48,-3.05
191011,19.65,7.76
191012,8.54,-4.86
191101,16.85,2.95
191102,5.66,-5.96
191103,6.16,-3.88
191104,6.70,0.98
191105,4.29,0.58
191106,0.53,-0.98
191107,0.08,-0.29
191108,0.00,-0.52
191109,1.84,0.06
191110,2.40,-3.13
191111,6.32,-5.57
191112,9.61,-3.79
191201,17.22,3.32
191202,12.64,1.02
191203,8.55,-1.49
191204,11.67,5.95
191205,5.25,1.54
191206,3.49,1.98
191207,0.19,-0.18
191208,0.96,0.44
191209,5.52,3.74
191210,5.07,-0.46
191211,13.24,1.35
191212,12.61,-0.79
191301,15.27,1.37
191302,2.04,-9.58
191303,7.14,-2.90
191304,7.18,1.46
191305,3.50,-0.21
191306,4.24,2.73
191307,1.90,1.53
191308,0.15,-0.37
191309,1.96,0.18
191310,2.70,-2.83
191311,14.64,2.75
191312,13.48,0.08
191401,25.75,11.85
191402,6.83,-4.79
191403,5.22,-4.82
191404,8.65,2.93
191405,2.42,-1.29
191406,3.15,1.64
191407,0.40,0.03
191408,0.10,-0.42
191409,5.52,3.74
191410,9.02,3.49
191411,6.47,-5.42
191412,11.66,-1.74
191501,15.31,1.41
191502,16.33,4.71
191503,6.08,-3.96
191504,4.06,-1.66
191505,9.31,5.60
191506,0.31,-1.20
191507,1.02,0.65
191508,0.01,-0.51
191509,0.39,-1.39
191510,1.87,-3.66
191511,16.08,4.19
191512,12.00,-1.40
191601,22.08,8.18
191602,12.60,0.98
191603,13.37,3.33
191604,5.27,-0.45
191605,4.23,0.52
191606,2.06,0.55
191607,1.90,1.53
191608,0.20,-0.32
191609,0.84,-0.94
191610,1.11,-4.42
191611,9.95,-1.94
191612,10.50,-2.90
191701,9.10,-4.80
191702,11.61,-0.01
191703,10.85,0.81
191704,9.43,3.71
191705,3.30,-0.41
191706,0.10,-1.41
191707,0.01,-0.36
191708,0.01,-0.51
191709,1.49,-0.29
191710,0.00,-5.53
191711,15.92,4.03
191712,9.21,-4.19
191801,8.14,-5.76
191802,13.89,2.27
191803,11.44,1.40
191804,2.89,-2.83
191805,1.01,-2.70
191806,0.12,-1.39
191807,0.21,-0.16
191808,0.90,0.38
191809,1.96,0.18
191810,3.32,-2.21
191811,9.01,-2.88
191812,7.42,-5.98
191901,16.89,2.99
191902,18.49,6.87
191903,11.15,1.11
191904,8.60,2.88
191905,2.29,-1.42
191906,0.41,-1.10
