Fresno County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,7.38,3.63
189502,3.14,-0.42
189503,2.14,-1.04
189504,1.65,-0.07
189505,0.71,-0.12
189506,0.06,-0.15
189507,0.02,-0.09
189508,0.07,-0.06
189509,0.34,-0.05
189510,0.73,-0.14
189511,2.04,0.18
189512,2.18,-0.80
189601,9.27,5.52
189602,0.10,-3.46
189603,4.43,1.25
189604,3.84,2.12
189605,1.04,0.21
189606,0.12,-0.09
189607,0.41,0.30
189608,0.51,0.38
189609,0.42,0.03
189610,1.60,0.73
189611,2.13,0.27
189612,2.12,-0.86
189701,2.99,-0.76
189702,7.24,3.68
189703,5.02,1.84
189704,0.18,-1.54
189705,0.33,-0.50
189706,0.18,-0.03
189707,0.26,0.15
189708,0.13,0.00
189709,0.11,-0.28
189710,2.25,1.38
189711,0.95,-0.91
189712,3.37,0.39
189801,1.55,-2.20
189802,1.61,-1.95
189803,1.76,-1.42
189804,0.33,-1.39
189805,1.61,0.78
189806,0.01,-0.20
189807,0.05,-0.06
189808,0.10,-0.03
189809,1.06,0.67
189810,0.43,-0.44
189811,1.08,-0.78
189812,0.89,-2.09
189901,5.30,1.55
189902,0.25,-3.31
189903,5.54,2.36
189904,1.05,-0.67
189905,0.88,0.05
189906,0.77,0.56
189907,0.05,-0.06
189908,0.13,0.00
189909,0.00,-0.39
189910,2.50,1.63
189911,2.02,0.16
189912,2.56,-0.42
190001,2.07,-1.68
190002,0.21,-3.35
190003,1.84,-1.34
190004,2.86,1.14
190005,2.61,1.78
190006,0.06,-0.15
190007,0.02,-0.09
190008,0.01,-0.12
190009,0.32,-0.07
190010,0.74,-0.13
190011,6.40,4.54
190012,0.76,-2.22
190101,8.43,4.68
190102,4.99,1.43
190103,0.94,-2.24
190104,2.82,1.10
190105,2.98,2.15
190106,0.03,-0.18
190107,0.03,-0.08
190108,0.10,-0.03
190109,1.18,0.79
190110,0.89,0.02
190111,1.81,-0.05
190112,0.38,-2.60
190201,0.81,-2.94
190202,4.92,1.36
190203,3.30,0.12
190204,2.13,0.41
190205,0.42,-0.41
190206,0.00,-0.21
190207,0.01,-0.10
190208,0.04,-0.09
190209,0.00,-0.39
190210,0.88,0.01
190211,2.75,0.89
190212,1.29,-1.69
190301,3.57,-0.18
190302,1.22,-2.34
190303,4.50,1.32
190304,1.10,-0.62
190305,0.18,-0.65
190306,0.08,-0.13
190307,0.00,-0.11
190308,0.00,-0.13
190309,0.05,-0.34
190310,0.35,-0.52
190311,0.77,-1.09
190312,0.55,-2.43
190401,3.96,0.21
190402,4.96,1.40
190403,4.63,1.45
190404,2.91,1.19
190405,0.82,-0.01
190406,0.00,-0.21
190407,0.02,-0.09
190408,0.32,0.19
190409,2.01,1.62
190410,2.54,1.67
190411,0.23,-1.63
190412,2.11,-0.87
190501,1.89,-1.86
190502,3.29,-0.27
190503,5.84,2.66
190504,0.87,-0.85
190505,2.40,1.57
190506,0.00,-0.21
190507,0.00,-0.11
190508,0.08,-0.05
190509,0.25,-0.14
190510,0.00,-0.87
190511,2.23,0.37
190512,0.67,-2.31
190601,5.37,1.62
190602,3.83,0.27
190603,9.20,6.02
190604,3.24,1.52
190605,3.77,2.94
190606,0.21,0.00
190607,0.18,0.07
190608,0.19,0.06
190609,0.01,-0.38
190610,0.06,-0.81
190611,1.74,-0.12
190612,7.18,4.20
190701,6.50,2.75
190702,2.73,-0.83
190703,8.00,4.82
190704,1.10,-0.62
190705,0.45,-0.38
190706,0.32,0.11
190707,0.00,-0.11
190708,0.14,0.01
190709,0.04,-0.35
190710,1.52,0.65
190711,0.01,-1.85
190712,3.97,0.99
190801,3.30,-0.45
190802,4.75,1.19
190803,0.68,-2.50
190804,0.81,-0.91
190805,1.19,0.36
190806,0.02,-0.19
190807,0.11,0.00
190808,0.03,-0.10
190809,0.91,0.52
190810,0.55,-0.32
190811,1.29,-0.57
190812,0.92,-2.06
190901,10.48,6.73
190902,5.82,2.26
190903,3.10,-0.08
190904,0.15,-1.57
190905,0.00,-0.83
190906,0.33,0.12
190907,0.01,-0.10
190908,0.01,-0.12
190909,0.03,-0.36
190910,1.14,0.27
190911,3.66,1.80
190912,6.77,3.79
191001,3.45,-0.30
191002,0.74,-2.82
191003,2.28,-0.90
191004,0.57,-1.15
191005,0.07,-0.76
191006,0.00,-0.21
191007,0.22,0.11
191008,0.00,-0.13
191009,0.98,0.59
191010,1.16,0.29
191011,0.66,-1.20
191012,1.13,-1.85
191101,10.62,6.87
191102,2.83,-0.73
191103,6.99,3.81
191104,1.87,0.15
191105,0.37,-0.46
191106,0.01,-0.20
191107,0.02,-0.09
191108,0.00,-0.13
191109,0.20,-0.19
191110,0.11,-0.76
191111,0.80,-1.06
191112,1.37,-1.61
191201,1.57,-2.18
191202,0.07,-3.49
191203,4.31,1.13
191204,3.46,1.74
191205,0.73,-0.10
191206,0.03,-0.18
191207,0.10,-0.01
191208,0.00,-0.13
191209,0.26,-0.13
191210,0.33,-0.54
191211,0.94,-0.92
191212,0.67,-2.31
191301,3.20,-0.55
191302,2.47,-1.09
191303,1.50,-1.68
191304,1.54,-0.18
191305,1.43,0.60
191306,0.63,0.42
191307,0.72,0.61
191308,0.63,0.50
191309,0.06,-0.33
191310,0.02,-0.85
191311,3.07,1.21
191312,3.32,0.34
191401,11.51,7.76
191402,2.84,-0.72
191403,0.66,-2.52
191404,1.70,-0.02
191405,0.38,-0.45
191406,0.27,0.06
191407,0.08,-0.03
191408,0.01,-0.12
191409,0.32,-0.07
191410,0.38,-0.49
191411,0.10,-1.76
191412,2.74,-0.24
191501,4.76,1.01
191502,6.71,3.15
191503,1.24,-1.94
191504,2.47,0.75
191505,3.11,2.28
191506,0.00,-0.21
191507,0.02,-0.09
191508,0.00,-0.13
191509,0.03,-0.36
191510,0.00,-0.87
191511,0.61,-1.25
191512,3.45,0.47
191601,11.14,7.39
191602,3.06,-0.50
191603,3.18,0.00
191604,0.73,-0.99
191605,0.46,-0.37
191606,0.01,-0.20
191607,0.01,-0.10
191608,0.52,0.39
191609,0.72,0.33
191610,2.33,1.46
191611,0.77,-1.09
191612,4.09,1.11
191701,1.22,-2.53
191702,4.83,1.27
191703,1.27,-1.91
191704,0.86,-0.86
191705,0.92,0.09
191706,0.00,-0.21
191707,0.02,-0.09
191708,0.05,-0.08
191709,0.01,-0.38
191710,0.00,-0.87
191711,0.72,-1.14
191712,0.35,-2.63
191801,0.39,-3.36
191802,6.20,2.64
191803,6.16,2.98
191804,0.14,-1.58
191805,0.58,-0.25
191806,0.09,-0.12
191807,0.17,0.06
191808,0.31,0.18
191809,1.49,1.10
191810,0.63,-0.24
191811,2.76,0.90
191812,2.06,-0.92
191901,0.83,-2.92
191902,4.81,1.25
191903,3.36,0.18
191904,0.14,-1.58
191905,0.47,-0.36
