Glenn County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,14.30,9.14
189502,2.94,-1.72
189503,2.93,-0.59
189504,1.15,-0.53
189505,1.67,0.82
189506,0.01,-0.40
189507,0.24,0.21
189508,0.06,-0.01
189509,1.57,1.19
189510,0.05,-1.29
189511,1.64,-1.42
189512,3.28,-1.43
189601,11.54,6.38
189602,0.38,-4.28
189603,3.37,-0.15
189604,5.66,3.98
189605,2.33,1.48
189606,0.03,-0.38
189607,0.05,0.02
189608,0.28,0.21
189609,0.49,0.11
189610,0.87,-0.47
189611,5.36,2.30
189612,5.46,0.75
189701,3.29,-1.87
189702,6.83,2.17
189703,4.71,1.19
189704,0.93,-0.75
189705,0.23,-0.62
189706,1.25,0.84
189707,0.00,-0.03
189708,0.03,-0.04
189709,0.27,-0.11
189710,2.11,0.77
189711,2.13,-0.93
189712,2.39,-2.32
189801,0.95,-4.21
189802,5.75,1.09
189803,0.33,-3.19
189804,0.58,-1.10
189805,1.99,1.14
189806,0.77,0.36
189807,0.00,-0.03
189808,0.00,-0.07
189809,0.57,0.19
189810,0.87,-0.47
189811,1.45,-1.61
189812,1.46,-3.25
189901,7.14,1.98
189902,0.26,-4.40
189903,7.50,3.98
189904,0.65,-1.03
189905,1.29,0.44
189906,0.56,0.15
189907,0.00,-0.03
189908,0.07,0.00
189909,0.33,-0.05
189910,4.02,2.68
189911,5.36,2.30
189912,5.36,0.65
190001,4.45,-0.71
190002,1.78,-2.88
190003,3.15,-0.37
190004,2.16,0.48
190005,0.98,0.13
190006,0.59,0.18
190007,0.01,-0.02
190008,0.04,-0.03
190009,0.16,-0.22
190010,3.54,2.20
190011,4.06,1.00
190012,2.64,-2.07
190101,6.27,1.11
190102,5.33,0.67
190103,1.18,-2.34
190104,2.40,0.72
190105,0.58,-0.27
190106,0.00,-0.41
190107,0.00,-0.03
190108,0.01,-0.06
190109,1.26,0.88
190110,1.64,0.30
190111,4.26,1.20
190112,1.99,-2.72
190201,1.58,-3.58
190202,12.20,7.54
190203,3.57,0.05
190204,3.10,1.42
190205,1.16,0.31
190206,0.03,-0.38
190207,0.01,-0.02
190208,0.02,-0.05
190209,0.00,-0.38
190210,3.33,1.99
190211,5.77,2.71
190212,3.96,-0.75
190301,5.38,0.22
190302,1.86,-2.80
190303,5.35,1.83
190304,0.32,-1.36
190305,0.31,-0.54
190306,0.01,-0.40
190307,0.00,-0.03
190308,0.00,-0.07
190309,0.02,-0.36
190310,0.72,-0.62
190311,8.44,5.38
190312,3.31,-1.40
190401,1.41,-3.75
190402,11.35,6.69
190403,8.91,5.39
190404,2.46,0.78
190405,0.05,-0.80
190406,0.04,-0.37
190407,0.07,0.04
190408,0.01,-0.06
190409,1.89,1.51
190410,3.46,2.12
190411,2.29,-0.77
190412,4.54,-0.17
190501,7.87,2.71
190502,3.29,-1.37
190503,5.63,2.11
190504,0.92,-0.76
190505,2.16,1.31
190506,0.33,-0.08
190507,0.00,-0.03
190508,0.01,-0.06
190509,0.02,-0.36
190510,0.09,-1.25
190511,1.70,-1.36
190512,1.82,-2.89
190601,7.43,2.27
190602,5.65,0.99
190603,9.46,5.94
190604,1.72,0.04
190605,2.48,1.63
190606,1.13,0.72
190607,0.00,-0.03
190608,0.00,-0.07
190609,0.37,-0.01
190610,0.03,-1.31
190611,1.29,-1.77
190612,8.71,4.00
190701,5.35,0.19
190702,2.57,-2.09
190703,7.15,3.63
190704,1.13,-0.55
190705,0.36,-0.49
190706,0.99,0.58
190707,0.00,-0.03
190708,0.01,-0.06
190709,0.02,-0.36
190710,0.82,-0.52
190711,0.09,-2.97
190712,5.82,1.11
190801,4.38,-0.78
190802,5.45,0.79
190803,0.73,-2.79
190804,0.28,-1.40
190805,1.63,0.78
190806,0.02,-0.39
190807,0.00,-0.03
190808,0.00,-0.07
190809,0.08,-0.30
190810,0.31,-1.03
190811,1.92,-1.14
190812,3.40,-1.31
190901,13.99,8.83
190902,7.33,2.67
190903,2.47,-1.05
190904,0.01,-1.67
190905,0.29,-0.56
190906,0.18,-0.23
190907,0.01,-0.02
190908,0.00,-0.07
190909,0.75,0.37
190910,1.21,-0.13
190911,2.37,-0.69
190912,4.56,-0.15
191001,4.03,-1.13
191002,2.42,-2.24
191003,4.01,0.49
191004,0.29,-1.39
191005,0.20,-0.65
191006,0.11,-0.30
191007,0.00,-0.03
191008,0.00,-0.07
191009,0.53,0.15
191010,0.45,-0.89
191011,1.08,-1.98
191012,1.75,-2.96
191101,10.07,4.91
191102,3.34,-1.32
191103,7.77,4.25
191104,1.24,-0.44
191105,0.30,-0.55
191106,0.45,0.04
191107,0.00,-0.03
191108,0.00,-0.07
191109,0.36,-0.02
191110,0.51,-0.83
191111,0.21,-2.85
191112,1.48,-3.23
191201,2.94,-2.22
191202,0.50,-4.16
191203,4.88,1.36
191204,2.42,0.74
191205,1.45,0.60
191206,0.58,0.17
191207,0.00,-0.03
191208,0.00,-0.07
191209,1.95,1.57
191210,0.79,-0.55
191211,2.63,-0.43
191212,1.01,-3.70
191301,4.53,-0.63
191302,0.16,-4.50
191303,1.55,-1.97
191304,1.25,-0.43
191305,1.13,0.28
191306,0.88,0.47
191307,0.07,0.04
191308,0.00,-0.07
191309,0.00,-0.38
191310,0.01,-1.33
191311,8.02,4.96
191312,11.05,6.34
191401,10.75,5.59
191402,5.96,1.30
191403,0.72,-2.80
191404,1.80,0.12
191405,0.49,-0.36
191406,0.80,0.39
191407,0.00,-0.03
191408,0.00,-0.07
191409,0.01,-0.37
191410,0.83,-0.51
191411,0.45,-2.61
191412,7.39,2.68
191501,9.39,4.23
191502,11.16,6.50
191503,3.98,0.46
191504,1.04,-0.64
191505,3.00,2.15
191506,0.00,-0.41
191507,0.01,-0.02
191508,0.00,-0.07
191509,0.00,-0.38
191510,0.04,-1.30
191511,1.62,-1.44
191512,7.72,3.01
191601,10.01,4.85
191602,2.75,-1.91
191603,1.49,-2.03
191604,0.07,-1.61
191605,0.51,-0.34
191606,0.52,0.11
191607,0.22,0.19
191608,0.24,0.17
191609,0.32,-0.06
191610,1.63,0.29
191611,1.35,-1.71
191612,4.78,0.07
191701,2.45,-2.71
191702,4.47,-0.19
191703,0.71,-2.81
191704,0.94,-0.74
191705,0.63,-0.22
191706,0.00,-0.41
191707,0.00,-0.03
191708,0.03,-0.04
191709,0.49,0.11
191710,0.00,-1.34
191711,1.51,-1.55
191712,2.19,-2.52
191801,0.88,-4.28
191802,5.03,0.37
191803,4.50,0.98
191804,0.72,-0.96
191805,0.28,-0.57
191806,0.03,-0.38
191807,0.00,-0.03
191808,0.02,-0.05
191809,1.89,1.51
191810,0.62,-0.72
191811,3.16,0.10
191812,2.54,-2.17
191901,3.07,-2.09
191902,5.96,1.30
191903,2.43,-1.09
191904,0.46,-1.22
