Imperial County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,1.60,1.07
189502,0.17,-0.33
189503,0.19,-0.18
189504,0.02,-0.08
189505,0.04,0.00
189506,0.00,-0.01
189507,0.01,-0.17
189508,0.23,-0.16
189509,0.00,-0.27
189510,0.13,-0.11
189511,0.34,0.13
189512,0.07,-0.48
189601,0.38,-0.15
189602,0.01,-0.49
189603,0.62,0.25
189604,0.03,-0.07
189605,0.05,0.01
189606,0.00,-0.01
189607,0.20,0.02
189608,0.44,0.05
189609,0.15,-0.12
189610,0.52,0.28
189611,0.14,-0.07
189612,0.64,0.09
189701,2.03,1.50
189702,0.41,-0.09
189703,0.52,0.15
189704,0.01,-0.09
189705,0.01,-0.03
189706,0.00,-0.01
189707,0.10,-0.08
189708,0.29,-0.10
189709,0.28,0.01
189710,0.34,0.10
189711,0.02,-0.19
189712,0.20,-0.35
189801,0.57,0.04
189802,0.04,-0.46
189803,0.41,0.04
189804,0.03,-0.07
189805,0.12,0.08
189806,0.01,0.00
189807,0.07,-0.11
189808,0.25,-0.14
189809,0.01,-0.26
189810,0.00,-0.24
189811,0.14,-0.07
189812,0.97,0.42
189901,0.30,-0.23
189902,0.08,-0.42
189903,0.10,-0.27
189904,0.01,-0.09
189905,0.02,-0.02
189906,0.03,0.02
189907,0.01,-0.17
189908,0.02,-0.37
189909,0.00,-0.27
189910,0.22,-0.02
189911,0.38,0.17
189912,0.12,-0.43
190001,0.28,-0.25
190002,0.10,-0.40
190003,0.12,-0.25
190004,0.31,0.21
190005,0.16,0.12
190006,0.00,-0.01
190007,0.13,-0.05
190008,0.00,-0.39
190009,0.03,-0.24
190010,0.08,-0.16
190011,0.26,0.05
190012,0.00,-0.55
190101,0.40,-0.13
190102,2.13,1.63
190103,0.25,-0.12
190104,0.02,-0.08
190105,0.11,0.07
190106,0.00,-0.01
190107,0.00,-0.18
190108,0.24,-0.15
190109,0.01,-0.26
190110,0.12,-0.12
190111,0.02,-0.19
190112,0.01,-0.54
190201,0.54,0.01
190202,0.27,-0.23
190203,0.39,0.02
190204,0.01,-0.09
190205,0.00,-0.04
190206,0.00,-0.01
190207,0.56,0.38
190208,0.00,-0.39
190209,0.00,-0.27
190210,0.01,-0.23
190211,0.49,0.28
190212,0.72,0.17
190301,0.20,-0.33
190302,0.50,0.00
190303,0.13,-0.24
190304,0.06,-0.04
190305,0.01,-0.03
190306,0.00,-0.01
190307,0.02,-0.16
190308,0.04,-0.35
190309,0.37,0.10
190310,0.02,-0.22
190311,0.00,-0.21
190312,0.01,-0.54
190401,0.02,-0.51
190402,0.10,-0.40
190403,0.43,0.06
190404,0.05,-0.05
190405,0.04,0.00
190406,0.00,-0.01
190407,0.43,0.25
190408,0.60,0.21
190409,0.08,-0.19
190410,0.02,-0.22
190411,0.00,-0.21
190412,0.26,-0.29
190501,1.76,1.23
190502,2.67,2.17
190503,1.60,1.23
190504,0.25,0.15
190505,0.05,0.01
190506,0.00,-0.01
190507,0.07,-0.11
190508,0.02,-0.37
190509,0.22,-0.05
190510,0.01,-0.23
190511,1.01,0.80
190512,0.41,-0.14
190601,0.09,-0.44
190602,2.18,1.68
190603,0.84,0.47
190604,0.45,0.35
190605,0.09,0.05
190606,0.00,-0.01
190607,0.09,-0.09
190608,1.20,0.81
190609,0.04,-0.23
190610,0.04,-0.20
190611,0.38,0.17
190612,1.46,0.91
190701,0.48,-0.05
190702,0.33,-0.17
190703,0.83,0.46
190704,0.01,-0.09
190705,0.12,0.08
190706,0.01,0.00
190707,0.02,-0.16
190708,0.01,-0.38
190709,0.00,-0.27
190710,1.05,0.81
190711,0.03,-0.18
190712,0.08,-0.47
190801,0.54,0.01
190802,0.76,0.26
190803,0.15,-0.22
190804,0.04,-0.06
190805,0.01,-0.03
190806,0.00,-0.01
190807,0.29,0.11
190808,0.65,0.26
190809,0.37,0.10
190810,0.06,-0.18
190811,0.22,0.01
190812,1.08,0.53
190901,0.68,0.15
190902,0.43,-0.07
190903,0.58,0.21
190904,0.00,-0.10
190905,0.00,-0.04
190906,0.00,-0.01
190907,0.11,-0.07
190908,1.95,1.56
190909,0.39,0.12
190910,0.00,-0.24
190911,0.19,-0.02
190912,0.73,0.18
191001,0.44,-0.09
191002,0.05,-0.45
191003,0.11,-0.26
191004,0.03,-0.07
191005,0.00,-0.04
191006,0.00,-0.01
191007,0.31,0.13
191008,0.11,-0.28
191009,0.23,-0.04
191010,0.23,-0.01
191011,0.50,0.29
191012,0.02,-0.53
191101,0.65,0.12
191102,1.15,0.65
191103,0.20,-0.17
191104,0.04,-0.06
191105,0.00,-0.04
191106,0.00,-0.01
191107,0.56,0.38
191108,0.01,-0.38
191109,0.10,-0.17
191110,0.42,0.18
191111,0.00,-0.21
191112,0.11,-0.44
191201,0.02,-0.51
191202,0.00,-0.50
191203,1.11,0.74
191204,0.09,-0.01
191205,0.30,0.26
191206,0.07,0.06
191207,0.26,0.08
191208,0.56,0.17
191209,0.00,-0.27
191210,0.37,0.13
191211,0.02,-0.19
191212,0.12,-0.43
191301,0.16,-0.37
191302,0.57,0.07
191303,0.03,-0.34
191304,0.12,0.02
191305,0.01,-0.03
191306,0.01,0.00
191307,0.53,0.35
191308,0.92,0.53
191309,0.14,-0.13
191310,0.01,-0.23
191311,0.32,0.11
191312,0.08,-0.47
191401,0.55,0.02
191402,0.79,0.29
191403,0.38,0.01
191404,0.13,0.03
191405,0.06,0.02
191406,0.02,0.01
191407,0.08,-0.10
191408,0.00,-0.39
191409,0.01,-0.26
191410,0.54,0.30
191411,0.66,0.45
191412,1.12,0.57
191501,2.79,2.26
191502,0.83,0.33
191503,0.10,-0.27
191504,0.28,0.18
191505,0.11,0.07
191506,0.00,-0.01
191507,0.12,-0.06
191508,0.35,-0.04
191509,0.10,-0.17
191510,0.00,-0.24
191511,0.18,-0.03
191512,0.30,-0.25
191601,1.91,1.38
191602,0.07,-0.43
191603,0.82,0.45
191604,0.00,-0.10
191605,0.02,-0.02
191606,0.00,-0.01
191607,0.32,0.14
191608,0.48,0.09
191609,0.28,0.01
191610,0.11,-0.13
191611,0.01,-0.20
191612,0.65,0.10
191701,0.97,0.44
191702,0.25,-0.25
191703,0.06,-0.31
191704,0.19,0.09
191705,0.04,0.00
191706,0.00,-0.01
191707,0.46,0.28
191708,0.14,-0.25
191709,0.08,-0.19
191710,0.00,-0.24
191711,0.04,-0.17
191712,0.00,-0.55
191801,0.71,0.18
191802,0.18,-0.32
191803,1.08,0.71
191804,0.00,-0.10
191805,0.03,-0.01
191806,0.04,0.03
191807,0.23,0.05
191808,0.38,-0.01
191809,0.05,-0.22
191810,0.15,-0.09
191811,0.17,-0.04
191812,0.72,0.17
191901,0.17,-0.36
191902,0.44,-0.06
191903,0.48,0.11
191904,0.01,-0.09
191905,0.04,0.00
