Inyo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,2.18,1.15
189502,1.14,0.07
189503,0.70,-0.14
189504,0.34,-0.10
189505,0.22,-0.06
189506,0.05,-0.06
189507,0.01,-0.28
189508,0.11,-0.22
189509,0.12,-0.16
189510,0.55,0.23
189511,0.69,0.21
189512,0.55,-0.23
189601,1.86,0.83
189602,0.10,-0.97
189603,1.29,0.45
189604,0.51,0.07
189605,0.28,0.00
189606,0.07,-0.04
189607,0.64,0.35
189608,0.85,0.52
189609,0.21,-0.07
189610,0.52,0.20
189611,0.42,-0.06
189612,0.47,-0.31
189701,0.94,-0.09
189702,2.29,1.22
189703,1.11,0.27
189704,0.05,-0.39
189705,0.12,-0.16
189706,0.03,-0.08
189707,0.38,0.09
189708,0.36,0.03
189709,0.21,-0.07
189710,1.01,0.69
189711,0.23,-0.25
189712,0.58,-0.20
189801,0.55,-0.48
189802,0.38,-0.69
189803,0.44,-0.40
189804,0.14,-0.30
189805,0.61,0.33
189806,0.02,-0.09
189807,0.13,-0.16
189808,0.21,-0.12
189809,0.51,0.23
189810,0.04,-0.28
189811,0.23,-0.25
189812,0.23,-0.55
189901,1.06,0.03
189902,0.08,-0.99
189903,1.28,0.44
189904,0.11,-0.33
189905,0.21,-0.07
189906,0.39,0.28
189907,0.05,-0.24
189908,0.17,-0.16
189909,0.01,-0.27
189910,0.66,0.34
189911,0.52,0.04
189912,0.61,-0.17
190001,0.46,-0.57
190002,0.06,-1.01
190003,0.44,-0.40
190004,0.76,0.32
190005,0.90,0.62
190006,0.03,-0.08
190007,0.28,-0.01
190008,0.03,-0.30
190009,0.22,-0.06
190010,0.15,-0.17
190011,1.86,1.38
190012,0.14,-0.64
190101,2.15,1.12
190102,1.49,0.42
190103,0.21,-0.63
190104,0.50,0.06
190105,0.86,0.58
190106,0.03,-0.08
190107,0.03,-0.26
190108,0.22,-0.11
190109,0.57,0.29
190110,0.34,0.02
190111,0.43,-0.05
190112,0.06,-0.72
190201,0.23,-0.80
190202,1.43,0.36
190203,0.80,-0.04
190204,0.52,0.08
190205,0.09,-0.19
190206,0.01,-0.10
190207,0.07,-0.22
190208,0.11,-0.22
190209,0.00,-0.28
190210,0.24,-0.08
190211,0.80,0.32
190212,0.44,-0.34
190301,0.99,-0.04
190302,0.44,-0.63
190303,1.14,0.30
190304,0.31,-0.13
190305,0.07,-0.21
190306,0.04,-0.07
190307,0.00,-0.29
190308,0.01,-0.32
190309,0.19,-0.09
190310,0.33,0.01
190311,0.05,-0.43
190312,0.20,-0.58
190401,2.50,1.47
190402,1.21,0.14
190403,0.88,0.04
190404,1.02,0.58
190405,0.59,0.31
190406,0.00,-0.11
190407,0.04,-0.25
190408,0.69,0.36
190409,0.85,0.57
190410,0.60,0.28
190411,0.01,-0.47
190412,0.51,-0.27
190501,0.54,-0.49
190502,1.20,0.13
190503,2.06,1.22
190504,0.17,-0.27
190505,0.52,0.24
190506,0.00,-0.11
190507,0.00,-0.29
190508,0.34,0.01
190509,0.32,0.04
190510,0.01,-0.31
190511,0.76,0.28
190512,0.19,-0.59
190601,0.97,-0.06
190602,0.91,-0.16
190603,1.95,1.11
190604,0.86,0.42
190605,0.47,0.19
190606,0.14,0.03
190607,0.61,0.32
190608,0.54,0.21
190609,0.01,-0.27
190610,0.06,-0.26
190611,1.00,0.52
190612,2.77,1.99
190701,2.03,1.00
190702,1.02,-0.05
190703,2.00,1.16
190704,0.21,-0.23
190705,0.10,-0.18
190706,0.11,0.00
190707,0.00,-0.29
190708,0.03,-0.30
190709,0.00,-0.28
190710,0.96,0.64
190711,0.01,-0.47
190712,0.88,0.10
190801,1.35,0.32
190802,1.90,0.83
190803,0.29,-0.55
190804,0.25,-0.19
190805,0.31,0.03
190806,0.01,-0.10
190807,0.35,0.06
190808,0.55,0.22
190809,0.83,0.55
190810,0.35,0.03
190811,0.19,-0.29
190812,0.28,-0.50
190901,1.91,0.88
190902,2.02,0.95
190903,0.94,0.10
190904,0.06,-0.38
190905,0.00,-0.28
190906,0.10,-0.01
190907,0.25,-0.04
190908,0.29,-0.04
190909,0.34,0.06
190910,0.45,0.13
190911,1.08,0.60
190912,1.56,0.78
191001,1.12,0.09
191002,0.10,-0.97
191003,0.48,-0.36
191004,0.07,-0.37
191005,0.01,-0.27
191006,0.00,-0.11
191007,0.41,0.12
191008,0.03,-0.30
191009,0.66,0.38
191010,0.58,0.26
191011,0.35,-0.13
191012,0.70,-0.08
191101,2.36,1.33
191102,1.23,0.16
191103,1.30,0.46
191104,0.30,-0.14
191105,0.05,-0.23
191106,0.11,0.00
191107,0.37,0.08
191108,0.01,-0.32
191109,0.41,0.13
191110,0.13,-0.19
191111,0.19,-0.29
191112,0.38,-0.40
191201,0.27,-0.76
191202,0.01,-1.06
191203,1.68,0.84
191204,0.71,0.27
191205,0.16,-0.12
191206,0.02,-0.09
191207,0.23,-0.06
191208,0.02,-0.31
191209,0.04,-0.24
191210,0.42,0.10
191211,0.32,-0.16
191212,0.09,-0.69
191301,0.68,-0.35
191302,1.19,0.12
191303,0.42,-0.42
191304,0.22,-0.22
191305,0.51,0.23
191306,0.36,0.25
191307,1.05,0.76
191308,1.22,0.89
191309,0.28,0.00
191310,0.00,-0.32
191311,1.37,0.89
191312,0.59,-0.19
191401,3.32,2.29
191402,1.15,0.08
191403,0.13,-0.71
191404,0.90,0.46
191405,0.17,-0.11
191406,0.21,0.10
191407,0.26,-0.03
191408,0.05,-0.28
191409,0.35,0.07
191410,0.04,-0.28
191411,0.02,-0.46
191412,0.88,0.10
191501,1.40,0.37
191502,1.94,0.87
191503,0.52,-0.32
191504,0.92,0.48
191505,0.40,0.12
191506,0.00,-0.11
191507,0.31,0.02
191508,0.15,-0.18
191509,0.13,-0.15
191510,0.00,-0.32
191511,0.16,-0.32
191512,0.71,-0.07
191601,3.74,2.71
191602,0.74,-0.33
191603,0.64,-0.20
191604,0.21,-0.23
191605,0.19,-0.09
191606,0.00,-0.11
191607,0.31,0.02
191608,0.41,0.08
191609,0.22,-0.06
191610,0.88,0.56
191611,0.11,-0.37
191612,1.09,0.31
191701,0.80,-0.23
191702,0.69,-0.38
191703,0.28,-0.56
191704,0.41,-0.03
191705,0.71,0.43
191706,0.00,-0.11
191707,0.12,-0.17
191708,0.36,0.03
191709,0.02,-0.26
191710,0.01,-0.31
191711,0.45,-0.03
191712,0.04,-0.74
191801,0.10,-0.93
191802,1.56,0.49
191803,1.90,1.06
191804,0.20,-0.24
191805,0.34,0.06
191806,0.22,0.11
191807,0.37,0.08
191808,0.38,0.05
191809,0.79,0.51
191810,0.34,0.02
191811,0.43,-0.05
191812,1.29,0.51
191901,0.14,-0.89
191902,0.95,-0.12
191903,1.05,0.21
191904,0.18,-0.26
191905,0.20,-0.08
191906,0.00,-0.11
