Kern County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,4.02,2.26
189502,1.95,0.14
189503,1.45,-0.13
189504,0.52,-0.24
189505,0.26,-0.04
189506,0.03,-0.03
189507,0.00,-0.05
189508,0.01,-0.07
189509,0.00,-0.18
189510,1.20,0.83
189511,0.82,0.04
189512,0.42,-0.91
189601,1.87,0.11
189602,0.24,-1.57
189603,2.73,1.15
189604,0.89,0.13
189605,0.32,0.02
189606,0.00,-0.06
189607,0.27,0.22
189608,0.20,0.12
189609,0.02,-0.16
189610,1.06,0.69
189611,0.99,0.21
189612,1.12,-0.21
189701,2.15,0.39
189702,2.31,0.50
189703,1.91,0.33
189704,0.01,-0.75
189705,0.04,-0.26
189706,0.01,-0.05
189707,0.03,-0.02
189708,0.11,0.03
189709,0.18,0.00
189710,1.01,0.64
189711,0.21,-0.57
189712,0.17,-1.16
189801,0.72,-1.04
189802,0.50,-1.31
189803,0.56,-1.02
189804,0.15,-0.61
189805,0.88,0.58
189806,0.00,-0.06
189807,0.03,-0.02
189808,0.03,-0.05
189809,0.35,0.17
189810,0.05,-0.32
189811,0.06,-0.72
189812,0.29,-1.04
189901,1.59,-0.17
189902,0.12,-1.69
189903,2.16,0.58
189904,0.36,-0.40
189905,0.20,-0.10
189906,0.25,0.19
189907,0.00,-0.05
189908,0.01,-0.07
189909,0.01,-0.17
189910,0.84,0.47
189911,1.06,0.28
189912,0.97,-0.36
190001,0.95,-0.81
190002,0.06,-1.75
190003,0.94,-0.64
190004,0.82,0.06
190005,1.27,0.97
190006,0.00,-0.06
190007,0.10,0.05
190008,0.00,-0.08
190009,0.05,-0.13
190010,0.14,-0.23
190011,3.65,2.87
190012,0.07,-1.26
190101,2.57,0.81
190102,2.18,0.37
190103,0.24,-1.34
190104,0.84,0.08
190105,0.87,0.57
190106,0.02,-0.04
190107,0.02,-0.03
190108,0.04,-0.04
190109,0.43,0.25
190110,0.70,0.33
190111,0.51,-0.27
190112,0.07,-1.26
190201,0.58,-1.18
190202,2.21,0.40
190203,1.57,-0.01
190204,0.65,-0.11
190205,0.15,-0.15
190206,0.02,-0.04
190207,0.02,-0.03
190208,0.00,-0.08
190209,0.00,-0.18
190210,0.35,-0.02
190211,1.27,0.49
190212,0.82,-0.51
190301,1.21,-0.55
190302,0.63,-1.18
190303,2.66,1.08
190304,1.08,0.32
190305,0.02,-0.28
190306,0.01,-0.05
190307,0.00,-0.05
190308,0.01,-0.07
190309,0.07,-0.11
190310,0.01,-0.36
190311,0.13,-0.65
190312,0.11,-1.22
190401,0.53,-1.23
190402,2.00,0.19
190403,1.88,0.30
190404,0.80,0.04
190405,0.06,-0.24
190406,0.00,-0.06
190407,0.00,-0.05
190408,0.23,0.15
190409,0.56,0.38
190410,0.45,0.08
190411,0.04,-0.74
190412,1.28,-0.05
190501,1.34,-0.42
190502,2.29,0.48
190503,3.88,2.30
190504,0.27,-0.49
190505,0.86,0.56
190506,0.00,-0.06
190507,0.01,-0.04
190508,0.00,-0.08
190509,0.10,-0.08
190510,0.01,-0.36
190511,1.19,0.41
190512,0.39,-0.94
190601,1.77,0.01
190602,1.58,-0.23
190603,3.98,2.40
190604,1.01,0.25
190605,0.89,0.59
190606,0.01,-0.05
190607,0.04,-0.01
190608,0.00,-0.08
190609,0.00,-0.18
190610,0.00,-0.37
190611,0.63,-0.15
190612,2.66,1.33
190701,3.94,2.18
190702,1.00,-0.81
190703,3.64,2.06
190704,0.52,-0.24
190705,0.01,-0.29
190706,0.05,-0.01
190707,0.00,-0.05
190708,0.00,-0.08
190709,0.00,-0.18
190710,1.47,1.10
190711,0.01,-0.77
190712,1.22,-0.11
190801,1.60,-0.16
190802,3.01,1.20
190803,0.23,-1.35
190804,0.41,-0.35
190805,0.26,-0.04
190806,0.00,-0.06
190807,0.00,-0.05
190808,0.20,0.12
190809,0.80,0.62
190810,0.21,-0.16
190811,0.64,-0.14
190812,0.53,-0.80
190901,3.70,1.94
190902,3.44,1.63
190903,1.97,0.39
190904,0.04,-0.72
190905,0.00,-0.30
190906,0.02,-0.04
190907,0.01,-0.04
190908,0.16,0.08
190909,0.03,-0.15
190910,0.38,0.01
190911,1.46,0.68
190912,2.77,1.44
191001,1.53,-0.23
191002,0.10,-1.71
191003,1.28,-0.30
191004,0.25,-0.51
191005,0.00,-0.30
191006,0.00,-0.06
191007,0.02,-0.03
191008,0.00,-0.08
191009,0.59,0.41
191010,0.49,0.12
191011,0.48,-0.30
191012,0.61,-0.72
191101,4.15,2.39
191102,2.02,0.21
191103,1.99,0.41
191104,0.58,-0.18
191105,0.02,-0.28
191106,0.02,-0.04
191107,0.00,-0.05
191108,0.00,-0.08
191109,0.40,0.22
191110,0.13,-0.24
191111,0.06,-0.72
191112,1.03,-0.30
191201,0.44,-1.32
191202,0.01,-1.80
191203,3.79,2.21
191204,1.52,0.76
191205,0.46,0.16
191206,0.01,-0.05
191207,0.00,-0.05
191208,0.00,-0.08
191209,0.02,-0.16
191210,0.30,-0.07
191211,0.50,-0.28
191212,0.19,-1.14
191301,1.24,-0.52
191302,2.16,0.35
191303,0.85,-0.73
191304,0.34,-0.42
191305,0.40,0.10
191306,0.29,0.23
191307,0.45,0.40
191308,0.34,0.26
191309,0.01,-0.17
191310,0.00,-0.37
191311,1.51,0.73
191312,1.21,-0.12
191401,5.44,3.68
191402,1.74,-0.07
191403,0.40,-1.18
191404,0.56,-0.20
191405,0.41,0.11
191406,0.07,0.01
191407,0.01,-0.04
191408,0.00,-0.08
191409,0.05,-0.13
191410,0.26,-0.11
191411,0.10,-0.68
191412,2.28,0.95
191501,3.01,1.25
191502,4.28,2.47
191503,0.62,-0.96
191504,2.03,1.27
191505,1.05,0.75
191506,0.00,-0.06
191507,0.00,-0.05
191508,0.00,-0.08
191509,0.01,-0.17
191510,0.00,-0.37
191511,0.22,-0.56
191512,1.77,0.44
191601,4.50,2.74
191602,0.68,-1.13
191603,1.36,-0.22
191604,0.39,-0.37
191605,0.18,-0.12
191606,0.00,-0.06
191607,0.05,0.00
191608,0.04,-0.04
191609,0.49,0.31
191610,1.37,1.00
191611,0.28,-0.50
191612,2.29,0.96
191701,2.26,0.50
191702,0.86,-0.95
191703,0.39,-1.19
191704,0.34,-0.42
191705,0.36,0.06
191706,0.00,-0.06
191707,0.04,-0.01
191708,0.07,-0.01
191709,0.01,-0.17
191710,0.01,-0.36
191711,0.38,-0.40
191712,0.06,-1.27
191801,0.52,-1.24
191802,3.27,1.46
191803,3.01,1.43
191804,0.04,-0.72
191805,0.11,-0.19
191806,0.04,-0.02
191807,0.26,0.21
191808,0.04,-0.04
191809,0.74,0.56
191810,0.25,-0.12
191811,1.06,0.28
191812,1.43,0.10
191901,0.27,-1.49
191902,1.53,-0.28
191903,1.74,0.16
191904,0.17,-0.59
