Kings County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,3.26,1.73
189502,0.83,-0.67
189503,0.94,-0.42
189504,0.48,-0.16
189505,0.26,-0.02
189506,0.01,-0.03
189507,0.00,-0.01
189508,0.00,-0.01
189509,0.03,-0.10
189510,0.85,0.49
189511,0.65,-0.01
189512,0.35,-0.74
189601,2.46,0.93
189602,0.13,-1.37
189603,1.89,0.53
189604,1.09,0.45
189605,0.57,0.29
189606,0.00,-0.04
189607,0.09,0.08
189608,0.08,0.07
189609,0.02,-0.11
189610,0.99,0.63
189611,0.84,0.18
189612,1.20,0.11
189701,1.65,0.12
189702,1.85,0.35
189703,1.66,0.30
189704,0.04,-0.60
189705,0.01,-0.27
189706,0.06,0.02
189707,0.01,0.00
189708,0.01,0.00
189709,0.03,-0.10
189710,0.47,0.11
189711,0.14,-0.52
189712,0.24,-0.85
189801,0.54,-0.99
189802,0.64,-0.86
189803,0.43,-0.93
189804,0.05,-0.59
189805,0.67,0.39
189806,0.00,-0.04
189807,0.00,-0.01
189808,0.00,-0.01
189809,0.46,0.33
189810,0.10,-0.26
189811,0.15,-0.51
189812,0.29,-0.80
189901,1.96,0.43
189902,0.07,-1.43
189903,2.69,1.33
189904,0.81,0.17
189905,0.31,0.03
189906,0.23,0.19
189907,0.00,-0.01
189908,0.00,-0.01
189909,0.00,-0.13
189910,0.84,0.48
189911,0.86,0.20
189912,0.94,-0.15
190001,1.08,-0.45
190002,0.05,-1.45
190003,1.03,-0.33
190004,0.92,0.28
190005,1.10,0.82
190006,0.00,-0.04
190007,0.00,-0.01
190008,0.00,-0.01
190009,0.00,-0.13
190010,0.20,-0.16
190011,2.79,2.13
190012,0.09,-1.00
190101,2.79,1.26
190102,2.06,0.56
190103,0.32,-1.04
190104,0.96,0.32
190105,1.43,1.15
190106,0.00,-0.04
190107,0.00,-0.01
190108,0.00,-0.01
190109,0.50,0.37
190110,0.18,-0.18
190111,0.49,-0.17
190112,0.07,-1.02
190201,0.42,-1.11
190202,2.09,0.59
190203,1.38,0.02
190204,0.72,0.08
190205,0.15,-0.13
190206,0.00,-0.04
190207,0.00,-0.01
190208,0.00,-0.01
190209,0.00,-0.13
190210,0.40,0.04
190211,0.89,0.23
190212,0.48,-0.61
190301,1.16,-0.37
190302,0.38,-1.12
190303,1.60,0.24
190304,0.36,-0.28
190305,0.01,-0.27
190306,0.01,-0.03
190307,0.00,-0.01
190308,0.00,-0.01
190309,0.01,-0.12
190310,0.04,-0.32
190311,0.23,-0.43
190312,0.14,-0.95
190401,0.49,-1.04
190402,1.97,0.47
190403,1.73,0.37
190404,0.71,0.07
190405,0.05,-0.23
190406,0.00,-0.04
190407,0.00,-0.01
190408,0.02,0.01
190409,0.81,0.68
190410,0.76,0.40
190411,0.11,-0.55
190412,0.90,-0.19
190501,1.08,-0.45
190502,1.29,-0.21
190503,2.42,1.06
190504,0.27,-0.37
190505,0.92,0.64
190506,0.00,-0.04
190507,0.00,-0.01
190508,0.00,-0.01
190509,0.04,-0.09
190510,0.00,-0.36
190511,0.89,0.23
190512,0.24,-0.85
190601,1.70,0.17
190602,1.90,0.40
190603,3.74,2.38
190604,0.76,0.12
190605,1.53,1.25
190606,0.01,-0.03
190607,0.00,-0.01
190608,0.00,-0.01
190609,0.00,-0.13
190610,0.00,-0.36
190611,0.42,-0.24
190612,2.17,1.08
190701,3.12,1.59
190702,0.82,-0.68
190703,2.74,1.38
190704,0.46,-0.18
190705,0.01,-0.27
190706,0.02,-0.02
190707,0.00,-0.01
190708,0.00,-0.01
190709,0.04,-0.09
190710,1.37,1.01
190711,0.00,-0.66
190712,1.17,0.08
190801,1.44,-0.09
190802,3.02,1.52
190803,0.20,-1.16
190804,0.34,-0.30
190805,0.45,0.17
190806,0.00,-0.04
190807,0.00,-0.01
190808,0.00,-0.01
190809,0.65,0.52
190810,0.15,-0.21
190811,0.64,-0.02
190812,0.26,-0.83
190901,4.01,2.48
190902,2.48,0.98
190903,1.62,0.26
190904,0.01,-0.63
190905,0.00,-0.28
190906,0.01,-0.03
190907,0.00,-0.01
190908,0.00,-0.01
190909,0.00,-0.13
190910,0.36,0.00
190911,1.03,0.37
190912,2.70,1.61
191001,1.11,-0.42
191002,0.16,-1.34
191003,1.38,0.02
191004,0.15,-0.49
191005,0.00,-0.28
191006,0.00,-0.04
191007,0.00,-0.01
191008,0.00,-0.01
191009,0.49,0.36
191010,0.34,-0.02
191011,0.21,-0.45
191012,0.50,-0.59
191101,4.14,2.61
191102,1.31,-0.19
191103,2.44,1.08
191104,0.58,-0.06
191105,0.03,-0.25
191106,0.00,-0.04
191107,0.00,-0.01
191108,0.00,-0.01
191109,0.04,-0.09
191110,0.03,-0.33
191111,0.06,-0.60
191112,0.48,-0.61
191201,0.47,-1.06
191202,0.02,-1.48
191203,2.77,1.41
191204,1.27,0.63
191205,0.34,0.06
191206,0.00,-0.04
191207,0.00,-0.01
191208,0.00,-0.01
191209,0.00,-0.13
191210,0.01,-0.35
191211,0.39,-0.27
191212,0.24,-0.85
191301,1.06,-0.47
191302,1.69,0.19
191303,0.49,-0.87
191304,0.46,-0.18
191305,0.58,0.30
191306,0.13,0.09
191307,0.04,0.03
191308,0.03,0.02
191309,0.02,-0.11
191310,0.00,-0.36
191311,1.36,0.70
191312,1.22,0.13
191401,4.25,2.72
191402,1.10,-0.40
191403,0.25,-1.11
191404,0.21,-0.43
191405,0.18,-0.10
191406,0.12,0.08
191407,0.00,-0.01
191408,0.00,-0.01
191409,0.10,-0.03
191410,0.11,-0.25
191411,0.01,-0.65
191412,1.75,0.66
191501,2.20,0.67
191502,3.63,2.13
191503,0.40,-0.96
191504,1.20,0.56
191505,1.38,1.10
191506,0.00,-0.04
191507,0.00,-0.01
191508,0.00,-0.01
191509,0.00,-0.13
191510,0.00,-0.36
191511,0.10,-0.56
191512,1.34,0.25
191601,4.68,3.15
191602,0.97,-0.53
191603,1.33,-0.03
191604,0.33,-0.31
191605,0.13,-0.15
191606,0.00,-0.04
191607,0.00,-0.01
191608,0.07,0.06
191609,0.53,0.40
191610,1.66,1.30
191611,0.20,-0.46
191612,1.62,0.53
191701,1.32,-0.21
191702,1.37,-0.13
191703,0.36,-1.00
191704,0.31,-0.33
191705,0.33,0.05
191706,0.00,-0.04
191707,0.00,-0.01
191708,0.01,0.00
191709,0.00,-0.13
191710,0.01,-0.35
191711,0.31,-0.35
191712,0.12,-0.97
191801,0.30,-1.23
191802,3.44,1.94
191803,2.99,1.63
191804,0.03,-0.61
191805,0.10,-0.18
191806,0.00,-0.04
191807,0.00,-0.01
191808,0.00,-0.01
191809,0.63,0.50
191810,0.16,-0.20
191811,1.02,0.36
191812,1.14,0.05
191901,0.31,-1.22
191902,1.43,-0.07
191903,1.39,0.03
191904,0.12,-0.52
