Lassen County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,9.44,6.11
189502,1.85,-0.95
189503,1.71,-0.73
189504,1.31,-0.20
189505,2.88,1.39
189506,0.01,-1.03
189507,0.33,0.02
189508,0.42,0.12
189509,2.59,1.96
189510,0.13,-1.16
189511,1.51,-0.74
189512,3.30,0.30
189601,7.58,4.25
189602,0.62,-2.18
189603,4.00,1.56
189604,4.98,3.47
189605,3.85,2.36
189606,0.09,-0.95
189607,0.48,0.17
189608,0.52,0.22
189609,1.39,0.76
189610,0.76,-0.53
189611,5.87,3.62
189612,3.67,0.67
189701,1.72,-1.61
189702,4.81,2.01
189703,3.33,0.89
189704,0.98,-0.53
189705,1.27,-0.22
189706,1.54,0.50
189707,0.07,-0.24
189708,0.11,-0.19
189709,0.50,-0.13
189710,2.20,0.91
189711,3.38,1.13
189712,2.76,-0.24
189801,0.79,-2.54
189802,2.80,0.00
189803,0.51,-1.93
189804,0.53,-0.98
189805,2.01,0.52
189806,2.07,1.03
189807,0.10,-0.21
189808,0.10,-0.20
189809,0.26,-0.37
189810,0.99,-0.30
189811,2.01,-0.24
189812,0.99,-2.01
189901,3.47,0.14
189902,0.74,-2.06
189903,4.44,2.00
189904,0.71,-0.80
189905,2.24,0.75
189906,0.27,-0.77
189907,0.58,0.27
189908,0.86,0.56
189909,0.01,-0.62
189910,5.81,4.52
189911,3.51,1.26
189912,4.08,1.08
190001,2.12,-1.21
190002,1.54,-1.26
190003,2.48,0.04
190004,1.94,0.43
190005,1.23,-0.26
190006,0.73,-0.31
190007,0.46,0.15
190008,0.09,-0.21
190009,0.44,-0.19
190010,3.51,2.22
190011,3.44,1.19
190012,2.50,-0.50
190101,4.04,0.71
190102,3.84,1.04
190103,1.11,-1.33
190104,3.08,1.57
190105,0.89,-0.60
190106,0.33,-0.71
190107,0.00,-0.31
190108,0.87,0.57
190109,1.53,0.90
190110,2.32,1.03
190111,2.20,-0.05
190112,2.50,-0.50
190201,0.92,-2.41
190202,6.01,3.21
190203,2.81,0.37
190204,2.38,0.87
190205,1.17,-0.32
190206,0.08,-0.96
190207,0.89,0.58
190208,0.20,-0.10
190209,0.22,-0.41
190210,1.47,0.18
190211,3.25,1.00
190212,3.28,0.28
190301,4.49,1.16
190302,1.20,-1.60
190303,3.18,0.74
190304,0.49,-1.02
190305,0.87,-0.62
190306,1.09,0.05
190307,0.07,-0.24
190308,0.04,-0.26
190309,0.32,-0.31
190310,0.65,-0.64
190311,6.39,4.14
190312,1.12,-1.88
190401,1.35,-1.98
190402,8.58,5.78
190403,6.08,3.64
190404,1.98,0.47
190405,0.95,-0.54
190406,0.20,-0.84
190407,0.40,0.09
190408,0.42,0.12
190409,1.70,1.07
190410,2.26,0.97
190411,1.14,-1.11
190412,3.27,0.27
190501,1.65,-1.68
190502,2.45,-0.35
190503,3.83,1.39
190504,0.48,-1.03
190505,1.57,0.08
190506,0.63,-0.41
190507,0.04,-0.27
190508,0.73,0.43
190509,0.59,-0.04
190510,0.21,-1.08
190511,1.55,-0.70
190512,1.14,-1.86
190601,8.85,5.52
190602,2.73,-0.07
190603,6.04,3.60
190604,0.77,-0.74
190605,3.78,2.29
190606,1.17,0.13
190607,0.19,-0.12
190608,0.75,0.45
190609,0.51,-0.12
190610,0.17,-1.12
190611,2.15,-0.10
190612,7.95,4.95
190701,4.85,1.52
190702,3.62,0.82
190703,10.34,7.90
190704,1.84,0.33
190705,1.92,0.43
190706,3.31,2.27
190707,0.11,-0.20
190708,0.22,-0.08
190709,0.74,0.11
190710,2.06,0.77
190711,0.74,-1.51
190712,4.38,1.38
190801,2.10,-1.23
190802,1.87,-0.93
190803,1.05,-1.39
190804,0.32,-1.19
190805,3.16,1.67
190806,0.88,-0.16
190807,0.20,-0.11
190808,0.19,-0.11
190809,1.03,0.40
190810,2.18,0.89
190811,1.62,-0.63
190812,1.60,-1.40
190901,12.30,8.97
190902,4.73,1.93
190903,2.67,0.23
190904,0.44,-1.07
190905,0.81,-0.68
190906,0.76,-0.28
190907,0.05,-0.26
190908,0.29,-0.01
190909,0.68,0.05
190910,1.95,0.66
190911,4.20,1.95
190912,4.04,1.04
191001,4.27,0.94
191002,1.95,-0.85
191003,1.49,-0.95
191004,0.34,-1.17
191005,0.22,-1.27
191006,0.20,-0.84
191007,0.53,0.22
191008,0.00,-0.30
191009,1.29,0.66
191010,1.19,-0.10
191011,2.87,0.62
191012,3.92,0.92
191101,12.11,8.78
191102,1.33,-1.47
191103,4.41,1.97
191104,2.34,0.83
191105,1.05,-0.44
191106,0.79,-0.25
191107,0.67,0.36
191108,0.00,-0.30
191109,0.41,-0.22
191110,0.48,-0.81
191111,0.96,-1.29
191112,1.35,-1.65
191201,2.03,-1.30
191202,0.61,-2.19
191203,2.43,-0.01
191204,2.91,1.40
191205,2.03,0.54
191206,1.39,0.35
191207,0.18,-0.13
191208,0.28,-0.02
191209,1.36,0.73
191210,0.68,-0.61
191211,1.92,-0.33
191212,1.84,-1.16
191301,3.63,0.30
191302,0.71,-2.09
191303,1.76,-0.68
191304,1.39,-0.12
191305,0.84,-0.65
191306,3.07,2.03
191307,1.60,1.29
191308,0.72,0.42
191309,0.08,-0.55
191310,0.16,-1.13
191311,3.14,0.89
191312,7.48,4.48
191401,9.32,5.99
191402,3.39,0.59
191403,0.41,-2.03
191404,1.99,0.48
191405,0.84,-0.65
191406,1.00,-0.04
191407,0.05,-0.26
191408,0.01,-0.29
191409,0.11,-0.52
191410,1.85,0.56
191411,0.62,-1.63
191412,2.19,-0.81
191501,2.98,-0.35
191502,3.59,0.79
191503,1.43,-1.01
191504,1.36,-0.15
191505,3.67,2.18
191506,0.05,-0.99
191507,0.43,0.12
191508,0.14,-0.16
191509,0.08,-0.55
191510,0.20,-1.09
191511,1.76,-0.49
191512,2.59,-0.41
191601,9.23,5.90
191602,1.92,-0.88
191603,2.02,-0.42
191604,0.85,-0.66
191605,2.02,0.53
191606,0.27,-0.77
191607,0.38,0.07
191608,0.17,-0.13
191609,0.22,-0.41
191610,1.70,0.41
191611,1.32,-0.93
191612,2.74,-0.26
191701,1.67,-1.66
191702,4.44,1.64
191703,1.68,-0.76
191704,1.47,-0.04
191705,1.53,0.04
191706,0.18,-0.86
191707,0.15,-0.16
191708,0.29,-0.01
191709,0.22,-0.41
191710,0.00,-1.29
191711,1.68,-0.57
191712,0.96,-2.04
191801,0.86,-2.47
191802,4.24,1.44
191803,5.18,2.74
191804,0.60,-0.91
191805,0.97,-0.52
191806,0.20,-0.84
191807,0.02,-0.29
191808,0.05,-0.25
191809,2.80,2.17
191810,2.08,0.79
191811,1.22,-1.03
191812,0.92,-2.08
191901,1.46,-1.87
191902,6.08,3.28
191903,2.47,0.03
191904,0.99,-0.52
191905,0.18,-1.31
191906,0.00,-1.04
