Madera County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,8.60,4.16
189502,3.91,-0.10
189503,2.61,-1.23
189504,2.05,0.02
189505,0.85,-0.13
189506,0.06,-0.22
189507,0.04,-0.05
189508,0.05,-0.06
189509,0.41,0.00
189510,0.48,-0.60
189511,2.15,-0.19
189512,2.59,-0.92
189601,11.00,6.56
189602,0.09,-3.92
189603,4.91,1.07
189604,5.18,3.15
189605,1.16,0.18
189606,0.12,-0.16
189607,0.32,0.23
189608,0.41,0.30
189609,0.44,0.03
189610,2.06,0.98
189611,2.91,0.57
189612,2.41,-1.10
189701,3.37,-1.07
189702,7.92,3.91
189703,5.85,2.01
189704,0.23,-1.80
189705,0.36,-0.62
189706,0.28,0.00
189707,0.16,0.07
189708,0.10,-0.01
189709,0.11,-0.30
189710,2.69,1.61
189711,1.21,-1.13
189712,4.17,0.66
189801,1.62,-2.82
189802,1.91,-2.10
189803,2.06,-1.78
189804,0.46,-1.57
189805,1.73,0.75
189806,0.03,-0.25
189807,0.03,-0.06
189808,0.08,-0.03
189809,0.99,0.58
189810,0.75,-0.33
189811,1.23,-1.11
189812,1.30,-2.21
189901,5.91,1.47
189902,0.34,-3.67
189903,6.07,2.23
189904,1.02,-1.01
189905,0.99,0.01
189906,0.82,0.54
189907,0.03,-0.06
189908,0.20,0.09
189909,0.00,-0.41
189910,3.94,2.86
189911,2.53,0.19
189912,3.40,-0.11
190001,2.28,-2.16
190002,0.31,-3.70
190003,2.10,-1.74
190004,3.15,1.12
190005,2.04,1.06
190006,0.13,-0.15
190007,0.02,-0.07
190008,0.01,-0.10
190009,0.45,0.04
190010,1.65,0.57
190011,6.62,4.28
190012,1.19,-2.32
190101,11.33,6.89
190102,6.32,2.31
190103,1.37,-2.47
190104,3.28,1.25
190105,2.22,1.24
190106,0.04,-0.24
190107,0.04,-0.05
190108,0.16,0.05
190109,1.12,0.71
190110,1.41,0.33
190111,2.61,0.27
190112,0.81,-2.70
190201,0.86,-3.58
190202,5.72,1.71
190203,4.08,0.24
190204,1.55,-0.48
190205,0.64,-0.34
190206,0.00,-0.28
190207,0.00,-0.09
190208,0.04,-0.07
190209,0.00,-0.41
190210,1.02,-0.06
190211,3.51,1.17
190212,1.37,-2.14
190301,4.74,0.30
190302,1.64,-2.37
190303,5.95,2.11
190304,0.88,-1.15
190305,0.21,-0.77
190306,0.07,-0.21
190307,0.00,-0.09
190308,0.00,-0.11
190309,0.07,-0.34
190310,0.14,-0.94
190311,1.68,-0.66
190312,0.55,-2.96
190401,2.09,-2.35
190402,4.80,0.79
190403,6.26,2.42
190404,2.64,0.61
190405,0.32,-0.66
190406,0.00,-0.28
190407,0.04,-0.05
190408,0.28,0.17
190409,1.94,1.53
190410,2.97,1.89
190411,0.27,-2.07
190412,2.26,-1.25
190501,2.48,-1.96
190502,3.56,-0.45
190503,5.90,2.06
190504,1.15,-0.88
190505,2.89,1.91
190506,0.00,-0.28
190507,0.00,-0.09
190508,0.03,-0.08
190509,0.12,-0.29
190510,0.00,-1.08
190511,2.37,0.03
190512,0.95,-2.56
190601,6.91,2.47
190602,4.21,0.20
190603,11.23,7.39
190604,4.04,2.01
190605,4.65,3.67
190606,0.15,-0.13
190607,0.01,-0.08
190608,0.29,0.18
190609,0.02,-0.39
190610,0.02,-1.06
190611,1.40,-0.94
190612,7.18,3.67
190701,6.94,2.50
190702,2.74,-1.27
190703,11.43,7.59
190704,1.15,-0.88
190705,0.74,-0.24
190706,0.92,0.64
190707,0.00,-0.09
190708,0.34,0.23
190709,0.00,-0.41
190710,1.19,0.11
190711,0.04,-2.30
190712,4.93,1.42
190801,2.53,-1.91
190802,2.80,-1.21
190803,0.84,-3.00
190804,0.74,-1.29
190805,1.58,0.60
190806,0.05,-0.23
190807,0.03,-0.06
190808,0.03,-0.08
190809,0.64,0.23
190810,0.90,-0.18
190811,1.46,-0.88
190812,1.13,-2.38
190901,14.84,10.40
190902,6.02,2.01
190903,3.28,-0.56
190904,0.12,-1.91
190905,0.01,-0.97
190906,0.48,0.20
190907,0.00,-0.09
190908,0.00,-0.11
190909,0.10,-0.31
190910,1.41,0.33
190911,4.62,2.28
190912,8.42,4.91
191001,4.55,0.11
191002,1.21,-2.80
191003,2.45,-1.39
191004,0.93,-1.10
191005,0.15,-0.83
191006,0.00,-0.28
191007,0.27,0.18
191008,0.00,-0.11
191009,1.20,0.79
191010,1.32,0.24
191011,0.99,-1.35
191012,1.05,-2.46
191101,15.18,10.74
191102,3.19,-0.82
191103,8.69,4.85
191104,2.23,0.20
191105,0.63,-0.35
191106,0.02,-0.26
191107,0.05,-0.04
191108,0.00,-0.11
191109,0.29,-0.12
191110,0.21,-0.87
191111,0.98,-1.36
191112,1.59,-1.92
191201,2.32,-2.12
191202,0.10,-3.91
191203,5.00,1.16
191204,3.39,1.36
191205,0.83,-0.15
191206,0.09,-0.19
191207,0.11,0.02
191208,0.00,-0.11
191209,0.83,0.42
191210,0.45,-0.63
191211,1.44,-0.90
191212,0.84,-2.67
191301,3.94,-0.50
191302,1.70,-2.31
191303,2.03,-1.81
191304,1.66,-0.37
191305,1.25,0.27
191306,0.96,0.68
191307,0.53,0.44
191308,0.49,0.38
191309,0.02,-0.39
191310,0.03,-1.05
191311,2.87,0.53
191312,4.82,1.31
191401,13.24,8.80
191402,3.10,-0.91
191403,0.76,-3.08
191404,2.66,0.63
191405,0.43,-0.55
191406,0.43,0.15
191407,0.04,-0.05
191408,0.01,-0.10
191409,0.44,0.03
191410,0.93,-0.15
191411,0.28,-2.06
191412,3.25,-0.26
191501,5.31,0.87
191502,7.22,3.21
191503,1.70,-2.14
191504,2.03,0.00
191505,4.11,3.13
191506,0.00,-0.28
191507,0.02,-0.07
191508,0.01,-0.10
191509,0.04,-0.37
191510,0.00,-1.08
191511,0.79,-1.55
191512,3.84,0.33
191601,12.81,8.37
191602,3.77,-0.24
191603,4.28,0.44
191604,0.71,-1.32
191605,0.34,-0.64
191606,0.01,-0.27
191607,0.01,-0.08
191608,0.43,0.32
191609,0.56,0.15
191610,2.48,1.40
191611,1.14,-1.20
191612,4.74,1.23
191701,1.42,-3.02
191702,7.04,3.03
191703,1.63,-2.21
191704,0.73,-1.30
191705,0.84,-0.14
191706,0.00,-0.28
191707,0.05,-0.04
191708,0.06,-0.05
191709,0.01,-0.40
191710,0.00,-1.08
191711,0.83,-1.51
191712,0.64,-2.87
191801,0.54,-3.90
191802,7.28,3.27
191803,7.76,3.92
191804,0.22,-1.81
191805,0.78,-0.20
191806,0.07,-0.21
191807,0.12,0.03
191808,0.24,0.13
191809,1.50,1.09
191810,0.87,-0.21
191811,3.46,1.12
191812,2.04,-1.47
191901,1.15,-3.29
191902,5.71,1.70
191903,3.72,-0.12
191904,0.15,-1.88
191905,0.28,-0.70
