Marin County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,17.64,9.85
189502,3.41,-3.14
189503,3.80,-1.03
189504,1.94,-0.29
189505,1.28,0.38
189506,0.00,-0.25
189507,0.08,0.07
189508,0.02,-0.09
189509,0.96,0.66
189510,0.31,-1.43
189511,3.06,-1.33
189512,3.84,-2.54
189601,16.73,8.94
189602,0.24,-6.31
189603,4.59,-0.24
189604,7.53,5.30
189605,1.34,0.44
189606,0.00,-0.25
189607,0.02,0.01
189608,0.71,0.60
189609,0.57,0.27
189610,1.94,0.20
189611,7.82,3.43
189612,6.84,0.46
189701,5.15,-2.64
189702,8.49,1.94
189703,7.81,2.98
189704,0.51,-1.72
189705,0.31,-0.59
189706,0.73,0.48
189707,0.00,-0.01
189708,0.03,-0.08
189709,0.33,0.03
189710,3.31,1.57
189711,2.28,-2.11
189712,3.51,-2.87
189801,1.96,-5.83
189802,7.00,0.45
189803,0.47,-4.36
189804,0.40,-1.83
189805,2.77,1.87
189806,0.37,0.12
189807,0.00,-0.01
189808,0.04,-0.07
189809,0.81,0.51
189810,1.82,0.08
189811,1.67,-2.72
189812,1.99,-4.39
189901,11.53,3.74
189902,0.54,-6.01
189903,13.52,8.69
189904,0.87,-1.36
189905,1.95,1.05
189906,0.18,-0.07
189907,0.00,-0.01
189908,0.11,0.00
189909,0.56,0.26
189910,6.47,4.73
189911,8.90,4.51
189912,6.02,-0.36
190001,6.36,-1.43
190002,1.76,-4.79
190003,4.38,-0.45
190004,3.06,0.83
190005,1.15,0.25
190006,0.15,-0.10
190007,0.01,0.00
190008,0.03,-0.08
190009,0.11,-0.19
190010,4.14,2.40
190011,7.90,3.51
190012,3.67,-2.71
190101,7.92,0.13
190102,8.75,2.20
190103,1.20,-3.63
190104,4.24,2.01
190105,1.18,0.28
190106,0.00,-0.25
190107,0.00,-0.01
190108,0.00,-0.11
190109,0.95,0.65
190110,1.47,-0.27
190111,6.16,1.77
190112,2.26,-4.12
190201,2.59,-5.20
190202,19.77,13.22
190203,5.36,0.53
190204,3.51,1.28
190205,1.56,0.66
190206,0.00,-0.25
190207,0.00,-0.01
190208,0.03,-0.08
190209,0.00,-0.30
190210,5.34,3.60
190211,6.22,1.83
190212,4.51,-1.87
190301,7.76,-0.03
190302,3.18,-3.37
190303,9.84,5.01
190304,0.51,-1.72
190305,0.01,-0.89
190306,0.01,-0.24
190307,0.00,-0.01
190308,0.00,-0.11
190309,0.00,-0.30
190310,1.00,-0.74
190311,9.85,5.46
190312,3.39,-2.99
190401,1.83,-5.96
190402,14.62,8.07
190403,16.37,11.54
190404,2.39,0.16
190405,0.16,-0.74
190406,0.02,-0.23
190407,0.02,0.01
190408,0.24,0.13
190409,1.42,1.12
190410,5.41,3.67
190411,3.14,-1.25
190412,4.68,-1.70
190501,8.07,0.28
190502,5.26,-1.29
190503,7.14,2.31
190504,1.51,-0.72
190505,3.07,2.17
190506,0.01,-0.24
190507,0.00,-0.01
190508,0.00,-0.11
190509,0.04,-0.26
190510,0.02,-1.72
190511,2.56,-1.83
190512,2.72,-3.66
190601,12.51,4.72
190602,7.88,1.33
190603,10.63,5.80
190604,0.92,-1.31
190605,4.19,3.29
190606,1.08,0.83
190607,0.00,-0.01
190608,0.03,-0.08
190609,0.17,-0.13
190610,0.00,-1.74
190611,2.23,-2.16
190612,9.73,3.35
190701,9.32,1.53
190702,5.56,-0.99
190703,15.38,10.55
190704,0.99,-1.24
190705,0.27,-0.63
190706,1.11,0.86
190707,0.00,-0.01
190708,0.00,-0.11
190709,0.17,-0.13
190710,1.34,-0.40
190711,0.24,-4.15
190712,8.76,2.38
190801,6.78,-1.01
190802,6.17,-0.38
190803,1.65,-3.18
190804,0.35,-1.88
190805,1.08,0.18
190806,0.16,-0.09
190807,0.01,0.00
190808,0.00,-0.11
190809,0.05,-0.25
190810,1.16,-0.58
190811,3.18,-1.21
190812,4.37,-2.01
190901,24.81,17.02
190902,12.24,5.69
190903,4.36,-0.47
190904,0.00,-2.23
190905,0.00,-0.90
190906,0.05,-0.20
190907,0.00,-0.01
190908,0.00,-0.11
190909,1.18,0.88
190910,2.15,0.41
190911,3.86,-0.53
190912,9.98,3.60
191001,5.69,-2.10
191002,3.80,-2.75
191003,5.12,0.29
191004,0.79,-1.44
191005,0.06,-0.84
191006,0.03,-0.22
191007,0.00,-0.01
191008,0.00,-0.11
191009,0.32,0.02
191010,0.90,-0.84
191011,1.23,-3.16
191012,2.25,-4.13
191101,19.02,11.23
191102,4.39,-2.16
191103,7.21,2.38
191104,3.49,1.26
191105,0.67,-0.23
191106,0.07,-0.18
191107,0.00,-0.01
191108,0.00,-0.11
191109,0.02,-0.28
191110,0.43,-1.31
191111,1.27,-3.12
191112,3.03,-3.35
191201,4.86,-2.93
191202,1.17,-5.38
191203,5.61,0.78
191204,2.36,0.13
191205,2.38,1.48
191206,1.18,0.93
191207,0.00,-0.01
191208,0.00,-0.11
191209,1.40,1.10
191210,0.99,-0.75
191211,5.75,1.36
191212,2.09,-4.29
191301,7.95,0.16
191302,0.76,-5.79
191303,2.86,-1.97
191304,1.28,-0.95
191305,1.03,0.13
191306,0.09,-0.16
191307,0.07,0.06
191308,0.03,-0.08
191309,0.00,-0.30
191310,0.07,-1.67
191311,9.30,4.91
191312,13.89,7.51
191401,19.24,11.45
191402,7.16,0.61
191403,1.44,-3.39
191404,1.88,-0.35
191405,0.64,-0.26
191406,0.27,0.02
191407,0.00,-0.01
191408,0.00,-0.11
191409,0.07,-0.23
191410,2.01,0.27
191411,0.81,-3.58
191412,9.03,2.65
191501,12.20,4.41
191502,15.25,8.70
191503,4.42,-0.41
191504,0.82,-1.41
191505,4.94,4.04
191506,0.00,-0.25
191507,0.02,0.01
191508,0.02,-0.09
191509,0.00,-0.30
191510,0.17,-1.57
191511,1.34,-3.05
191512,9.97,3.59
191601,21.90,14.11
191602,4.97,-1.58
191603,2.53,-2.30
191604,0.07,-2.16
191605,0.22,-0.68
191606,0.21,-0.04
191607,0.08,0.07
191608,0.84,0.73
191609,0.95,0.65
191610,0.81,-0.93
191611,2.40,-1.99
191612,8.16,1.78
191701,3.06,-4.73
191702,8.34,1.79
191703,1.72,-3.11
191704,1.29,-0.94
191705,0.26,-0.64
191706,0.00,-0.25
191707,0.00,-0.01
191708,0.00,-0.11
191709,0.23,-0.07
191710,0.01,-1.73
191711,1.11,-3.28
191712,2.84,-3.54
191801,1.76,-6.03
191802,7.39,0.84
191803,4.17,-0.66
191804,0.96,-1.27
191805,0.02,-0.88
191806,0.07,-0.18
191807,0.01,0.00
191808,0.00,-0.11
191809,1.40,1.10
191810,0.75,-0.99
191811,5.85,1.46
191812,3.24,-3.14
191901,4.90,-2.89
191902,14.00,7.45
191903,4.15,-0.68
191904,0.36,-1.87
191905,0.02,-0.88
