Mariposa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,12.10,5.73
189502,5.46,-0.33
189503,3.59,-1.73
189504,2.88,0.15
189505,1.17,-0.14
189506,0.08,-0.32
189507,0.09,0.00
189508,0.04,-0.05
189509,0.63,0.11
189510,0.59,-0.97
189511,3.00,-0.43
189512,3.52,-1.67
189601,14.93,8.56
189602,0.16,-5.63
189603,6.57,1.25
189604,7.67,4.94
189605,1.60,0.29
189606,0.14,-0.26
189607,0.37,0.28
189608,0.34,0.25
189609,0.51,-0.01
189610,2.92,1.36
189611,4.72,1.29
189612,3.36,-1.83
189701,4.82,-1.55
189702,10.79,5.00
189703,7.81,2.49
189704,0.34,-2.39
189705,0.46,-0.85
189706,0.42,0.02
189707,0.16,0.07
189708,0.07,-0.02
189709,0.15,-0.37
189710,3.65,2.09
189711,1.92,-1.51
189712,5.41,0.22
189801,2.06,-4.31
189802,2.92,-2.87
189803,2.67,-2.65
189804,0.68,-2.05
189805,2.22,0.91
189806,0.11,-0.29
189807,0.03,-0.06
189808,0.06,-0.03
189809,1.16,0.64
189810,1.23,-0.33
189811,1.81,-1.62
189812,1.97,-3.22
189901,7.75,1.38
189902,0.49,-5.30
189903,9.18,3.86
189904,1.28,-1.45
189905,1.29,-0.02
189906,1.06,0.66
189907,0.03,-0.06
189908,0.20,0.11
189909,0.00,-0.52
189910,6.73,5.17
189911,4.22,0.79
189912,5.02,-0.17
190001,3.06,-3.31
190002,0.57,-5.22
190003,2.78,-2.54
190004,4.42,1.69
190005,2.43,1.12
190006,0.20,-0.20
190007,0.05,-0.04
190008,0.01,-0.08
190009,0.55,0.03
190010,3.29,1.73
190011,9.21,5.78
190012,1.99,-3.20
190101,15.17,8.80
190102,9.59,3.80
190103,1.99,-3.33
190104,4.54,1.81
190105,1.91,0.60
190106,0.05,-0.35
190107,0.04,-0.05
190108,0.11,0.02
190109,1.34,0.82
190110,2.13,0.57
190111,4.21,0.78
190112,1.42,-3.77
190201,1.19,-5.18
190202,7.91,2.12
190203,5.39,0.07
190204,1.86,-0.87
190205,1.02,-0.29
190206,0.01,-0.39
190207,0.00,-0.09
190208,0.03,-0.06
190209,0.00,-0.52
190210,1.49,-0.07
190211,5.25,1.82
190212,1.89,-3.30
190301,6.76,0.39
190302,2.34,-3.45
190303,9.45,4.13
190304,0.96,-1.77
190305,0.25,-1.06
190306,0.06,-0.34
190307,0.00,-0.09
190308,0.00,-0.09
190309,0.08,-0.44
190310,0.05,-1.51
190311,3.54,0.11
190312,0.84,-4.35
190401,2.16,-4.21
190402,6.65,0.86
190403,8.13,2.81
190404,3.31,0.58
190405,0.28,-1.03
190406,0.00,-0.40
190407,0.04,-0.05
190408,0.20,0.11
190409,2.51,1.99
190410,4.45,2.89
190411,0.46,-2.97
190412,3.15,-2.04
190501,4.00,-2.37
190502,4.98,-0.81
190503,7.66,2.34
190504,1.59,-1.14
190505,4.25,2.94
190506,0.00,-0.40
190507,0.00,-0.09
190508,0.00,-0.09
190509,0.04,-0.48
190510,0.00,-1.56
190511,3.31,-0.12
190512,1.50,-3.69
190601,8.07,1.70
190602,5.47,-0.32
190603,15.55,10.23
190604,5.12,2.39
190605,5.93,4.62
190606,0.27,-0.13
190607,0.00,-0.09
190608,0.30,0.21
190609,0.03,-0.49
190610,0.01,-1.55
190611,1.73,-1.70
190612,10.23,5.04
190701,9.95,3.58
190702,3.94,-1.85
190703,16.70,11.38
190704,1.58,-1.15
190705,0.85,-0.46
190706,1.56,1.16
190707,0.02,-0.07
190708,0.30,0.21
190709,0.00,-0.52
190710,1.61,0.05
190711,0.10,-3.33
190712,7.04,1.85
190801,3.37,-3.00
190802,2.94,-2.85
190803,1.17,-4.15
190804,0.82,-1.91
190805,2.09,0.78
190806,0.12,-0.28
190807,0.01,-0.08
190808,0.02,-0.07
190809,0.89,0.37
190810,1.66,0.10
190811,2.04,-1.39
190812,1.80,-3.39
190901,20.96,14.59
190902,8.62,2.83
190903,3.89,-1.43
190904,0.18,-2.55
190905,0.04,-1.27
190906,0.53,0.13
190907,0.00,-0.09
190908,0.00,-0.09
190909,0.21,-0.31
190910,2.06,0.50
190911,6.22,2.79
190912,11.20,6.01
191001,6.11,-0.26
191002,2.13,-3.66
191003,3.59,-1.73
191004,1.42,-1.31
191005,0.23,-1.08
191006,0.00,-0.40
191007,0.27,0.18
191008,0.00,-0.09
191009,1.49,0.97
191010,1.74,0.18
191011,1.46,-1.97
191012,1.41,-3.78
191101,22.55,16.18
191102,4.06,-1.73
191103,11.36,6.04
191104,2.85,0.12
191105,0.84,-0.47
191106,0.05,-0.35
191107,0.07,-0.02
191108,0.00,-0.09
191109,0.36,-0.16
191110,0.36,-1.20
191111,1.58,-1.85
191112,2.26,-2.93
191201,3.40,-2.97
191202,0.11,-5.68
191203,6.26,0.94
191204,3.72,0.99
191205,1.35,0.04
191206,0.22,-0.18
191207,0.10,0.01
191208,0.00,-0.09
191209,1.28,0.76
191210,0.64,-0.92
191211,2.17,-1.26
191212,1.19,-4.00
191301,5.39,-0.98
191302,1.59,-4.20
191303,3.04,-2.28
191304,1.74,-0.99
191305,1.72,0.41
191306,1.32,0.92
191307,0.52,0.43
191308,0.31,0.22
191309,0.03,-0.49
191310,0.02,-1.54
191311,4.10,0.67
191312,6.99,1.80
191401,18.36,11.99
191402,4.39,-1.40
191403,0.88,-4.44
191404,3.19,0.46
191405,0.79,-0.52
191406,0.79,0.39
191407,0.02,-0.07
191408,0.01,-0.08
191409,0.42,-0.10
191410,1.66,0.10
191411,0.39,-3.04
191412,4.96,-0.23
191501,7.69,1.32
191502,10.39,4.60
191503,2.27,-3.05
191504,2.05,-0.68
191505,5.79,4.48
191506,0.00,-0.40
191507,0.01,-0.08
191508,0.01,-0.08
191509,0.07,-0.45
191510,0.00,-1.56
191511,1.08,-2.35
191512,4.83,-0.36
191601,16.95,10.58
191602,5.09,-0.70
191603,6.10,0.78
191604,0.81,-1.92
191605,0.39,-0.92
191606,0.00,-0.40
191607,0.01,-0.08
191608,0.37,0.28
191609,0.66,0.14
191610,3.54,1.98
191611,1.93,-1.50
191612,7.43,2.24
191701,2.18,-4.19
191702,10.42,4.63
191703,2.09,-3.23
191704,1.06,-1.67
191705,1.16,-0.15
191706,0.00,-0.40
191707,0.07,-0.02
191708,0.04,-0.05
191709,0.01,-0.51
191710,0.00,-1.56
191711,1.11,-2.32
191712,1.28,-3.91
191801,0.85,-5.52
191802,10.53,4.74
191803,11.19,5.87
191804,0.34,-2.39
191805,0.93,-0.38
191806,0.06,-0.34
191807,0.09,0.00
191808,0.12,0.03
191809,1.64,1.12
191810,1.05,-0.51
191811,4.63,1.20
191812,2.52,-2.67
191901,1.57,-4.80
191902,8.40,2.61
191903,4.80,-0.52
191904,0.19,-2.54
