Mendocino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,24.72,14.25
189502,6.15,-2.67
189503,6.54,-0.49
189504,2.05,-1.38
189505,2.74,1.17
189506,0.02,-0.48
189507,0.25,0.21
189508,0.03,-0.10
189509,2.35,1.69
189510,0.13,-2.75
189511,3.67,-3.01
189512,6.64,-2.76
189601,21.60,11.13
189602,1.30,-7.52
189603,5.66,-1.37
189604,10.83,7.40
189605,4.70,3.13
189606,0.07,-0.43
189607,0.04,0.00
189608,0.32,0.19
189609,0.59,-0.07
189610,1.86,-1.02
189611,9.72,3.04
189612,13.27,3.87
189701,5.72,-4.75
189702,12.58,3.76
189703,11.49,4.46
189704,1.40,-2.03
189705,0.33,-1.24
189706,1.89,1.39
189707,0.00,-0.04
189708,0.08,-0.05
189709,0.42,-0.24
189710,3.48,0.60
189711,4.26,-2.42
189712,5.44,-3.96
189801,1.96,-8.51
189802,12.17,3.35
189803,0.82,-6.21
189804,1.34,-2.09
189805,3.54,1.97
189806,0.80,0.30
189807,0.00,-0.04
189808,0.00,-0.13
189809,1.64,0.98
189810,1.65,-1.23
189811,2.91,-3.77
189812,2.90,-6.50
189901,14.81,4.34
189902,0.59,-8.23
189903,12.75,5.72
189904,1.11,-2.32
189905,2.67,1.10
189906,0.37,-0.13
189907,0.00,-0.04
189908,0.07,-0.06
189909,1.15,0.49
189910,5.89,3.01
189911,13.73,7.05
189912,10.11,0.71
190001,7.82,-2.65
190002,4.12,-4.70
190003,5.99,-1.04
190004,4.26,0.83
190005,1.78,0.21
190006,0.73,0.23
190007,0.00,-0.04
190008,0.07,-0.06
190009,0.30,-0.36
190010,7.24,4.36
190011,7.57,0.89
190012,6.01,-3.39
190101,12.03,1.56
190102,7.69,-1.13
190103,2.13,-4.90
190104,4.85,1.42
190105,1.07,-0.50
190106,0.00,-0.50
190107,0.00,-0.04
190108,0.02,-0.11
190109,2.10,1.44
190110,2.35,-0.53
190111,9.14,2.46
190112,3.78,-5.62
190201,3.43,-7.04
190202,24.11,15.29
190203,6.45,-0.58
190204,7.01,3.58
190205,2.59,1.02
190206,0.03,-0.47
190207,0.00,-0.04
190208,0.02,-0.11
190209,0.00,-0.66
190210,6.66,3.78
190211,13.49,6.81
190212,8.83,-0.57
190301,11.70,1.23
190302,3.83,-4.99
190303,10.78,3.75
190304,0.46,-2.97
190305,0.18,-1.39
190306,0.03,-0.47
190307,0.00,-0.04
190308,0.00,-0.13
190309,0.00,-0.66
190310,1.86,-1.02
190311,18.50,11.82
190312,6.84,-2.56
190401,3.89,-6.58
190402,24.25,15.43
190403,19.98,12.95
190404,5.16,1.73
190405,0.22,-1.35
190406,0.20,-0.30
190407,0.19,0.15
190408,0.03,-0.10
190409,2.98,2.32
190410,7.08,4.20
190411,4.53,-2.15
190412,10.19,0.79
190501,12.74,2.27
190502,4.33,-4.49
190503,11.79,4.76
190504,2.21,-1.22
190505,3.31,1.74
190506,0.18,-0.32
190507,0.00,-0.04
190508,0.00,-0.13
190509,0.15,-0.51
190510,0.47,-2.41
190511,4.19,-2.49
190512,4.31,-5.09
190601,16.37,5.90
190602,8.72,-0.10
190603,14.09,7.06
190604,2.66,-0.77
190605,4.59,3.02
190606,1.42,0.92
190607,0.00,-0.04
190608,0.00,-0.13
190609,0.31,-0.35
190610,0.10,-2.78
190611,2.73,-3.95
190612,13.47,4.07
190701,10.06,-0.41
190702,9.47,0.65
190703,20.25,13.22
190704,2.60,-0.83
190705,1.24,-0.33
190706,1.63,1.13
190707,0.00,-0.04
190708,0.04,-0.09
190709,0.12,-0.54
190710,1.38,-1.50
190711,0.71,-5.97
190712,14.17,4.77
190801,8.92,-1.55
190802,7.60,-1.22
190803,2.09,-4.94
190804,0.90,-2.53
190805,2.20,0.63
190806,0.16,-0.34
190807,0.00,-0.04
190808,0.00,-0.13
190809,0.30,-0.36
190810,2.18,-0.70
190811,5.12,-1.56
190812,5.97,-3.43
190901,35.39,24.92
190902,16.16,7.34
190903,6.00,-1.03
190904,0.01,-3.42
190905,0.19,-1.38
190906,0.19,-0.31
190907,0.03,-0.01
190908,0.00,-0.13
190909,1.58,0.92
190910,3.64,0.76
190911,9.45,2.77
190912,8.00,-1.40
191001,8.75,-1.72
191002,6.93,-1.89
191003,5.46,-1.57
191004,1.95,-1.48
191005,0.51,-1.06
191006,0.24,-0.26
191007,0.00,-0.04
191008,0.00,-0.13
191009,0.11,-0.55
191010,1.26,-1.62
191011,4.96,-1.72
191012,3.01,-6.39
191101,18.56,8.09
191102,5.52,-3.30
191103,8.12,1.09
191104,3.53,0.10
191105,1.35,-0.22
191106,0.52,0.02
191107,0.00,-0.04
191108,0.00,-0.13
191109,0.27,-0.39
191110,1.70,-1.18
191111,1.41,-5.27
191112,5.22,-4.18
191201,6.15,-4.32
191202,2.55,-6.27
191203,8.05,1.02
191204,5.08,1.65
191205,2.23,0.66
191206,0.84,0.34
191207,0.00,-0.04
191208,0.00,-0.13
191209,3.02,2.36
191210,2.64,-0.24
191211,8.82,2.14
191212,5.76,-3.64
191301,10.86,0.39
191302,0.61,-8.21
191303,3.69,-3.34
191304,3.09,-0.34
191305,1.77,0.20
191306,0.37,-0.13
191307,0.12,0.08
191308,0.03,-0.10
191309,0.13,-0.53
191310,0.26,-2.62
191311,11.67,4.99
191312,17.92,8.52
191401,23.79,13.32
191402,8.83,0.01
191403,3.17,-3.86
191404,3.86,0.43
191405,0.95,-0.62
191406,1.30,0.80
191407,0.00,-0.04
191408,0.00,-0.13
191409,0.21,-0.45
191410,3.45,0.57
191411,1.98,-4.70
191412,11.17,1.77
191501,17.50,7.03
191502,22.78,13.96
191503,6.10,-0.93
191504,1.38,-2.05
191505,4.98,3.41
191506,0.00,-0.50
191507,0.02,-0.02
191508,0.00,-0.13
191509,0.00,-0.66
191510,0.40,-2.48
191511,4.74,-1.94
191512,12.10,2.70
191601,19.95,9.48
191602,5.08,-3.74
191603,4.56,-2.47
191604,0.56,-2.87
191605,0.69,-0.88
191606,1.00,0.50
191607,0.08,0.04
191608,0.44,0.31
191609,0.30,-0.36
191610,0.75,-2.13
191611,4.34,-2.34
191612,9.10,-0.30
191701,4.97,-5.50
191702,10.53,1.71
191703,2.61,-4.42
191704,3.29,-0.14
191705,0.70,-0.87
191706,0.00,-0.50
191707,0.00,-0.04
191708,0.01,-0.12
191709,0.61,-0.05
191710,0.00,-2.88
191711,4.03,-2.65
191712,4.97,-4.43
191801,2.61,-7.86
191802,9.78,0.96
191803,6.46,-0.57
191804,2.01,-1.42
191805,0.10,-1.47
191806,0.06,-0.44
191807,0.01,-0.03
191808,0.05,-0.08
191809,2.70,2.04
191810,1.20,-1.68
191811,5.95,-0.73
191812,4.29,-5.11
191901,11.12,0.65
191902,14.51,5.69
191903,6.61,-0.42
191904,2.36,-1.07
