Merced County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,4.48,2.22
189502,1.53,-0.57
189503,1.61,-0.28
189504,1.05,0.13
189505,0.61,0.22
189506,0.00,-0.07
189507,0.01,0.01
189508,0.00,-0.01
189509,0.19,0.03
189510,0.40,-0.12
189511,0.78,-0.40
189512,0.86,-0.92
189601,4.82,2.56
189602,0.10,-2.00
189603,1.55,-0.34
189604,2.27,1.35
189605,0.60,0.21
189606,0.00,-0.07
189607,0.03,0.03
189608,0.07,0.06
189609,0.11,-0.05
189610,1.40,0.88
189611,1.93,0.75
189612,1.41,-0.37
189701,1.57,-0.69
189702,2.61,0.51
189703,2.37,0.48
189704,0.22,-0.70
189705,0.05,-0.34
189706,0.12,0.05
189707,0.00,0.00
189708,0.02,0.01
189709,0.08,-0.08
189710,1.03,0.51
189711,0.48,-0.70
189712,1.18,-0.60
189801,0.63,-1.63
189802,1.01,-1.09
189803,0.56,-1.33
189804,0.13,-0.79
189805,0.85,0.46
189806,0.02,-0.05
189807,0.00,0.00
189808,0.00,-0.01
189809,0.51,0.35
189810,0.39,-0.13
189811,0.27,-0.91
189812,1.00,-0.78
189901,2.50,0.24
189902,0.19,-1.91
189903,3.90,2.01
189904,0.43,-0.49
189905,0.48,0.09
189906,0.30,0.23
189907,0.00,0.00
189908,0.05,0.04
189909,0.00,-0.16
189910,2.68,2.16
189911,1.75,0.57
189912,1.62,-0.16
190001,1.30,-0.96
190002,0.12,-1.98
190003,0.85,-1.04
190004,1.46,0.54
190005,1.00,0.61
190006,0.03,-0.04
190007,0.01,0.01
190008,0.00,-0.01
190009,0.06,-0.10
190010,1.09,0.57
190011,3.91,2.73
190012,0.80,-0.98
190101,2.65,0.39
190102,3.13,1.03
190103,0.64,-1.25
190104,1.22,0.30
190105,0.75,0.36
190106,0.00,-0.07
190107,0.00,0.00
190108,0.00,-0.01
190109,0.59,0.43
190110,0.47,-0.05
190111,1.46,0.28
190112,0.41,-1.37
190201,0.63,-1.63
190202,3.12,1.02
190203,1.77,-0.12
190204,0.76,-0.16
190205,0.42,0.03
190206,0.00,-0.07
190207,0.00,0.00
190208,0.00,-0.01
190209,0.00,-0.16
190210,0.48,-0.04
190211,1.73,0.55
190212,0.63,-1.15
190301,2.05,-0.21
190302,0.77,-1.33
190303,4.20,2.31
190304,0.20,-0.72
190305,0.00,-0.39
190306,0.00,-0.07
190307,0.00,0.00
190308,0.00,-0.01
190309,0.00,-0.16
190310,0.01,-0.51
190311,1.21,0.03
190312,0.35,-1.43
190401,0.79,-1.47
190402,2.28,0.18
190403,2.60,0.71
190404,1.32,0.40
190405,0.07,-0.32
190406,0.01,-0.06
190407,0.00,0.00
190408,0.08,0.07
190409,1.04,0.88
190410,1.47,0.95
190411,0.36,-0.82
190412,1.09,-0.69
190501,1.91,-0.35
190502,2.21,0.11
190503,2.63,0.74
190504,0.52,-0.40
190505,1.79,1.40
190506,0.00,-0.07
190507,0.00,0.00
190508,0.00,-0.01
190509,0.01,-0.15
190510,0.00,-0.52
190511,1.13,-0.05
190512,0.58,-1.20
190601,2.21,-0.05
190602,2.20,0.10
190603,5.85,3.96
190604,1.42,0.50
190605,1.69,1.30
190606,0.06,-0.01
190607,0.00,0.00
190608,0.00,-0.01
190609,0.03,-0.13
190610,0.00,-0.52
190611,0.97,-0.21
190612,4.43,2.65
190701,3.84,1.58
190702,1.75,-0.35
190703,4.66,2.77
190704,0.40,-0.52
190705,0.14,-0.25
190706,0.30,0.23
190707,0.00,0.00
190708,0.00,-0.01
190709,0.01,-0.15
190710,0.83,0.31
190711,0.02,-1.16
190712,2.33,0.55
190801,2.16,-0.10
190802,1.27,-0.83
190803,0.51,-1.38
190804,0.21,-0.71
190805,0.50,0.11
190806,0.00,-0.07
190807,0.00,0.00
190808,0.00,-0.01
190809,0.25,0.09
190810,0.25,-0.27
190811,0.98,-0.20
190812,0.95,-0.83
190901,6.24,3.98
190902,2.68,0.58
190903,1.72,-0.17
190904,0.00,-0.92
190905,0.00,-0.39
190906,0.03,-0.04
190907,0.00,0.00
190908,0.00,-0.01
190909,0.04,-0.12
190910,0.42,-0.10
190911,1.02,-0.16
190912,3.76,1.98
191001,2.65,0.39
191002,0.56,-1.54
191003,2.33,0.44
191004,0.44,-0.48
191005,0.01,-0.38
191006,0.00,-0.07
191007,0.01,0.01
191008,0.00,-0.01
191009,0.34,0.18
191010,0.45,-0.07
191011,0.36,-0.82
191012,0.44,-1.34
191101,6.60,4.34
191102,1.21,-0.89
191103,3.86,1.97
191104,0.45,-0.47
191105,0.08,-0.31
191106,0.01,-0.06
191107,0.00,0.00
191108,0.00,-0.01
191109,0.01,-0.15
191110,0.05,-0.47
191111,0.15,-1.03
191112,0.73,-1.05
191201,1.50,-0.76
191202,0.03,-2.07
191203,2.16,0.27
191204,1.66,0.74
191205,0.58,0.19
191206,0.10,0.03
191207,0.00,0.00
191208,0.00,-0.01
191209,0.14,-0.02
191210,0.11,-0.41
191211,0.44,-0.74
191212,0.27,-1.51
191301,1.81,-0.45
191302,0.80,-1.30
191303,0.85,-1.04
191304,0.52,-0.40
191305,0.55,0.16
191306,0.10,0.03
191307,0.04,0.04
191308,0.02,0.01
191309,0.01,-0.15
191310,0.00,-0.52
191311,2.64,1.46
191312,2.44,0.66
191401,6.01,3.75
191402,2.02,-0.08
191403,0.52,-1.37
191404,0.85,-0.07
191405,0.06,-0.33
191406,0.12,0.05
191407,0.00,0.00
191408,0.00,-0.01
191409,0.17,0.01
191410,0.71,0.19
191411,0.16,-1.02
191412,3.24,1.46
191501,3.31,1.05
191502,3.44,1.34
191503,0.71,-1.18
191504,0.75,-0.17
191505,1.89,1.50
191506,0.00,-0.07
191507,0.00,0.00
191508,0.00,-0.01
191509,0.05,-0.11
191510,0.00,-0.52
191511,0.19,-0.99
191512,2.73,0.95
191601,6.28,4.02
191602,2.24,0.14
191603,2.02,0.13
191604,0.38,-0.54
191605,0.05,-0.34
191606,0.00,-0.07
191607,0.01,0.01
191608,0.07,0.06
191609,0.46,0.30
191610,0.81,0.29
191611,0.61,-0.57
191612,2.79,1.01
191701,1.18,-1.08
191702,3.50,1.40
191703,0.91,-0.98
191704,0.31,-0.61
191705,0.29,-0.10
191706,0.00,-0.07
191707,0.00,0.00
191708,0.00,-0.01
191709,0.06,-0.10
191710,0.00,-0.52
191711,0.36,-0.82
191712,0.29,-1.49
191801,0.49,-1.77
191802,3.80,1.70
191803,4.14,2.25
191804,0.18,-0.74
191805,0.19,-0.20
191806,0.00,-0.07
191807,0.00,0.00
191808,0.00,-0.01
191809,0.93,0.77
191810,0.21,-0.31
191811,1.80,0.62
191812,1.50,-0.28
191901,0.67,-1.59
191902,2.76,0.66
191903,1.77,-0.12
191904,0.15,-0.77
191905,0.06,-0.33
191906,0.00,-0.07
