Modoc County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,5.03,2.33
189502,1.36,-0.85
189503,1.59,-0.44
189504,1.16,-0.32
189505,2.36,0.87
189506,0.03,-1.05
189507,0.27,-0.12
189508,0.47,0.13
189509,1.78,1.09
189510,0.07,-1.18
189511,1.11,-0.99
189512,2.72,0.39
189601,5.24,2.54
189602,0.95,-1.26
189603,3.44,1.41
189604,4.13,2.65
189605,3.25,1.76
189606,0.16,-0.92
189607,0.56,0.17
189608,0.71,0.37
189609,1.07,0.38
189610,0.93,-0.32
189611,6.72,4.62
189612,3.01,0.68
189701,0.97,-1.73
189702,3.90,1.69
189703,3.17,1.14
189704,1.18,-0.30
189705,1.10,-0.39
189706,1.95,0.87
189707,0.11,-0.28
189708,0.05,-0.29
189709,0.39,-0.30
189710,1.11,-0.14
189711,2.75,0.65
189712,2.94,0.61
189801,1.16,-1.54
189802,1.64,-0.57
189803,0.56,-1.47
189804,0.40,-1.08
189805,2.18,0.69
189806,1.14,0.06
189807,0.03,-0.36
189808,0.13,-0.21
189809,0.48,-0.21
189810,0.99,-0.26
189811,2.16,0.06
189812,1.41,-0.92
189901,2.67,-0.03
189902,1.61,-0.60
189903,4.16,2.13
189904,1.04,-0.44
189905,1.86,0.37
189906,0.23,-0.85
189907,0.64,0.25
189908,0.63,0.29
189909,0.04,-0.65
189910,4.26,3.01
189911,2.79,0.69
189912,2.57,0.24
190001,1.62,-1.08
190002,2.08,-0.13
190003,1.85,-0.18
190004,1.53,0.05
190005,1.00,-0.49
190006,0.50,-0.58
190007,0.22,-0.17
190008,0.24,-0.10
190009,0.81,0.12
190010,3.31,2.06
190011,3.08,0.98
190012,1.70,-0.63
190101,3.42,0.72
190102,3.22,1.01
190103,0.96,-1.07
190104,2.02,0.54
190105,0.83,-0.66
190106,0.19,-0.89
190107,0.00,-0.39
190108,0.88,0.54
190109,1.50,0.81
190110,1.62,0.37
190111,1.60,-0.50
190112,2.62,0.29
190201,1.10,-1.60
190202,4.28,2.07
190203,2.12,0.09
190204,2.12,0.64
190205,1.58,0.09
190206,0.17,-0.91
190207,1.13,0.74
190208,0.34,0.00
190209,0.40,-0.29
190210,0.91,-0.34
190211,2.42,0.32
190212,3.02,0.69
190301,4.36,1.66
190302,0.86,-1.35
190303,2.15,0.12
190304,0.33,-1.15
190305,0.67,-0.82
190306,2.03,0.95
190307,0.32,-0.07
190308,0.22,-0.12
190309,0.36,-0.33
190310,0.47,-0.78
190311,6.19,4.09
190312,0.95,-1.38
190401,1.64,-1.06
190402,7.69,5.48
190403,6.58,4.55
190404,2.40,0.92
190405,0.75,-0.74
190406,0.47,-0.61
190407,0.80,0.41
190408,0.14,-0.20
190409,1.03,0.34
190410,1.67,0.42
190411,0.79,-1.31
190412,3.14,0.81
190501,1.35,-1.35
190502,1.37,-0.84
190503,2.52,0.49
190504,0.63,-0.85
190505,1.79,0.30
190506,0.82,-0.26
190507,0.01,-0.38
190508,0.14,-0.20
190509,0.42,-0.27
190510,0.32,-0.93
190511,1.20,-0.90
190512,1.07,-1.26
190601,7.28,4.58
190602,2.02,-0.19
190603,4.23,2.20
190604,0.86,-0.62
190605,2.85,1.36
190606,1.29,0.21
190607,0.08,-0.31
190608,0.14,-0.20
190609,0.70,0.01
190610,0.34,-0.91
190611,1.73,-0.37
190612,5.55,3.22
190701,3.35,0.65
190702,4.98,2.77
190703,6.31,4.28
190704,0.75,-0.73
190705,1.72,0.23
190706,2.44,1.36
190707,0.30,-0.09
190708,0.61,0.27
190709,1.38,0.69
190710,2.20,0.95
190711,1.21,-0.89
190712,3.35,1.02
190801,1.76,-0.94
190802,1.17,-1.04
190803,0.66,-1.37
190804,0.55,-0.93
190805,1.94,0.45
190806,0.65,-0.43
190807,0.33,-0.06
190808,0.10,-0.24
190809,0.71,0.02
190810,2.79,1.54
190811,1.17,-0.93
190812,1.20,-1.13
190901,8.81,6.11
190902,3.55,1.34
190903,1.64,-0.39
190904,0.71,-0.77
190905,0.95,-0.54
190906,0.68,-0.40
190907,0.17,-0.22
190908,0.37,0.03
190909,0.94,0.25
190910,1.71,0.46
190911,4.21,2.11
190912,2.76,0.43
191001,2.56,-0.14
191002,2.54,0.33
191003,0.98,-1.05
191004,0.56,-0.92
191005,0.57,-0.92
191006,0.35,-0.73
191007,0.69,0.30
191008,0.00,-0.34
191009,1.46,0.77
191010,1.20,-0.05
191011,4.80,2.70
191012,3.32,0.99
191101,6.42,3.72
191102,1.46,-0.75
191103,1.94,-0.09
191104,1.86,0.38
191105,1.11,-0.38
191106,0.94,-0.14
191107,0.72,0.33
191108,0.00,-0.34
191109,0.75,0.06
191110,0.59,-0.66
191111,1.08,-1.02
191112,1.15,-1.18
191201,2.07,-0.63
191202,1.07,-1.14
191203,2.31,0.28
191204,2.51,1.03
191205,1.59,0.10
191206,1.24,0.16
191207,0.44,0.05
191208,0.38,0.04
191209,1.12,0.43
191210,0.50,-0.75
191211,1.65,-0.45
191212,1.55,-0.78
191301,2.99,0.29
191302,0.33,-1.88
191303,1.47,-0.56
191304,1.85,0.37
191305,0.86,-0.63
191306,2.81,1.73
191307,1.74,1.35
191308,0.65,0.31
191309,0.30,-0.39
191310,0.19,-1.06
191311,2.50,0.40
191312,4.00,1.67
191401,4.61,1.91
191402,1.21,-1.00
191403,0.47,-1.56
191404,1.96,0.48
191405,1.22,-0.27
191406,1.39,0.31
191407,0.21,-0.18
191408,0.04,-0.30
191409,0.38,-0.31
191410,2.44,1.19
191411,0.76,-1.34
191412,0.86,-1.47
191501,2.00,-0.70
191502,2.86,0.65
191503,1.17,-0.86
191504,1.64,0.16
191505,2.37,0.88
191506,0.20,-0.88
191507,1.04,0.65
191508,0.28,-0.06
191509,0.14,-0.55
191510,0.27,-0.98
191511,2.37,0.27
191512,1.15,-1.18
191601,6.50,3.80
191602,1.53,-0.68
191603,2.50,0.47
191604,0.97,-0.51
191605,2.29,0.80
191606,0.31,-0.77
191607,0.76,0.37
191608,0.44,0.10
191609,0.16,-0.53
191610,1.79,0.54
191611,1.13,-0.97
191612,1.78,-0.55
191701,2.30,-0.40
191702,4.79,2.58
191703,1.86,-0.17
191704,1.62,0.14
191705,1.64,0.15
191706,0.30,-0.78
191707,0.03,-0.36
191708,0.48,0.14
191709,0.43,-0.26
191710,0.00,-1.25
191711,2.03,-0.07
191712,0.82,-1.51
191801,1.35,-1.35
191802,2.18,-0.03
191803,3.51,1.48
191804,0.48,-1.00
191805,0.76,-0.73
191806,0.18,-0.90
191807,0.04,-0.35
191808,0.10,-0.24
191809,2.02,1.33
191810,1.70,0.45
191811,1.35,-0.75
191812,1.05,-1.28
191901,1.25,-1.45
191902,5.56,3.35
191903,1.87,-0.16
191904,1.23,-0.25
191905,0.06,-1.43
191906,0.07,-1.01
