Mono County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,4.62,1.98
189502,2.22,-0.20
189503,0.90,-1.14
189504,0.95,-0.16
189505,0.57,-0.34
189506,0.16,-0.34
189507,0.12,-0.35
189508,0.22,-0.28
189509,0.53,0.00
189510,0.24,-0.56
189511,1.95,0.47
189512,2.08,-0.12
189601,7.57,4.93
189602,0.02,-2.40
189603,3.35,1.31
189604,2.80,1.69
189605,0.93,0.02
189606,0.29,-0.21
189607,1.11,0.64
189608,1.76,1.26
189609,0.73,0.20
189610,0.87,0.07
189611,1.54,0.06
189612,1.28,-0.92
189701,1.96,-0.68
189702,6.07,3.65
189703,3.70,1.66
189704,0.12,-0.99
189705,0.46,-0.45
189706,0.20,-0.30
189707,0.77,0.30
189708,0.45,-0.05
189709,0.11,-0.42
189710,2.38,1.58
189711,0.85,-0.63
189712,2.96,0.76
189801,1.20,-1.44
189802,1.16,-1.26
189803,1.42,-0.62
189804,0.48,-0.63
189805,1.34,0.43
189806,0.07,-0.43
189807,0.19,-0.28
189808,0.39,-0.11
189809,1.27,0.74
189810,0.45,-0.35
189811,1.20,-0.28
189812,0.46,-1.74
189901,3.59,0.95
189902,0.18,-2.24
189903,2.35,0.31
189904,0.51,-0.60
189905,0.71,-0.20
189906,0.55,0.05
189907,0.14,-0.33
189908,0.86,0.36
189909,0.00,-0.53
189910,1.36,0.56
189911,0.86,-0.62
189912,2.21,0.01
190001,0.84,-1.80
190002,0.41,-2.01
190003,1.96,-0.08
190004,2.08,0.97
190005,0.87,-0.04
190006,0.45,-0.05
190007,0.12,-0.35
190008,0.06,-0.44
190009,0.81,0.28
190010,1.81,1.01
190011,2.71,1.23
190012,0.83,-1.37
190101,8.25,5.61
190102,4.13,1.71
190103,0.92,-1.12
190104,1.94,0.83
190105,0.95,0.04
190106,0.07,-0.43
190107,0.19,-0.28
190108,1.29,0.79
190109,0.58,0.05
190110,1.43,0.63
190111,1.94,0.46
190112,0.93,-1.27
190201,0.45,-2.19
190202,3.57,1.15
190203,2.62,0.58
190204,0.79,-0.32
190205,0.48,-0.43
190206,0.02,-0.48
190207,0.04,-0.43
190208,0.30,-0.20
190209,0.00,-0.53
190210,0.75,-0.05
190211,2.45,0.97
190212,0.45,-1.75
190301,4.14,1.50
190302,1.06,-1.36
190303,1.72,-0.32
190304,0.72,-0.39
190305,0.50,-0.41
190306,0.16,-0.34
190307,0.00,-0.47
190308,0.02,-0.48
190309,0.19,-0.34
190310,0.42,-0.38
190311,1.38,-0.10
190312,0.09,-2.11
190401,1.83,-0.81
190402,3.38,0.96
190403,3.56,1.52
190404,0.97,-0.14
190405,0.55,-0.36
190406,0.01,-0.49
190407,0.28,-0.19
190408,1.95,1.45
190409,2.00,1.47
190410,1.22,0.42
190411,0.15,-1.33
190412,1.52,-0.68
190501,1.78,-0.86
190502,2.26,-0.16
190503,3.20,1.16
190504,0.62,-0.49
190505,1.70,0.79
190506,0.00,-0.50
190507,0.00,-0.47
190508,0.45,-0.05
190509,0.60,0.07
190510,0.00,-0.80
190511,1.45,-0.03
190512,0.41,-1.79
190601,3.58,0.94
190602,2.30,-0.12
190603,4.44,2.40
190604,2.95,1.84
190605,2.09,1.18
190606,0.96,0.46
190607,0.39,-0.08
190608,1.51,1.01
190609,0.09,-0.44
190610,0.12,-0.68
190611,1.89,0.41
190612,5.11,2.91
190701,3.79,1.15
190702,1.90,-0.52
190703,8.26,6.22
190704,0.36,-0.75
190705,0.74,-0.17
190706,1.00,0.50
190707,0.08,-0.39
190708,0.97,0.47
190709,0.00,-0.53
190710,0.68,-0.12
190711,0.09,-1.39
190712,3.24,1.04
190801,1.94,-0.70
190802,1.87,-0.55
190803,0.67,-1.37
190804,0.47,-0.64
190805,1.28,0.37
190806,0.12,-0.38
190807,0.45,-0.02
190808,0.16,-0.34
190809,0.98,0.45
190810,0.80,0.00
190811,0.60,-0.88
190812,0.76,-1.44
190901,9.35,6.71
190902,3.44,1.02
190903,1.75,-0.29
190904,0.18,-0.93
190905,0.08,-0.83
190906,0.58,0.08
190907,0.09,-0.38
190908,0.06,-0.44
190909,0.20,-0.33
190910,1.33,0.53
190911,3.61,2.13
190912,5.69,3.49
191001,3.43,0.79
191002,0.77,-1.65
191003,0.74,-1.30
191004,0.32,-0.79
191005,0.06,-0.85
191006,0.02,-0.48
191007,0.66,0.19
191008,0.00,-0.50
191009,1.19,0.66
191010,0.61,-0.19
191011,0.75,-0.73
191012,1.03,-1.17
191101,7.64,5.00
191102,2.87,0.45
191103,4.23,2.19
191104,0.96,-0.15
191105,0.39,-0.52
191106,0.16,-0.34
191107,0.54,0.07
191108,0.00,-0.50
191109,0.31,-0.22
191110,0.24,-0.56
191111,0.63,-0.85
191112,0.96,-1.24
191201,1.19,-1.45
191202,0.05,-2.37
191203,2.17,0.13
191204,1.32,0.21
191205,0.96,0.05
191206,0.30,-0.20
191207,0.77,0.30
191208,0.03,-0.47
191209,0.40,-0.13
191210,1.68,0.88
191211,1.12,-0.36
191212,0.52,-1.68
191301,2.63,-0.01
191302,1.27,-1.15
191303,0.88,-1.16
191304,0.47,-0.64
191305,2.15,1.24
191306,1.48,0.98
191307,1.94,1.47
191308,1.88,1.38
191309,0.13,-0.40
191310,0.04,-0.76
191311,1.83,0.35
191312,4.06,1.86
191401,9.42,6.78
191402,2.87,0.45
191403,0.13,-1.91
191404,1.63,0.52
191405,0.69,-0.22
191406,0.58,0.08
191407,0.52,0.05
191408,0.11,-0.39
191409,0.26,-0.27
191410,0.55,-0.25
191411,0.06,-1.42
191412,1.22,-0.98
191501,2.24,-0.40
191502,4.51,2.09
191503,0.98,-1.06
191504,1.99,0.88
191505,1.87,0.96
191506,0.00,-0.50
191507,0.41,-0.06
191508,0.15,-0.35
191509,0.34,-0.19
191510,0.00,-0.80
191511,0.50,-0.98
191512,1.55,-0.65
191601,8.92,6.28
191602,2.03,-0.39
191603,1.98,-0.06
191604,0.17,-0.94
191605,0.23,-0.68
191606,0.00,-0.50
191607,0.09,-0.38
191608,0.75,0.25
191609,0.55,0.02
191610,1.88,1.08
191611,0.49,-0.99
191612,2.34,0.14
191701,0.49,-2.15
191702,3.50,1.08
191703,0.69,-1.35
191704,1.09,-0.02
191705,1.20,0.29
191706,0.00,-0.50
191707,0.48,0.01
191708,0.25,-0.25
191709,0.01,-0.52
191710,0.00,-0.80
191711,0.74,-0.74
191712,0.22,-1.98
191801,0.29,-2.35
191802,4.23,1.81
191803,3.58,1.54
191804,0.14,-0.97
191805,0.43,-0.48
191806,0.56,0.06
191807,0.36,-0.11
191808,0.46,-0.04
191809,1.61,1.08
191810,0.93,0.13
191811,1.20,-0.28
191812,0.86,-1.34
191901,0.47,-2.17
191902,3.76,1.34
191903,1.82,-0.22
191904,0.55,-0.56
191905,0.61,-0.30
