Monterey County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,8.75,4.36
189502,1.80,-2.30
189503,2.29,-1.01
189504,1.42,0.01
189505,0.67,0.21
189506,0.00,-0.07
189507,0.02,0.01
189508,0.01,-0.01
189509,0.11,-0.09
189510,1.09,0.35
189511,1.66,-0.30
189512,1.36,-2.07
189601,8.29,3.90
189602,0.18,-3.92
189603,3.35,0.05
189604,2.87,1.46
189605,0.88,0.42
189606,0.00,-0.07
189607,0.12,0.11
189608,0.19,0.17
189609,0.13,-0.07
189610,1.98,1.24
189611,3.26,1.30
189612,3.29,-0.14
189701,3.27,-1.12
189702,5.17,1.07
189703,4.47,1.17
189704,0.36,-1.05
189705,0.05,-0.41
189706,0.12,0.05
189707,0.00,-0.01
189708,0.04,0.02
189709,0.07,-0.13
189710,1.20,0.46
189711,0.63,-1.33
189712,1.54,-1.89
189801,1.40,-2.99
189802,2.01,-2.09
189803,0.97,-2.33
189804,0.27,-1.14
189805,0.96,0.50
189806,0.01,-0.06
189807,0.00,-0.01
189808,0.00,-0.02
189809,0.75,0.55
189810,0.28,-0.46
189811,0.50,-1.46
189812,1.36,-2.07
189901,4.89,0.50
189902,0.30,-3.80
189903,6.22,2.92
189904,1.30,-0.11
189905,0.53,0.07
189906,0.31,0.24
189907,0.00,-0.01
189908,0.03,0.01
189909,0.00,-0.20
189910,3.45,2.71
189911,2.52,0.56
189912,3.26,-0.17
190001,2.55,-1.84
190002,0.34,-3.76
190003,1.94,-1.36
190004,1.71,0.30
190005,1.05,0.59
190006,0.01,-0.06
190007,0.01,0.00
190008,0.00,-0.02
190009,0.03,-0.17
190010,1.63,0.89
190011,8.11,6.15
190012,1.18,-2.25
190101,5.57,1.18
190102,5.90,1.80
190103,1.04,-2.26
190104,1.97,0.56
190105,1.31,0.85
190106,0.00,-0.07
190107,0.00,-0.01
190108,0.00,-0.02
190109,0.43,0.23
190110,0.54,-0.20
190111,1.89,-0.07
190112,0.44,-2.99
190201,1.50,-2.89
190202,7.76,3.66
190203,3.28,-0.02
190204,1.89,0.48
190205,0.31,-0.15
190206,0.00,-0.07
190207,0.00,-0.01
190208,0.00,-0.02
190209,0.00,-0.20
190210,0.96,0.22
190211,2.66,0.70
190212,1.37,-2.06
190301,3.10,-1.29
190302,1.64,-2.46
190303,6.28,2.98
190304,1.02,-0.39
190305,0.00,-0.46
190306,0.00,-0.07
190307,0.00,-0.01
190308,0.00,-0.02
190309,0.01,-0.19
190310,0.06,-0.68
190311,1.49,-0.47
190312,0.60,-2.83
190401,1.05,-3.34
190402,5.10,1.00
190403,4.59,1.29
190404,2.09,0.68
190405,0.12,-0.34
190406,0.00,-0.07
190407,0.00,-0.01
190408,0.07,0.05
190409,1.27,1.07
190410,1.99,1.25
190411,0.74,-1.22
190412,2.39,-1.04
190501,3.37,-1.02
190502,5.42,1.32
190503,4.90,1.60
190504,0.92,-0.49
190505,2.13,1.67
190506,0.00,-0.07
190507,0.01,0.00
190508,0.00,-0.02
190509,0.01,-0.19
190510,0.00,-0.74
190511,2.09,0.13
190512,0.96,-2.47
190601,3.76,-0.63
190602,5.18,1.08
190603,7.38,4.08
190604,1.03,-0.38
190605,2.15,1.69
190606,0.10,0.03
190607,0.00,-0.01
190608,0.00,-0.02
190609,0.05,-0.15
190610,0.00,-0.74
190611,1.80,-0.16
190612,8.52,5.09
190701,10.74,6.35
190702,1.73,-2.37
190703,9.09,5.79
190704,0.16,-1.25
190705,0.06,-0.40
190706,0.13,0.06
190707,0.00,-0.01
190708,0.00,-0.02
190709,0.09,-0.11
190710,3.57,2.83
190711,0.01,-1.95
190712,4.20,0.77
190801,6.20,1.81
190802,3.55,-0.55
190803,0.99,-2.31
190804,0.59,-0.82
190805,0.44,-0.02
190806,0.01,-0.06
190807,0.00,-0.01
190808,0.00,-0.02
190809,0.35,0.15
190810,0.39,-0.35
190811,1.62,-0.34
190812,1.67,-1.76
190901,11.74,7.35
190902,5.30,1.20
190903,4.37,1.07
190904,0.00,-1.41
190905,0.00,-0.46
190906,0.03,-0.04
190907,0.00,-0.01
190908,0.00,-0.02
190909,0.18,-0.02
190910,0.69,-0.05
190911,1.69,-0.27
190912,7.85,4.42
191001,4.69,0.30
191002,0.87,-3.23
191003,3.81,0.51
191004,0.31,-1.10
191005,0.00,-0.46
191006,0.00,-0.07
191007,0.00,-0.01
191008,0.00,-0.02
191009,0.31,0.11
191010,0.44,-0.30
191011,0.47,-1.49
191012,0.74,-2.69
191101,11.32,6.93
191102,3.56,-0.54
191103,9.80,6.50
191104,0.84,-0.57
191105,0.19,-0.27
191106,0.02,-0.05
191107,0.00,-0.01
191108,0.00,-0.02
191109,0.04,-0.16
191110,0.26,-0.48
191111,0.23,-1.73
191112,1.94,-1.49
191201,2.28,-2.11
191202,0.09,-4.01
191203,4.63,1.33
191204,4.65,3.24
191205,1.23,0.77
191206,0.03,-0.04
191207,0.00,-0.01
191208,0.00,-0.02
191209,0.11,-0.09
191210,0.13,-0.61
191211,0.49,-1.47
191212,0.43,-3.00
191301,4.26,-0.13
191302,1.15,-2.95
191303,1.55,-1.75
191304,0.25,-1.16
191305,0.71,0.25
191306,0.19,0.12
191307,0.02,0.01
191308,0.16,0.14
191309,0.07,-0.13
191310,0.00,-0.74
191311,4.67,2.71
191312,3.20,-0.23
191401,12.72,8.33
191402,4.54,0.44
191403,1.12,-2.18
191404,0.96,-0.45
191405,0.17,-0.29
191406,0.16,0.09
191407,0.05,0.04
191408,0.00,-0.02
191409,0.01,-0.19
191410,0.68,-0.06
191411,0.31,-1.65
191412,6.14,2.71
191501,6.60,2.21
191502,8.94,4.84
191503,1.32,-1.98
191504,1.94,0.53
191505,2.09,1.63
191506,0.00,-0.07
191507,0.00,-0.01
191508,0.01,-0.01
191509,0.02,-0.18
191510,0.00,-0.74
191511,0.51,-1.45
191512,4.73,1.30
191601,13.09,8.70
191602,3.11,-0.99
191603,2.32,-0.98
191604,0.42,-0.99
191605,0.11,-0.35
191606,0.00,-0.07
191607,0.03,0.02
191608,0.03,0.01
191609,1.01,0.81
191610,1.77,1.03
191611,0.72,-1.24
191612,5.66,2.23
191701,1.77,-2.62
191702,5.45,1.35
191703,1.11,-2.19
191704,0.43,-0.98
191705,0.39,-0.07
191706,0.00,-0.07
191707,0.00,-0.01
191708,0.00,-0.02
191709,0.01,-0.19
191710,0.00,-0.74
191711,1.34,-0.62
191712,0.41,-3.02
191801,0.57,-3.82
191802,6.69,2.59
191803,5.90,2.60
191804,0.13,-1.28
191805,0.08,-0.38
191806,0.00,-0.07
191807,0.00,-0.01
191808,0.01,-0.01
191809,1.18,0.98
191810,0.58,-0.16
191811,3.34,1.38
191812,2.68,-0.75
191901,0.98,-3.41
191902,5.41,1.31
191903,3.01,-0.29
191904,0.07,-1.34
