Napa County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,16.39,9.52
189502,3.28,-2.60
189503,3.26,-1.06
189504,1.54,-0.37
189505,1.19,0.34
189506,0.00,-0.23
189507,0.06,0.05
189508,0.03,-0.04
189509,1.17,0.88
189510,0.12,-1.38
189511,2.44,-1.10
189512,3.25,-2.39
189601,15.08,8.21
189602,0.21,-5.67
189603,3.72,-0.60
189604,7.20,5.29
189605,1.46,0.61
189606,0.00,-0.23
189607,0.02,0.01
189608,0.38,0.31
189609,0.53,0.24
189610,1.35,-0.15
189611,6.24,2.70
189612,5.82,0.18
189701,4.85,-2.02
189702,7.20,1.32
189703,6.30,1.98
189704,0.33,-1.58
189705,0.29,-0.56
189706,0.53,0.30
189707,0.00,-0.01
189708,0.04,-0.03
189709,0.23,-0.06
189710,2.87,1.37
189711,1.66,-1.88
189712,2.77,-2.87
189801,1.66,-5.21
189802,5.77,-0.11
189803,0.42,-3.90
189804,0.44,-1.47
189805,2.52,1.67
189806,0.28,0.05
189807,0.00,-0.01
189808,0.01,-0.06
189809,0.65,0.36
189810,1.41,-0.09
189811,1.24,-2.30
189812,1.86,-3.78
189901,9.29,2.42
189902,0.36,-5.52
189903,11.84,7.52
189904,0.77,-1.14
189905,1.58,0.73
189906,0.28,0.05
189907,0.00,-0.01
189908,0.11,0.04
189909,0.35,0.06
189910,5.69,4.19
189911,6.32,2.78
189912,5.56,-0.08
190001,5.34,-1.53
190002,1.26,-4.62
190003,3.73,-0.59
190004,2.37,0.46
190005,1.06,0.21
190006,0.13,-0.10
190007,0.00,-0.01
190008,0.01,-0.06
190009,0.11,-0.18
190010,3.28,1.78
190011,6.31,2.77
190012,3.00,-2.64
190101,6.95,0.08
190102,7.76,1.88
190103,1.03,-3.29
190104,3.26,1.35
190105,1.11,0.26
190106,0.00,-0.23
190107,0.00,-0.01
190108,0.00,-0.07
190109,0.84,0.55
190110,1.36,-0.14
190111,4.85,1.31
190112,2.24,-3.40
190201,1.84,-5.03
190202,15.28,9.40
190203,4.37,0.05
190204,2.71,0.80
190205,1.43,0.58
190206,0.01,-0.22
190207,0.00,-0.01
190208,0.02,-0.05
190209,0.00,-0.29
190210,4.51,3.01
190211,4.84,1.30
190212,3.76,-1.88
190301,6.33,-0.54
190302,2.62,-3.26
190303,7.98,3.66
190304,0.43,-1.48
190305,0.01,-0.84
190306,0.01,-0.22
190307,0.00,-0.01
190308,0.00,-0.07
190309,0.00,-0.29
190310,0.61,-0.89
190311,7.04,3.50
190312,3.32,-2.32
190401,1.78,-5.09
190402,13.06,7.18
190403,13.45,9.13
190404,2.14,0.23
190405,0.08,-0.77
190406,0.02,-0.21
190407,0.01,0.00
190408,0.10,0.03
190409,1.54,1.25
190410,4.12,2.62
190411,2.54,-1.00
190412,3.81,-1.83
190501,6.80,-0.07
190502,4.15,-1.73
190503,6.06,1.74
190504,1.27,-0.64
190505,3.38,2.53
190506,0.01,-0.22
190507,0.00,-0.01
190508,0.00,-0.07
190509,0.01,-0.28
190510,0.01,-1.49
190511,1.79,-1.75
190512,1.83,-3.81
190601,11.63,4.76
190602,6.70,0.82
190603,9.02,4.70
190604,0.71,-1.20
190605,3.45,2.60
190606,0.71,0.48
190607,0.00,-0.01
190608,0.00,-0.07
190609,0.22,-0.07
190610,0.00,-1.50
190611,1.94,-1.60
190612,9.83,4.19
190701,8.43,1.56
190702,5.68,-0.20
190703,13.52,9.20
190704,0.53,-1.38
190705,0.30,-0.55
190706,0.88,0.65
190707,0.00,-0.01
190708,0.00,-0.07
190709,0.09,-0.20
190710,0.82,-0.68
190711,0.20,-3.34
190712,7.23,1.59
190801,5.34,-1.53
190802,4.91,-0.97
190803,1.50,-2.82
190804,0.17,-1.74
190805,0.79,-0.06
190806,0.10,-0.13
190807,0.00,-0.01
190808,0.00,-0.07
190809,0.01,-0.28
190810,0.90,-0.60
190811,2.64,-0.90
190812,3.84,-1.80
190901,21.65,14.78
190902,10.34,4.46
190903,3.28,-1.04
190904,0.00,-1.91
190905,0.00,-0.85
190906,0.06,-0.17
190907,0.00,-0.01
190908,0.00,-0.07
190909,1.01,0.72
190910,1.63,0.13
190911,3.19,-0.35
190912,8.86,3.22
191001,5.41,-1.46
191002,2.81,-3.07
191003,4.66,0.34
191004,0.66,-1.25
191005,0.07,-0.78
191006,0.01,-0.22
191007,0.00,-0.01
191008,0.00,-0.07
191009,0.17,-0.12
191010,0.64,-0.86
191011,0.89,-2.65
191012,1.88,-3.76
191101,16.39,9.52
191102,3.00,-2.88
191103,8.81,4.49
191104,2.70,0.79
191105,0.28,-0.57
191106,0.09,-0.14
191107,0.00,-0.01
191108,0.00,-0.07
191109,0.01,-0.28
191110,0.45,-1.05
191111,0.95,-2.59
191112,2.20,-3.44
191201,3.96,-2.91
191202,0.59,-5.29
191203,5.17,0.85
191204,2.10,0.19
191205,2.24,1.39
191206,0.86,0.63
191207,0.00,-0.01
191208,0.00,-0.07
191209,1.50,1.21
191210,0.64,-0.86
191211,4.49,0.95
191212,2.02,-3.62
191301,6.80,-0.07
191302,0.42,-5.46
191303,2.50,-1.82
191304,1.31,-0.60
191305,0.86,0.01
191306,0.20,-0.03
191307,0.02,0.01
191308,0.00,-0.07
191309,0.00,-0.29
191310,0.05,-1.45
191311,6.90,3.36
191312,13.70,8.06
191401,17.51,10.64
191402,7.29,1.41
191403,1.53,-2.79
191404,1.23,-0.68
191405,0.72,-0.13
191406,0.25,0.02
191407,0.00,-0.01
191408,0.00,-0.07
191409,0.03,-0.26
191410,1.55,0.05
191411,0.69,-2.85
191412,7.32,1.68
191501,10.25,3.38
191502,13.56,7.68
191503,3.72,-0.60
191504,0.49,-1.42
191505,4.22,3.37
191506,0.00,-0.23
191507,0.01,0.00
191508,0.01,-0.06
191509,0.00,-0.29
191510,0.12,-1.38
191511,1.23,-2.31
191512,9.32,3.68
191601,19.70,12.83
191602,3.95,-1.93
191603,2.32,-2.00
191604,0.14,-1.77
191605,0.35,-0.50
191606,0.31,0.08
191607,0.06,0.05
191608,0.45,0.38
191609,0.47,0.18
191610,0.78,-0.72
191611,1.61,-1.93
191612,7.92,2.28
191701,2.41,-4.46
191702,8.03,2.15
191703,1.33,-2.99
191704,1.21,-0.70
191705,0.31,-0.54
191706,0.00,-0.23
191707,0.00,-0.01
191708,0.00,-0.07
191709,0.25,-0.04
191710,0.00,-1.50
191711,0.73,-2.81
191712,2.02,-3.62
191801,1.36,-5.51
191802,7.01,1.13
191803,4.28,-0.04
191804,0.79,-1.12
191805,0.02,-0.83
191806,0.04,-0.19
191807,0.00,-0.01
191808,0.00,-0.07
191809,1.54,1.25
191810,0.61,-0.89
191811,4.10,0.56
191812,2.75,-2.89
191901,4.60,-2.27
191902,11.24,5.36
191903,3.47,-0.85
191904,0.25,-1.66
