Orange County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,7.57,4.71
189502,1.42,-1.53
189503,2.78,0.36
189504,0.51,-0.49
189505,0.21,-0.04
189506,0.02,-0.04
189507,0.00,-0.02
189508,0.02,-0.03
189509,0.00,-0.20
189510,0.38,-0.10
189511,1.43,0.24
189512,0.57,-1.52
189601,2.17,-0.69
189602,0.07,-2.88
189603,3.57,1.15
189604,0.49,-0.51
189605,0.19,-0.06
189606,0.00,-0.06
189607,0.07,0.05
189608,0.09,0.04
189609,0.08,-0.12
189610,1.75,1.27
189611,1.09,-0.10
189612,1.45,-0.64
189701,4.04,1.18
189702,4.62,1.67
189703,2.85,0.43
189704,0.01,-0.99
189705,0.06,-0.19
189706,0.00,-0.06
189707,0.01,-0.01
189708,0.14,0.09
189709,0.27,0.07
189710,1.70,1.22
189711,0.28,-0.91
189712,0.53,-1.56
189801,2.00,-0.86
189802,0.56,-2.39
189803,1.06,-1.36
189804,0.36,-0.64
189805,1.08,0.83
189806,0.00,-0.06
189807,0.03,0.01
189808,0.05,0.00
189809,0.07,-0.13
189810,0.03,-0.45
189811,0.09,-1.10
189812,0.86,-1.23
189901,2.60,-0.26
189902,0.44,-2.51
189903,1.70,-0.72
189904,0.10,-0.90
189905,0.13,-0.12
189906,0.34,0.28
189907,0.00,-0.02
189908,0.00,-0.05
189909,0.02,-0.18
189910,1.07,0.59
189911,1.32,0.13
189912,0.82,-1.27
190001,1.64,-1.22
190002,0.06,-2.89
190003,0.86,-1.56
190004,1.10,0.10
190005,1.13,0.88
190006,0.00,-0.06
190007,0.03,0.01
190008,0.00,-0.05
190009,0.07,-0.13
190010,0.31,-0.17
190011,5.36,4.17
190012,0.00,-2.09
190101,2.96,0.10
190102,4.55,1.60
190103,0.42,-2.00
190104,0.38,-0.62
190105,0.86,0.61
190106,0.01,-0.05
190107,0.00,-0.02
190108,0.11,0.06
190109,0.04,-0.16
190110,1.33,0.85
190111,0.43,-0.76
190112,0.02,-2.07
190201,1.65,-1.21
190202,2.65,-0.30
190203,3.09,0.67
190204,0.31,-0.69
190205,0.12,-0.13
190206,0.10,0.04
190207,0.03,0.01
190208,0.00,-0.05
190209,0.00,-0.20
190210,0.21,-0.27
190211,1.52,0.33
190212,2.61,0.52
190301,1.31,-1.55
190302,1.71,-1.24
190303,5.98,3.56
190304,2.91,1.91
190305,0.04,-0.21
190306,0.00,-0.06
190307,0.00,-0.02
190308,0.02,-0.03
190309,0.37,0.17
190310,0.06,-0.42
190311,0.00,-1.19
190312,0.03,-2.06
190401,0.23,-2.63
190402,1.89,-1.06
190403,3.83,1.41
190404,0.82,-0.18
190405,0.10,-0.15
190406,0.00,-0.06
190407,0.01,-0.01
190408,0.19,0.14
190409,0.11,-0.09
190410,0.22,-0.26
190411,0.00,-1.19
190412,1.27,-0.82
190501,4.01,1.15
190502,7.67,4.72
190503,5.62,3.20
190504,0.68,-0.32
190505,1.00,0.75
190506,0.00,-0.06
190507,0.00,-0.02
190508,0.02,-0.03
190509,0.05,-0.15
190510,0.10,-0.38
190511,2.82,1.63
190512,0.43,-1.66
190601,2.49,-0.37
190602,1.87,-1.08
190603,6.83,4.41
190604,0.94,-0.06
190605,0.93,0.68
190606,0.04,-0.02
190607,0.02,0.00
190608,0.02,-0.03
190609,0.10,-0.10
190610,0.02,-0.46
190611,1.68,0.49
190612,4.53,2.44
190701,6.74,3.88
190702,2.69,-0.26
190703,3.85,1.43
190704,0.32,-0.68
190705,0.07,-0.18
190706,0.16,0.10
190707,0.00,-0.02
190708,0.00,-0.05
190709,0.00,-0.20
190710,1.93,1.45
190711,0.11,-1.08
190712,0.86,-1.23
190801,4.17,1.31
190802,2.78,-0.17
190803,0.84,-1.58
190804,0.46,-0.54
190805,0.16,-0.09
190806,0.00,-0.06
190807,0.02,0.00
190808,0.10,0.05
190809,1.02,0.82
190810,0.46,-0.02
190811,0.56,-0.63
190812,0.88,-1.21
190901,5.57,2.71
190902,4.03,1.08
190903,2.92,0.50
190904,0.07,-0.93
190905,0.05,-0.20
190906,0.08,0.02
190907,0.01,-0.01
190908,0.12,0.07
190909,0.07,-0.13
190910,0.14,-0.34
190911,1.74,0.55
190912,6.33,4.24
191001,2.73,-0.13
191002,0.12,-2.83
191003,1.63,-0.79
191004,0.25,-0.75
191005,0.00,-0.25
191006,0.00,-0.06
191007,0.02,0.00
191008,0.00,-0.05
191009,0.01,-0.19
191010,0.69,0.21
191011,0.35,-0.84
191012,0.47,-1.62
191101,5.16,2.30
191102,3.23,0.28
191103,2.54,0.12
191104,0.47,-0.53
191105,0.05,-0.20
191106,0.01,-0.05
191107,0.02,0.00
191108,0.00,-0.05
191109,0.64,0.44
191110,0.26,-0.22
191111,0.12,-1.07
191112,0.73,-1.36
191201,0.18,-2.68
191202,0.00,-2.95
191203,5.54,3.12
191204,1.99,0.99
191205,0.28,0.03
191206,0.02,-0.04
191207,0.00,-0.02
191208,0.06,0.01
191209,0.00,-0.20
191210,0.79,0.31
191211,0.37,-0.82
191212,0.05,-2.04
191301,1.33,-1.53
191302,5.73,2.78
191303,0.44,-1.98
191304,0.36,-0.64
191305,0.17,-0.08
191306,0.20,0.14
191307,0.04,0.02
191308,0.03,-0.02
191309,0.01,-0.19
191310,0.04,-0.44
191311,1.90,0.71
191312,1.36,-0.73
191401,8.04,5.18
191402,4.12,1.17
191403,0.75,-1.67
191404,1.51,0.51
191405,0.19,-0.06
191406,0.14,0.08
191407,0.01,-0.01
191408,0.01,-0.04
191409,0.01,-0.19
191410,0.59,0.11
191411,0.50,-0.69
191412,3.84,1.75
191501,5.16,2.30
191502,4.59,1.64
191503,0.84,-1.58
191504,1.37,0.37
191505,0.90,0.65
191506,0.00,-0.06
191507,0.00,-0.02
191508,0.05,0.00
191509,0.17,-0.03
191510,0.00,-0.48
191511,0.88,-0.31
191512,2.93,0.84
191601,12.21,9.35
191602,1.36,-1.59
191603,1.43,-0.99
191604,0.12,-0.88
191605,0.12,-0.13
191606,0.00,-0.06
191607,0.03,0.01
191608,0.06,0.01
191609,0.60,0.40
191610,1.67,1.19
191611,0.10,-1.09
191612,3.21,1.12
191701,2.74,-0.12
191702,3.00,0.05
191703,0.21,-2.21
191704,0.65,-0.35
191705,0.28,0.03
191706,0.00,-0.06
191707,0.08,0.06
191708,0.02,-0.03
191709,0.01,-0.19
191710,0.10,-0.38
191711,0.38,-0.81
191712,0.01,-2.08
191801,1.04,-1.82
191802,3.32,0.37
191803,5.32,2.90
191804,0.09,-0.91
191805,0.46,0.21
191806,0.06,0.00
191807,0.08,0.06
191808,0.11,0.06
191809,0.54,0.34
191810,0.24,-0.24
191811,1.98,0.79
191812,0.71,-1.38
191901,0.68,-2.18
191902,1.93,-1.02
191903,1.94,-0.48
191904,0.43,-0.57
