Placer County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,18.58,9.87
189502,6.38,-1.54
189503,3.82,-2.96
189504,3.38,-0.14
189505,3.46,1.45
189506,0.02,-0.69
189507,0.20,0.11
189508,0.20,0.05
189509,2.67,1.96
189510,0.30,-2.19
189511,2.36,-2.99
189512,5.61,-1.71
189601,17.83,9.12
189602,0.60,-7.32
189603,9.09,2.31
189604,12.42,8.90
189605,4.23,2.22
189606,0.07,-0.64
189607,0.27,0.18
189608,0.51,0.36
189609,1.10,0.39
189610,1.74,-0.75
189611,12.04,6.69
189612,5.12,-2.20
189701,4.71,-4.00
189702,15.07,7.15
189703,10.23,3.45
189704,1.66,-1.86
189705,0.53,-1.48
189706,1.20,0.49
189707,0.06,-0.03
189708,0.14,-0.01
189709,0.38,-0.33
189710,3.85,1.36
189711,3.72,-1.63
189712,4.85,-2.47
189801,1.93,-6.78
189802,7.40,-0.52
189803,1.84,-4.94
189804,1.00,-2.52
189805,2.68,0.67
189806,1.22,0.51
189807,0.02,-0.07
189808,0.06,-0.09
189809,0.51,-0.20
189810,1.97,-0.52
189811,4.13,-1.22
189812,2.61,-4.71
189901,8.34,-0.37
189902,0.87,-7.05
189903,15.48,8.70
189904,1.40,-2.12
189905,2.39,0.38
189906,1.16,0.45
189907,0.00,-0.09
189908,0.50,0.35
189909,0.01,-0.70
189910,9.33,6.84
189911,8.90,3.55
189912,9.17,1.85
190001,5.26,-3.45
190002,2.82,-5.10
190003,6.05,-0.73
190004,4.68,1.16
190005,2.40,0.39
190006,0.19,-0.52
190007,0.11,0.02
190008,0.05,-0.10
190009,0.70,-0.01
190010,5.35,2.86
190011,9.55,4.20
190012,3.71,-3.61
190101,9.49,0.78
190102,12.67,4.75
190103,2.40,-4.38
190104,5.65,2.13
190105,1.41,-0.60
190106,0.06,-0.65
190107,0.00,-0.09
190108,0.13,-0.02
190109,2.99,2.28
190110,3.72,1.23
190111,5.29,-0.06
190112,4.96,-2.36
190201,1.57,-7.14
190202,15.72,7.80
190203,6.22,-0.56
190204,3.49,-0.03
190205,1.56,-0.45
190206,0.38,-0.33
190207,0.03,-0.06
190208,0.10,-0.05
190209,0.00,-0.71
190210,3.76,1.27
190211,5.81,0.46
190212,6.98,-0.34
190301,11.69,2.98
190302,3.21,-4.71
190303,12.53,5.75
190304,1.76,-1.76
190305,0.67,-1.34
190306,0.12,-0.59
190307,0.00,-0.09
190308,0.03,-0.12
190309,0.06,-0.65
190310,1.38,-1.11
190311,13.28,7.93
190312,2.09,-5.23
190401,3.16,-5.55
190402,22.49,14.57
190403,16.58,9.80
190404,3.62,0.10
190405,0.59,-1.42
190406,0.01,-0.70
190407,0.03,-0.06
190408,0.22,0.07
190409,3.81,3.10
190410,6.30,3.81
190411,3.11,-2.24
190412,5.01,-2.31
190501,4.70,-4.01
190502,5.06,-2.86
190503,8.60,1.82
190504,2.74,-0.78
190505,3.49,1.48
190506,0.20,-0.51
190507,0.00,-0.09
190508,0.11,-0.04
190509,0.19,-0.52
190510,0.04,-2.45
190511,3.28,-2.07
190512,2.88,-4.44
190601,17.40,8.69
190602,8.83,0.91
190603,14.88,8.10
190604,3.27,-0.25
190605,7.01,5.00
190606,2.40,1.69
190607,0.01,-0.08
190608,0.11,-0.04
190609,0.36,-0.35
190610,0.19,-2.30
190611,3.49,-1.86
190612,15.94,8.62
190701,9.92,1.21
190702,8.23,0.31
190703,24.41,17.63
190704,1.81,-1.71
190705,1.21,-0.80
190706,2.98,2.27
190707,0.00,-0.09
190708,0.00,-0.15
190709,0.03,-0.68
190710,1.24,-1.25
190711,0.27,-5.08
190712,10.88,3.56
190801,5.19,-3.52
190802,4.62,-3.30
190803,3.97,-2.81
190804,0.88,-2.64
190805,4.04,2.03
190806,0.60,-0.11
190807,0.03,-0.06
190808,0.03,-0.12
190809,0.31,-0.40
190810,2.83,0.34
190811,2.90,-2.45
190812,3.36,-3.96
190901,29.48,20.77
190902,12.82,4.90
190903,4.63,-2.15
190904,0.38,-3.14
190905,0.81,-1.20
190906,0.49,-0.22
190907,0.00,-0.09
190908,0.00,-0.15
190909,0.30,-0.41
190910,3.80,1.31
190911,9.22,3.87
190912,11.30,3.98
191001,8.09,-0.62
191002,5.58,-2.34
191003,5.35,-1.43
191004,1.41,-2.11
191005,0.29,-1.72
191006,0.04,-0.67
191007,0.07,-0.02
191008,0.00,-0.15
191009,1.49,0.78
191010,1.28,-1.21
191011,2.69,-2.66
191012,4.80,-2.52
191101,29.71,21.00
191102,6.10,-1.82
191103,11.01,4.23
191104,3.76,0.24
191105,1.07,-0.94
191106,0.36,-0.35
191107,0.01,-0.08
191108,0.00,-0.15
191109,0.07,-0.64
191110,0.77,-1.72
191111,2.20,-3.15
191112,2.87,-4.45
191201,5.31,-3.40
191202,0.48,-7.44
191203,5.85,-0.93
191204,4.84,1.32
191205,4.29,2.28
191206,0.98,0.27
191207,0.16,0.07
191208,0.00,-0.15
191209,2.51,1.80
191210,2.11,-0.38
191211,4.99,-0.36
191212,2.70,-4.62
191301,8.37,-0.34
191302,1.01,-6.91
191303,3.27,-3.51
191304,2.67,-0.85
191305,2.54,0.53
191306,0.50,-0.21
191307,0.40,0.31
191308,0.21,0.06
191309,0.05,-0.66
191310,0.04,-2.45
191311,6.81,1.46
191312,11.53,4.21
191401,20.36,11.65
191402,7.42,-0.50
191403,1.06,-5.72
191404,3.34,-0.18
191405,1.54,-0.47
191406,1.89,1.18
191407,0.02,-0.07
191408,0.00,-0.15
191409,0.07,-0.64
191410,2.68,0.19
191411,0.87,-4.48
191412,5.60,-1.72
191501,8.79,0.08
191502,15.78,7.86
191503,2.59,-4.19
191504,2.24,-1.28
191505,8.39,6.38
191506,0.02,-0.69
191507,0.09,0.00
191508,0.03,-0.12
191509,0.05,-0.66
191510,0.10,-2.39
191511,2.83,-2.52
191512,8.65,1.33
191601,23.21,14.50
191602,6.77,-1.15
191603,5.56,-1.22
191604,0.49,-3.03
191605,1.10,-0.91
191606,0.02,-0.69
191607,0.25,0.16
191608,0.12,-0.03
191609,0.73,0.02
191610,2.31,-0.18
191611,3.38,-1.97
191612,9.82,2.50
191701,3.19,-5.52
191702,11.93,4.01
191703,3.79,-2.99
191704,3.77,0.25
191705,1.10,-0.91
191706,0.00,-0.71
191707,0.17,0.08
191708,0.01,-0.14
191709,0.23,-0.48
191710,0.03,-2.46
191711,1.67,-3.68
191712,2.92,-4.40
191801,1.56,-7.15
191802,11.81,3.89
191803,10.89,4.11
191804,2.05,-1.47
191805,0.29,-1.72
191806,0.18,-0.53
191807,0.01,-0.08
191808,0.03,-0.12
191809,3.89,3.18
191810,2.41,-0.08
191811,4.68,-0.67
191812,2.23,-5.09
191901,3.45,-5.26
191902,16.94,9.02
191903,5.40,-1.38
191904,1.44,-2.08
