Plumas County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,21.91,14.15
189502,4.17,-2.56
189503,4.46,-1.21
189504,2.44,-0.49
189505,4.04,2.02
189506,0.01,-0.92
189507,0.48,0.26
189508,0.46,0.19
189509,3.87,3.03
189510,0.32,-2.04
189511,2.23,-2.63
189512,5.98,-0.65
189601,18.34,10.58
189602,0.75,-5.98
189603,7.95,2.28
189604,11.08,8.15
189605,4.88,2.86
189606,0.06,-0.87
189607,0.41,0.19
189608,0.47,0.20
189609,1.73,0.89
189610,1.29,-1.07
189611,10.78,5.92
189612,6.77,0.14
189701,3.49,-4.27
189702,9.78,3.05
189703,7.95,2.28
189704,1.37,-1.56
189705,1.21,-0.81
189706,1.64,0.71
189707,0.04,-0.18
189708,0.13,-0.14
189709,0.86,0.02
189710,3.60,1.24
189711,5.83,0.97
189712,4.41,-2.22
189801,1.42,-6.34
189802,8.11,1.38
189803,0.78,-4.89
189804,1.01,-1.92
189805,3.32,1.30
189806,2.15,1.22
189807,0.12,-0.10
189808,0.05,-0.22
189809,0.32,-0.52
189810,1.69,-0.67
189811,3.16,-1.70
189812,1.87,-4.76
189901,8.21,0.45
189902,0.80,-5.93
189903,10.14,4.47
189904,1.29,-1.64
189905,2.51,0.49
189906,0.49,-0.44
189907,0.06,-0.16
189908,0.96,0.69
189909,0.01,-0.83
189910,10.82,8.46
189911,8.40,3.54
189912,8.38,1.75
190001,5.85,-1.91
190002,2.20,-4.53
190003,6.44,0.77
190004,3.82,0.89
190005,1.50,-0.52
190006,0.49,-0.44
190007,0.23,0.01
190008,0.04,-0.23
190009,0.35,-0.49
190010,6.61,4.25
190011,7.74,2.88
190012,4.76,-1.87
190101,9.60,1.84
190102,8.95,2.22
190103,2.50,-3.17
190104,5.52,2.59
190105,1.30,-0.72
190106,0.13,-0.80
190107,0.00,-0.22
190108,0.49,0.22
190109,2.89,2.05
190110,3.81,1.45
190111,5.00,0.14
190112,4.49,-2.14
190201,1.39,-6.37
190202,14.95,8.22
190203,5.45,-0.22
190204,3.68,0.75
190205,1.39,-0.63
190206,0.11,-0.82
190207,0.44,0.22
190208,0.11,-0.16
190209,0.06,-0.78
190210,4.22,1.86
190211,7.37,2.51
190212,7.39,0.76
190301,9.47,1.71
190302,2.59,-4.14
190303,8.43,2.76
190304,1.00,-1.93
190305,0.84,-1.18
190306,0.67,-0.26
190307,0.00,-0.22
190308,0.02,-0.25
190309,0.38,-0.46
190310,1.45,-0.91
190311,13.79,8.93
190312,3.13,-3.50
190401,2.60,-5.16
190402,20.54,13.81
190403,12.58,6.91
190404,2.97,0.04
190405,0.87,-1.15
190406,0.06,-0.87
190407,0.17,-0.05
190408,0.40,0.13
190409,3.54,2.70
190410,4.95,2.59
190411,3.15,-1.71
190412,7.82,1.19
190501,5.50,-2.26
190502,4.74,-1.99
190503,9.08,3.41
190504,1.59,-1.34
190505,2.08,0.06
190506,0.59,-0.34
190507,0.01,-0.21
190508,0.74,0.47
190509,0.76,-0.08
190510,0.18,-2.18
190511,2.89,-1.97
190512,2.30,-4.33
190601,17.14,9.38
190602,7.32,0.59
190603,13.97,8.30
190604,1.63,-1.30
190605,6.48,4.46
190606,2.06,1.13
190607,0.21,-0.01
190608,0.65,0.38
190609,0.54,-0.30
190610,0.19,-2.17
190611,3.69,-1.17
190612,15.45,8.82
190701,11.10,3.34
190702,5.86,-0.87
190703,24.31,18.64
190704,2.89,-0.04
190705,1.88,-0.14
190706,3.28,2.35
190707,0.00,-0.22
190708,0.08,-0.19
190709,0.23,-0.61
190710,1.93,-0.43
190711,0.63,-4.23
190712,9.71,3.08
190801,5.59,-2.17
190802,4.58,-2.15
190803,3.42,-2.25
190804,0.65,-2.28
190805,5.43,3.41
190806,0.72,-0.21
190807,0.06,-0.16
190808,0.10,-0.17
190809,0.74,-0.10
190810,2.97,0.61
190811,3.29,-1.57
190812,3.13,-3.50
190901,29.78,22.02
190902,9.51,2.78
190903,4.74,-0.93
190904,0.26,-2.67
190905,0.91,-1.11
190906,0.68,-0.25
190907,0.00,-0.22
190908,0.09,-0.18
190909,1.20,0.36
190910,3.55,1.19
190911,7.15,2.29
190912,9.18,2.55
191001,7.58,-0.18
191002,3.57,-3.16
191003,3.98,-1.69
191004,0.51,-2.42
191005,0.31,-1.71
191006,0.05,-0.88
191007,0.18,-0.04
191008,0.00,-0.27
191009,1.82,0.98
191010,1.19,-1.17
191011,3.72,-1.14
191012,5.29,-1.34
191101,25.72,17.96
191102,3.64,-3.09
191103,9.31,3.64
191104,3.98,1.05
191105,1.26,-0.76
191106,0.36,-0.57
191107,0.35,0.13
191108,0.00,-0.27
191109,0.50,-0.34
191110,0.64,-1.72
191111,1.93,-2.93
191112,2.71,-3.92
191201,4.50,-3.26
191202,0.48,-6.25
191203,4.85,-0.82
191204,4.27,1.34
191205,4.05,2.03
191206,1.21,0.28
191207,0.17,-0.05
191208,0.20,-0.07
191209,2.88,2.04
191210,1.40,-0.96
191211,5.20,0.34
191212,2.93,-3.70
191301,7.94,0.18
191302,1.26,-5.47
191303,4.01,-1.66
191304,3.23,0.30
191305,1.61,-0.41
191306,2.02,1.09
191307,1.12,0.90
191308,0.56,0.29
191309,0.05,-0.79
191310,0.07,-2.29
191311,7.13,2.27
191312,14.22,7.59
191401,19.35,11.59
191402,8.27,1.54
191403,1.13,-4.54
191404,3.77,0.84
191405,1.11,-0.91
191406,1.49,0.56
191407,0.03,-0.19
191408,0.00,-0.27
191409,0.04,-0.80
191410,2.32,-0.04
191411,1.21,-3.65
191412,5.47,-1.16
191501,7.86,0.10
191502,12.36,5.63
191503,2.83,-2.84
191504,1.40,-1.53
191505,7.90,5.88
191506,0.03,-0.90
191507,0.31,0.09
191508,0.06,-0.21
191509,0.09,-0.75
191510,0.29,-2.07
191511,3.52,-1.34
191512,8.48,1.85
191601,20.02,12.26
191602,4.96,-1.77
191603,4.32,-1.35
191604,1.17,-1.76
191605,2.12,0.10
191606,0.51,-0.42
191607,0.44,0.22
191608,0.16,-0.11
191609,0.58,-0.26
191610,2.23,-0.13
191611,3.62,-1.24
191612,7.73,1.10
191701,2.22,-5.54
191702,9.21,2.48
191703,3.69,-1.98
191704,4.20,1.27
191705,1.85,-0.17
191706,0.01,-0.92
191707,0.22,0.00
191708,0.11,-0.16
191709,0.24,-0.60
191710,0.01,-2.35
191711,2.88,-1.98
191712,2.51,-4.12
191801,1.09,-6.67
191802,9.44,2.71
191803,7.86,2.19
191804,1.48,-1.45
191805,0.84,-1.18
191806,0.09,-0.84
191807,0.02,-0.20
191808,0.03,-0.24
191809,4.19,3.35
191810,2.41,0.05
191811,2.61,-2.25
191812,1.85,-4.78
191901,3.79,-3.97
191902,13.10,6.37
191903,4.69,-0.98
191904,1.55,-1.38
191905,0.22,-1.80
