Riverside County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,4.75,3.21
189502,0.77,-0.80
189503,1.06,-0.25
189504,0.22,-0.31
189505,0.15,-0.01
189506,0.01,-0.02
189507,0.02,-0.24
189508,0.31,-0.16
189509,0.01,-0.33
189510,0.17,-0.24
189511,0.93,0.29
189512,0.26,-0.97
189601,1.25,-0.29
189602,0.05,-1.52
189603,1.88,0.57
189604,0.26,-0.27
189605,0.15,-0.01
189606,0.00,-0.03
189607,0.21,-0.05
189608,0.61,0.14
189609,0.21,-0.13
189610,1.31,0.90
189611,0.62,-0.02
189612,1.10,-0.13
189701,3.04,1.50
189702,2.21,0.64
189703,1.41,0.10
189704,0.03,-0.50
189705,0.04,-0.12
189706,0.00,-0.03
189707,0.15,-0.11
189708,0.69,0.22
189709,0.57,0.23
189710,1.16,0.75
189711,0.11,-0.53
189712,0.46,-0.77
189801,1.35,-0.19
189802,0.24,-1.33
189803,0.73,-0.58
189804,0.18,-0.35
189805,0.62,0.46
189806,0.03,0.00
189807,0.31,0.05
189808,0.58,0.11
189809,0.02,-0.32
189810,0.01,-0.40
189811,0.18,-0.46
189812,1.16,-0.07
189901,1.39,-0.15
189902,0.32,-1.25
189903,0.80,-0.51
189904,0.06,-0.47
189905,0.09,-0.07
189906,0.17,0.14
189907,0.01,-0.25
189908,0.04,-0.43
189909,0.02,-0.32
189910,0.56,0.15
189911,0.86,0.22
189912,0.45,-0.78
190001,1.02,-0.52
190002,0.05,-1.52
190003,0.41,-0.90
190004,0.86,0.33
190005,0.65,0.49
190006,0.00,-0.03
190007,0.40,0.14
190008,0.01,-0.46
190009,0.10,-0.24
190010,0.27,-0.14
190011,2.29,1.65
190012,0.00,-1.23
190101,1.58,0.04
190102,3.66,2.09
190103,0.30,-1.01
190104,0.13,-0.40
190105,0.47,0.31
190106,0.01,-0.02
190107,0.00,-0.26
190108,0.64,0.17
190109,0.03,-0.31
190110,0.55,0.14
190111,0.13,-0.51
190112,0.01,-1.22
190201,1.06,-0.48
190202,1.14,-0.43
190203,1.55,0.24
190204,0.18,-0.35
190205,0.04,-0.12
190206,0.05,0.02
190207,0.53,0.27
190208,0.03,-0.44
190209,0.01,-0.33
190210,0.07,-0.34
190211,1.02,0.38
190212,1.52,0.29
190301,0.76,-0.78
190302,1.23,-0.34
190303,2.43,1.12
190304,1.47,0.94
190305,0.05,-0.11
190306,0.00,-0.03
190307,0.03,-0.23
190308,0.37,-0.10
190309,0.62,0.28
190310,0.03,-0.38
190311,0.00,-0.64
190312,0.01,-1.22
190401,0.14,-1.40
190402,0.87,-0.70
190403,1.94,0.63
190404,0.35,-0.18
190405,0.14,-0.02
190406,0.00,-0.03
190407,0.38,0.12
190408,1.05,0.58
190409,0.06,-0.28
190410,0.10,-0.31
190411,0.00,-0.64
190412,0.64,-0.59
190501,2.87,1.33
190502,5.04,3.47
190503,3.14,1.83
190504,0.45,-0.08
190505,0.54,0.38
190506,0.00,-0.03
190507,0.04,-0.22
190508,0.35,-0.12
190509,0.26,-0.08
190510,0.06,-0.35
190511,1.93,1.29
190512,0.41,-0.82
190601,0.92,-0.62
190602,2.33,0.76
190603,4.62,3.31
190604,1.09,0.56
190605,0.30,0.14
190606,0.01,-0.02
190607,0.16,-0.10
190608,1.33,0.86
190609,0.11,-0.23
190610,0.02,-0.39
190611,1.25,0.61
190612,3.53,2.30
190701,2.37,0.83
190702,1.03,-0.54
190703,2.75,1.44
190704,0.21,-0.32
190705,0.08,-0.08
190706,0.06,0.03
190707,0.06,-0.20
190708,0.02,-0.45
190709,0.00,-0.34
190710,1.90,1.49
190711,0.08,-0.56
190712,0.32,-0.91
190801,2.28,0.74
190802,1.76,0.19
190803,0.66,-0.65
190804,0.22,-0.31
190805,0.07,-0.09
190806,0.00,-0.03
190807,0.17,-0.09
190808,1.02,0.55
190809,1.00,0.66
190810,0.36,-0.05
190811,0.17,-0.47
190812,0.83,-0.40
190901,2.47,0.93
190902,1.82,0.25
190903,1.54,0.23
190904,0.08,-0.45
190905,0.05,-0.11
190906,0.02,-0.01
190907,0.22,-0.04
190908,2.12,1.65
190909,0.66,0.32
190910,0.02,-0.39
190911,0.98,0.34
190912,2.80,1.57
191001,1.66,0.12
191002,0.10,-1.47
191003,0.77,-0.54
191004,0.13,-0.40
191005,0.00,-0.16
191006,0.00,-0.03
191007,0.50,0.24
191008,0.24,-0.23
191009,0.10,-0.24
191010,0.44,0.03
191011,0.82,0.18
191012,0.10,-1.13
191101,2.66,1.12
191102,2.61,1.04
191103,1.00,-0.31
191104,0.43,-0.10
191105,0.06,-0.10
191106,0.00,-0.03
191107,0.54,0.28
191108,0.05,-0.42
191109,0.51,0.17
191110,0.31,-0.10
191111,0.06,-0.58
191112,0.53,-0.70
191201,0.12,-1.42
191202,0.00,-1.57
191203,4.07,2.76
191204,1.34,0.81
191205,0.49,0.33
191206,0.04,0.01
191207,0.42,0.16
191208,0.52,0.05
191209,0.01,-0.33
191210,1.02,0.61
191211,0.26,-0.38
191212,0.11,-1.12
191301,0.74,-0.80
191302,2.52,0.95
191303,0.29,-1.02
191304,0.17,-0.36
191305,0.08,-0.08
191306,0.05,0.02
191307,0.69,0.43
191308,0.77,0.30
191309,0.29,-0.05
191310,0.01,-0.40
191311,1.16,0.52
191312,0.45,-0.78
191401,3.46,1.92
191402,2.58,1.01
191403,0.56,-0.75
191404,0.97,0.44
191405,0.09,-0.07
191406,0.08,0.05
191407,0.36,0.10
191408,0.02,-0.45
191409,0.03,-0.31
191410,0.65,0.24
191411,0.72,0.08
191412,2.29,1.06
191501,4.38,2.84
191502,3.04,1.47
191503,0.58,-0.73
191504,1.12,0.59
191505,0.41,0.25
191506,0.00,-0.03
191507,0.16,-0.10
191508,0.73,0.26
191509,0.19,-0.15
191510,0.00,-0.41
191511,0.42,-0.22
191512,1.16,-0.07
191601,7.17,5.63
191602,0.51,-1.06
191603,0.82,-0.49
191604,0.06,-0.47
191605,0.12,-0.04
191606,0.00,-0.03
191607,0.25,-0.01
191608,0.59,0.12
191609,0.76,0.42
191610,0.85,0.44
191611,0.06,-0.58
191612,1.37,0.14
191701,2.00,0.46
191702,1.40,-0.17
191703,0.31,-1.00
191704,0.72,0.19
191705,0.25,0.09
191706,0.00,-0.03
191707,0.95,0.69
191708,0.35,-0.12
191709,0.03,-0.31
191710,0.02,-0.39
191711,0.19,-0.45
191712,0.00,-1.23
191801,0.73,-0.81
191802,1.32,-0.25
191803,3.56,2.25
191804,0.10,-0.43
191805,0.15,-0.01
191806,0.14,0.11
191807,0.41,0.15
191808,0.76,0.29
191809,0.11,-0.23
191810,0.55,0.14
191811,0.72,0.08
191812,1.02,-0.21
191901,0.27,-1.27
191902,1.24,-0.33
191903,1.35,0.04
191904,0.23,-0.30
191905,0.21,0.05
