Sacramento County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,8.93,5.03
189502,2.38,-1.11
189503,1.66,-1.15
189504,1.40,-0.02
189505,1.07,0.39
189506,0.00,-0.17
189507,0.07,0.06
189508,0.01,-0.01
189509,1.05,0.83
189510,0.12,-0.79
189511,1.50,-0.61
189512,1.55,-1.40
189601,9.24,5.34
189602,0.20,-3.29
189603,2.89,0.08
189604,5.62,4.20
189605,1.13,0.45
189606,0.01,-0.16
189607,0.02,0.01
189608,0.19,0.17
189609,0.36,0.14
189610,0.90,-0.01
189611,4.22,2.11
189612,1.93,-1.02
189701,3.41,-0.49
189702,5.62,2.13
189703,3.78,0.97
189704,0.49,-0.93
189705,0.23,-0.45
189706,0.14,-0.03
189707,0.00,-0.01
189708,0.03,0.01
189709,0.12,-0.10
189710,1.75,0.84
189711,0.93,-1.18
189712,1.60,-1.35
189801,0.99,-2.91
189802,3.07,-0.42
189803,0.45,-2.36
189804,0.37,-1.05
189805,1.66,0.98
189806,0.20,0.03
189807,0.00,-0.01
189808,0.00,-0.02
189809,0.35,0.13
189810,0.72,-0.19
189811,0.97,-1.14
189812,1.74,-1.21
189901,4.20,0.30
189902,0.16,-3.33
189903,7.15,4.34
189904,0.54,-0.88
189905,0.81,0.13
189906,0.45,0.28
189907,0.00,-0.01
189908,0.06,0.04
189909,0.01,-0.21
189910,4.18,3.27
189911,3.60,1.49
189912,2.94,-0.01
190001,3.24,-0.66
190002,0.78,-2.71
190003,2.01,-0.80
190004,2.09,0.67
190005,2.07,1.39
190006,0.02,-0.15
190007,0.01,0.00
190008,0.00,-0.02
190009,0.12,-0.10
190010,1.83,0.92
190011,4.65,2.54
190012,1.30,-1.65
190101,3.95,0.05
190102,5.90,2.41
190103,0.67,-2.14
190104,2.44,1.02
190105,0.94,0.26
190106,0.00,-0.17
190107,0.00,-0.01
190108,0.01,-0.01
190109,0.66,0.44
190110,1.58,0.67
190111,2.67,0.56
190112,1.41,-1.54
190201,0.83,-3.07
190202,7.31,3.82
190203,2.52,-0.29
190204,1.52,0.10
190205,0.82,0.14
190206,0.04,-0.13
190207,0.00,-0.01
190208,0.00,-0.02
190209,0.00,-0.22
190210,1.59,0.68
190211,2.12,0.01
190212,2.57,-0.38
190301,4.07,0.17
190302,1.69,-1.80
190303,6.55,3.74
190304,0.60,-0.82
190305,0.03,-0.65
190306,0.00,-0.17
190307,0.00,-0.01
190308,0.00,-0.02
190309,0.00,-0.22
190310,0.16,-0.75
190311,4.40,2.29
190312,1.20,-1.75
190401,0.90,-3.00
190402,7.12,3.63
190403,6.68,3.87
190404,1.62,0.20
190405,0.15,-0.53
190406,0.00,-0.17
190407,0.00,-0.01
190408,0.09,0.07
190409,1.36,1.14
190410,2.42,1.51
190411,1.98,-0.13
190412,1.51,-1.44
190501,3.33,-0.57
190502,2.75,-0.74
190503,3.97,1.16
190504,1.30,-0.12
190505,2.77,2.09
190506,0.01,-0.16
190507,0.00,-0.01
190508,0.00,-0.02
190509,0.02,-0.20
190510,0.00,-0.91
190511,1.17,-0.94
190512,0.84,-2.11
190601,7.23,3.33
190602,3.77,0.28
190603,7.98,5.17
190604,1.71,0.29
190605,2.75,2.07
190606,0.67,0.50
190607,0.00,-0.01
190608,0.00,-0.02
190609,0.15,-0.07
190610,0.00,-0.91
190611,1.24,-0.87
190612,8.36,5.41
190701,4.64,0.74
190702,3.48,-0.01
190703,8.50,5.69
190704,0.46,-0.96
190705,0.25,-0.43
190706,0.86,0.69
190707,0.00,-0.01
190708,0.00,-0.02
190709,0.01,-0.21
190710,0.74,-0.17
190711,0.09,-2.02
190712,3.25,0.30
190801,4.01,0.11
190802,2.49,-1.00
190803,0.67,-2.14
190804,0.19,-1.23
190805,0.95,0.27
190806,0.06,-0.11
190807,0.00,-0.01
190808,0.00,-0.02
190809,0.05,-0.17
190810,0.56,-0.35
190811,1.30,-0.81
190812,1.71,-1.24
190901,11.05,7.15
190902,6.56,3.07
190903,2.22,-0.59
190904,0.00,-1.42
190905,0.01,-0.67
190906,0.09,-0.08
190907,0.00,-0.01
190908,0.00,-0.02
190909,0.20,-0.02
190910,1.10,0.19
190911,2.14,0.03
190912,4.30,1.35
191001,3.00,-0.90
191002,1.77,-1.72
191003,3.05,0.24
191004,0.28,-1.14
191005,0.08,-0.60
191006,0.01,-0.16
191007,0.00,-0.01
191008,0.00,-0.02
191009,0.33,0.11
191010,0.54,-0.37
191011,0.36,-1.75
191012,1.52,-1.43
191101,14.79,10.89
191102,2.41,-1.08
191103,4.54,1.73
191104,0.90,-0.52
191105,0.10,-0.58
191106,0.07,-0.10
191107,0.00,-0.01
191108,0.00,-0.02
191109,0.01,-0.21
191110,0.26,-0.65
191111,0.36,-1.75
191112,1.23,-1.72
191201,2.76,-1.14
191202,0.22,-3.27
191203,2.31,-0.50
191204,2.19,0.77
191205,1.36,0.68
191206,0.53,0.36
191207,0.02,0.01
191208,0.00,-0.02
191209,1.02,0.80
191210,0.62,-0.29
191211,1.31,-0.80
191212,0.51,-2.44
191301,3.16,-0.74
191302,0.17,-3.32
191303,1.49,-1.32
191304,0.76,-0.66
191305,0.76,0.08
191306,0.05,-0.12
191307,0.01,0.00
191308,0.01,-0.01
191309,0.00,-0.22
191310,0.07,-0.84
191311,4.08,1.97
191312,4.41,1.46
191401,8.34,4.44
191402,3.51,0.02
191403,0.67,-2.14
191404,0.87,-0.55
191405,0.75,0.07
191406,0.70,0.53
191407,0.00,-0.01
191408,0.00,-0.02
191409,0.00,-0.22
191410,0.98,0.07
191411,0.34,-1.77
191412,4.10,1.15
191501,4.52,0.62
191502,5.76,2.27
191503,1.49,-1.32
191504,0.74,-0.68
191505,3.26,2.58
191506,0.00,-0.17
191507,0.00,-0.01
191508,0.00,-0.02
191509,0.02,-0.20
191510,0.00,-0.91
191511,0.85,-1.26
191512,4.73,1.78
191601,10.16,6.26
191602,3.19,-0.30
191603,1.46,-1.35
191604,0.10,-1.32
191605,0.20,-0.48
191606,0.01,-0.16
191607,0.04,0.03
191608,0.04,0.02
191609,0.14,-0.08
191610,0.92,0.01
191611,0.76,-1.35
191612,3.56,0.61
191701,1.31,-2.59
191702,4.81,1.32
191703,0.84,-1.97
191704,0.84,-0.58
191705,0.15,-0.53
191706,0.00,-0.17
191707,0.01,0.00
191708,0.00,-0.02
191709,0.33,0.11
191710,0.00,-0.91
191711,0.41,-1.70
191712,0.81,-2.14
191801,0.94,-2.96
191802,4.12,0.63
191803,4.22,1.41
191804,1.03,-0.39
191805,0.06,-0.62
191806,0.00,-0.17
191807,0.00,-0.01
191808,0.00,-0.02
191809,1.35,1.13
191810,0.40,-0.51
191811,2.07,-0.04
191812,1.65,-1.30
191901,1.73,-2.17
191902,7.15,3.66
191903,1.75,-1.06
191904,0.14,-1.28
