San Benito County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,6.93,3.48
189502,1.80,-1.52
189503,2.21,-0.60
189504,1.46,0.20
189505,0.83,0.38
189506,0.00,-0.07
189507,0.02,0.01
189508,0.01,-0.01
189509,0.15,-0.05
189510,0.93,0.27
189511,1.25,-0.42
189512,1.26,-1.55
189601,7.18,3.73
189602,0.13,-3.19
189603,2.45,-0.36
189604,2.85,1.59
189605,0.74,0.29
189606,0.00,-0.07
189607,0.10,0.09
189608,0.17,0.15
189609,0.15,-0.05
189610,1.85,1.19
189611,2.70,1.03
189612,2.39,-0.42
189701,2.13,-1.32
189702,4.14,0.82
189703,3.99,1.18
189704,0.43,-0.83
189705,0.06,-0.39
189706,0.13,0.06
189707,0.01,0.00
189708,0.05,0.03
189709,0.08,-0.12
189710,1.26,0.60
189711,0.56,-1.11
189712,1.60,-1.21
189801,1.01,-2.44
189802,1.57,-1.75
189803,0.80,-2.01
189804,0.21,-1.05
189805,0.94,0.49
189806,0.01,-0.06
189807,0.00,-0.01
189808,0.00,-0.02
189809,0.62,0.42
189810,0.29,-0.37
189811,0.41,-1.26
189812,1.41,-1.40
189901,3.52,0.07
189902,0.29,-3.03
189903,5.28,2.47
189904,0.94,-0.32
189905,0.58,0.13
189906,0.35,0.28
189907,0.00,-0.01
189908,0.05,0.03
189909,0.00,-0.20
189910,3.08,2.42
189911,2.28,0.61
189912,2.49,-0.32
190001,1.77,-1.68
190002,0.27,-3.05
190003,1.39,-1.42
190004,1.85,0.59
190005,1.13,0.68
190006,0.02,-0.05
190007,0.02,0.01
190008,0.00,-0.02
190009,0.03,-0.17
190010,1.45,0.79
190011,6.60,4.93
190012,1.13,-1.68
190101,3.73,0.28
190102,4.50,1.18
190103,1.03,-1.78
190104,1.64,0.38
190105,1.09,0.64
190106,0.00,-0.07
190107,0.00,-0.01
190108,0.00,-0.02
190109,0.58,0.38
190110,0.63,-0.03
190111,1.67,0.00
190112,0.41,-2.40
190201,1.16,-2.29
190202,5.74,2.42
190203,2.93,0.12
190204,1.59,0.33
190205,0.33,-0.12
190206,0.00,-0.07
190207,0.00,-0.01
190208,0.00,-0.02
190209,0.00,-0.20
190210,0.68,0.02
190211,2.34,0.67
190212,1.13,-1.68
190301,2.74,-0.71
190302,1.25,-2.07
190303,5.54,2.73
190304,0.79,-0.47
190305,0.00,-0.45
190306,0.00,-0.07
190307,0.00,-0.01
190308,0.00,-0.02
190309,0.01,-0.19
190310,0.04,-0.62
190311,1.50,-0.17
190312,0.45,-2.36
190401,0.92,-2.53
190402,4.11,0.79
190403,4.06,1.25
190404,1.89,0.63
190405,0.19,-0.26
190406,0.00,-0.07
190407,0.00,-0.01
190408,0.11,0.09
190409,1.35,1.15
190410,1.87,1.21
190411,0.64,-1.03
190412,1.80,-1.01
190501,2.76,-0.69
190502,4.17,0.85
190503,4.22,1.41
190504,0.87,-0.39
190505,2.22,1.77
190506,0.00,-0.07
190507,0.00,-0.01
190508,0.00,-0.02
190509,0.02,-0.18
190510,0.00,-0.66
190511,1.77,0.10
190512,0.92,-1.89
190601,3.64,0.19
190602,4.02,0.70
190603,7.12,4.31
190604,1.19,-0.07
190605,2.25,1.80
190606,0.13,0.06
190607,0.00,-0.01
190608,0.00,-0.02
190609,0.07,-0.13
190610,0.00,-0.66
190611,1.57,-0.10
190612,7.19,4.38
190701,7.91,4.46
190702,1.72,-1.60
190703,7.90,5.09
190704,0.21,-1.05
190705,0.11,-0.34
190706,0.23,0.16
190707,0.00,-0.01
190708,0.00,-0.02
190709,0.08,-0.12
190710,2.64,1.98
190711,0.01,-1.66
190712,3.49,0.68
190801,4.18,0.73
190802,2.55,-0.77
190803,0.97,-1.84
190804,0.49,-0.77
190805,0.55,0.10
190806,0.01,-0.06
190807,0.00,-0.01
190808,0.00,-0.02
190809,0.28,0.08
190810,0.34,-0.32
190811,1.39,-0.28
190812,1.45,-1.36
190901,9.35,5.90
190902,4.51,1.19
190903,3.64,0.83
190904,0.00,-1.26
190905,0.00,-0.45
190906,0.03,-0.04
190907,0.00,-0.01
190908,0.00,-0.02
190909,0.13,-0.07
190910,0.64,-0.02
190911,1.43,-0.24
190912,6.59,3.78
191001,3.65,0.20
191002,0.77,-2.55
191003,3.22,0.41
191004,0.34,-0.92
191005,0.00,-0.45
191006,0.00,-0.07
191007,0.01,0.00
191008,0.00,-0.02
191009,0.30,0.10
191010,0.41,-0.25
191011,0.39,-1.28
191012,0.64,-2.17
191101,8.44,4.99
191102,2.40,-0.92
191103,7.48,4.67
191104,0.61,-0.65
191105,0.18,-0.27
191106,0.03,-0.04
191107,0.00,-0.01
191108,0.00,-0.02
191109,0.05,-0.15
191110,0.21,-0.45
191111,0.17,-1.50
191112,1.48,-1.33
191201,1.84,-1.61
191202,0.09,-3.23
191203,3.60,0.79
191204,4.07,2.81
191205,1.29,0.84
191206,0.03,-0.04
191207,0.00,-0.01
191208,0.00,-0.02
191209,0.11,-0.09
191210,0.13,-0.53
191211,0.47,-1.20
191212,0.42,-2.39
191301,3.29,-0.16
191302,0.82,-2.50
191303,1.51,-1.30
191304,0.23,-1.03
191305,0.76,0.31
191306,0.17,0.10
191307,0.05,0.04
191308,0.16,0.14
191309,0.09,-0.11
191310,0.00,-0.66
191311,4.22,2.55
191312,3.13,0.32
191401,9.90,6.45
191402,3.38,0.06
191403,0.98,-1.83
191404,1.10,-0.16
191405,0.12,-0.33
191406,0.12,0.05
191407,0.03,0.02
191408,0.00,-0.02
191409,0.02,-0.18
191410,0.68,0.02
191411,0.20,-1.47
191412,4.98,2.17
191501,5.07,1.62
191502,7.21,3.89
191503,1.08,-1.73
191504,1.59,0.33
191505,2.21,1.76
191506,0.00,-0.07
191507,0.00,-0.01
191508,0.01,-0.01
191509,0.02,-0.18
191510,0.00,-0.66
191511,0.44,-1.23
191512,4.22,1.41
191601,10.15,6.70
191602,2.53,-0.79
191603,2.02,-0.79
191604,0.49,-0.77
191605,0.09,-0.36
191606,0.00,-0.07
191607,0.03,0.02
191608,0.02,0.00
191609,0.93,0.73
191610,1.64,0.98
191611,0.60,-1.07
191612,4.27,1.46
191701,1.46,-1.99
191702,4.69,1.37
191703,1.00,-1.81
191704,0.48,-0.78
191705,0.36,-0.09
191706,0.00,-0.07
191707,0.00,-0.01
191708,0.00,-0.02
191709,0.03,-0.17
191710,0.00,-0.66
191711,0.93,-0.74
191712,0.35,-2.46
191801,0.53,-2.92
191802,5.56,2.24
191803,5.13,2.32
191804,0.19,-1.07
191805,0.09,-0.36
191806,0.00,-0.07
191807,0.00,-0.01
191808,0.00,-0.02
191809,1.14,0.94
191810,0.43,-0.23
191811,2.79,1.12
191812,2.21,-0.60
191901,0.71,-2.74
191902,4.61,1.29
191903,2.60,-0.21
191904,0.08,-1.18
