San Bernardino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,2.96,1.79
189502,0.55,-0.62
189503,0.90,-0.06
189504,0.18,-0.20
189505,0.13,-0.03
189506,0.01,-0.04
189507,0.02,-0.34
189508,0.23,-0.30
189509,0.01,-0.33
189510,0.25,-0.12
189511,0.61,0.11
189512,0.23,-0.65
189601,0.85,-0.32
189602,0.04,-1.13
189603,1.29,0.33
189604,0.16,-0.22
189605,0.17,0.01
189606,0.00,-0.05
189607,0.30,-0.06
189608,0.81,0.28
189609,0.15,-0.19
189610,1.45,1.08
189611,0.44,-0.06
189612,0.70,-0.18
189701,2.18,1.01
189702,1.73,0.56
189703,1.04,0.08
189704,0.04,-0.34
189705,0.04,-0.12
189706,0.00,-0.05
189707,0.09,-0.27
189708,0.75,0.22
189709,0.81,0.47
189710,1.02,0.65
189711,0.11,-0.39
189712,0.40,-0.48
189801,0.81,-0.36
189802,0.20,-0.97
189803,0.52,-0.44
189804,0.15,-0.23
189805,0.53,0.37
189806,0.08,0.03
189807,0.39,0.03
189808,0.44,-0.09
189809,0.05,-0.29
189810,0.01,-0.36
189811,0.19,-0.31
189812,0.82,-0.06
189901,0.77,-0.40
189902,0.16,-1.01
189903,0.68,-0.28
189904,0.03,-0.35
189905,0.08,-0.08
189906,0.18,0.13
189907,0.03,-0.33
189908,0.12,-0.41
189909,0.05,-0.29
189910,0.54,0.17
189911,0.66,0.16
189912,0.30,-0.58
190001,0.50,-0.67
190002,0.01,-1.16
190003,0.32,-0.64
190004,0.58,0.20
190005,0.54,0.38
190006,0.00,-0.05
190007,0.92,0.56
190008,0.02,-0.51
190009,0.18,-0.16
190010,0.32,-0.05
190011,1.90,1.40
190012,0.00,-0.88
190101,1.04,-0.13
190102,2.89,1.72
190103,0.13,-0.83
190104,0.12,-0.26
190105,0.41,0.25
190106,0.01,-0.04
190107,0.04,-0.32
190108,0.77,0.24
190109,0.06,-0.28
190110,0.49,0.12
190111,0.10,-0.40
190112,0.01,-0.87
190201,0.53,-0.64
190202,0.97,-0.20
190203,1.08,0.12
190204,0.11,-0.27
190205,0.04,-0.12
190206,0.06,0.01
190207,0.15,-0.21
190208,0.25,-0.28
190209,0.02,-0.32
190210,0.07,-0.30
190211,0.77,0.27
190212,1.03,0.15
190301,0.66,-0.51
190302,0.75,-0.42
190303,1.60,0.64
190304,0.78,0.40
190305,0.04,-0.12
190306,0.02,-0.03
190307,0.04,-0.32
190308,0.29,-0.24
190309,0.66,0.32
190310,0.04,-0.33
190311,0.00,-0.50
190312,0.00,-0.88
190401,0.08,-1.09
190402,0.61,-0.56
190403,0.95,-0.01
190404,0.22,-0.16
190405,0.12,-0.04
190406,0.00,-0.05
190407,0.35,-0.01
190408,1.08,0.55
190409,0.06,-0.28
190410,0.09,-0.28
190411,0.00,-0.50
190412,0.29,-0.59
190501,1.79,0.62
190502,3.37,2.20
190503,2.21,1.25
190504,0.43,0.05
190505,0.43,0.27
190506,0.00,-0.05
190507,0.01,-0.35
190508,0.39,-0.14
190509,0.40,0.06
190510,0.06,-0.31
190511,1.31,0.81
190512,0.41,-0.47
190601,0.93,-0.24
190602,1.08,-0.09
190603,2.96,2.00
190604,0.62,0.24
190605,0.22,0.06
190606,0.03,-0.02
190607,0.26,-0.10
190608,0.49,-0.04
190609,0.11,-0.23
190610,0.00,-0.37
190611,0.91,0.41
190612,2.68,1.80
190701,2.56,1.39
190702,0.88,-0.29
190703,1.86,0.90
190704,0.18,-0.20
190705,0.07,-0.09
190706,0.11,0.06
190707,0.08,-0.28
190708,0.13,-0.40
190709,0.01,-0.33
190710,1.75,1.38
190711,0.06,-0.44
190712,0.27,-0.61
190801,2.04,0.87
190802,1.40,0.23
190803,0.56,-0.40
190804,0.18,-0.20
190805,0.13,-0.03
190806,0.00,-0.05
190807,0.16,-0.20
190808,1.11,0.58
190809,1.33,0.99
190810,0.38,0.01
190811,0.09,-0.41
190812,0.73,-0.15
190901,2.17,1.00
190902,1.66,0.49
190903,1.24,0.28
190904,0.06,-0.32
190905,0.04,-0.12
190906,0.02,-0.03
190907,0.22,-0.14
190908,1.97,1.44
190909,0.48,0.14
190910,0.06,-0.31
190911,0.95,0.45
190912,2.40,1.52
191001,1.47,0.30
191002,0.09,-1.08
191003,0.57,-0.39
191004,0.13,-0.25
191005,0.00,-0.16
191006,0.00,-0.05
191007,0.66,0.30
191008,0.29,-0.24
191009,0.18,-0.16
191010,0.34,-0.03
191011,0.84,0.34
191012,0.15,-0.73
191101,2.32,1.15
191102,1.84,0.67
191103,0.97,0.01
191104,0.24,-0.14
191105,0.11,-0.05
191106,0.01,-0.04
191107,0.49,0.13
191108,0.11,-0.42
191109,0.92,0.58
191110,0.40,0.03
191111,0.09,-0.41
191112,0.46,-0.42
191201,0.12,-1.05
191202,0.00,-1.17
191203,2.73,1.77
191204,1.09,0.71
191205,0.27,0.11
191206,0.08,0.03
191207,0.46,0.10
191208,0.35,-0.18
191209,0.01,-0.33
191210,0.89,0.52
191211,0.22,-0.28
191212,0.13,-0.75
191301,0.57,-0.60
191302,1.92,0.75
191303,0.31,-0.65
191304,0.08,-0.30
191305,0.06,-0.10
191306,0.07,0.02
191307,0.76,0.40
191308,0.84,0.31
191309,0.22,-0.12
191310,0.00,-0.37
191311,1.41,0.91
191312,0.24,-0.64
191401,3.09,1.92
191402,2.33,1.16
191403,0.34,-0.62
191404,1.24,0.86
191405,0.09,-0.07
191406,0.20,0.15
191407,0.30,-0.06
191408,0.10,-0.43
191409,0.24,-0.10
191410,0.35,-0.02
191411,0.19,-0.31
191412,1.35,0.47
191501,2.56,1.39
191502,2.34,1.17
191503,0.49,-0.47
191504,0.86,0.48
191505,0.31,0.15
191506,0.00,-0.05
191507,0.18,-0.18
191508,0.52,-0.01
191509,0.16,-0.18
191510,0.00,-0.37
191511,0.41,-0.09
191512,0.81,-0.07
191601,5.22,4.05
191602,0.63,-0.54
191603,0.51,-0.45
191604,0.07,-0.31
191605,0.18,0.02
191606,0.00,-0.05
191607,0.63,0.27
191608,0.37,-0.16
191609,0.51,0.17
191610,0.56,0.19
191611,0.02,-0.48
191612,0.95,0.07
191701,1.73,0.56
191702,0.73,-0.44
191703,0.34,-0.62
191704,0.45,0.07
191705,0.35,0.19
191706,0.00,-0.05
191707,0.78,0.42
191708,0.95,0.42
191709,0.06,-0.28
191710,0.01,-0.36
191711,0.20,-0.30
191712,0.00,-0.88
191801,0.24,-0.93
191802,1.11,-0.06
191803,2.87,1.91
191804,0.05,-0.33
191805,0.24,0.08
191806,0.22,0.17
191807,0.92,0.56
191808,0.60,0.07
191809,0.93,0.59
191810,0.59,0.22
191811,0.49,-0.01
191812,1.10,0.22
191901,0.29,-0.88
191902,0.82,-0.35
191903,1.09,0.13
191904,0.24,-0.14
