San Diego County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,9.87,7.13
189502,1.53,-1.26
189503,2.02,-0.50
189504,0.41,-0.66
189505,0.30,-0.04
189506,0.00,-0.06
189507,0.00,-0.20
189508,0.40,0.08
189509,0.00,-0.28
189510,0.34,-0.26
189511,1.64,0.45
189512,0.53,-1.65
189601,2.21,-0.53
189602,0.09,-2.70
189603,3.77,1.25
189604,0.62,-0.45
189605,0.32,-0.02
189606,0.00,-0.06
189607,0.16,-0.04
189608,0.55,0.23
189609,0.11,-0.17
189610,1.76,1.16
189611,1.26,0.07
189612,1.87,-0.31
189701,4.27,1.53
189702,3.88,1.09
189703,2.76,0.24
189704,0.03,-1.04
189705,0.08,-0.26
189706,0.00,-0.06
189707,0.26,0.06
189708,0.30,-0.02
189709,0.18,-0.10
189710,1.77,1.17
189711,0.18,-1.01
189712,1.00,-1.18
189801,2.64,-0.10
189802,0.42,-2.37
189803,1.58,-0.94
189804,0.40,-0.67
189805,1.04,0.70
189806,0.00,-0.06
189807,0.15,-0.05
189808,0.36,0.04
189809,0.03,-0.25
189810,0.00,-0.60
189811,0.19,-1.00
189812,1.66,-0.52
189901,2.89,0.15
189902,0.71,-2.08
189903,1.35,-1.17
189904,0.16,-0.91
189905,0.19,-0.15
189906,0.36,0.30
189907,0.01,-0.19
189908,0.01,-0.31
189909,0.01,-0.27
189910,0.93,0.33
189911,1.44,0.25
189912,1.05,-1.13
190001,2.29,-0.45
190002,0.13,-2.66
190003,0.78,-1.74
190004,1.75,0.68
190005,1.36,1.02
190006,0.01,-0.05
190007,0.06,-0.14
190008,0.00,-0.32
190009,0.05,-0.23
190010,0.30,-0.30
190011,3.51,2.32
190012,0.01,-2.17
190101,2.82,0.08
190102,5.55,2.76
190103,0.72,-1.80
190104,0.45,-0.62
190105,1.03,0.69
190106,0.01,-0.05
190107,0.00,-0.20
190108,0.37,0.05
190109,0.03,-0.25
190110,0.71,0.11
190111,0.41,-0.78
190112,0.10,-2.08
190201,2.37,-0.37
190202,2.22,-0.57
190203,2.90,0.38
190204,0.42,-0.65
190205,0.06,-0.28
190206,0.06,0.00
190207,0.76,0.56
190208,0.00,-0.32
190209,0.00,-0.28
190210,0.20,-0.40
190211,2.15,0.96
190212,2.40,0.22
190301,1.54,-1.20
190302,2.95,0.16
190303,3.19,0.67
190304,2.43,1.36
190305,0.13,-0.21
190306,0.03,-0.03
190307,0.00,-0.20
190308,0.17,-0.15
190309,0.50,0.22
190310,0.08,-0.52
190311,0.01,-1.18
190312,0.10,-2.08
190401,0.36,-2.38
190402,1.97,-0.82
190403,3.92,1.40
190404,0.64,-0.43
190405,0.19,-0.15
190406,0.00,-0.06
190407,0.13,-0.07
190408,0.41,0.09
190409,0.04,-0.24
190410,0.28,-0.32
190411,0.00,-1.19
190412,1.53,-0.65
190501,4.71,1.97
190502,8.55,5.76
190503,4.56,2.04
190504,0.95,-0.12
190505,1.15,0.81
190506,0.00,-0.06
190507,0.03,-0.17
190508,0.14,-0.18
190509,0.33,0.05
190510,0.15,-0.45
190511,4.13,2.94
190512,0.86,-1.32
190601,2.00,-0.74
190602,3.48,0.69
190603,8.26,5.74
190604,1.59,0.52
190605,0.83,0.49
190606,0.02,-0.04
190607,0.15,-0.05
190608,0.74,0.42
190609,0.27,-0.01
190610,0.12,-0.48
190611,1.76,0.57
190612,5.22,3.04
190701,4.39,1.65
190702,1.48,-1.31
190703,3.84,1.32
190704,0.39,-0.68
190705,0.18,-0.16
190706,0.15,0.09
190707,0.00,-0.20
190708,0.02,-0.30
190709,0.00,-0.28
190710,2.39,1.79
190711,0.21,-0.98
190712,0.85,-1.33
190801,3.78,1.04
190802,3.30,0.51
190803,1.13,-1.39
190804,0.54,-0.53
190805,0.29,-0.05
190806,0.00,-0.06
190807,0.12,-0.08
190808,0.96,0.64
190809,0.86,0.58
190810,0.66,0.06
190811,0.67,-0.52
190812,0.91,-1.27
190901,5.93,3.19
190902,3.91,1.12
190903,2.62,0.10
190904,0.05,-1.02
190905,0.08,-0.26
190906,0.02,-0.04
190907,0.29,0.09
190908,1.34,1.02
190909,0.34,0.06
190910,0.02,-0.58
190911,2.62,1.43
190912,5.32,3.14
191001,3.23,0.49
191002,0.43,-2.36
191003,1.84,-0.68
191004,0.31,-0.76
191005,0.00,-0.34
191006,0.01,-0.05
191007,0.56,0.36
191008,0.05,-0.27
191009,0.15,-0.13
191010,0.85,0.25
191011,1.15,-0.04
191012,0.36,-1.82
191101,4.00,1.26
191102,3.99,1.20
191103,1.84,-0.68
191104,0.76,-0.31
191105,0.01,-0.33
191106,0.01,-0.05
191107,0.38,0.18
191108,0.00,-0.32
191109,0.29,0.01
191110,0.22,-0.38
191111,0.07,-1.12
191112,1.05,-1.13
191201,0.44,-2.30
191202,0.00,-2.79
191203,7.54,5.02
191204,2.14,1.07
191205,0.73,0.39
191206,0.13,0.07
191207,0.23,0.03
191208,0.39,0.07
191209,0.00,-0.28
191210,1.46,0.86
191211,0.65,-0.54
191212,0.03,-2.15
191301,1.67,-1.07
191302,3.43,0.64
191303,1.17,-1.35
191304,0.49,-0.58
191305,0.18,-0.16
191306,0.19,0.13
191307,0.36,0.16
191308,0.76,0.44
191309,0.26,-0.02
191310,0.10,-0.50
191311,1.89,0.70
191312,1.20,-0.98
191401,5.42,2.68
191402,3.70,0.91
191403,1.10,-1.42
191404,1.48,0.41
191405,0.13,-0.21
191406,0.20,0.14
191407,0.17,-0.03
191408,0.01,-0.31
191409,0.05,-0.23
191410,0.78,0.18
191411,0.97,-0.22
191412,3.71,1.53
191501,6.91,4.17
191502,5.84,3.05
191503,1.40,-1.12
191504,2.89,1.82
191505,1.22,0.88
191506,0.00,-0.06
191507,0.01,-0.19
191508,0.71,0.39
191509,0.11,-0.17
191510,0.00,-0.60
191511,0.94,-0.25
191512,3.00,0.82
191601,12.51,9.77
191602,1.38,-1.41
191603,2.16,-0.36
191604,0.12,-0.95
191605,0.22,-0.12
191606,0.00,-0.06
191607,0.19,-0.01
191608,0.84,0.52
191609,0.70,0.42
191610,1.53,0.93
191611,0.07,-1.12
191612,2.48,0.30
191701,3.92,1.18
191702,2.57,-0.22
191703,0.54,-1.98
191704,1.76,0.69
191705,0.63,0.29
191706,0.02,-0.04
191707,0.45,0.25
191708,0.07,-0.25
191709,0.02,-0.26
191710,0.02,-0.58
191711,0.43,-0.76
191712,0.00,-2.18
191801,1.98,-0.76
191802,2.34,-0.45
191803,6.45,3.93
191804,0.06,-1.01
191805,0.24,-0.10
191806,0.22,0.16
191807,0.41,0.21
191808,0.40,0.08
191809,0.17,-0.11
191810,0.74,0.14
191811,1.68,0.49
191812,2.10,-0.08
191901,0.44,-2.30
191902,3.21,0.42
191903,2.52,0.00
191904,0.50,-0.57
191905,0.34,0.00
