San Francisco County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,11.94,6.67
189502,2.67,-1.77
189503,2.58,-0.90
189504,1.84,0.30
189505,1.18,0.50
189506,0.00,-0.20
189507,0.08,0.07
189508,0.01,-0.06
189509,0.71,0.46
189510,0.43,-0.77
189511,2.16,-0.73
189512,2.35,-1.94
189601,11.50,6.23
189602,0.24,-4.20
189603,3.26,-0.22
189604,5.13,3.59
189605,0.90,0.22
189606,0.00,-0.20
189607,0.02,0.01
189608,0.49,0.42
189609,0.55,0.30
189610,1.81,0.61
189611,5.71,2.82
189612,4.67,0.38
189701,3.60,-1.67
189702,5.77,1.33
189703,5.18,1.70
189704,0.53,-1.01
189705,0.18,-0.50
189706,0.43,0.23
189707,0.00,-0.01
189708,0.02,-0.05
189709,0.20,-0.05
189710,2.30,1.10
189711,1.52,-1.37
189712,2.18,-2.11
189801,1.49,-3.78
189802,3.68,-0.76
189803,0.41,-3.07
189804,0.25,-1.29
189805,1.77,1.09
189806,0.30,0.10
189807,0.00,-0.01
189808,0.04,-0.03
189809,0.86,0.61
189810,1.41,0.21
189811,0.99,-1.90
189812,1.53,-2.76
189901,6.58,1.31
189902,0.34,-4.10
189903,9.02,5.54
189904,0.65,-0.89
189905,1.34,0.66
189906,0.19,-0.01
189907,0.00,-0.01
189908,0.05,-0.02
189909,0.16,-0.09
189910,5.20,4.00
189911,5.64,2.75
189912,3.78,-0.51
190001,4.21,-1.06
190002,0.91,-3.53
190003,2.59,-0.89
190004,1.99,0.45
190005,1.13,0.45
190006,0.08,-0.12
190007,0.02,0.01
190008,0.02,-0.05
190009,0.09,-0.16
190010,2.60,1.40
190011,6.68,3.79
190012,2.22,-2.07
190101,5.73,0.46
190102,6.88,2.44
190103,0.97,-2.51
190104,2.87,1.33
190105,1.04,0.36
190106,0.00,-0.20
190107,0.00,-0.01
190108,0.00,-0.07
190109,0.82,0.57
190110,1.15,-0.05
190111,3.55,0.66
190112,1.42,-2.87
190201,1.64,-3.63
190202,12.38,7.94
190203,3.83,0.35
190204,2.13,0.59
190205,1.23,0.55
190206,0.00,-0.20
190207,0.00,-0.01
190208,0.01,-0.06
190209,0.00,-0.25
190210,3.16,1.96
190211,3.81,0.92
190212,2.71,-1.58
190301,5.36,0.09
190302,2.18,-2.26
190303,7.75,4.27
190304,0.58,-0.96
190305,0.01,-0.67
190306,0.00,-0.20
190307,0.00,-0.01
190308,0.00,-0.07
190309,0.00,-0.25
190310,0.62,-0.58
190311,5.68,2.79
190312,1.81,-2.48
190401,1.42,-3.85
190402,8.61,4.17
190403,9.50,6.02
190404,1.98,0.44
190405,0.20,-0.48
190406,0.00,-0.20
190407,0.01,0.00
190408,0.31,0.24
190409,1.21,0.96
190410,3.34,2.14
190411,2.03,-0.86
190412,3.17,-1.12
190501,5.05,-0.22
190502,4.03,-0.41
190503,4.73,1.25
190504,1.18,-0.36
190505,2.72,2.04
190506,0.00,-0.20
190507,0.00,-0.01
190508,0.00,-0.07
190509,0.02,-0.23
190510,0.00,-1.20
190511,2.05,-0.84
190512,2.01,-2.28
190601,7.96,2.69
190602,4.91,0.47
190603,8.20,4.72
190604,0.79,-0.75
190605,2.72,2.04
190606,0.96,0.76
190607,0.00,-0.01
190608,0.02,-0.05
190609,0.15,-0.10
190610,0.00,-1.20
190611,1.71,-1.18
190612,7.73,3.44
190701,6.92,1.65
190702,3.47,-0.97
190703,11.17,7.69
190704,0.73,-0.81
190705,0.13,-0.55
190706,1.01,0.81
190707,0.00,-0.01
190708,0.00,-0.07
190709,0.15,-0.10
190710,1.66,0.46
190711,0.05,-2.84
190712,5.95,1.66
190801,4.82,-0.45
190802,4.29,-0.15
190803,1.45,-2.03
190804,0.37,-1.17
190805,0.78,0.10
190806,0.07,-0.13
190807,0.00,-0.01
190808,0.00,-0.07
190809,0.17,-0.08
190810,0.69,-0.51
190811,1.80,-1.09
190812,2.98,-1.31
190901,16.96,11.69
190902,8.93,4.49
190903,3.54,0.06
190904,0.01,-1.53
190905,0.00,-0.68
190906,0.02,-0.18
190907,0.00,-0.01
190908,0.00,-0.07
190909,1.04,0.79
190910,1.37,0.17
190911,2.54,-0.35
190912,7.88,3.59
191001,3.69,-1.58
191002,2.18,-2.26
191003,4.02,0.54
191004,0.35,-1.19
191005,0.01,-0.67
191006,0.02,-0.18
191007,0.00,-0.01
191008,0.00,-0.07
191009,0.25,0.00
191010,0.61,-0.59
191011,0.59,-2.30
191012,2.11,-2.18
191101,14.20,8.93
191102,3.10,-1.34
191103,4.63,1.15
191104,1.94,0.40
191105,0.50,-0.18
191106,0.05,-0.15
191107,0.00,-0.01
191108,0.00,-0.07
191109,0.01,-0.24
191110,0.33,-0.87
191111,0.95,-1.94
191112,2.86,-1.43
191201,3.79,-1.48
191202,0.80,-3.64
191203,3.75,0.27
191204,1.79,0.25
191205,1.67,0.99
191206,1.00,0.80
191207,0.00,-0.01
191208,0.00,-0.07
191209,1.03,0.78
191210,0.61,-0.59
191211,2.58,-0.31
191212,1.17,-3.12
191301,4.36,-0.91
191302,0.63,-3.81
191303,2.16,-1.32
191304,0.54,-1.00
191305,0.86,0.18
191306,0.05,-0.15
191307,0.08,0.07
191308,0.03,-0.04
191309,0.00,-0.25
191310,0.12,-1.08
191311,6.04,3.15
191312,7.31,3.02
191401,12.45,7.18
191402,4.84,0.40
191403,0.92,-2.56
191404,1.21,-0.33
191405,0.44,-0.24
191406,0.30,0.10
191407,0.00,-0.01
191408,0.00,-0.07
191409,0.03,-0.22
191410,1.23,0.03
191411,0.54,-2.35
191412,6.60,2.31
191501,7.55,2.28
191502,9.21,4.77
191503,2.88,-0.60
191504,0.77,-0.77
191505,4.01,3.33
191506,0.00,-0.20
191507,0.01,0.00
191508,0.01,-0.06
191509,0.00,-0.25
191510,0.06,-1.14
191511,0.89,-2.00
191512,8.23,3.94
191601,16.15,10.88
191602,3.50,-0.94
191603,1.30,-2.18
191604,0.05,-1.49
191605,0.09,-0.59
191606,0.06,-0.14
191607,0.05,0.04
191608,0.34,0.27
191609,0.92,0.67
191610,0.80,-0.40
191611,1.11,-1.78
191612,4.92,0.63
191701,1.85,-3.42
191702,5.67,1.23
191703,1.28,-2.20
191704,0.58,-0.96
191705,0.43,-0.25
191706,0.00,-0.20
191707,0.00,-0.01
191708,0.00,-0.07
191709,0.12,-0.13
191710,0.01,-1.19
191711,0.67,-2.22
191712,1.60,-2.69
191801,1.04,-4.23
191802,4.88,0.44
191803,3.15,-0.33
191804,0.64,-0.90
191805,0.01,-0.67
191806,0.02,-0.18
191807,0.00,-0.01
191808,0.00,-0.07
191809,1.21,0.96
191810,0.35,-0.85
191811,4.18,1.29
191812,2.41,-1.88
191901,2.57,-2.70
191902,10.37,5.93
191903,3.10,-0.38
191904,0.15,-1.39
