San Luis Obispo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,6.97,3.26
189502,1.42,-2.17
189503,1.82,-1.08
189504,0.64,-0.63
189505,0.36,-0.04
189506,0.01,-0.03
189507,0.00,-0.01
189508,0.01,-0.01
189509,0.01,-0.17
189510,1.32,0.66
189511,1.41,-0.12
189512,0.71,-2.13
189601,5.51,1.80
189602,0.19,-3.40
189603,3.65,0.75
189604,1.86,0.59
189605,0.76,0.36
189606,0.00,-0.04
189607,0.13,0.12
189608,0.15,0.13
189609,0.01,-0.17
189610,1.69,1.03
189611,1.74,0.21
189612,3.05,0.21
189701,4.00,0.29
189702,4.41,0.82
189703,3.04,0.14
189704,0.02,-1.25
189705,0.00,-0.40
189706,0.03,-0.01
189707,0.01,0.00
189708,0.02,0.00
189709,0.05,-0.13
189710,0.87,0.21
189711,0.19,-1.34
189712,0.35,-2.49
189801,1.38,-2.33
189802,1.41,-2.18
189803,0.84,-2.06
189804,0.08,-1.19
189805,1.02,0.62
189806,0.00,-0.04
189807,0.00,-0.01
189808,0.00,-0.02
189809,0.87,0.69
189810,0.15,-0.51
189811,0.29,-1.24
189812,0.59,-2.25
189901,4.27,0.56
189902,0.20,-3.39
189903,4.60,1.70
189904,1.41,0.14
189905,0.20,-0.20
189906,0.22,0.18
189907,0.00,-0.01
189908,0.00,-0.02
189909,0.00,-0.18
189910,2.32,1.66
189911,1.86,0.33
189912,2.77,-0.07
190001,2.30,-1.41
190002,0.11,-3.48
190003,1.95,-0.95
190004,0.82,-0.45
190005,1.21,0.81
190006,0.00,-0.04
190007,0.01,0.00
190008,0.00,-0.02
190009,0.01,-0.17
190010,1.09,0.43
190011,7.25,5.72
190012,0.29,-2.55
190101,6.18,2.47
190102,5.40,1.81
190103,0.59,-2.31
190104,1.81,0.54
190105,1.44,1.04
190106,0.01,-0.03
190107,0.01,0.00
190108,0.01,-0.01
190109,0.28,0.10
190110,0.54,-0.12
190111,1.25,-0.28
190112,0.07,-2.77
190201,1.16,-2.55
190202,5.60,2.01
190203,2.68,-0.22
190204,1.47,0.20
190205,0.15,-0.25
190206,0.00,-0.04
190207,0.00,-0.01
190208,0.00,-0.02
190209,0.00,-0.18
190210,1.02,0.36
190211,2.36,0.83
190212,1.23,-1.61
190301,2.36,-1.35
190302,1.38,-2.21
190303,4.48,1.58
190304,1.18,-0.09
190305,0.03,-0.37
190306,0.00,-0.04
190307,0.00,-0.01
190308,0.00,-0.02
190309,0.00,-0.18
190310,0.03,-0.63
190311,0.39,-1.14
190312,0.32,-2.52
190401,0.64,-3.07
190402,4.37,0.78
190403,3.72,0.82
190404,1.57,0.30
190405,0.06,-0.34
190406,0.00,-0.04
190407,0.00,-0.01
190408,0.09,0.07
190409,1.02,0.84
190410,1.11,0.45
190411,0.19,-1.34
190412,2.04,-0.80
190501,2.57,-1.14
190502,4.64,1.05
190503,4.97,2.07
190504,0.46,-0.81
190505,1.54,1.14
190506,0.00,-0.04
190507,0.02,0.01
190508,0.00,-0.02
190509,0.06,-0.12
190510,0.05,-0.61
190511,1.74,0.21
190512,0.47,-2.37
190601,2.88,-0.83
190602,4.01,0.42
190603,6.98,4.08
190604,0.84,-0.43
190605,1.66,1.26
190606,0.02,-0.02
190607,0.00,-0.01
190608,0.00,-0.02
190609,0.00,-0.18
190610,0.00,-0.66
190611,1.07,-0.46
190612,5.84,3.00
190701,8.68,4.97
190702,0.91,-2.68
190703,5.71,2.81
190704,0.26,-1.01
190705,0.00,-0.40
190706,0.01,-0.03
190707,0.00,-0.01
190708,0.00,-0.02
190709,0.03,-0.15
190710,3.24,2.58
190711,0.01,-1.52
190712,2.97,0.13
190801,5.28,1.57
190802,4.48,0.89
190803,0.59,-2.31
190804,0.36,-0.91
190805,0.23,-0.17
190806,0.00,-0.04
190807,0.00,-0.01
190808,0.02,0.00
190809,0.66,0.48
190810,0.43,-0.23
190811,1.00,-0.53
190812,1.39,-1.45
190901,10.63,6.92
190902,4.97,1.38
190903,3.81,0.91
190904,0.02,-1.25
190905,0.01,-0.39
190906,0.03,-0.01
190907,0.00,-0.01
190908,0.03,0.01
190909,0.01,-0.17
190910,0.55,-0.11
190911,1.79,0.26
190912,7.48,4.64
191001,3.27,-0.44
191002,0.34,-3.25
191003,3.61,0.71
191004,0.24,-1.03
191005,0.00,-0.40
191006,0.00,-0.04
191007,0.00,-0.01
191008,0.00,-0.02
191009,0.69,0.51
191010,0.34,-0.32
191011,0.37,-1.16
191012,0.78,-2.06
191101,11.67,7.96
191102,3.01,-0.58
191103,9.70,6.80
191104,1.38,0.11
191105,0.04,-0.36
191106,0.01,-0.03
191107,0.00,-0.01
191108,0.00,-0.02
191109,0.05,-0.13
191110,0.11,-0.55
191111,0.11,-1.42
191112,1.84,-1.00
191201,1.35,-2.36
191202,0.02,-3.57
191203,6.54,3.64
191204,3.29,2.02
191205,1.20,0.80
191206,0.00,-0.04
191207,0.00,-0.01
191208,0.00,-0.02
191209,0.02,-0.16
191210,0.07,-0.59
191211,0.64,-0.89
191212,0.17,-2.67
191301,3.61,-0.10
191302,3.09,-0.50
191303,0.82,-2.08
191304,0.43,-0.84
191305,0.32,-0.08
191306,0.25,0.21
191307,0.04,0.03
191308,0.16,0.14
191309,0.02,-0.16
191310,0.00,-0.66
191311,3.33,1.80
191312,3.08,0.24
191401,13.09,9.38
191402,3.69,0.10
191403,0.75,-2.15
191404,0.37,-0.90
191405,0.26,-0.14
191406,0.13,0.09
191407,0.00,-0.01
191408,0.00,-0.02
191409,0.06,-0.12
191410,0.65,-0.01
191411,0.08,-1.45
191412,5.63,2.79
191501,6.21,2.50
191502,9.48,5.89
191503,1.20,-1.70
191504,2.46,1.19
191505,1.78,1.38
191506,0.00,-0.04
191507,0.00,-0.01
191508,0.00,-0.02
191509,0.02,-0.16
191510,0.00,-0.66
191511,0.34,-1.19
191512,3.58,0.74
191601,12.87,9.16
191602,1.84,-1.75
191603,2.06,-0.84
191604,0.52,-0.75
191605,0.09,-0.31
191606,0.00,-0.04
191607,0.00,-0.01
191608,0.11,0.09
191609,0.86,0.68
191610,2.96,2.30
191611,0.45,-1.08
191612,7.01,4.17
191701,3.09,-0.62
191702,4.08,0.49
191703,0.63,-2.27
191704,0.64,-0.63
191705,0.39,-0.01
191706,0.00,-0.04
191707,0.00,-0.01
191708,0.02,0.00
191709,0.00,-0.18
191710,0.02,-0.64
191711,1.03,-0.50
191712,0.35,-2.49
191801,0.83,-2.88
191802,9.00,5.41
191803,6.39,3.49
191804,0.01,-1.26
191805,0.01,-0.39
191806,0.00,-0.04
191807,0.01,0.00
191808,0.00,-0.02
191809,0.72,0.54
191810,0.48,-0.18
191811,3.11,1.58
191812,2.82,-0.02
191901,0.59,-3.12
191902,3.26,-0.33
191903,2.66,-0.24
