San Mateo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,13.60,7.40
189502,2.98,-2.27
189503,3.05,-1.28
189504,2.59,0.67
189505,1.64,0.85
189506,0.00,-0.21
189507,0.12,0.10
189508,0.00,-0.06
189509,0.47,0.21
189510,0.82,-0.52
189511,2.21,-0.95
189512,2.48,-2.63
189601,13.47,7.27
189602,0.31,-4.94
189603,4.14,-0.19
189604,5.51,3.59
189605,1.08,0.29
189606,0.00,-0.21
189607,0.06,0.04
189608,0.39,0.33
189609,0.50,0.24
189610,2.24,0.90
189611,6.66,3.50
189612,5.38,0.27
189701,3.88,-2.32
189702,6.78,1.53
189703,6.28,1.95
189704,0.81,-1.11
189705,0.19,-0.60
189706,0.38,0.17
189707,0.00,-0.02
189708,0.04,-0.02
189709,0.18,-0.08
189710,2.45,1.11
189711,1.48,-1.68
189712,2.53,-2.58
189801,1.85,-4.35
189802,3.87,-1.38
189803,0.80,-3.53
189804,0.36,-1.56
189805,1.75,0.96
189806,0.24,0.03
189807,0.00,-0.02
189808,0.02,-0.04
189809,1.06,0.80
189810,1.26,-0.08
189811,0.92,-2.24
189812,1.86,-3.25
189901,7.79,1.59
189902,0.45,-4.80
189903,10.24,5.91
189904,0.89,-1.03
189905,1.23,0.44
189906,0.27,0.06
189907,0.00,-0.02
189908,0.04,-0.02
189909,0.06,-0.20
189910,6.15,4.81
189911,5.54,2.38
189912,4.39,-0.72
190001,4.75,-1.45
190002,0.90,-4.35
190003,3.05,-1.28
190004,2.61,0.69
190005,1.48,0.69
190006,0.04,-0.17
190007,0.05,0.03
190008,0.01,-0.05
190009,0.12,-0.14
190010,2.57,1.23
190011,9.52,6.36
190012,2.74,-2.37
190101,6.57,0.37
190102,7.80,2.55
190103,1.31,-3.02
190104,3.44,1.52
190105,1.23,0.44
190106,0.00,-0.21
190107,0.00,-0.02
190108,0.00,-0.06
190109,0.80,0.54
190110,1.45,0.11
190111,3.54,0.38
190112,1.36,-3.75
190201,1.80,-4.40
190202,13.13,7.88
190203,4.66,0.33
190204,2.63,0.71
190205,1.43,0.64
190206,0.00,-0.21
190207,0.00,-0.02
190208,0.00,-0.06
190209,0.00,-0.26
190210,2.71,1.37
190211,3.68,0.52
190212,2.72,-2.39
190301,6.06,-0.14
190302,2.55,-2.70
190303,10.45,6.12
190304,0.95,-0.97
190305,0.01,-0.78
190306,0.00,-0.21
190307,0.00,-0.02
190308,0.00,-0.06
190309,0.00,-0.26
190310,0.41,-0.93
190311,5.13,1.97
190312,1.40,-3.71
190401,1.89,-4.31
190402,8.67,3.42
190403,9.30,4.97
190404,3.17,1.25
190405,0.37,-0.42
190406,0.00,-0.21
190407,0.00,-0.02
190408,0.34,0.28
190409,1.32,1.06
190410,3.44,2.10
190411,2.13,-1.03
190412,4.24,-0.87
190501,5.68,-0.52
190502,5.34,0.09
190503,5.97,1.64
190504,1.74,-0.18
190505,3.50,2.71
190506,0.00,-0.21
190507,0.01,-0.01
190508,0.00,-0.06
190509,0.01,-0.25
190510,0.00,-1.34
190511,3.11,-0.05
190512,2.41,-2.70
190601,8.28,2.08
190602,5.74,0.49
190603,10.08,5.75
190604,1.37,-0.55
190605,2.70,1.91
190606,1.02,0.81
190607,0.00,-0.02
190608,0.01,-0.05
190609,0.23,-0.03
190610,0.00,-1.34
190611,2.20,-0.96
190612,12.60,7.49
190701,8.82,2.62
190702,3.52,-1.73
190703,15.89,11.56
190704,0.51,-1.41
190705,0.26,-0.53
190706,1.07,0.86
190707,0.00,-0.02
190708,0.00,-0.06
190709,0.18,-0.08
190710,2.30,0.96
190711,0.05,-3.11
190712,7.16,2.05
190801,4.98,-1.22
190802,5.21,-0.04
190803,2.01,-2.32
190804,0.49,-1.43
190805,0.81,0.02
190806,0.02,-0.19
190807,0.00,-0.02
190808,0.00,-0.06
190809,0.23,-0.03
190810,0.62,-0.72
190811,1.75,-1.41
190812,3.36,-1.75
190901,20.79,14.59
190902,10.09,4.84
190903,4.69,0.36
190904,0.00,-1.92
190905,0.00,-0.79
190906,0.09,-0.12
190907,0.00,-0.02
190908,0.00,-0.06
190909,1.18,0.92
190910,1.20,-0.14
190911,2.50,-0.66
190912,10.09,4.98
191001,5.36,-0.84
191002,2.08,-3.17
191003,5.56,1.23
191004,0.38,-1.54
191005,0.00,-0.79
191006,0.04,-0.17
191007,0.00,-0.02
191008,0.00,-0.06
191009,0.12,-0.14
191010,0.74,-0.60
191011,0.61,-2.55
191012,2.49,-2.62
191101,17.16,10.96
191102,3.60,-1.65
191103,6.94,2.61
191104,2.08,0.16
191105,0.65,-0.14
191106,0.13,-0.08
191107,0.00,-0.02
191108,0.00,-0.06
191109,0.00,-0.26
191110,0.64,-0.70
191111,1.19,-1.97
191112,4.01,-1.10
191201,4.71,-1.49
191202,0.76,-4.49
191203,5.26,0.93
191204,2.87,0.95
191205,1.81,1.02
191206,0.97,0.76
191207,0.00,-0.02
191208,0.00,-0.06
191209,0.97,0.71
191210,0.65,-0.69
191211,1.44,-1.72
191212,1.29,-3.82
191301,5.51,-0.69
191302,0.67,-4.58
191303,2.80,-1.53
191304,0.64,-1.28
191305,1.13,0.34
191306,0.05,-0.16
191307,0.15,0.13
191308,0.03,-0.03
191309,0.00,-0.26
191310,0.06,-1.28
191311,7.51,4.35
191312,8.73,3.62
191401,15.02,8.82
191402,6.06,0.81
191403,1.13,-3.20
191404,1.37,-0.55
191405,0.40,-0.39
191406,0.46,0.25
191407,0.03,0.01
191408,0.00,-0.06
191409,0.01,-0.25
191410,1.25,-0.09
191411,0.90,-2.26
191412,8.72,3.61
191501,8.46,2.26
191502,12.06,6.81
191503,3.05,-1.28
191504,1.20,-0.72
191505,4.32,3.53
191506,0.00,-0.21
191507,0.01,-0.01
191508,0.01,-0.05
191509,0.01,-0.25
191510,0.02,-1.32
191511,0.82,-2.34
191512,9.73,4.62
191601,18.73,12.53
191602,3.77,-1.48
191603,1.75,-2.58
191604,0.11,-1.81
191605,0.08,-0.71
191606,0.02,-0.19
191607,0.06,0.04
191608,0.13,0.07
191609,0.99,0.73
191610,1.08,-0.26
191611,1.05,-2.11
191612,5.96,0.85
191701,2.23,-3.97
191702,6.72,1.47
191703,1.48,-2.85
191704,0.56,-1.36
191705,0.47,-0.32
191706,0.00,-0.21
191707,0.00,-0.02
191708,0.00,-0.06
191709,0.10,-0.16
191710,0.00,-1.34
191711,0.88,-2.28
191712,1.50,-3.61
191801,1.24,-4.96
191802,4.97,-0.28
191803,5.01,0.68
191804,0.78,-1.14
191805,0.02,-0.77
191806,0.01,-0.20
191807,0.00,-0.02
191808,0.02,-0.04
191809,1.32,1.06
191810,0.36,-0.98
191811,4.86,1.70
191812,2.90,-2.21
191901,2.36,-3.84
191902,11.23,5.98
191903,4.39,0.06
191904,0.15,-1.77
