Santa Barbara County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,7.90,3.83
189502,2.62,-1.56
189503,2.01,-1.35
189504,0.58,-0.80
189505,0.44,0.03
189506,0.02,-0.02
189507,0.00,-0.02
189508,0.00,-0.03
189509,0.00,-0.16
189510,0.86,0.20
189511,1.08,-0.57
189512,0.74,-2.15
189601,5.76,1.69
189602,0.15,-4.03
189603,3.40,0.04
189604,2.13,0.75
189605,0.35,-0.06
189606,0.00,-0.04
189607,0.18,0.16
189608,0.07,0.04
189609,0.01,-0.15
189610,1.53,0.87
189611,2.17,0.52
189612,3.11,0.22
189701,4.61,0.54
189702,4.52,0.34
189703,3.29,-0.07
189704,0.01,-1.37
189705,0.00,-0.41
189706,0.01,-0.03
189707,0.01,-0.01
189708,0.04,0.01
189709,0.10,-0.06
189710,1.27,0.61
189711,0.07,-1.58
189712,0.22,-2.67
189801,1.41,-2.66
189802,1.13,-3.05
189803,0.80,-2.56
189804,0.07,-1.31
189805,1.39,0.98
189806,0.00,-0.04
189807,0.00,-0.02
189808,0.00,-0.03
189809,0.75,0.59
189810,0.15,-0.51
189811,0.10,-1.55
189812,0.71,-2.18
189901,4.27,0.20
189902,0.29,-3.89
189903,3.58,0.22
189904,1.01,-0.37
189905,0.06,-0.35
189906,0.20,0.16
189907,0.00,-0.02
189908,0.00,-0.03
189909,0.00,-0.16
189910,2.17,1.51
189911,2.01,0.36
189912,2.44,-0.45
190001,2.41,-1.66
190002,0.08,-4.10
190003,1.84,-1.52
190004,0.63,-0.75
190005,1.84,1.43
190006,0.00,-0.04
190007,0.03,0.01
190008,0.00,-0.03
190009,0.03,-0.13
190010,0.44,-0.22
190011,6.90,5.25
190012,0.11,-2.78
190101,5.49,1.42
190102,4.71,0.53
190103,0.33,-3.03
190104,1.99,0.61
190105,0.71,0.30
190106,0.04,0.00
190107,0.07,0.05
190108,0.05,0.02
190109,0.34,0.18
190110,2.07,1.41
190111,1.16,-0.49
190112,0.04,-2.85
190201,1.42,-2.65
190202,5.10,0.92
190203,3.08,-0.28
190204,1.29,-0.09
190205,0.12,-0.29
190206,0.00,-0.04
190207,0.00,-0.02
190208,0.00,-0.03
190209,0.00,-0.16
190210,1.16,0.50
190211,3.60,1.95
190212,1.89,-1.00
190301,2.16,-1.91
190302,1.60,-2.58
190303,6.06,2.70
190304,2.61,1.23
190305,0.18,-0.23
190306,0.01,-0.03
190307,0.00,-0.02
190308,0.00,-0.03
190309,0.01,-0.15
190310,0.01,-0.65
190311,0.12,-1.53
190312,0.05,-2.84
190401,0.57,-3.50
190402,4.87,0.69
190403,4.65,1.29
190404,1.97,0.59
190405,0.09,-0.32
190406,0.00,-0.04
190407,0.00,-0.02
190408,0.13,0.10
190409,0.72,0.56
190410,0.74,0.08
190411,0.02,-1.63
190412,2.07,-0.82
190501,3.61,-0.46
190502,7.83,3.65
190503,6.76,3.40
190504,0.52,-0.86
190505,1.74,1.33
190506,0.02,-0.02
190507,0.11,0.09
190508,0.00,-0.03
190509,0.12,-0.04
190510,0.18,-0.48
190511,1.53,-0.12
190512,0.18,-2.71
190601,3.93,-0.14
190602,3.74,-0.44
190603,9.74,6.38
190604,0.97,-0.41
190605,1.63,1.22
190606,0.01,-0.03
190607,0.00,-0.02
190608,0.01,-0.02
190609,0.00,-0.16
190610,0.00,-0.66
190611,0.64,-1.01
190612,6.48,3.59
190701,12.32,8.25
190702,1.61,-2.57
190703,6.46,3.10
190704,0.24,-1.14
190705,0.00,-0.41
190706,0.06,0.02
190707,0.00,-0.02
190708,0.01,-0.02
190709,0.00,-0.16
190710,3.71,3.05
190711,0.00,-1.65
190712,2.14,-0.75
190801,5.55,1.48
190802,6.17,1.99
190803,0.38,-2.98
190804,0.60,-0.78
190805,0.27,-0.14
190806,0.00,-0.04
190807,0.00,-0.02
190808,0.06,0.03
190809,0.72,0.56
190810,0.28,-0.38
190811,1.67,0.02
190812,1.96,-0.93
190901,12.97,8.90
190902,7.97,3.79
190903,5.84,2.48
190904,0.05,-1.33
190905,0.02,-0.39
190906,0.06,0.02
190907,0.00,-0.02
190908,0.11,0.08
190909,0.05,-0.11
190910,0.50,-0.16
190911,1.96,0.31
190912,8.84,5.95
191001,3.11,-0.96
191002,0.26,-3.92
191003,3.85,0.49
191004,0.41,-0.97
191005,0.00,-0.41
191006,0.00,-0.04
191007,0.03,0.01
191008,0.00,-0.03
191009,0.77,0.61
191010,0.32,-0.34
191011,0.55,-1.10
191012,0.67,-2.22
191101,12.92,8.85
191102,4.41,0.23
191103,10.34,6.98
191104,1.35,-0.03
191105,0.06,-0.35
191106,0.03,-0.01
191107,0.00,-0.02
191108,0.00,-0.03
191109,0.09,-0.07
191110,0.10,-0.56
191111,0.15,-1.50
191112,2.04,-0.85
191201,1.20,-2.87
191202,0.02,-4.16
191203,9.15,5.79
191204,1.79,0.41
191205,1.62,1.21
191206,0.01,-0.03
191207,0.00,-0.02
191208,0.00,-0.03
191209,0.00,-0.16
191210,0.21,-0.45
191211,0.49,-1.16
191212,0.12,-2.77
191301,3.38,-0.69
191302,6.47,2.29
191303,0.74,-2.62
191304,0.74,-0.64
191305,0.25,-0.16
191306,0.32,0.28
191307,0.10,0.08
191308,0.16,0.13
191309,0.04,-0.12
191310,0.00,-0.66
191311,3.10,1.45
191312,3.31,0.42
191401,15.08,11.01
191402,7.26,3.08
191403,0.97,-2.39
191404,0.60,-0.78
191405,0.29,-0.12
191406,0.07,0.03
191407,0.03,0.01
191408,0.00,-0.03
191409,0.05,-0.11
191410,1.03,0.37
191411,0.03,-1.62
191412,5.31,2.42
191501,6.43,2.36
191502,9.88,5.70
191503,1.09,-2.27
191504,2.23,0.85
191505,1.76,1.35
191506,0.00,-0.04
191507,0.00,-0.02
191508,0.00,-0.03
191509,0.05,-0.11
191510,0.00,-0.66
191511,0.64,-1.01
191512,3.90,1.01
191601,11.49,7.42
191602,1.52,-2.66
191603,1.89,-1.47
191604,0.75,-0.63
191605,0.03,-0.38
191606,0.00,-0.04
191607,0.00,-0.02
191608,0.05,0.02
191609,0.69,0.53
191610,2.80,2.14
191611,0.26,-1.39
191612,7.12,4.23
191701,4.80,0.73
191702,1.76,-2.42
191703,0.51,-2.85
191704,0.53,-0.85
191705,0.44,0.03
191706,0.00,-0.04
191707,0.02,0.00
191708,0.02,-0.01
191709,0.00,-0.16
191710,0.03,-0.63
191711,0.93,-0.72
191712,0.23,-2.66
191801,0.96,-3.11
191802,11.66,7.48
191803,8.55,5.19
191804,0.03,-1.35
191805,0.03,-0.38
191806,0.00,-0.04
191807,0.09,0.07
191808,0.00,-0.03
191809,0.57,0.41
191810,0.36,-0.30
191811,3.41,1.76
191812,3.10,0.21
191901,0.84,-3.23
191902,3.76,-0.42
191903,2.95,-0.41
191904,0.21,-1.17
