Santa Clara County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,10.39,5.55
189502,2.40,-1.80
189503,2.73,-0.98
189504,2.32,0.66
189505,1.50,0.84
189506,0.00,-0.14
189507,0.04,0.03
189508,0.00,-0.05
189509,0.28,0.04
189510,0.89,-0.14
189511,1.67,-0.80
189512,1.89,-2.22
189601,10.66,5.82
189602,0.24,-3.96
189603,3.41,-0.30
189604,4.30,2.64
189605,0.92,0.26
189606,0.00,-0.14
189607,0.05,0.04
189608,0.38,0.33
189609,0.37,0.13
189610,2.10,1.07
189611,5.02,2.55
189612,3.94,-0.17
189701,2.89,-1.95
189702,5.36,1.16
189703,5.24,1.53
189704,0.75,-0.91
189705,0.15,-0.51
189706,0.21,0.07
189707,0.00,-0.01
189708,0.08,0.03
189709,0.13,-0.11
189710,2.00,0.97
189711,1.01,-1.46
189712,2.21,-1.90
189801,1.45,-3.39
189802,2.65,-1.55
189803,0.89,-2.82
189804,0.32,-1.34
189805,1.35,0.69
189806,0.10,-0.04
189807,0.00,-0.01
189808,0.01,-0.04
189809,0.95,0.71
189810,0.82,-0.21
189811,0.64,-1.83
189812,1.75,-2.36
189901,5.82,0.98
189902,0.38,-3.82
189903,8.09,4.38
189904,0.79,-0.87
189905,0.85,0.19
189906,0.34,0.20
189907,0.00,-0.01
189908,0.07,0.02
189909,0.00,-0.24
189910,5.11,4.08
189911,4.03,1.56
189912,3.46,-0.65
190001,3.15,-1.69
190002,0.55,-3.65
190003,2.20,-1.51
190004,2.43,0.77
190005,1.47,0.81
190006,0.03,-0.11
190007,0.03,0.02
190008,0.00,-0.05
190009,0.11,-0.13
190010,2.02,0.99
190011,8.60,6.13
190012,2.15,-1.96
190101,5.06,0.22
190102,6.10,1.90
190103,1.23,-2.48
190104,2.72,1.06
190105,1.09,0.43
190106,0.00,-0.14
190107,0.00,-0.01
190108,0.00,-0.05
190109,0.69,0.45
190110,1.23,0.20
190111,2.63,0.16
190112,0.91,-3.20
190201,1.42,-3.42
190202,9.12,4.92
190203,3.91,0.20
190204,2.17,0.51
190205,1.08,0.42
190206,0.00,-0.14
190207,0.00,-0.01
190208,0.00,-0.05
190209,0.00,-0.24
190210,1.40,0.37
190211,2.94,0.47
190212,1.85,-2.26
190301,4.54,-0.30
190302,1.92,-2.28
190303,9.03,5.32
190304,0.89,-0.77
190305,0.00,-0.66
190306,0.00,-0.14
190307,0.00,-0.01
190308,0.00,-0.05
190309,0.00,-0.24
190310,0.13,-0.90
190311,3.11,0.64
190312,0.76,-3.35
190401,1.61,-3.23
190402,5.89,1.69
190403,6.25,2.54
190404,2.95,1.29
190405,0.35,-0.31
190406,0.01,-0.13
190407,0.00,-0.01
190408,0.37,0.32
190409,1.34,1.10
190410,2.54,1.51
190411,1.55,-0.92
190412,3.23,-0.88
190501,4.57,-0.27
190502,4.65,0.45
190503,5.36,1.65
190504,1.51,-0.15
190505,3.14,2.48
190506,0.00,-0.14
190507,0.00,-0.01
190508,0.00,-0.05
190509,0.01,-0.23
190510,0.00,-1.03
190511,2.63,0.16
190512,1.89,-2.22
190601,6.08,1.24
190602,4.55,0.35
190603,9.11,5.40
190604,1.52,-0.14
190605,2.51,1.85
190606,0.58,0.44
190607,0.00,-0.01
190608,0.00,-0.05
190609,0.28,0.04
190610,0.01,-1.02
190611,2.08,-0.39
190612,11.25,7.14
190701,7.42,2.58
190702,2.57,-1.63
190703,12.68,8.97
190704,0.45,-1.21
190705,0.21,-0.45
190706,0.76,0.62
190707,0.00,-0.01
190708,0.00,-0.05
190709,0.11,-0.13
190710,2.01,0.98
190711,0.06,-2.41
190712,6.56,2.45
190801,3.80,-1.04
190802,3.38,-0.82
190803,1.64,-2.07
190804,0.38,-1.28
190805,0.84,0.18
190806,0.01,-0.13
190807,0.00,-0.01
190808,0.00,-0.05
190809,0.11,-0.13
190810,0.51,-0.52
190811,1.77,-0.70
190812,2.48,-1.63
190901,15.25,10.41
190902,7.63,3.43
190903,4.36,0.65
190904,0.00,-1.66
190905,0.00,-0.66
190906,0.11,-0.03
190907,0.00,-0.01
190908,0.00,-0.05
190909,0.78,0.54
190910,0.91,-0.12
190911,2.01,-0.46
190912,8.26,4.15
191001,4.95,0.11
191002,1.43,-2.77
191003,4.22,0.51
191004,0.43,-1.23
191005,0.00,-0.66
191006,0.03,-0.11
191007,0.00,-0.01
191008,0.00,-0.05
191009,0.16,-0.08
191010,0.58,-0.45
191011,0.53,-1.94
191012,1.52,-2.59
191101,14.46,9.62
191102,3.00,-1.20
191103,7.01,3.30
191104,1.45,-0.21
191105,0.51,-0.15
191106,0.14,0.00
191107,0.00,-0.01
191108,0.00,-0.05
191109,0.00,-0.24
191110,0.92,-0.11
191111,0.63,-1.84
191112,2.80,-1.31
191201,3.29,-1.55
191202,0.37,-3.83
191203,4.41,0.70
191204,3.01,1.35
191205,1.54,0.88
191206,0.45,0.31
191207,0.00,-0.01
191208,0.00,-0.05
191209,0.73,0.49
191210,0.49,-0.54
191211,0.80,-1.67
191212,0.86,-3.25
191301,4.77,-0.07
191302,0.46,-3.74
191303,2.14,-1.57
191304,0.79,-0.87
191305,1.07,0.41
191306,0.10,-0.04
191307,0.09,0.08
191308,0.14,0.09
191309,0.02,-0.22
191310,0.02,-1.01
191311,5.93,3.46
191312,7.55,3.44
191401,12.76,7.92
191402,4.45,0.25
191403,1.15,-2.56
191404,1.48,-0.18
191405,0.31,-0.35
191406,0.35,0.21
191407,0.03,0.02
191408,0.00,-0.05
191409,0.01,-0.23
191410,1.09,0.06
191411,0.82,-1.65
191412,7.59,3.48
191501,6.96,2.12
191502,8.78,4.58
191503,2.02,-1.69
191504,1.58,-0.08
191505,3.28,2.62
191506,0.00,-0.14
191507,0.00,-0.01
191508,0.03,-0.02
191509,0.04,-0.20
191510,0.00,-1.03
191511,0.60,-1.87
191512,6.67,2.56
191601,14.24,9.40
191602,3.46,-0.74
191603,2.13,-1.58
191604,0.37,-1.29
191605,0.06,-0.60
191606,0.00,-0.14
191607,0.05,0.04
191608,0.03,-0.02
191609,0.90,0.66
191610,1.18,0.15
191611,0.91,-1.56
191612,5.88,1.77
191701,1.89,-2.95
191702,5.60,1.40
191703,1.24,-2.47
191704,0.46,-1.20
191705,0.20,-0.46
191706,0.00,-0.14
191707,0.00,-0.01
191708,0.00,-0.05
191709,0.10,-0.14
191710,0.00,-1.03
191711,0.79,-1.68
191712,0.87,-3.24
191801,1.05,-3.79
191802,4.82,0.62
191803,5.77,2.06
191804,0.67,-0.99
191805,0.06,-0.60
191806,0.00,-0.14
191807,0.00,-0.01
191808,0.02,-0.03
191809,1.34,1.10
191810,0.32,-0.71
191811,3.99,1.52
191812,2.66,-1.45
191901,1.42,-3.42
191902,7.91,3.71
191903,3.92,0.21
191904,0.17,-1.49
