Santa Cruz County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,14.51,7.32
189502,3.23,-3.02
189503,3.61,-1.42
189504,2.84,0.64
189505,1.57,0.75
189506,0.00,-0.21
189507,0.08,0.06
189508,0.00,-0.05
189509,0.30,0.02
189510,0.93,-0.50
189511,2.22,-1.35
189512,2.83,-3.17
189601,14.89,7.70
189602,0.31,-5.94
189603,4.55,-0.48
189604,5.10,2.90
189605,1.28,0.46
189606,0.00,-0.21
189607,0.10,0.08
189608,0.32,0.27
189609,0.42,0.14
189610,2.58,1.15
189611,7.70,4.13
189612,5.86,-0.14
189701,4.20,-2.99
189702,7.16,0.91
189703,6.94,1.91
189704,0.76,-1.44
189705,0.18,-0.64
189706,0.30,0.09
189707,0.00,-0.02
189708,0.07,0.02
189709,0.16,-0.12
189710,2.30,0.87
189711,1.48,-2.09
189712,3.23,-2.77
189801,2.26,-4.93
189802,3.60,-2.65
189803,1.32,-3.71
189804,0.51,-1.69
189805,1.50,0.68
189806,0.12,-0.09
189807,0.00,-0.02
189808,0.00,-0.05
189809,1.21,0.93
189810,0.92,-0.51
189811,0.92,-2.65
189812,2.42,-3.58
189901,8.66,1.47
189902,0.53,-5.72
189903,10.68,5.65
189904,1.19,-1.01
189905,1.02,0.20
189906,0.30,0.09
189907,0.00,-0.02
189908,0.05,0.00
189909,0.00,-0.28
189910,7.11,5.68
189911,5.15,1.58
189912,5.14,-0.86
190001,5.37,-1.82
190002,0.95,-5.30
190003,3.50,-1.53
190004,2.93,0.73
190005,1.41,0.59
190006,0.02,-0.19
190007,0.03,0.01
190008,0.00,-0.05
190009,0.10,-0.18
190010,2.49,1.06
190011,11.21,7.64
190012,3.14,-2.86
190101,6.51,-0.68
190102,7.88,1.63
190103,1.45,-3.58
190104,3.23,1.03
190105,1.00,0.18
190106,0.00,-0.21
190107,0.00,-0.02
190108,0.00,-0.05
190109,0.80,0.52
190110,1.43,0.00
190111,3.93,0.36
190112,1.55,-4.45
190201,2.23,-4.96
190202,15.15,8.90
190203,4.82,-0.21
190204,2.90,0.70
190205,1.16,0.34
190206,0.00,-0.21
190207,0.00,-0.02
190208,0.00,-0.05
190209,0.00,-0.28
190210,2.18,0.75
190211,3.61,0.04
190212,2.76,-3.24
190301,6.83,-0.36
190302,2.70,-3.55
190303,12.57,7.54
190304,0.96,-1.24
190305,0.00,-0.82
190306,0.00,-0.21
190307,0.00,-0.02
190308,0.00,-0.05
190309,0.00,-0.28
190310,0.25,-1.18
190311,6.04,2.47
190312,1.18,-4.82
190401,2.22,-4.97
190402,9.69,3.44
190403,9.53,4.50
190404,4.05,1.85
190405,0.34,-0.48
190406,0.00,-0.21
190407,0.00,-0.02
190408,0.31,0.26
190409,1.41,1.13
190410,3.81,2.38
190411,2.26,-1.31
190412,4.33,-1.67
190501,6.79,-0.40
190502,6.43,0.18
190503,6.91,1.88
190504,2.11,-0.09
190505,3.71,2.89
190506,0.00,-0.21
190507,0.03,0.01
190508,0.00,-0.05
190509,0.01,-0.27
190510,0.00,-1.43
190511,3.62,0.05
190512,2.67,-3.33
190601,7.97,0.78
190602,7.26,1.01
190603,11.76,6.73
190604,1.74,-0.46
190605,3.19,2.37
190606,0.86,0.65
190607,0.00,-0.02
190608,0.00,-0.05
190609,0.32,0.04
190610,0.00,-1.43
190611,2.75,-0.82
190612,15.19,9.19
190701,9.91,2.72
190702,3.74,-2.51
190703,17.03,12.00
190704,0.40,-1.80
190705,0.29,-0.53
190706,0.99,0.78
190707,0.00,-0.02
190708,0.00,-0.05
190709,0.19,-0.09
190710,2.76,1.33
190711,0.05,-3.52
190712,9.11,3.11
190801,5.56,-1.63
190802,5.55,-0.70
190803,2.29,-2.74
190804,0.58,-1.62
190805,0.80,-0.02
190806,0.01,-0.20
190807,0.00,-0.02
190808,0.00,-0.05
190809,0.17,-0.11
190810,0.91,-0.52
190811,2.54,-1.03
190812,3.79,-2.21
190901,23.58,16.39
190902,11.22,4.97
190903,5.82,0.79
190904,0.00,-2.20
190905,0.00,-0.82
190906,0.14,-0.07
190907,0.00,-0.02
190908,0.00,-0.05
190909,0.96,0.68
190910,1.32,-0.11
190911,2.41,-1.16
190912,12.03,6.03
191001,7.10,-0.09
191002,2.13,-4.12
191003,5.95,0.92
191004,0.56,-1.64
191005,0.01,-0.81
191006,0.04,-0.17
191007,0.00,-0.02
191008,0.00,-0.05
191009,0.11,-0.17
191010,1.01,-0.42
191011,0.86,-2.71
191012,2.27,-3.73
191101,19.72,12.53
191102,5.41,-0.84
191103,8.52,3.49
191104,2.18,-0.02
191105,0.66,-0.16
191106,0.19,-0.02
191107,0.00,-0.02
191108,0.00,-0.05
191109,0.00,-0.28
191110,1.30,-0.13
191111,1.09,-2.48
191112,4.64,-1.36
191201,4.92,-2.27
191202,0.61,-5.64
191203,6.04,1.01
191204,3.93,1.73
191205,1.96,1.14
191206,0.56,0.35
191207,0.00,-0.02
191208,0.00,-0.05
191209,0.93,0.65
191210,0.74,-0.69
191211,1.34,-2.23
191212,1.34,-4.66
191301,7.20,0.01
191302,0.53,-5.72
191303,2.92,-2.11
191304,0.69,-1.51
191305,1.16,0.34
191306,0.17,-0.04
191307,0.14,0.12
191308,0.11,0.06
191309,0.02,-0.26
191310,0.03,-1.40
191311,7.83,4.26
191312,11.49,5.49
191401,18.09,10.90
191402,7.02,0.77
191403,1.42,-3.61
191404,1.86,-0.34
191405,0.34,-0.48
191406,0.53,0.32
191407,0.08,0.06
191408,0.01,-0.04
191409,0.02,-0.26
191410,1.61,0.18
191411,1.59,-1.98
191412,10.78,4.78
191501,10.60,3.41
191502,13.61,7.36
191503,2.65,-2.38
191504,1.93,-0.27
191505,4.14,3.32
191506,0.00,-0.21
191507,0.00,-0.02
191508,0.04,-0.01
191509,0.02,-0.26
191510,0.01,-1.42
191511,0.82,-2.75
191512,8.94,2.94
191601,19.57,12.38
191602,5.19,-1.06
191603,2.64,-2.39
191604,0.30,-1.90
191605,0.12,-0.70
191606,0.00,-0.21
191607,0.10,0.08
191608,0.02,-0.03
191609,0.98,0.70
191610,1.29,-0.14
191611,1.35,-2.22
191612,8.16,2.16
191701,2.77,-4.42
191702,7.93,1.68
191703,1.49,-3.54
191704,0.65,-1.55
191705,0.26,-0.56
191706,0.00,-0.21
191707,0.00,-0.02
191708,0.00,-0.05
191709,0.10,-0.18
191710,0.00,-1.43
191711,1.09,-2.48
191712,1.42,-4.58
191801,1.45,-5.74
191802,5.73,-0.52
191803,7.43,2.40
191804,0.70,-1.50
191805,0.09,-0.73
191806,0.00,-0.21
191807,0.00,-0.02
191808,0.04,-0.01
191809,1.41,1.13
191810,0.41,-1.02
191811,5.48,1.91
191812,3.41,-2.59
191901,2.10,-5.09
191902,11.49,5.24
191903,5.08,0.05
191904,0.13,-2.07
