Shasta County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,15.66,8.04
189502,3.31,-3.44
189503,4.03,-1.49
189504,1.91,-1.30
189505,3.70,1.67
189506,0.06,-0.93
189507,0.53,0.37
189508,0.24,-0.01
189509,3.07,2.20
189510,0.06,-2.44
189511,2.38,-2.98
189512,6.15,-0.52
189601,15.14,7.52
189602,1.55,-5.20
189603,6.34,0.82
189604,9.84,6.63
189605,5.64,3.61
189606,0.25,-0.74
189607,0.16,0.00
189608,0.67,0.42
189609,1.16,0.29
189610,1.77,-0.73
189611,9.50,4.14
189612,9.00,2.33
189701,3.68,-3.94
189702,8.97,2.22
189703,7.92,2.40
189704,2.83,-0.38
189705,1.04,-0.99
189706,1.73,0.74
189707,0.02,-0.14
189708,0.08,-0.17
189709,0.50,-0.37
189710,2.72,0.22
189711,5.51,0.15
189712,4.87,-1.80
189801,1.12,-6.50
189802,5.65,-1.10
189803,0.77,-4.75
189804,1.09,-2.12
189805,3.96,1.93
189806,1.74,0.75
189807,0.03,-0.13
189808,0.05,-0.20
189809,0.94,0.07
189810,1.61,-0.89
189811,3.19,-2.17
189812,2.23,-4.44
189901,8.77,1.15
189902,1.93,-4.82
189903,9.15,3.63
189904,1.03,-2.18
189905,1.75,-0.28
189906,1.42,0.43
189907,0.06,-0.10
189908,0.33,0.08
189909,0.06,-0.81
189910,7.66,5.16
189911,9.05,3.69
189912,6.41,-0.26
190001,5.76,-1.86
190002,3.45,-3.30
190003,4.33,-1.19
190004,3.58,0.37
190005,2.64,0.61
190006,1.22,0.23
190007,0.08,-0.08
190008,0.28,0.03
190009,0.55,-0.32
190010,7.06,4.56
190011,4.98,-0.38
190012,4.41,-2.26
190101,6.99,-0.63
190102,7.24,0.49
190103,2.67,-2.85
190104,5.37,2.16
190105,0.86,-1.17
190106,0.08,-0.91
190107,0.02,-0.14
190108,0.31,0.06
190109,2.73,1.86
190110,3.55,1.05
190111,6.37,1.01
190112,4.84,-1.83
190201,1.66,-5.96
190202,18.30,11.55
190203,5.36,-0.16
190204,5.26,2.05
190205,2.68,0.65
190206,0.04,-0.95
190207,0.20,0.04
190208,0.20,-0.05
190209,0.08,-0.79
190210,5.24,2.74
190211,9.01,3.65
190212,7.11,0.44
190301,9.45,1.83
190302,2.48,-4.27
190303,8.42,2.90
190304,1.13,-2.08
190305,1.12,-0.91
190306,0.39,-0.60
190307,0.02,-0.14
190308,0.01,-0.24
190309,0.21,-0.66
190310,1.22,-1.28
190311,15.29,9.93
190312,4.77,-1.90
190401,2.68,-4.94
190402,14.95,8.20
190403,14.40,8.88
190404,6.45,3.24
190405,0.44,-1.59
190406,0.12,-0.87
190407,0.52,0.36
190408,0.13,-0.12
190409,3.38,2.51
190410,5.41,2.91
190411,3.76,-1.60
190412,7.11,0.44
190501,7.73,0.11
190502,4.43,-2.32
190503,8.36,2.84
190504,1.18,-2.03
190505,2.64,0.61
190506,0.38,-0.61
190507,0.01,-0.15
190508,0.22,-0.03
190509,0.30,-0.57
190510,0.31,-2.19
190511,3.47,-1.89
190512,3.46,-3.21
190601,13.34,5.72
190602,7.42,0.67
190603,14.14,8.62
190604,2.28,-0.93
190605,5.85,3.82
190606,2.20,1.21
190607,0.04,-0.12
190608,0.15,-0.10
190609,0.85,-0.02
190610,0.08,-2.42
190611,3.06,-2.30
190612,12.00,5.33
190701,11.69,4.07
190702,7.29,0.54
190703,12.52,7.00
190704,2.59,-0.62
190705,2.87,0.84
190706,1.87,0.88
190707,0.02,-0.14
190708,0.24,-0.01
190709,0.30,-0.57
190710,1.97,-0.53
190711,0.86,-4.50
190712,8.75,2.08
190801,7.17,-0.45
190802,6.85,0.10
190803,1.20,-4.32
190804,1.91,-1.30
190805,3.64,1.61
190806,0.67,-0.32
190807,0.10,-0.06
190808,0.03,-0.22
190809,0.36,-0.51
190810,2.57,0.07
190811,3.76,-1.60
190812,3.46,-3.21
190901,23.30,15.68
190902,12.79,6.04
190903,3.68,-1.84
190904,0.12,-3.09
190905,0.54,-1.49
190906,0.40,-0.59
190907,0.14,-0.02
190908,0.04,-0.21
190909,1.39,0.52
190910,2.35,-0.15
190911,8.47,3.11
190912,6.31,-0.36
191001,5.63,-1.99
191002,5.20,-1.55
191003,4.08,-1.44
191004,0.61,-2.60
191005,0.79,-1.24
191006,0.22,-0.77
191007,0.07,-0.09
191008,0.00,-0.25
191009,0.69,-0.18
191010,1.00,-1.50
191011,5.31,-0.05
191012,4.33,-2.34
191101,14.24,6.62
191102,4.16,-2.59
191103,7.98,2.46
191104,2.99,-0.22
191105,1.95,-0.08
191106,0.67,-0.32
191107,0.38,0.22
191108,0.00,-0.25
191109,0.59,-0.28
191110,1.07,-1.43
191111,1.23,-4.13
191112,2.41,-4.26
191201,6.78,-0.84
191202,1.88,-4.87
191203,5.81,0.29
191204,5.05,1.84
191205,3.98,1.95
191206,1.33,0.34
191207,0.19,0.03
191208,0.15,-0.10
191209,3.68,2.81
191210,1.79,-0.71
191211,5.90,0.54
191212,2.92,-3.75
191301,8.69,1.07
191302,0.94,-5.81
191303,3.05,-2.47
191304,3.25,0.04
191305,1.75,-0.28
191306,2.25,1.26
191307,0.72,0.56
191308,0.34,0.09
191309,0.06,-0.81
191310,0.07,-2.43
191311,7.92,2.56
191312,12.06,5.39
191401,17.12,9.50
191402,7.02,0.27
191403,1.75,-3.77
191404,4.66,1.45
191405,1.32,-0.71
191406,1.96,0.97
191407,0.07,-0.09
191408,0.07,-0.18
191409,0.93,0.06
191410,3.28,0.78
191411,1.25,-4.11
191412,5.55,-1.12
191501,10.43,2.81
191502,15.81,9.06
191503,4.81,-0.71
191504,2.45,-0.76
191505,6.36,4.33
191506,0.02,-0.97
191507,0.14,-0.02
191508,0.04,-0.21
191509,0.02,-0.85
191510,0.50,-2.00
191511,3.69,-1.67
191512,8.59,1.92
191601,13.80,6.18
191602,5.65,-1.10
191603,3.72,-1.80
191604,0.64,-2.57
191605,1.42,-0.61
191606,1.02,0.03
191607,0.68,0.52
191608,0.28,0.03
191609,0.15,-0.72
191610,1.48,-1.02
191611,3.40,-1.96
191612,6.01,-0.66
191701,3.68,-3.94
191702,7.72,0.97
191703,2.14,-3.38
191704,3.42,0.21
191705,1.52,-0.51
191706,0.04,-0.95
191707,0.02,-0.14
191708,0.09,-0.16
191709,0.66,-0.21
191710,0.00,-2.50
191711,3.48,-1.88
191712,3.18,-3.49
191801,1.57,-6.05
191802,6.26,-0.49
191803,6.32,0.80
191804,1.65,-1.56
191805,0.63,-1.40
191806,0.14,-0.85
191807,0.02,-0.14
191808,0.32,0.07
191809,3.39,2.52
191810,2.85,0.35
191811,4.11,-1.25
191812,2.56,-4.11
191901,5.04,-2.58
191902,12.28,5.53
191903,5.39,-0.13
191904,2.52,-0.69
191905,0.32,-1.71
