Sierra County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,20.09,11.52
189502,5.09,-2.68
189503,4.06,-2.41
189504,2.82,-0.50
189505,3.82,1.65
189506,0.01,-0.88
189507,0.54,0.31
189508,0.42,0.14
189509,3.58,2.71
189510,0.34,-2.26
189511,2.16,-3.20
189512,5.90,-1.31
189601,18.56,9.99
189602,0.67,-7.10
189603,8.49,2.02
189604,11.57,8.25
189605,4.81,2.64
189606,0.08,-0.81
189607,0.49,0.26
189608,0.76,0.48
189609,1.66,0.79
189610,1.68,-0.92
189611,12.06,6.70
189612,6.24,-0.97
189701,3.82,-4.75
189702,12.27,4.50
189703,9.22,2.75
189704,1.56,-1.76
189705,0.77,-1.40
189706,1.78,0.89
189707,0.11,-0.12
189708,0.15,-0.13
189709,0.64,-0.23
189710,3.67,1.07
189711,4.81,-0.55
189712,4.51,-2.70
189801,1.85,-6.72
189802,7.97,0.20
189803,1.47,-5.00
189804,1.10,-2.22
189805,2.95,0.78
189806,1.65,0.76
189807,0.08,-0.15
189808,0.08,-0.20
189809,0.41,-0.46
189810,1.93,-0.67
189811,4.12,-1.24
189812,2.10,-5.11
189901,8.83,0.26
189902,1.09,-6.68
189903,12.76,6.29
189904,1.34,-1.98
189905,2.64,0.47
189906,0.81,-0.08
189907,0.01,-0.22
189908,1.10,0.82
189909,0.00,-0.87
189910,10.81,8.21
189911,8.84,3.48
189912,9.39,2.18
190001,5.92,-2.65
190002,2.55,-5.22
190003,6.85,0.38
190004,4.22,0.90
190005,1.82,-0.35
190006,0.30,-0.59
190007,0.19,-0.04
190008,0.06,-0.22
190009,0.67,-0.20
190010,6.27,3.67
190011,8.88,3.52
190012,4.64,-2.57
190101,9.99,1.42
190102,11.40,3.63
190103,2.70,-3.77
190104,5.13,1.81
190105,1.33,-0.84
190106,0.07,-0.82
190107,0.00,-0.23
190108,0.30,0.02
190109,3.36,2.49
190110,3.73,1.13
190111,5.23,-0.13
190112,5.03,-2.18
190201,1.51,-7.06
190202,15.37,7.60
190203,5.83,-0.64
190204,3.59,0.27
190205,1.50,-0.67
190206,0.27,-0.62
190207,0.24,0.01
190208,0.11,-0.17
190209,0.03,-0.84
190210,4.19,1.59
190211,6.72,1.36
190212,7.66,0.45
190301,11.56,2.99
190302,3.15,-4.62
190303,10.71,4.24
190304,1.35,-1.97
190305,0.72,-1.45
190306,0.41,-0.48
190307,0.00,-0.23
190308,0.05,-0.23
190309,0.26,-0.61
190310,1.90,-0.70
190311,15.55,10.19
190312,2.68,-4.53
190401,3.09,-5.48
190402,24.53,16.76
190403,14.99,8.52
190404,3.01,-0.31
190405,0.69,-1.48
190406,0.02,-0.87
190407,0.17,-0.06
190408,0.36,0.08
190409,4.30,3.43
190410,5.86,3.26
190411,3.05,-2.31
190412,6.57,-0.64
190501,5.17,-3.40
190502,4.85,-2.92
190503,8.72,2.25
190504,2.28,-1.04
190505,2.90,0.73
190506,0.41,-0.48
190507,0.00,-0.23
190508,0.37,0.09
190509,0.48,-0.39
190510,0.14,-2.46
190511,3.17,-2.19
190512,2.70,-4.51
190601,16.93,8.36
190602,7.98,0.21
190603,14.18,7.71
190604,2.46,-0.86
190605,7.00,4.83
190606,2.45,1.56
190607,0.08,-0.15
190608,0.37,0.09
190609,0.41,-0.46
190610,0.20,-2.40
190611,3.56,-1.80
190612,13.33,6.12
190701,10.09,1.52
190702,7.19,-0.58
190703,24.62,18.15
190704,2.18,-1.14
190705,1.40,-0.77
190706,3.22,2.33
190707,0.00,-0.23
190708,0.02,-0.26
190709,0.09,-0.78
190710,1.20,-1.40
190711,0.40,-4.96
190712,10.25,3.04
190801,5.12,-3.45
190802,4.80,-2.97
190803,4.33,-2.14
190804,0.87,-2.45
190805,4.33,2.16
190806,0.57,-0.32
190807,0.07,-0.16
190808,0.04,-0.24
190809,0.34,-0.53
190810,2.96,0.36
190811,2.80,-2.56
190812,3.08,-4.13
190901,30.51,21.94
190902,11.55,3.78
190903,4.47,-2.00
190904,0.44,-2.88
190905,1.05,-1.12
190906,0.52,-0.37
190907,0.00,-0.23
190908,0.00,-0.28
190909,0.55,-0.32
190910,3.70,1.10
190911,9.49,4.13
190912,11.95,4.74
191001,8.33,-0.24
191002,5.25,-2.52
191003,5.36,-1.11
191004,1.01,-2.31
191005,0.43,-1.74
191006,0.05,-0.84
191007,0.06,-0.17
191008,0.00,-0.28
191009,1.80,0.93
191010,0.95,-1.65
191011,3.20,-2.16
191012,4.73,-2.48
191101,28.27,19.70
191102,5.11,-2.66
191103,10.91,4.44
191104,4.09,0.77
191105,1.36,-0.81
191106,0.32,-0.57
191107,0.12,-0.11
191108,0.00,-0.28
191109,0.22,-0.65
191110,0.66,-1.94
191111,2.44,-2.92
191112,3.26,-3.95
191201,4.98,-3.59
191202,0.52,-7.25
191203,5.83,-0.64
191204,4.79,1.47
191205,4.03,1.86
191206,1.23,0.34
191207,0.16,-0.07
191208,0.10,-0.18
191209,2.49,1.62
191210,2.00,-0.60
191211,5.42,0.06
191212,3.34,-3.87
191301,9.39,0.82
191302,1.47,-6.30
191303,3.47,-3.00
191304,3.19,-0.13
191305,2.42,0.25
191306,0.96,0.07
191307,1.19,0.96
191308,0.67,0.39
191309,0.09,-0.78
191310,0.01,-2.59
191311,7.09,1.73
191312,14.47,7.26
191401,20.51,11.94
191402,8.19,0.42
191403,1.34,-5.13
191404,3.87,0.55
191405,1.41,-0.76
191406,1.89,1.00
191407,0.09,-0.14
191408,0.00,-0.28
191409,0.04,-0.83
191410,2.54,-0.06
191411,1.01,-4.35
191412,5.19,-2.02
191501,8.17,-0.40
191502,16.62,8.85
191503,2.55,-3.92
191504,1.83,-1.49
191505,9.15,6.98
191506,0.05,-0.84
191507,0.15,-0.08
191508,0.11,-0.17
191509,0.06,-0.81
191510,0.16,-2.44
191511,3.34,-2.02
191512,8.33,1.12
191601,23.19,14.62
191602,6.18,-1.59
191603,6.52,0.05
191604,1.00,-2.32
191605,1.36,-0.81
191606,0.08,-0.81
191607,0.85,0.62
191608,0.27,-0.01
191609,0.99,0.12
191610,2.42,-0.18
191611,2.89,-2.47
191612,9.20,1.99
191701,2.87,-5.70
191702,10.98,3.21
191703,4.52,-1.95
191704,3.57,0.25
191705,1.57,-0.60
191706,0.00,-0.89
191707,0.44,0.21
191708,0.05,-0.23
191709,0.21,-0.66
191710,0.03,-2.57
191711,2.23,-3.13
191712,3.05,-4.16
191801,1.23,-7.34
191802,11.30,3.53
191803,9.96,3.49
191804,2.17,-1.15
191805,0.37,-1.80
191806,0.16,-0.73
191807,0.02,-0.21
191808,0.03,-0.25
191809,4.58,3.71
191810,3.03,0.43
191811,3.75,-1.61
191812,1.85,-5.36
191901,2.99,-5.58
191902,16.01,8.24
191903,5.05,-1.42
191904,1.52,-1.80
