Siskiyou County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,10.86,4.12
189502,2.38,-3.24
189503,4.72,0.07
189504,1.94,-0.77
189505,3.42,1.45
189506,0.18,-0.91
189507,0.56,0.20
189508,0.38,0.01
189509,1.95,1.01
189510,0.01,-2.60
189511,1.92,-3.48
189512,7.16,0.81
189601,12.23,5.49
189602,2.92,-2.70
189603,5.55,0.90
189604,6.39,3.68
189605,5.16,3.19
189606,0.46,-0.63
189607,0.41,0.05
189608,0.87,0.50
189609,0.98,0.04
189610,1.82,-0.79
189611,9.39,3.99
189612,7.82,1.47
189701,1.91,-4.83
189702,8.93,3.31
189703,6.45,1.80
189704,1.60,-1.11
189705,1.07,-0.90
189706,1.95,0.86
189707,0.04,-0.32
189708,0.20,-0.17
189709,0.63,-0.31
189710,1.77,-0.84
189711,5.46,0.06
189712,6.37,0.02
189801,1.95,-4.79
189802,4.48,-1.14
189803,1.13,-3.52
189804,1.11,-1.60
189805,3.27,1.30
189806,0.97,-0.12
189807,0.06,-0.30
189808,0.34,-0.03
189809,1.34,0.40
189810,1.68,-0.93
189811,4.62,-0.78
189812,2.52,-3.83
189901,6.90,0.16
189902,4.59,-1.03
189903,7.25,2.60
189904,1.02,-1.69
189905,1.90,-0.07
189906,0.74,-0.35
189907,0.05,-0.31
189908,0.46,0.09
189909,0.39,-0.55
189910,5.08,2.47
189911,7.88,2.48
189912,6.81,0.46
190001,4.53,-2.21
190002,5.35,-0.27
190003,3.38,-1.27
190004,2.21,-0.50
190005,1.76,-0.21
190006,1.60,0.51
190007,0.03,-0.33
190008,0.76,0.39
190009,0.61,-0.33
190010,6.93,4.32
190011,3.71,-1.69
190012,5.22,-1.13
190101,5.72,-1.02
190102,7.10,1.48
190103,2.91,-1.74
190104,2.54,-0.17
190105,1.20,-0.77
190106,0.09,-1.00
190107,0.04,-0.32
190108,0.70,0.33
190109,2.51,1.57
190110,2.35,-0.26
190111,4.08,-1.32
190112,5.74,-0.61
190201,1.67,-5.07
190202,15.26,9.64
190203,4.19,-0.46
190204,3.96,1.25
190205,2.29,0.32
190206,0.24,-0.85
190207,0.42,0.06
190208,0.83,0.46
190209,0.30,-0.64
190210,2.53,-0.08
190211,7.48,2.08
190212,7.89,1.54
190301,12.75,6.01
190302,2.00,-3.62
190303,5.79,1.14
190304,0.83,-1.88
190305,0.73,-1.24
190306,1.18,0.09
190307,0.29,-0.07
190308,0.27,-0.10
190309,0.29,-0.65
190310,1.17,-1.44
190311,13.97,8.57
190312,3.64,-2.71
190401,4.07,-2.67
190402,16.55,10.93
190403,12.94,8.29
190404,4.49,1.78
190405,0.43,-1.54
190406,0.68,-0.41
190407,1.14,0.78
190408,0.03,-0.34
190409,1.47,0.53
190410,3.16,0.55
190411,2.96,-2.44
190412,8.21,1.86
190501,4.78,-1.96
190502,1.89,-3.73
190503,5.97,1.32
190504,1.05,-1.66
190505,2.34,0.37
190506,0.57,-0.52
190507,0.03,-0.33
190508,0.10,-0.27
190509,0.66,-0.28
190510,0.97,-1.64
190511,2.65,-2.75
190512,3.97,-2.38
190601,15.82,9.08
190602,6.04,0.42
190603,7.08,2.43
190604,1.46,-1.25
190605,3.80,1.83
190606,2.13,1.04
190607,0.02,-0.34
190608,0.01,-0.36
190609,1.06,0.12
190610,0.58,-2.03
190611,3.83,-1.57
190612,8.00,1.65
190701,9.55,2.81
190702,8.58,2.96
190703,13.51,8.86
190704,2.83,0.12
190705,2.26,0.29
190706,1.96,0.87
190707,0.28,-0.08
190708,1.47,1.10
190709,0.93,-0.01
190710,1.75,-0.86
190711,1.87,-3.53
190712,10.56,4.21
190801,5.09,-1.65
190802,4.88,-0.74
190803,1.67,-2.98
190804,1.91,-0.80
190805,2.55,0.58
190806,0.97,-0.12
190807,0.23,-0.13
190808,0.03,-0.34
190809,0.33,-0.61
190810,4.27,1.66
190811,3.53,-1.87
190812,2.76,-3.59
190901,18.38,11.64
190902,9.84,4.22
190903,2.27,-2.38
190904,0.27,-2.44
190905,1.02,-0.95
190906,0.56,-0.53
190907,0.66,0.30
190908,0.07,-0.30
190909,1.41,0.47
190910,3.50,0.89
190911,12.40,7.00
190912,4.63,-1.72
191001,5.15,-1.59
191002,5.64,0.02
191003,2.32,-2.33
191004,0.98,-1.73
191005,1.06,-0.91
191006,0.38,-0.71
191007,0.15,-0.21
191008,0.00,-0.37
191009,0.67,-0.27
191010,1.39,-1.22
191011,9.09,3.69
191012,4.38,-1.97
191101,10.34,3.60
191102,3.32,-2.30
191103,4.27,-0.38
191104,3.09,0.38
191105,2.50,0.53
191106,0.50,-0.59
191107,0.75,0.39
191108,0.00,-0.37
191109,0.96,0.02
191110,1.24,-1.37
191111,2.35,-3.05
191112,3.56,-2.79
191201,7.78,1.04
191202,4.40,-1.22
191203,4.40,-0.25
191204,5.28,2.57
191205,3.62,1.65
191206,1.88,0.79
191207,0.55,0.19
191208,0.49,0.12
191209,2.98,2.04
191210,2.06,-0.55
191211,5.69,0.29
191212,4.76,-1.59
191301,8.51,1.77
191302,0.65,-4.97
191303,2.49,-2.16
191304,3.17,0.46
191305,1.91,-0.06
191306,3.00,1.91
191307,1.79,1.43
191308,0.50,0.13
191309,0.46,-0.48
191310,0.52,-2.09
191311,6.18,0.78
191312,8.10,1.75
191401,13.71,6.97
191402,3.75,-1.87
191403,1.45,-3.20
191404,3.39,0.68
191405,1.71,-0.26
191406,1.81,0.72
191407,0.39,0.03
191408,0.14,-0.23
191409,1.91,0.97
191410,4.59,1.98
191411,1.97,-3.43
191412,2.75,-3.60
191501,6.46,-0.28
191502,9.70,4.08
191503,3.35,-1.30
191504,2.14,-0.57
191505,3.04,1.07
191506,0.14,-0.95
191507,0.49,0.13
191508,0.06,-0.31
191509,0.09,-0.85
191510,0.63,-1.98
191511,5.40,0.00
191512,5.33,-1.02
191601,11.61,4.87
191602,5.19,-0.43
191603,4.66,0.01
191604,1.32,-1.39
191605,1.53,-0.44
191606,0.93,-0.16
191607,1.61,1.25
191608,0.42,0.05
191609,0.19,-0.75
191610,0.45,-2.16
191611,3.67,-1.73
191612,4.79,-1.56
191701,4.31,-2.43
191702,7.08,1.46
191703,3.04,-1.61
191704,3.41,0.70
191705,1.81,-0.16
191706,0.06,-1.03
191707,0.05,-0.31
191708,0.14,-0.23
191709,0.49,-0.45
191710,0.00,-2.61
191711,6.08,0.68
191712,3.10,-3.25
191801,3.72,-3.02
191802,6.05,0.43
191803,4.56,-0.09
191804,1.21,-1.50
191805,0.52,-1.45
191806,0.14,-0.95
191807,0.09,-0.27
191808,0.59,0.22
191809,2.69,1.75
191810,2.81,0.20
191811,4.38,-1.02
191812,2.67,-3.68
191901,6.02,-0.72
191902,12.02,6.40
191903,4.75,0.10
191904,3.23,0.52
191905,0.32,-1.65
