Solano County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,9.71,5.34
189502,2.43,-1.33
189503,1.77,-1.07
189504,1.21,-0.03
189505,0.80,0.25
189506,0.00,-0.14
189507,0.03,0.03
189508,0.01,-0.02
189509,0.87,0.67
189510,0.13,-0.80
189511,1.72,-0.50
189512,1.69,-1.81
189601,10.18,5.81
189602,0.19,-3.57
189603,2.51,-0.33
189604,5.03,3.79
189605,0.79,0.24
189606,0.00,-0.14
189607,0.00,0.00
189608,0.29,0.26
189609,0.49,0.29
189610,1.15,0.22
189611,4.34,2.12
189612,2.94,-0.56
189701,3.77,-0.60
189702,4.73,0.97
189703,4.26,1.42
189704,0.31,-0.93
189705,0.14,-0.41
189706,0.19,0.05
189707,0.00,0.00
189708,0.02,-0.01
189709,0.12,-0.08
189710,1.87,0.94
189711,0.92,-1.30
189712,1.70,-1.80
189801,1.27,-3.10
189802,3.00,-0.76
189803,0.32,-2.52
189804,0.30,-0.94
189805,1.55,1.00
189806,0.15,0.01
189807,0.00,0.00
189808,0.01,-0.02
189809,0.49,0.29
189810,0.90,-0.03
189811,0.69,-1.53
189812,1.48,-2.02
189901,5.21,0.84
189902,0.20,-3.56
189903,8.02,5.18
189904,0.52,-0.72
189905,0.83,0.28
189906,0.34,0.20
189907,0.00,0.00
189908,0.08,0.05
189909,0.07,-0.13
189910,3.86,2.93
189911,3.68,1.46
189912,2.97,-0.53
190001,3.46,-0.91
190002,0.60,-3.16
190003,2.04,-0.80
190004,1.42,0.18
190005,1.04,0.49
190006,0.04,-0.10
190007,0.00,0.00
190008,0.01,-0.02
190009,0.08,-0.12
190010,1.78,0.85
190011,5.06,2.84
190012,1.62,-1.88
190101,4.54,0.17
190102,5.78,2.02
190103,0.75,-2.09
190104,2.08,0.84
190105,0.83,0.28
190106,0.00,-0.14
190107,0.00,0.00
190108,0.00,-0.03
190109,0.58,0.38
190110,1.10,0.17
190111,2.85,0.63
190112,1.48,-2.02
190201,1.08,-3.29
190202,8.81,5.05
190203,2.79,-0.05
190204,1.52,0.28
190205,0.85,0.30
190206,0.01,-0.13
190207,0.00,0.00
190208,0.01,-0.02
190209,0.00,-0.20
190210,2.39,1.46
190211,2.62,0.40
190212,2.21,-1.29
190301,4.08,-0.29
190302,1.79,-1.97
190303,5.95,3.11
190304,0.37,-0.87
190305,0.02,-0.53
190306,0.00,-0.14
190307,0.00,0.00
190308,0.00,-0.03
190309,0.00,-0.20
190310,0.30,-0.63
190311,4.05,1.83
190312,1.69,-1.81
190401,1.00,-3.37
190402,8.25,4.49
190403,8.29,5.45
190404,1.39,0.15
190405,0.05,-0.50
190406,0.00,-0.14
190407,0.00,0.00
190408,0.15,0.12
190409,1.21,1.01
190410,2.45,1.52
190411,1.60,-0.62
190412,1.86,-1.64
190501,4.39,0.02
190502,2.66,-1.10
190503,3.90,1.06
190504,0.89,-0.35
190505,2.65,2.10
190506,0.00,-0.14
190507,0.00,0.00
190508,0.00,-0.03
190509,0.02,-0.18
190510,0.00,-0.93
190511,1.05,-1.17
190512,0.94,-2.56
190601,7.45,3.08
190602,4.03,0.27
190603,7.25,4.41
190604,0.89,-0.35
190605,2.68,2.13
190606,0.51,0.37
190607,0.00,0.00
190608,0.00,-0.03
190609,0.18,-0.02
190610,0.00,-0.93
190611,1.36,-0.86
190612,6.92,3.42
190701,5.29,0.92
190702,3.33,-0.43
190703,7.76,4.92
190704,0.41,-0.83
190705,0.15,-0.40
190706,0.67,0.53
190707,0.00,0.00
190708,0.00,-0.03
190709,0.02,-0.18
190710,0.58,-0.35
190711,0.14,-2.08
190712,4.09,0.59
190801,4.10,-0.27
190802,3.10,-0.66
190803,0.61,-2.23
190804,0.14,-1.10
190805,0.49,-0.06
190806,0.03,-0.11
190807,0.00,0.00
190808,0.00,-0.03
190809,0.01,-0.19
190810,0.52,-0.41
190811,1.59,-0.63
190812,2.26,-1.24
190901,12.03,7.66
190902,7.76,4.00
190903,2.37,-0.47
190904,0.00,-1.24
190905,0.00,-0.55
190906,0.02,-0.12
190907,0.00,0.00
190908,0.00,-0.03
190909,0.60,0.40
190910,0.96,0.03
190911,1.75,-0.47
190912,6.33,2.83
191001,3.07,-1.30
191002,1.51,-2.25
191003,3.38,0.54
191004,0.21,-1.03
191005,0.03,-0.52
191006,0.00,-0.14
191007,0.00,0.00
191008,0.00,-0.03
191009,0.14,-0.06
191010,0.39,-0.54
191011,0.25,-1.97
191012,1.30,-2.20
191101,13.27,8.90
191102,2.41,-1.35
191103,5.31,2.47
191104,1.22,-0.02
191105,0.17,-0.38
191106,0.04,-0.10
191107,0.00,0.00
191108,0.00,-0.03
191109,0.01,-0.19
191110,0.34,-0.59
191111,0.37,-1.85
191112,1.63,-1.87
191201,2.40,-1.97
191202,0.33,-3.43
191203,2.90,0.06
191204,1.43,0.19
191205,1.37,0.82
191206,0.49,0.35
191207,0.00,0.00
191208,0.00,-0.03
191209,1.11,0.91
191210,0.30,-0.63
191211,2.24,0.02
191212,0.74,-2.76
191301,3.61,-0.76
191302,0.23,-3.53
191303,1.52,-1.32
191304,0.54,-0.70
191305,0.49,-0.06
191306,0.08,-0.06
191307,0.02,0.02
191308,0.00,-0.03
191309,0.00,-0.20
191310,0.03,-0.90
191311,4.78,2.56
191312,7.21,3.71
191401,11.38,7.01
191402,4.29,0.53
191403,0.90,-1.94
191404,1.07,-0.17
191405,0.44,-0.11
191406,0.30,0.16
191407,0.00,0.00
191408,0.00,-0.03
191409,0.00,-0.20
191410,0.99,0.06
191411,0.30,-1.92
191412,5.12,1.62
191501,5.73,1.36
191502,6.64,2.88
191503,2.31,-0.53
191504,0.55,-0.69
191505,2.85,2.30
191506,0.00,-0.14
191507,0.00,0.00
191508,0.01,-0.02
191509,0.00,-0.20
191510,0.03,-0.90
191511,0.66,-1.56
191512,6.47,2.97
191601,14.47,10.10
191602,2.80,-0.96
191603,1.68,-1.16
191604,0.07,-1.17
191605,0.20,-0.35
191606,0.06,-0.08
191607,0.02,0.02
191608,0.20,0.17
191609,0.32,0.12
191610,0.66,-0.27
191611,0.77,-1.45
191612,5.44,1.94
191701,1.48,-2.89
191702,5.45,1.69
191703,0.89,-1.95
191704,0.57,-0.67
191705,0.13,-0.42
191706,0.00,-0.14
191707,0.00,0.00
191708,0.00,-0.03
191709,0.24,0.04
191710,0.00,-0.93
191711,0.32,-1.90
191712,0.98,-2.52
191801,1.00,-3.37
191802,4.67,0.91
191803,3.23,0.39
191804,0.71,-0.53
191805,0.01,-0.54
191806,0.01,-0.13
191807,0.00,0.00
191808,0.00,-0.03
191809,1.21,1.01
191810,0.26,-0.67
191811,2.63,0.41
191812,1.84,-1.66
191901,2.20,-2.17
191902,8.28,4.52
191903,1.97,-0.87
191904,0.08,-1.16
191905,0.01,-0.54
