Sonoma County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,23.30,14.18
189502,4.00,-3.62
189503,4.65,-1.07
189504,1.76,-0.96
189505,1.56,0.42
189506,0.00,-0.32
189507,0.09,0.08
189508,0.02,-0.05
189509,1.33,0.94
189510,0.14,-2.00
189511,3.32,-1.89
189512,4.73,-2.83
189601,20.96,11.84
189602,0.26,-7.36
189603,4.59,-1.13
189604,8.55,5.83
189605,2.09,0.95
189606,0.00,-0.32
189607,0.02,0.01
189608,0.24,0.17
189609,0.53,0.14
189610,1.65,-0.49
189611,8.46,3.25
189612,9.24,1.68
189701,5.55,-3.57
189702,10.09,2.47
189703,10.30,4.58
189704,0.38,-2.34
189705,0.47,-0.67
189706,1.14,0.82
189707,0.00,-0.01
189708,0.02,-0.05
189709,0.54,0.15
189710,3.91,1.77
189711,2.79,-2.42
189712,4.47,-3.09
189801,2.03,-7.09
189802,9.97,2.35
189803,0.52,-5.20
189804,0.54,-2.18
189805,4.17,3.03
189806,0.44,0.12
189807,0.00,-0.01
189808,0.01,-0.06
189809,0.88,0.49
189810,1.90,-0.24
189811,2.28,-2.93
189812,1.94,-5.62
189901,15.95,6.83
189902,0.69,-6.93
189903,16.17,10.45
189904,0.99,-1.73
189905,2.64,1.50
189906,0.12,-0.20
189907,0.00,-0.01
189908,0.07,0.00
189909,1.06,0.67
189910,6.49,4.35
189911,11.06,5.85
189912,7.98,0.42
190001,7.91,-1.21
190002,2.63,-4.99
190003,5.95,0.23
190004,4.01,1.29
190005,1.13,-0.01
190006,0.23,-0.09
190007,0.00,-0.01
190008,0.01,-0.06
190009,0.14,-0.25
190010,5.55,3.41
190011,7.03,1.82
190012,5.15,-2.41
190101,9.38,0.26
190102,8.48,0.86
190103,1.30,-4.42
190104,5.21,2.49
190105,1.21,0.07
190106,0.00,-0.32
190107,0.00,-0.01
190108,0.00,-0.07
190109,1.21,0.82
190110,1.61,-0.53
190111,8.09,2.88
190112,2.59,-4.97
190201,3.05,-6.07
190202,23.37,15.75
190203,6.26,0.54
190204,4.91,2.19
190205,2.07,0.93
190206,0.00,-0.32
190207,0.00,-0.01
190208,0.01,-0.06
190209,0.00,-0.39
190210,7.03,4.89
190211,8.40,3.19
190212,6.33,-1.23
190301,9.07,-0.05
190302,3.84,-3.78
190303,11.19,5.47
190304,0.50,-2.22
190305,0.01,-1.13
190306,0.02,-0.30
190307,0.00,-0.01
190308,0.00,-0.07
190309,0.00,-0.39
190310,1.04,-1.10
190311,11.65,6.44
190312,4.84,-2.72
190401,2.40,-6.72
190402,18.77,11.15
190403,20.14,14.42
190404,3.92,1.20
190405,0.40,-0.74
190406,0.06,-0.26
190407,0.03,0.02
190408,0.03,-0.04
190409,1.83,1.44
190410,6.60,4.46
190411,4.04,-1.17
190412,6.80,-0.76
190501,11.12,2.00
190502,6.04,-1.58
190503,9.41,3.69
190504,2.03,-0.69
190505,3.46,2.32
190506,0.03,-0.29
190507,0.00,-0.01
190508,0.00,-0.07
190509,0.05,-0.34
190510,0.11,-2.03
190511,3.28,-1.93
190512,3.32,-4.24
190601,15.82,6.70
190602,9.97,2.35
190603,10.47,4.75
190604,1.33,-1.39
190605,4.68,3.54
190606,1.19,0.87
190607,0.00,-0.01
190608,0.00,-0.07
190609,0.21,-0.18
190610,0.02,-2.12
190611,2.67,-2.54
190612,12.15,4.59
190701,11.21,2.09
190702,6.37,-1.25
190703,20.06,14.34
190704,0.80,-1.92
190705,0.64,-0.50
190706,1.06,0.74
190707,0.00,-0.01
190708,0.00,-0.07
190709,0.25,-0.14
190710,1.29,-0.85
190711,0.41,-4.80
190712,10.79,3.23
190801,8.04,-1.08
190802,6.55,-1.07
190803,2.04,-3.68
190804,0.46,-2.26
190805,1.63,0.49
190806,0.17,-0.15
190807,0.01,0.00
190808,0.00,-0.07
190809,0.08,-0.31
190810,1.45,-0.69
190811,3.88,-1.33
190812,5.31,-2.25
190901,32.78,23.66
190902,14.02,6.40
190903,5.16,-0.56
190904,0.00,-2.72
190905,0.01,-1.13
190906,0.11,-0.21
190907,0.00,-0.01
190908,0.00,-0.07
190909,1.28,0.89
190910,2.48,0.34
190911,6.14,0.93
190912,9.99,2.43
191001,7.29,-1.83
191002,4.53,-3.09
191003,6.04,0.32
191004,1.19,-1.53
191005,0.14,-1.00
191006,0.06,-0.26
191007,0.00,-0.01
191008,0.00,-0.07
191009,0.10,-0.29
191010,1.29,-0.85
191011,2.55,-2.66
191012,2.34,-5.22
191101,20.91,11.79
191102,4.92,-2.70
191103,8.22,2.50
191104,4.08,1.36
191105,0.90,-0.24
191106,0.09,-0.23
191107,0.00,-0.01
191108,0.00,-0.07
191109,0.04,-0.35
191110,0.77,-1.37
191111,1.37,-3.84
191112,3.06,-4.50
191201,5.36,-3.76
191202,1.54,-6.08
191203,6.97,1.25
191204,3.14,0.42
191205,2.96,1.82
191206,1.24,0.92
191207,0.00,-0.01
191208,0.00,-0.07
191209,1.84,1.45
191210,1.58,-0.56
191211,7.96,2.75
191212,3.69,-3.87
191301,9.84,0.72
191302,0.61,-7.01
191303,3.28,-2.44
191304,2.17,-0.55
191305,1.77,0.63
191306,0.11,-0.21
191307,0.04,0.03
191308,0.00,-0.07
191309,0.00,-0.39
191310,0.08,-2.06
191311,11.22,6.01
191312,18.06,10.50
191401,23.35,14.23
191402,8.45,0.83
191403,2.02,-3.70
191404,2.63,-0.09
191405,0.91,-0.23
191406,0.56,0.24
191407,0.00,-0.01
191408,0.00,-0.07
191409,0.15,-0.24
191410,2.59,0.45
191411,1.51,-3.70
191412,10.65,3.09
191501,14.34,5.22
191502,20.25,12.63
191503,5.92,0.20
191504,0.90,-1.82
191505,5.96,4.82
191506,0.00,-0.32
191507,0.02,0.01
191508,0.00,-0.07
191509,0.00,-0.39
191510,0.25,-1.89
191511,2.36,-2.85
191512,11.87,4.31
191601,23.53,14.41
191602,5.05,-2.57
191603,3.69,-2.03
191604,0.19,-2.53
191605,0.34,-0.80
191606,0.43,0.11
191607,0.08,0.07
191608,0.50,0.43
191609,0.57,0.18
191610,0.68,-1.46
191611,3.61,-1.60
191612,9.83,2.27
191701,4.17,-4.95
191702,9.93,2.31
191703,2.10,-3.62
191704,2.29,-0.43
191705,0.27,-0.87
191706,0.00,-0.32
191707,0.00,-0.01
191708,0.00,-0.07
191709,0.46,0.07
191710,0.00,-2.14
191711,1.87,-3.34
191712,4.24,-3.32
191801,2.37,-6.75
191802,8.94,1.32
191803,5.88,0.16
191804,1.34,-1.38
191805,0.06,-1.08
191806,0.09,-0.23
191807,0.01,0.00
191808,0.00,-0.07
191809,1.77,1.38
191810,1.09,-1.05
191811,5.79,0.58
191812,3.35,-4.21
191901,7.05,-2.07
191902,15.60,7.98
191903,5.46,-0.26
191904,0.88,-1.84
191905,0.08,-1.06
