Stanislaus County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,5.48,2.72
189502,1.71,-0.82
189503,1.84,-0.42
189504,1.20,0.16
189505,0.74,0.28
189506,0.00,-0.09
189507,0.02,0.01
189508,0.00,-0.01
189509,0.31,0.14
189510,0.35,-0.28
189511,0.98,-0.48
189512,1.03,-1.19
189601,5.88,3.12
189602,0.14,-2.39
189603,1.90,-0.36
189604,2.79,1.75
189605,0.72,0.26
189606,0.00,-0.09
189607,0.03,0.02
189608,0.10,0.09
189609,0.16,-0.01
189610,1.44,0.81
189611,2.58,1.12
189612,1.78,-0.44
189701,2.07,-0.69
189702,3.29,0.76
189703,2.81,0.55
189704,0.26,-0.78
189705,0.07,-0.39
189706,0.13,0.04
189707,0.00,-0.01
189708,0.02,0.01
189709,0.09,-0.08
189710,1.22,0.59
189711,0.64,-0.82
189712,1.29,-0.93
189801,0.75,-2.01
189802,1.42,-1.11
189803,0.61,-1.65
189804,0.16,-0.88
189805,1.04,0.58
189806,0.05,-0.04
189807,0.00,-0.01
189808,0.00,-0.01
189809,0.56,0.39
189810,0.54,-0.09
189811,0.36,-1.10
189812,1.20,-1.02
189901,3.10,0.34
189902,0.21,-2.32
189903,5.17,2.91
189904,0.41,-0.63
189905,0.56,0.10
189906,0.25,0.16
189907,0.00,-0.01
189908,0.05,0.04
189909,0.00,-0.17
189910,3.08,2.45
189911,2.37,0.91
189912,1.86,-0.36
190001,1.58,-1.18
190002,0.24,-2.29
190003,1.18,-1.08
190004,1.70,0.66
190005,1.26,0.80
190006,0.06,-0.03
190007,0.01,0.00
190008,0.00,-0.01
190009,0.09,-0.08
190010,1.38,0.75
190011,4.46,3.00
190012,1.00,-1.22
190101,2.98,0.22
190102,4.16,1.63
190103,0.69,-1.57
190104,1.50,0.46
190105,0.84,0.38
190106,0.00,-0.09
190107,0.00,-0.01
190108,0.00,-0.01
190109,0.48,0.31
190110,0.69,0.06
190111,1.81,0.35
190112,0.65,-1.57
190201,0.69,-2.07
190202,4.41,1.88
190203,1.84,-0.42
190204,1.03,-0.01
190205,0.61,0.15
190206,0.00,-0.09
190207,0.00,-0.01
190208,0.00,-0.01
190209,0.00,-0.17
190210,0.67,0.04
190211,1.87,0.41
190212,0.86,-1.36
190301,2.65,-0.11
190302,1.01,-1.52
190303,5.40,3.14
190304,0.27,-0.77
190305,0.00,-0.46
190306,0.00,-0.09
190307,0.00,-0.01
190308,0.00,-0.01
190309,0.00,-0.17
190310,0.03,-0.60
190311,1.75,0.29
190312,0.49,-1.73
190401,0.84,-1.92
190402,3.13,0.60
190403,3.04,0.78
190404,1.59,0.55
190405,0.12,-0.34
190406,0.01,-0.08
190407,0.00,-0.01
190408,0.09,0.08
190409,1.11,0.94
190410,1.18,0.55
190411,0.59,-0.87
190412,1.32,-0.90
190501,2.58,-0.18
190502,2.77,0.24
190503,3.21,0.95
190504,0.69,-0.35
190505,2.12,1.66
190506,0.00,-0.09
190507,0.00,-0.01
190508,0.00,-0.01
190509,0.00,-0.17
190510,0.00,-0.63
190511,1.02,-0.44
190512,0.75,-1.47
190601,3.02,0.26
190602,2.19,-0.34
190603,6.21,3.95
190604,1.49,0.45
190605,1.56,1.10
190606,0.24,0.15
190607,0.00,-0.01
190608,0.00,-0.01
190609,0.04,-0.13
190610,0.00,-0.63
190611,1.06,-0.40
190612,6.13,3.91
190701,4.34,1.58
190702,2.40,-0.13
190703,6.00,3.74
190704,0.21,-0.83
190705,0.13,-0.33
190706,0.48,0.39
190707,0.01,0.00
190708,0.00,-0.01
190709,0.01,-0.16
190710,0.96,0.33
190711,0.04,-1.42
190712,2.79,0.57
190801,3.16,0.40
190802,1.38,-1.15
190803,0.74,-1.52
190804,0.10,-0.94
190805,0.51,0.05
190806,0.00,-0.09
190807,0.00,-0.01
190808,0.00,-0.01
190809,0.14,-0.03
190810,0.27,-0.36
190811,1.14,-0.32
190812,1.18,-1.04
190901,6.66,3.90
190902,3.70,1.17
190903,1.87,-0.39
190904,0.00,-1.04
190905,0.00,-0.46
190906,0.05,-0.04
190907,0.00,-0.01
190908,0.00,-0.01
190909,0.14,-0.03
190910,0.50,-0.13
190911,1.46,0.00
190912,3.79,1.57
191001,2.83,0.07
191002,0.84,-1.69
191003,3.04,0.78
191004,0.30,-0.74
191005,0.02,-0.44
191006,0.00,-0.09
191007,0.00,-0.01
191008,0.00,-0.01
191009,0.31,0.14
191010,0.37,-0.26
191011,0.33,-1.13
191012,0.59,-1.63
191101,7.80,5.04
191102,1.25,-1.28
191103,4.54,2.28
191104,0.58,-0.46
191105,0.20,-0.26
191106,0.02,-0.07
191107,0.00,-0.01
191108,0.00,-0.01
191109,0.00,-0.17
191110,0.13,-0.50
191111,0.18,-1.28
191112,0.91,-1.31
191201,1.92,-0.84
191202,0.05,-2.48
191203,2.44,0.18
191204,1.30,0.26
191205,0.66,0.20
191206,0.34,0.25
191207,0.00,-0.01
191208,0.00,-0.01
191209,0.26,0.09
191210,0.13,-0.50
191211,0.44,-1.02
191212,0.31,-1.91
191301,2.21,-0.55
191302,0.36,-2.17
191303,0.81,-1.45
191304,0.61,-0.43
191305,0.60,0.14
191306,0.07,-0.02
191307,0.03,0.02
191308,0.01,0.00
191309,0.00,-0.17
191310,0.00,-0.63
191311,3.49,2.03
191312,2.87,0.65
191401,6.46,3.70
191402,3.11,0.58
191403,0.65,-1.61
191404,0.97,-0.07
191405,0.18,-0.28
191406,0.15,0.06
191407,0.00,-0.01
191408,0.00,-0.01
191409,0.03,-0.14
191410,0.74,0.11
191411,0.21,-1.25
191412,4.02,1.80
191501,3.87,1.11
191502,4.05,1.52
191503,0.95,-1.31
191504,1.02,-0.02
191505,1.96,1.50
191506,0.00,-0.09
191507,0.00,-0.01
191508,0.00,-0.01
191509,0.11,-0.06
191510,0.00,-0.63
191511,0.29,-1.17
191512,3.46,1.24
191601,8.47,5.71
191602,2.41,-0.12
191603,2.09,-0.17
191604,0.35,-0.69
191605,0.05,-0.41
191606,0.00,-0.09
191607,0.01,0.00
191608,0.05,0.04
191609,0.42,0.25
191610,0.86,0.23
191611,0.75,-0.71
191612,3.36,1.14
191701,1.25,-1.51
191702,3.52,0.99
191703,0.92,-1.34
191704,0.28,-0.76
191705,0.22,-0.24
191706,0.00,-0.09
191707,0.00,-0.01
191708,0.00,-0.01
191709,0.09,-0.08
191710,0.00,-0.63
191711,0.39,-1.07
191712,0.48,-1.74
191801,0.61,-2.15
191802,4.16,1.63
191803,4.28,2.02
191804,0.37,-0.67
191805,0.16,-0.30
191806,0.00,-0.09
191807,0.00,-0.01
191808,0.00,-0.01
191809,1.08,0.91
191810,0.26,-0.37
191811,1.99,0.53
191812,1.94,-0.28
191901,0.76,-2.00
191902,3.60,1.07
191903,2.14,-0.12
191904,0.17,-0.87
