Sutter County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,9.73,5.80
189502,2.19,-1.30
189503,1.77,-0.90
189504,1.13,-0.14
189505,1.00,0.35
189506,0.00,-0.21
189507,0.04,0.04
189508,0.04,0.01
189509,1.18,0.91
189510,0.07,-0.95
189511,1.18,-1.06
189512,1.87,-1.32
189601,9.31,5.38
189602,0.21,-3.28
189603,2.83,0.16
189604,4.87,3.60
189605,1.21,0.56
189606,0.01,-0.20
189607,0.02,0.02
189608,0.17,0.14
189609,0.48,0.21
189610,0.86,-0.16
189611,4.55,2.31
189612,2.26,-0.93
189701,2.92,-1.01
189702,5.49,2.00
189703,2.95,0.28
189704,0.76,-0.51
189705,0.25,-0.40
189706,0.31,0.10
189707,0.00,0.00
189708,0.03,0.00
189709,0.16,-0.11
189710,1.83,0.81
189711,1.30,-0.94
189712,1.57,-1.62
189801,0.91,-3.02
189802,3.41,-0.08
189803,0.34,-2.33
189804,0.33,-0.94
189805,1.30,0.65
189806,0.33,0.12
189807,0.00,0.00
189808,0.00,-0.03
189809,0.30,0.03
189810,0.84,-0.18
189811,1.19,-1.05
189812,1.34,-1.85
189901,4.60,0.67
189902,0.20,-3.29
189903,6.64,3.97
189904,0.50,-0.77
189905,0.84,0.19
189906,0.41,0.20
189907,0.00,0.00
189908,0.09,0.06
189909,0.08,-0.19
189910,4.38,3.36
189911,3.82,1.58
189912,3.50,0.31
190001,3.26,-0.67
190002,0.93,-2.56
190003,2.32,-0.35
190004,1.66,0.39
190005,1.13,0.48
190006,0.04,-0.17
190007,0.00,0.00
190008,0.01,-0.02
190009,0.18,-0.09
190010,2.33,1.31
190011,3.95,1.71
190012,1.46,-1.73
190101,4.56,0.63
190102,5.02,1.53
190103,0.74,-1.93
190104,2.05,0.78
190105,0.59,-0.06
190106,0.00,-0.21
190107,0.00,0.00
190108,0.01,-0.02
190109,0.95,0.68
190110,1.71,0.69
190111,2.57,0.33
190112,1.55,-1.64
190201,0.91,-3.02
190202,7.41,3.92
190203,2.35,-0.32
190204,1.48,0.21
190205,0.70,0.05
190206,0.06,-0.15
190207,0.00,0.00
190208,0.01,-0.02
190209,0.00,-0.27
190210,2.09,1.07
190211,2.48,0.24
190212,2.73,-0.46
190301,4.50,0.57
190302,1.38,-2.11
190303,5.08,2.41
190304,0.47,-0.80
190305,0.08,-0.57
190306,0.01,-0.20
190307,0.00,0.00
190308,0.01,-0.02
190309,0.01,-0.26
190310,0.39,-0.63
190311,5.05,2.81
190312,1.34,-1.85
190401,1.04,-2.89
190402,7.63,4.14
190403,6.64,3.97
190404,1.20,-0.07
190405,0.08,-0.57
190406,0.00,-0.21
190407,0.00,0.00
190408,0.08,0.05
190409,1.54,1.27
190410,2.57,1.55
190411,1.98,-0.26
190412,2.07,-1.12
190501,3.61,-0.32
190502,2.66,-0.83
190503,3.83,1.16
190504,1.05,-0.22
190505,2.11,1.46
190506,0.11,-0.10
190507,0.00,0.00
190508,0.06,0.03
190509,0.06,-0.21
190510,0.00,-1.02
190511,1.03,-1.21
190512,0.97,-2.22
190601,7.63,3.70
190602,4.38,0.89
190603,6.67,4.00
190604,1.27,0.00
190605,2.33,1.68
190606,0.83,0.62
190607,0.00,0.00
190608,0.01,-0.02
190609,0.44,0.17
190610,0.01,-1.01
190611,1.05,-1.19
190612,6.16,2.97
190701,4.06,0.13
190702,2.60,-0.89
190703,7.15,4.48
190704,0.64,-0.63
190705,0.58,-0.07
190706,0.83,0.62
190707,0.00,0.00
190708,0.00,-0.03
190709,0.01,-0.26
190710,0.72,-0.30
190711,0.03,-2.21
190712,3.99,0.80
190801,3.19,-0.74
190802,2.80,-0.69
190803,0.74,-1.93
190804,0.09,-1.18
190805,1.02,0.37
190806,0.02,-0.19
190807,0.00,0.00
190808,0.00,-0.03
190809,0.02,-0.25
190810,0.65,-0.37
190811,1.58,-0.66
190812,2.23,-0.96
190901,9.88,5.95
190902,5.24,1.75
190903,1.59,-1.08
190904,0.05,-1.22
190905,0.08,-0.57
190906,0.10,-0.11
190907,0.00,0.00
190908,0.00,-0.03
190909,0.67,0.40
190910,1.19,0.17
190911,1.94,-0.30
190912,4.39,1.20
191001,3.37,-0.56
191002,1.35,-2.14
191003,2.41,-0.26
191004,0.29,-0.98
191005,0.04,-0.61
191006,0.00,-0.21
191007,0.00,0.00
191008,0.00,-0.03
191009,0.57,0.30
191010,0.66,-0.36
191011,0.39,-1.85
191012,1.21,-1.98
191101,10.75,6.82
191102,1.87,-1.62
191103,5.49,2.82
191104,0.87,-0.40
191105,0.13,-0.52
191106,0.02,-0.19
191107,0.00,0.00
191108,0.00,-0.03
191109,0.01,-0.26
191110,0.21,-0.81
191111,0.28,-1.96
191112,1.13,-2.06
191201,2.47,-1.46
191202,0.39,-3.10
191203,2.71,0.04
191204,1.75,0.48
191205,1.16,0.51
191206,0.31,0.10
191207,0.00,0.00
191208,0.00,-0.03
191209,1.40,1.13
191210,0.51,-0.51
191211,1.61,-0.63
191212,0.51,-2.68
191301,2.94,-0.99
191302,0.58,-2.91
191303,1.51,-1.16
191304,0.80,-0.47
191305,0.56,-0.09
191306,0.07,-0.14
191307,0.01,0.01
191308,0.00,-0.03
191309,0.00,-0.27
191310,0.01,-1.01
191311,5.12,2.88
191312,6.38,3.19
191401,7.60,3.67
191402,4.34,0.85
191403,0.67,-2.00
191404,0.83,-0.44
191405,0.52,-0.13
191406,0.84,0.63
191407,0.00,0.00
191408,0.00,-0.03
191409,0.00,-0.27
191410,0.92,-0.10
191411,0.48,-1.76
191412,4.08,0.89
191501,5.80,1.87
191502,6.18,2.69
191503,1.69,-0.98
191504,0.70,-0.57
191505,2.92,2.27
191506,0.00,-0.21
191507,0.00,0.00
191508,0.00,-0.03
191509,0.00,-0.27
191510,0.02,-1.00
191511,0.81,-1.43
191512,5.67,2.48
191601,9.82,5.89
191602,2.48,-1.01
191603,1.23,-1.44
191604,0.12,-1.15
191605,0.48,-0.17
191606,0.03,-0.18
191607,0.02,0.02
191608,0.02,-0.01
191609,0.32,0.05
191610,0.96,-0.06
191611,1.29,-0.95
191612,3.64,0.45
191701,1.30,-2.63
191702,3.81,0.32
191703,0.70,-1.97
191704,1.15,-0.12
191705,0.28,-0.37
191706,0.00,-0.21
191707,0.00,0.00
191708,0.00,-0.03
191709,0.54,0.27
191710,0.00,-1.02
191711,0.46,-1.78
191712,0.62,-2.57
191801,0.94,-2.99
191802,3.96,0.47
191803,3.56,0.89
191804,1.03,-0.24
191805,0.06,-0.59
191806,0.00,-0.21
191807,0.00,0.00
191808,0.00,-0.03
191809,1.55,1.28
191810,0.36,-0.66
191811,2.21,-0.03
191812,1.94,-1.25
191901,2.39,-1.54
191902,6.38,2.89
191903,1.69,-0.98
191904,0.27,-1.00
191905,0.02,-0.63
