Tehama County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,17.06,10.20
189502,3.34,-2.68
189503,3.50,-1.51
189504,1.67,-1.01
189505,3.17,1.64
189506,0.01,-0.70
189507,0.39,0.32
189508,0.16,0.00
189509,2.67,2.04
189510,0.08,-2.05
189511,2.10,-2.44
189512,4.90,-1.28
189601,13.77,6.91
189602,0.76,-5.26
189603,5.23,0.22
189604,9.27,6.59
189605,4.53,3.00
189606,0.08,-0.63
189607,0.09,0.02
189608,0.59,0.43
189609,0.92,0.29
189610,1.28,-0.85
189611,7.88,3.34
189612,7.41,1.23
189701,3.78,-3.08
189702,7.56,1.54
189703,6.70,1.69
189704,2.05,-0.63
189705,0.53,-1.00
189706,1.67,0.96
189707,0.00,-0.07
189708,0.05,-0.11
189709,0.54,-0.09
189710,3.28,1.15
189711,3.87,-0.67
189712,3.44,-2.74
189801,0.92,-5.94
189802,7.18,1.16
189803,0.29,-4.72
189804,1.01,-1.67
189805,3.10,1.57
189806,1.52,0.81
189807,0.01,-0.06
189808,0.01,-0.15
189809,0.63,0.00
189810,1.20,-0.93
189811,2.29,-2.25
189812,2.13,-4.05
189901,8.53,1.67
189902,0.43,-5.59
189903,9.32,4.31
189904,1.10,-1.58
189905,1.65,0.12
189906,1.16,0.45
189907,0.00,-0.07
189908,0.20,0.04
189909,0.14,-0.49
189910,6.68,4.55
189911,7.67,3.13
189912,6.38,0.20
190001,5.81,-1.05
190002,2.37,-3.65
190003,4.42,-0.59
190004,3.85,1.17
190005,1.77,0.24
190006,1.04,0.33
190007,0.03,-0.04
190008,0.10,-0.06
190009,0.30,-0.33
190010,5.57,3.44
190011,5.59,1.05
190012,3.72,-2.46
190101,7.77,0.91
190102,7.35,1.33
190103,1.92,-3.09
190104,4.36,1.68
190105,0.76,-0.77
190106,0.03,-0.68
190107,0.01,-0.06
190108,0.10,-0.06
190109,2.28,1.65
190110,3.15,1.02
190111,6.14,1.60
190112,3.26,-2.92
190201,2.07,-4.79
190202,16.65,10.63
190203,5.38,0.37
190204,4.62,1.94
190205,1.73,0.20
190206,0.03,-0.68
190207,0.08,0.01
190208,0.05,-0.11
190209,0.02,-0.61
190210,4.94,2.81
190211,9.24,4.70
190212,6.09,-0.09
190301,6.80,-0.06
190302,2.35,-3.67
190303,7.73,2.72
190304,0.76,-1.92
190305,0.96,-0.57
190306,0.16,-0.55
190307,0.00,-0.07
190308,0.00,-0.16
190309,0.12,-0.51
190310,1.03,-1.10
190311,13.20,8.66
190312,4.64,-1.54
190401,2.15,-4.71
190402,12.93,6.91
190403,12.75,7.74
190404,4.60,1.92
190405,0.26,-1.27
190406,0.04,-0.67
190407,0.18,0.11
190408,0.06,-0.10
190409,2.96,2.33
190410,5.22,3.09
190411,3.46,-1.08
190412,6.51,0.33
190501,9.09,2.23
190502,4.58,-1.44
190503,8.57,3.56
190504,1.28,-1.40
190505,2.61,1.08
190506,0.40,-0.31
190507,0.00,-0.07
190508,0.11,-0.05
190509,0.17,-0.46
190510,0.19,-1.94
190511,2.94,-1.60
190512,2.71,-3.47
190601,10.43,3.57
190602,7.42,1.40
190603,15.59,10.58
190604,2.65,-0.03
190605,4.96,3.43
190606,1.90,1.19
190607,0.02,-0.05
190608,0.07,-0.09
190609,0.63,0.00
190610,0.05,-2.08
190611,2.47,-2.07
190612,13.30,7.12
190701,8.31,1.45
190702,5.02,-1.00
190703,11.87,6.86
190704,1.89,-0.79
190705,1.42,-0.11
190706,1.77,1.06
190707,0.00,-0.07
190708,0.03,-0.13
190709,0.08,-0.55
190710,1.41,-0.72
190711,0.42,-4.12
190712,8.22,2.04
190801,6.41,-0.45
190802,7.45,1.43
190803,1.38,-3.63
190804,0.67,-2.01
190805,2.87,1.34
190806,0.15,-0.56
190807,0.00,-0.07
190808,0.01,-0.15
190809,0.17,-0.46
190810,1.15,-0.98
190811,3.17,-1.37
190812,4.07,-2.11
190901,20.78,13.92
190902,10.93,4.91
190903,3.96,-1.05
190904,0.07,-2.61
190905,0.54,-0.99
190906,0.33,-0.38
190907,0.01,-0.06
190908,0.01,-0.15
190909,1.01,0.38
190910,1.88,-0.25
190911,4.98,0.44
190912,6.98,0.80
191001,4.97,-1.89
191002,3.64,-2.38
191003,4.72,-0.29
191004,0.40,-2.28
191005,0.53,-1.00
191006,0.15,-0.56
191007,0.01,-0.06
191008,0.00,-0.16
191009,0.72,0.09
191010,0.78,-1.35
191011,3.34,-1.20
191012,3.07,-3.11
191101,14.54,7.68
191102,3.75,-2.27
191103,9.03,4.02
191104,2.28,-0.40
191105,0.86,-0.67
191106,0.49,-0.22
191107,0.04,-0.03
191108,0.00,-0.16
191109,0.56,-0.07
191110,1.00,-1.13
191111,0.71,-3.83
191112,2.22,-3.96
191201,5.20,-1.66
191202,0.92,-5.10
191203,5.82,0.81
191204,4.02,1.34
191205,2.68,1.15
191206,0.79,0.08
191207,0.03,-0.04
191208,0.03,-0.13
191209,3.05,2.42
191210,1.30,-0.83
191211,4.80,0.26
191212,2.03,-4.15
191301,6.98,0.12
191302,0.76,-5.26
191303,3.09,-1.92
191304,2.85,0.17
191305,1.50,-0.03
191306,1.47,0.76
191307,0.24,0.17
191308,0.06,-0.10
191309,0.02,-0.61
191310,0.06,-2.07
191311,8.78,4.24
191312,14.14,7.96
191401,14.97,8.11
191402,7.61,1.59
191403,1.03,-3.98
191404,3.63,0.95
191405,0.87,-0.66
191406,2.03,1.32
191407,0.00,-0.07
191408,0.00,-0.16
191409,0.05,-0.58
191410,2.19,0.06
191411,1.03,-3.51
191412,8.24,2.06
191501,11.16,4.30
191502,14.57,8.55
191503,4.46,-0.55
191504,2.00,-0.68
191505,5.18,3.65
191506,0.00,-0.71
191507,0.07,0.00
191508,0.01,-0.15
191509,0.01,-0.62
191510,0.31,-1.82
191511,3.13,-1.41
191512,9.10,2.92
191601,12.85,5.99
191602,3.70,-2.32
191603,2.54,-2.47
191604,0.43,-2.25
191605,1.21,-0.32
191606,0.87,0.16
191607,0.36,0.29
191608,0.15,-0.01
191609,0.23,-0.40
191610,2.64,0.51
191611,2.84,-1.70
191612,6.28,0.10
191701,3.41,-3.45
191702,6.83,0.81
191703,1.93,-3.08
191704,2.77,0.09
191705,2.01,0.48
191706,0.00,-0.71
191707,0.01,-0.06
191708,0.04,-0.12
191709,0.65,0.02
191710,0.00,-2.13
191711,2.42,-2.12
191712,2.66,-3.52
191801,1.09,-5.77
191802,6.01,-0.01
191803,6.71,1.70
191804,1.45,-1.23
191805,0.48,-1.05
191806,0.08,-0.63
191807,0.01,-0.06
191808,0.13,-0.03
191809,2.89,2.26
191810,1.46,-0.67
191811,3.74,-0.80
191812,2.72,-3.46
191901,4.60,-2.26
191902,9.53,3.51
191903,4.61,-0.40
191904,1.27,-1.41
191905,0.16,-1.37
