Trinity County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,19.28,8.51
189502,5.25,-4.10
189503,6.39,-1.02
189504,2.16,-1.85
189505,4.65,2.46
189506,0.10,-0.80
189507,0.73,0.54
189508,0.17,-0.13
189509,2.72,1.74
189510,0.04,-3.45
189511,3.22,-4.63
189512,8.34,-1.71
189601,19.73,8.96
189602,2.97,-6.38
189603,6.62,-0.79
189604,11.98,7.97
189605,7.37,5.18
189606,0.33,-0.57
189607,0.12,-0.07
189608,0.91,0.61
189609,0.86,-0.12
189610,2.55,-0.94
189611,11.20,3.35
189612,13.36,3.31
189701,4.87,-5.90
189702,11.94,2.59
189703,10.50,3.09
189704,2.88,-1.13
189705,0.69,-1.50
189706,1.78,0.88
189707,0.01,-0.18
189708,0.14,-0.16
189709,0.50,-0.48
189710,3.27,-0.22
189711,6.75,-1.10
189712,6.78,-3.27
189801,2.01,-8.76
189802,10.43,1.08
189803,1.08,-6.33
189804,1.73,-2.28
189805,4.29,2.10
189806,1.62,0.72
189807,0.04,-0.15
189808,0.07,-0.23
189809,1.60,0.62
189810,1.88,-1.61
189811,4.40,-3.45
189812,3.42,-6.63
189901,12.24,1.47
189902,3.17,-6.18
189903,10.95,3.54
189904,1.30,-2.71
189905,2.11,-0.08
189906,1.39,0.49
189907,0.01,-0.18
189908,0.24,-0.06
189909,0.48,-0.50
189910,7.10,3.61
189911,15.20,7.35
189912,9.92,-0.13
190001,8.32,-2.45
190002,5.92,-3.43
190003,5.15,-2.26
190004,4.57,0.56
190005,3.17,0.98
190006,1.52,0.62
190007,0.00,-0.19
190008,0.45,0.15
190009,0.54,-0.44
190010,9.00,5.51
190011,6.23,-1.62
190012,6.30,-3.75
190101,9.19,-1.58
190102,9.58,0.23
190103,3.50,-3.91
190104,5.74,1.73
190105,0.94,-1.25
190106,0.02,-0.88
190107,0.02,-0.17
190108,0.22,-0.08
190109,3.12,2.14
190110,3.60,0.11
190111,9.12,1.27
190112,6.57,-3.48
190201,3.13,-7.64
190202,27.48,18.13
190203,6.78,-0.63
190204,6.99,2.98
190205,3.81,1.62
190206,0.13,-0.77
190207,0.09,-0.10
190208,0.24,-0.06
190209,0.10,-0.88
190210,6.89,3.40
190211,13.82,5.97
190212,10.38,0.33
190301,14.47,3.70
190302,3.98,-5.37
190303,11.06,3.65
190304,1.24,-2.77
190305,0.98,-1.21
190306,0.26,-0.64
190307,0.07,-0.12
190308,0.05,-0.25
190309,0.09,-0.89
190310,1.94,-1.55
190311,21.01,13.16
190312,7.24,-2.81
190401,4.78,-5.99
190402,23.83,14.48
190403,19.45,12.04
190404,7.11,3.10
190405,0.22,-1.97
190406,0.38,-0.52
190407,0.72,0.53
190408,0.01,-0.29
190409,3.05,2.07
190410,6.14,2.65
190411,5.60,-2.25
190412,11.19,1.14
190501,12.27,1.50
190502,4.15,-5.20
190503,10.98,3.57
190504,1.82,-2.19
190505,2.83,0.64
190506,0.32,-0.58
190507,0.00,-0.19
190508,0.02,-0.28
190509,0.62,-0.36
190510,0.73,-2.76
190511,4.86,-2.99
190512,5.56,-4.49
190601,16.55,5.78
190602,9.82,0.47
190603,16.37,8.96
190604,2.94,-1.07
190605,5.90,3.71
190606,2.65,1.75
190607,0.00,-0.19
190608,0.00,-0.30
190609,0.98,0.00
190610,0.34,-3.15
190611,4.39,-3.46
190612,14.64,4.59
190701,14.14,3.37
190702,11.68,2.33
190703,15.87,8.46
190704,4.00,-0.01
190705,2.95,0.76
190706,1.78,0.88
190707,0.13,-0.06
190708,0.64,0.34
190709,0.34,-0.64
190710,1.97,-1.52
190711,1.70,-6.15
190712,15.23,5.18
190801,9.48,-1.29
190802,9.06,-0.29
190803,1.61,-5.80
190804,1.88,-2.13
190805,3.58,1.39
190806,0.58,-0.32
190807,0.06,-0.13
190808,0.00,-0.30
190809,0.20,-0.78
190810,3.83,0.34
190811,5.57,-2.28
190812,5.74,-4.31
190901,30.77,20.00
190902,17.55,8.20
190903,4.53,-2.88
190904,0.07,-3.94
190905,0.50,-1.69
190906,0.27,-0.63
190907,0.25,0.06
190908,0.00,-0.30
190909,1.62,0.64
190910,3.86,0.37
190911,13.64,5.79
190912,8.74,-1.31
191001,7.41,-3.36
191002,8.41,-0.94
191003,5.13,-2.28
191004,1.31,-2.70
191005,1.10,-1.09
191006,0.26,-0.64
191007,0.02,-0.17
191008,0.00,-0.30
191009,0.40,-0.58
191010,1.05,-2.44
191011,8.64,0.79
191012,5.08,-4.97
191101,16.15,5.38
191102,4.94,-4.41
191103,8.66,1.25
191104,3.71,-0.30
191105,2.13,-0.06
191106,0.42,-0.48
191107,0.24,0.05
191108,0.00,-0.30
191109,0.69,-0.29
191110,1.52,-1.97
191111,2.02,-5.83
191112,5.08,-4.97
191201,10.27,-0.50
191202,4.66,-4.69
191203,7.73,0.32
191204,7.47,3.46
191205,4.47,2.28
191206,1.31,0.41
191207,0.15,-0.04
191208,0.14,-0.16
191209,4.14,3.16
191210,2.79,-0.70
191211,9.56,1.71
191212,5.27,-4.78
191301,12.62,1.85
191302,0.75,-8.60
191303,3.62,-3.79
191304,4.39,0.38
191305,2.28,0.09
191306,1.54,0.64
191307,0.77,0.58
191308,0.16,-0.14
191309,0.25,-0.73
191310,0.29,-3.20
191311,11.29,3.44
191312,16.78,6.73
191401,23.16,12.39
191402,7.72,-1.63
191403,2.32,-5.09
191404,5.87,1.86
191405,1.19,-1.00
191406,1.98,1.08
191407,0.14,-0.05
191408,0.07,-0.23
191409,1.09,0.11
191410,5.02,1.53
191411,2.43,-5.42
191412,8.76,-1.29
191501,14.83,4.06
191502,21.44,12.09
191503,5.89,-1.52
191504,3.43,-0.58
191505,5.27,3.08
191506,0.05,-0.85
191507,0.14,-0.05
191508,0.01,-0.29
191509,0.02,-0.96
191510,0.78,-2.71
191511,6.15,-1.70
191512,12.83,2.78
191601,17.93,7.16
191602,8.25,-1.10
191603,5.53,-1.88
191604,1.32,-2.69
191605,0.91,-1.28
191606,1.33,0.43
191607,0.61,0.42
191608,0.40,0.10
191609,0.30,-0.68
191610,1.41,-2.08
191611,5.33,-2.52
191612,8.25,-1.80
191701,5.84,-4.93
191702,10.54,1.19
191703,2.81,-4.60
191704,4.80,0.79
191705,1.33,-0.86
191706,0.00,-0.90
191707,0.00,-0.19
191708,0.11,-0.19
191709,0.72,-0.26
191710,0.00,-3.49
191711,6.55,-1.30
191712,4.67,-5.38
191801,2.62,-8.15
191802,8.98,-0.37
191803,7.00,-0.41
191804,2.30,-1.71
191805,0.49,-1.70
191806,0.13,-0.77
191807,0.01,-0.18
191808,0.47,0.17
191809,2.98,2.00
191810,2.65,-0.84
191811,7.03,-0.82
191812,4.68,-5.37
191901,11.69,0.92
191902,15.35,6.00
191903,6.96,-0.45
191904,3.89,-0.12
