Tuolumne County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,15.16,7.48
189502,6.24,-0.79
189503,3.73,-2.61
189504,3.42,0.03
189505,1.87,0.01
189506,0.12,-0.57
189507,0.22,0.05
189508,0.09,-0.10
189509,1.31,0.57
189510,0.59,-1.47
189511,3.97,-0.36
189512,5.00,-1.37
189601,18.99,11.31
189602,0.23,-6.80
189603,8.92,2.58
189604,10.38,6.99
189605,2.48,0.62
189606,0.22,-0.47
189607,0.60,0.43
189608,0.83,0.64
189609,0.84,0.10
189610,2.76,0.70
189611,6.62,2.29
189612,4.17,-2.20
189701,6.04,-1.64
189702,14.76,7.73
189703,10.11,3.77
189704,0.66,-2.73
189705,0.77,-1.09
189706,0.69,0.00
189707,0.28,0.11
189708,0.17,-0.02
189709,0.22,-0.52
189710,4.56,2.50
189711,2.76,-1.57
189712,6.71,0.34
189801,2.46,-5.22
189802,4.20,-2.83
189803,3.30,-3.04
189804,1.00,-2.39
189805,2.92,1.06
189806,0.38,-0.31
189807,0.06,-0.11
189808,0.14,-0.05
189809,1.46,0.72
189810,1.68,-0.38
189811,2.87,-1.46
189812,2.32,-4.05
189901,8.98,1.30
189902,0.63,-6.40
189903,12.17,5.83
189904,1.59,-1.80
189905,1.89,0.03
189906,1.20,0.51
189907,0.05,-0.12
189908,0.44,0.25
189909,0.00,-0.74
189910,7.24,5.18
189911,5.75,1.42
189912,7.06,0.69
190001,3.51,-4.17
190002,1.56,-5.47
190003,4.54,-1.80
190004,5.42,2.03
190005,2.70,0.84
190006,0.39,-0.30
190007,0.12,-0.05
190008,0.03,-0.16
190009,0.77,0.03
190010,4.77,2.71
190011,10.40,6.07
190012,2.74,-3.63
190101,16.82,9.14
190102,12.16,5.13
190103,2.48,-3.86
190104,5.78,2.39
190105,2.10,0.24
190106,0.09,-0.60
190107,0.07,-0.10
190108,0.36,0.17
190109,1.56,0.82
190110,3.34,1.28
190111,5.51,1.18
190112,2.76,-3.61
190201,1.50,-6.18
190202,10.46,3.43
190203,7.04,0.70
190204,3.08,-0.31
190205,1.66,-0.20
190206,0.11,-0.58
190207,0.01,-0.16
190208,0.10,-0.09
190209,0.00,-0.74
190210,2.50,0.44
190211,6.35,2.02
190212,2.84,-3.53
190301,10.04,2.36
190302,3.09,-3.94
190303,10.62,4.28
190304,1.61,-1.78
190305,0.63,-1.23
190306,0.12,-0.57
190307,0.00,-0.17
190308,0.00,-0.19
190309,0.20,-0.54
190310,0.21,-1.85
190311,7.22,2.89
190312,1.06,-5.31
190401,2.66,-5.02
190402,13.51,6.48
190403,10.91,4.57
190404,3.20,-0.19
190405,0.45,-1.41
190406,0.01,-0.68
190407,0.09,-0.08
190408,0.47,0.28
190409,3.66,2.92
190410,4.96,2.90
190411,1.17,-3.16
190412,4.06,-2.31
190501,5.37,-2.31
190502,6.07,-0.96
190503,8.85,2.51
190504,2.21,-1.18
190505,5.82,3.96
190506,0.01,-0.68
190507,0.00,-0.17
190508,0.02,-0.17
190509,0.15,-0.59
190510,0.00,-2.06
190511,3.54,-0.79
190512,2.15,-4.22
190601,11.06,3.38
190602,6.46,-0.57
190603,18.28,11.94
190604,5.93,2.54
190605,7.39,5.53
190606,1.43,0.74
190607,0.02,-0.15
190608,0.65,0.46
190609,0.18,-0.56
190610,0.06,-2.00
190611,2.22,-2.11
190612,13.61,7.24
190701,11.10,3.42
190702,5.76,-1.27
190703,23.23,16.89
190704,2.00,-1.39
190705,1.17,-0.69
190706,2.48,1.79
190707,0.14,-0.03
190708,0.55,0.36
190709,0.00,-0.74
190710,1.71,-0.35
190711,0.17,-4.16
190712,9.07,2.70
190801,4.22,-3.46
190802,3.03,-4.00
190803,1.67,-4.67
190804,0.89,-2.50
190805,3.19,1.33
190806,0.22,-0.47
190807,0.02,-0.15
190808,0.04,-0.15
190809,1.32,0.58
190810,2.58,0.52
190811,2.39,-1.94
190812,2.20,-4.17
190901,24.46,16.78
190902,10.85,3.82
190903,4.66,-1.68
190904,0.19,-3.20
190905,0.14,-1.72
190906,0.58,-0.11
190907,0.00,-0.17
190908,0.01,-0.18
190909,0.26,-0.48
190910,2.58,0.52
190911,7.87,3.54
190912,12.69,6.32
191001,7.44,-0.24
191002,3.24,-3.79
191003,4.26,-2.08
191004,1.73,-1.66
191005,0.27,-1.59
191006,0.02,-0.67
191007,0.26,0.09
191008,0.00,-0.19
191009,1.88,1.14
191010,1.66,-0.40
191011,2.23,-2.10
191012,2.50,-3.87
191101,26.59,18.91
191102,5.40,-1.63
191103,11.80,5.46
191104,3.85,0.46
191105,1.09,-0.77
191106,0.22,-0.47
191107,0.16,-0.01
191108,0.00,-0.19
191109,0.36,-0.38
191110,0.70,-1.36
191111,1.87,-2.46
191112,3.08,-3.29
191201,4.34,-3.34
191202,0.17,-6.86
191203,6.75,0.41
191204,4.25,0.86
191205,2.69,0.83
191206,0.76,0.07
191207,0.19,0.02
191208,0.00,-0.19
191209,1.99,1.25
191210,1.57,-0.49
191211,3.35,-0.98
191212,1.76,-4.61
191301,6.43,-1.25
191302,1.47,-5.56
191303,3.16,-3.18
191304,2.15,-1.24
191305,2.91,1.05
191306,1.87,1.18
191307,0.93,0.76
191308,0.69,0.50
191309,0.04,-0.70
191310,0.03,-2.03
191311,5.15,0.82
191312,9.17,2.80
191401,22.54,14.86
191402,6.64,-0.39
191403,0.81,-5.53
191404,4.30,0.91
191405,1.49,-0.37
191406,1.56,0.87
191407,0.06,-0.11
191408,0.02,-0.17
191409,0.33,-0.41
191410,2.14,0.08
191411,0.53,-3.80
191412,5.38,-0.99
191501,8.51,0.83
191502,14.01,6.98
191503,2.61,-3.73
191504,3.30,-0.09
191505,7.24,5.38
191506,0.00,-0.69
191507,0.07,-0.10
191508,0.05,-0.14
191509,0.28,-0.46
191510,0.00,-2.06
191511,1.42,-2.91
191512,7.00,0.63
191601,19.34,11.66
191602,6.00,-1.03
191603,6.47,0.13
191604,0.98,-2.41
191605,0.68,-1.18
191606,0.00,-0.69
191607,0.03,-0.14
191608,0.54,0.35
191609,0.90,0.16
191610,4.58,2.52
191611,2.50,-1.83
191612,9.31,2.94
191701,2.20,-5.48
191702,12.20,5.17
191703,2.66,-3.68
191704,2.03,-1.36
191705,1.88,0.02
191706,0.00,-0.69
191707,0.24,0.07
191708,0.10,-0.09
191709,0.08,-0.66
191710,0.01,-2.05
191711,1.43,-2.90
191712,2.14,-4.23
191801,1.17,-6.51
191802,12.36,5.33
191803,13.32,6.98
191804,0.64,-2.75
191805,0.97,-0.89
191806,0.09,-0.60
191807,0.16,-0.01
191808,0.12,-0.07
191809,2.69,1.95
191810,1.83,-0.23
191811,4.20,-0.13
191812,2.66,-3.71
191901,1.81,-5.87
191902,11.54,4.51
191903,4.89,-1.45
191904,0.59,-2.80
191905,0.77,-1.09
