Ventura County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,8.94,4.50
189502,4.12,-0.42
189503,3.20,-0.56
189504,0.77,-0.66
189505,0.22,-0.19
189506,0.04,-0.01
189507,0.00,-0.02
189508,0.01,-0.04
189509,0.00,-0.22
189510,1.46,0.85
189511,1.31,-0.38
189512,0.90,-2.28
189601,5.34,0.90
189602,0.29,-4.25
189603,4.63,0.87
189604,1.60,0.17
189605,0.30,-0.11
189606,0.00,-0.05
189607,0.23,0.21
189608,0.12,0.07
189609,0.02,-0.20
189610,1.74,1.13
189611,2.38,0.69
189612,2.52,-0.66
189701,5.62,1.18
189702,5.64,1.10
189703,4.03,0.27
189704,0.01,-1.42
189705,0.04,-0.37
189706,0.00,-0.05
189707,0.01,-0.01
189708,0.08,0.03
189709,0.26,0.04
189710,1.68,1.07
189711,0.28,-1.41
189712,0.29,-2.89
189801,1.39,-3.05
189802,1.09,-3.45
189803,1.36,-2.40
189804,0.27,-1.16
189805,1.79,1.38
189806,0.00,-0.05
189807,0.01,-0.01
189808,0.01,-0.04
189809,0.65,0.43
189810,0.10,-0.51
189811,0.04,-1.65
189812,0.61,-2.57
189901,4.19,-0.25
189902,0.17,-4.37
189903,3.19,-0.57
189904,0.55,-0.88
189905,0.16,-0.25
189906,0.16,0.11
189907,0.00,-0.02
189908,0.00,-0.05
189909,0.01,-0.21
189910,1.94,1.33
189911,1.89,0.20
189912,1.96,-1.22
190001,2.30,-2.14
190002,0.06,-4.48
190003,1.64,-2.12
190004,0.65,-0.78
190005,2.24,1.83
190006,0.00,-0.05
190007,0.02,0.00
190008,0.00,-0.05
190009,0.04,-0.18
190010,0.27,-0.34
190011,6.40,4.71
190012,0.02,-3.16
190101,5.17,0.73
190102,5.05,0.51
190103,0.40,-3.36
190104,1.84,0.41
190105,0.63,0.22
190106,0.02,-0.03
190107,0.05,0.03
190108,0.07,0.02
190109,0.60,0.38
190110,2.68,2.07
190111,0.89,-0.80
190112,0.02,-3.16
190201,1.66,-2.78
190202,5.05,0.51
190203,3.78,0.02
190204,0.70,-0.73
190205,0.14,-0.27
190206,0.01,-0.04
190207,0.00,-0.02
190208,0.00,-0.05
190209,0.00,-0.22
190210,0.86,0.25
190211,3.71,2.02
190212,2.78,-0.40
190301,1.86,-2.58
190302,1.68,-2.86
190303,7.33,3.57
190304,3.59,2.16
190305,0.12,-0.29
190306,0.00,-0.05
190307,0.00,-0.02
190308,0.00,-0.05
190309,0.07,-0.15
190310,0.01,-0.60
190311,0.04,-1.65
190312,0.02,-3.16
190401,0.49,-3.95
190402,5.12,0.58
190403,5.21,1.45
190404,1.96,0.53
190405,0.04,-0.37
190406,0.00,-0.05
190407,0.00,-0.02
190408,0.24,0.19
190409,0.79,0.57
190410,0.81,0.20
190411,0.02,-1.67
190412,2.71,-0.47
190501,3.75,-0.69
190502,9.87,5.33
190503,7.53,3.77
190504,0.62,-0.81
190505,1.83,1.42
190506,0.01,-0.04
190507,0.11,0.09
190508,0.00,-0.05
190509,0.23,0.01
190510,0.22,-0.39
190511,1.84,0.15
190512,0.21,-2.97
190601,3.81,-0.63
190602,3.38,-1.16
190603,10.50,6.74
190604,1.10,-0.33
190605,1.78,1.37
190606,0.00,-0.05
190607,0.01,-0.01
190608,0.01,-0.04
190609,0.00,-0.22
190610,0.00,-0.61
190611,0.71,-0.98
190612,8.52,5.34
190701,14.39,9.95
190702,2.28,-2.26
190703,8.43,4.67
190704,0.21,-1.22
190705,0.02,-0.39
190706,0.10,0.05
190707,0.00,-0.02
190708,0.00,-0.05
190709,0.00,-0.22
190710,3.10,2.49
190711,0.01,-1.68
190712,1.74,-1.44
190801,5.95,1.51
190802,6.02,1.48
190803,0.26,-3.50
190804,0.86,-0.57
190805,0.37,-0.04
190806,0.00,-0.05
190807,0.00,-0.02
190808,0.15,0.10
190809,1.14,0.92
190810,0.24,-0.37
190811,1.81,0.12
190812,2.12,-1.06
190901,10.45,6.01
190902,8.08,3.54
190903,5.67,1.91
190904,0.09,-1.34
190905,0.01,-0.40
190906,0.08,0.03
190907,0.00,-0.02
190908,0.21,0.16
190909,0.08,-0.14
190910,0.51,-0.10
190911,1.83,0.14
190912,9.33,6.15
191001,3.17,-1.27
191002,0.22,-4.32
191003,3.26,-0.50
191004,0.51,-0.92
191005,0.00,-0.41
191006,0.00,-0.05
191007,0.02,0.00
191008,0.00,-0.05
191009,0.84,0.62
191010,0.75,0.14
191011,0.66,-1.03
191012,0.62,-2.56
191101,12.03,7.59
191102,4.30,-0.24
191103,8.39,4.63
191104,0.88,-0.55
191105,0.10,-0.31
191106,0.07,0.02
191107,0.00,-0.02
191108,0.00,-0.05
191109,0.42,0.20
191110,0.18,-0.43
191111,0.21,-1.48
191112,1.66,-1.52
191201,0.56,-3.88
191202,0.03,-4.51
191203,10.22,6.46
191204,2.09,0.66
191205,1.27,0.86
191206,0.01,-0.04
191207,0.00,-0.02
191208,0.00,-0.05
191209,0.01,-0.21
191210,0.51,-0.10
191211,0.51,-1.18
191212,0.07,-3.11
191301,4.14,-0.30
191302,11.15,6.61
191303,0.62,-3.14
191304,0.59,-0.84
191305,0.19,-0.22
191306,0.36,0.31
191307,0.13,0.11
191308,0.19,0.14
191309,0.04,-0.18
191310,0.02,-0.59
191311,3.68,1.99
191312,2.70,-0.48
191401,15.57,11.13
191402,9.36,4.82
191403,1.15,-2.61
191404,0.81,-0.62
191405,0.76,0.35
191406,0.05,0.00
191407,0.08,0.06
191408,0.00,-0.05
191409,0.03,-0.19
191410,0.53,-0.08
191411,0.12,-1.57
191412,5.33,2.15
191501,7.40,2.96
191502,9.15,4.61
191503,1.21,-2.55
191504,2.16,0.73
191505,1.66,1.25
191506,0.00,-0.05
191507,0.00,-0.02
191508,0.00,-0.05
191509,0.08,-0.14
191510,0.00,-0.61
191511,0.82,-0.87
191512,3.16,-0.02
191601,15.35,10.91
191602,1.67,-2.87
191603,2.01,-1.75
191604,0.52,-0.91
191605,0.05,-0.36
191606,0.00,-0.05
191607,0.00,-0.02
191608,0.06,0.01
191609,0.82,0.60
191610,2.28,1.67
191611,0.19,-1.50
191612,6.39,3.21
191701,4.52,0.08
191702,3.01,-1.53
191703,0.40,-3.36
191704,0.88,-0.55
191705,0.49,0.08
191706,0.00,-0.05
191707,0.04,0.02
191708,0.02,-0.03
191709,0.00,-0.22
191710,0.03,-0.58
191711,0.62,-1.07
191712,0.13,-3.05
191801,0.88,-3.56
191802,12.19,7.65
191803,10.92,7.16
191804,0.05,-1.38
191805,0.31,-0.10
191806,0.02,-0.03
191807,0.10,0.08
191808,0.04,-0.01
191809,1.01,0.79
191810,0.22,-0.39
191811,2.63,0.94
191812,3.05,-0.13
191901,1.17,-3.27
191902,3.29,-1.25
191903,4.31,0.55
191904,0.36,-1.07
