Yolo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,10.54,6.29
189502,2.32,-1.54
189503,1.92,-0.92
189504,1.11,-0.13
189505,0.82,0.23
189506,0.00,-0.18
189507,0.05,0.04
189508,0.02,0.00
189509,1.01,0.79
189510,0.07,-0.87
189511,1.54,-0.70
189512,1.88,-1.74
189601,10.50,6.25
189602,0.16,-3.70
189603,2.70,-0.14
189604,5.33,4.09
189605,1.01,0.42
189606,0.01,-0.17
189607,0.01,0.00
189608,0.19,0.17
189609,0.47,0.25
189610,0.95,0.01
189611,4.46,2.22
189612,3.04,-0.58
189701,3.54,-0.71
189702,5.31,1.45
189703,3.78,0.94
189704,0.41,-0.83
189705,0.21,-0.38
189706,0.29,0.11
189707,0.00,-0.01
189708,0.02,0.00
189709,0.14,-0.08
189710,1.81,0.87
189711,1.09,-1.15
189712,1.80,-1.82
189801,1.10,-3.15
189802,3.61,-0.25
189803,0.32,-2.52
189804,0.34,-0.90
189805,1.61,1.02
189806,0.20,0.02
189807,0.00,-0.01
189808,0.00,-0.02
189809,0.39,0.17
189810,0.81,-0.13
189811,0.90,-1.34
189812,1.55,-2.07
189901,5.30,1.05
189902,0.20,-3.66
189903,7.72,4.88
189904,0.52,-0.72
189905,0.91,0.32
189906,0.39,0.21
189907,0.00,-0.01
189908,0.06,0.04
189909,0.11,-0.11
189910,3.88,2.94
189911,3.86,1.62
189912,3.62,0.00
190001,3.52,-0.73
190002,0.78,-3.08
190003,2.27,-0.57
190004,1.65,0.41
190005,1.20,0.61
190006,0.05,-0.13
190007,0.00,-0.01
190008,0.00,-0.02
190009,0.10,-0.12
190010,1.96,1.02
190011,4.50,2.26
190012,1.70,-1.92
190101,4.58,0.33
190102,5.64,1.78
190103,0.72,-2.12
190104,2.16,0.92
190105,0.79,0.20
190106,0.00,-0.18
190107,0.00,-0.01
190108,0.00,-0.02
190109,0.64,0.42
190110,1.21,0.27
190111,3.02,0.78
190112,1.54,-2.08
190201,1.07,-3.18
190202,8.95,5.09
190203,2.76,-0.08
190204,1.63,0.39
190205,0.88,0.29
190206,0.02,-0.16
190207,0.00,-0.01
190208,0.00,-0.02
190209,0.00,-0.22
190210,2.32,1.38
190211,2.73,0.49
190212,2.65,-0.97
190301,4.19,-0.06
190302,1.79,-2.07
190303,5.66,2.82
190304,0.35,-0.89
190305,0.02,-0.57
190306,0.00,-0.18
190307,0.00,-0.01
190308,0.00,-0.02
190309,0.00,-0.22
190310,0.30,-0.64
190311,4.52,2.28
190312,1.73,-1.89
190401,1.05,-3.20
190402,8.18,4.32
190403,8.33,5.49
190404,1.38,0.14
190405,0.06,-0.53
190406,0.00,-0.18
190407,0.00,-0.01
190408,0.09,0.07
190409,1.32,1.10
190410,2.45,1.51
190411,1.87,-0.37
190412,2.03,-1.59
190501,4.41,0.16
190502,2.74,-1.12
190503,3.94,1.10
190504,1.00,-0.24
190505,2.64,2.05
190506,0.03,-0.15
190507,0.00,-0.01
190508,0.01,-0.01
190509,0.02,-0.20
190510,0.00,-0.94
190511,1.15,-1.09
190512,0.98,-2.64
190601,7.85,3.60
190602,4.45,0.59
190603,7.06,4.22
190604,0.83,-0.41
190605,2.07,1.48
190606,0.59,0.41
190607,0.00,-0.01
190608,0.00,-0.02
190609,0.33,0.11
190610,0.00,-0.94
190611,1.19,-1.05
190612,7.34,3.72
190701,4.82,0.57
190702,2.72,-1.14
190703,7.51,4.67
190704,0.49,-0.75
190705,0.49,-0.10
190706,0.72,0.54
190707,0.00,-0.01
190708,0.00,-0.02
190709,0.01,-0.21
190710,0.70,-0.24
190711,0.12,-2.12
190712,4.18,0.56
190801,3.59,-0.66
190802,3.28,-0.58
190803,0.82,-2.02
190804,0.08,-1.16
190805,0.52,-0.07
190806,0.02,-0.16
190807,0.00,-0.01
190808,0.00,-0.02
190809,0.01,-0.21
190810,0.39,-0.55
190811,1.67,-0.57
190812,2.33,-1.29
190901,10.93,6.68
190902,7.13,3.27
190903,1.97,-0.87
190904,0.00,-1.24
190905,0.00,-0.59
190906,0.08,-0.10
190907,0.00,-0.01
190908,0.00,-0.02
190909,0.60,0.38
190910,1.02,0.08
190911,1.66,-0.58
190912,5.79,2.17
191001,3.05,-1.20
191002,1.21,-2.65
191003,3.10,0.26
191004,0.29,-0.95
191005,0.03,-0.56
191006,0.00,-0.18
191007,0.00,-0.01
191008,0.00,-0.02
191009,0.31,0.09
191010,0.21,-0.73
191011,0.26,-1.98
191012,1.70,-1.92
191101,12.00,7.75
191102,1.79,-2.07
191103,6.39,3.55
191104,1.09,-0.15
191105,0.10,-0.49
191106,0.03,-0.15
191107,0.00,-0.01
191108,0.00,-0.02
191109,0.01,-0.21
191110,0.14,-0.80
191111,0.23,-2.01
191112,1.22,-2.40
191201,2.23,-2.02
191202,0.23,-3.63
191203,2.80,-0.04
191204,1.49,0.25
191205,1.11,0.52
191206,0.44,0.26
191207,0.00,-0.01
191208,0.00,-0.02
191209,1.12,0.90
191210,0.29,-0.65
191211,1.59,-0.65
191212,0.50,-3.12
191301,3.38,-0.87
191302,0.26,-3.60
191303,1.38,-1.46
191304,0.72,-0.52
191305,0.36,-0.23
191306,0.10,-0.08
191307,0.02,0.01
191308,0.00,-0.02
191309,0.00,-0.22
191310,0.02,-0.92
191311,4.97,2.73
191312,7.43,3.81
191401,9.23,4.98
191402,4.37,0.51
191403,0.84,-2.00
191404,0.90,-0.34
191405,0.54,-0.05
191406,0.65,0.47
191407,0.00,-0.01
191408,0.00,-0.02
191409,0.01,-0.21
191410,0.86,-0.08
191411,0.27,-1.97
191412,5.04,1.42
191501,5.43,1.18
191502,6.35,2.49
191503,1.92,-0.92
191504,0.71,-0.53
191505,2.21,1.62
191506,0.00,-0.18
191507,0.00,-0.01
191508,0.00,-0.02
191509,0.00,-0.22
191510,0.03,-0.91
191511,0.77,-1.47
191512,6.39,2.77
191601,12.01,7.76
191602,2.44,-1.42
191603,1.32,-1.52
191604,0.13,-1.11
191605,0.45,-0.14
191606,0.14,-0.04
191607,0.04,0.03
191608,0.10,0.08
191609,0.18,-0.04
191610,0.59,-0.35
191611,0.71,-1.53
191612,4.79,1.17
191701,1.44,-2.81
191702,5.49,1.63
191703,0.70,-2.14
191704,0.72,-0.52
191705,0.13,-0.46
191706,0.00,-0.18
191707,0.00,-0.01
191708,0.00,-0.02
191709,0.38,0.16
191710,0.00,-0.94
191711,0.29,-1.95
191712,0.72,-2.90
191801,0.94,-3.31
191802,4.30,0.44
191803,3.23,0.39
191804,0.88,-0.36
191805,0.02,-0.57
191806,0.01,-0.17
191807,0.00,-0.01
191808,0.00,-0.02
191809,1.32,1.10
191810,0.31,-0.63
191811,2.38,0.14
191812,2.13,-1.49
191901,2.70,-1.55
191902,7.47,3.61
191903,1.83,-1.01
191904,0.12,-1.12
