Yuba County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,16.80,9.37
189502,4.22,-2.58
189503,3.55,-1.97
189504,2.40,-0.38
189505,2.45,1.02
189506,0.00,-0.45
189507,0.06,0.05
189508,0.15,0.08
189509,2.18,1.67
189510,0.14,-1.84
189511,1.63,-2.94
189512,4.35,-1.83
189601,15.67,8.24
189602,0.56,-6.24
189603,5.97,0.45
189604,9.66,6.88
189605,3.07,1.64
189606,0.04,-0.41
189607,0.03,0.02
189608,0.22,0.15
189609,0.88,0.37
189610,1.41,-0.57
189611,9.57,5.00
189612,4.51,-1.67
189701,3.91,-3.52
189702,10.52,3.72
189703,6.20,0.68
189704,1.64,-1.14
189705,0.45,-0.98
189706,0.72,0.27
189707,0.00,-0.01
189708,0.05,-0.02
189709,0.35,-0.16
189710,2.98,1.00
189711,3.38,-1.19
189712,3.09,-3.09
189801,1.44,-5.99
189802,6.94,0.14
189803,0.72,-4.80
189804,0.76,-2.02
189805,2.21,0.78
189806,0.86,0.41
189807,0.00,-0.01
189808,0.01,-0.06
189809,0.33,-0.18
189810,1.53,-0.45
189811,2.79,-1.78
189812,2.10,-4.08
189901,7.60,0.17
189902,0.51,-6.29
189903,11.96,6.44
189904,1.09,-1.69
189905,1.75,0.32
189906,0.62,0.17
189907,0.00,-0.01
189908,0.29,0.22
189909,0.04,-0.47
189910,8.37,6.39
189911,7.73,3.16
189912,7.22,1.04
190001,5.49,-1.94
190002,2.02,-4.78
190003,5.25,-0.27
190004,3.43,0.65
190005,1.58,0.15
190006,0.08,-0.37
190007,0.01,0.00
190008,0.01,-0.06
190009,0.37,-0.14
190010,4.72,2.74
190011,7.20,2.63
190012,3.18,-3.00
190101,8.54,1.11
190102,9.35,2.55
190103,1.77,-3.75
190104,4.22,1.44
190105,0.95,-0.48
190106,0.01,-0.44
190107,0.00,-0.01
190108,0.05,-0.02
190109,2.07,1.56
190110,3.25,1.27
190111,4.42,-0.15
190112,3.54,-2.64
190201,1.41,-6.02
190202,13.77,6.97
190203,4.35,-1.17
190204,3.12,0.34
190205,1.15,-0.28
190206,0.16,-0.29
190207,0.01,0.00
190208,0.02,-0.05
190209,0.01,-0.50
190210,3.46,1.48
190211,4.98,0.41
190212,5.88,-0.30
190301,8.90,1.47
190302,2.37,-4.43
190303,9.28,3.76
190304,1.08,-1.70
190305,0.39,-1.04
190306,0.14,-0.31
190307,0.00,-0.01
190308,0.03,-0.04
190309,0.10,-0.41
190310,1.18,-0.80
190311,11.43,6.86
190312,2.63,-3.55
190401,2.40,-5.03
190402,17.43,10.63
190403,12.70,7.18
190404,2.61,-0.17
190405,0.23,-1.20
190406,0.00,-0.45
190407,0.00,-0.01
190408,0.10,0.03
190409,2.76,2.25
190410,4.56,2.58
190411,3.24,-1.33
190412,4.59,-1.59
190501,5.46,-1.97
190502,5.13,-1.67
190503,7.83,2.31
190504,2.15,-0.63
190505,3.06,1.63
190506,0.21,-0.24
190507,0.00,-0.01
190508,0.13,0.06
190509,0.23,-0.28
190510,0.04,-1.94
190511,2.08,-2.49
190512,2.03,-4.15
190601,14.39,6.96
190602,7.84,1.04
190603,13.27,7.75
190604,2.47,-0.31
190605,5.11,3.68
190606,1.99,1.54
190607,0.00,-0.01
190608,0.05,-0.02
190609,0.41,-0.10
190610,0.06,-1.92
190611,2.48,-2.09
190612,13.06,6.88
190701,7.89,0.46
190702,7.83,1.03
190703,17.53,12.01
190704,2.07,-0.71
190705,0.81,-0.62
190706,2.07,1.62
190707,0.00,-0.01
190708,0.00,-0.07
190709,0.03,-0.48
190710,0.67,-1.31
190711,0.17,-4.40
190712,8.38,2.20
190801,5.86,-1.57
190802,4.07,-2.73
190803,2.52,-3.00
190804,0.73,-2.05
190805,3.87,2.44
190806,0.19,-0.26
190807,0.00,-0.01
190808,0.00,-0.07
190809,0.13,-0.38
190810,1.92,-0.06
190811,2.76,-1.81
190812,3.80,-2.38
190901,22.35,14.92
190902,9.86,3.06
190903,3.65,-1.87
190904,0.25,-2.53
190905,0.62,-0.81
190906,0.31,-0.14
190907,0.00,-0.01
190908,0.00,-0.07
190909,0.80,0.29
190910,2.64,0.66
190911,6.83,2.26
190912,8.96,2.78
191001,6.61,-0.82
191002,4.37,-2.43
191003,4.26,-1.26
191004,0.76,-2.02
191005,0.33,-1.10
191006,0.03,-0.42
191007,0.00,-0.01
191008,0.00,-0.07
191009,1.15,0.64
191010,1.38,-0.60
191011,1.95,-2.62
191012,2.85,-3.33
191101,24.19,16.76
191102,4.09,-2.71
191103,7.95,2.43
191104,2.79,0.01
191105,0.73,-0.70
191106,0.20,-0.25
191107,0.00,-0.01
191108,0.00,-0.07
191109,0.14,-0.37
191110,0.94,-1.04
191111,1.38,-3.19
191112,2.10,-4.08
191201,5.64,-1.79
191202,0.99,-5.81
191203,5.09,-0.43
191204,3.72,0.94
191205,2.74,1.31
191206,0.57,0.12
191207,0.02,0.01
191208,0.00,-0.07
191209,2.06,1.55
191210,1.49,-0.49
191211,5.47,0.90
191212,2.40,-3.78
191301,6.60,-0.83
191302,1.28,-5.52
191303,3.43,-2.09
191304,2.29,-0.49
191305,1.84,0.41
191306,0.36,-0.09
191307,0.06,0.05
191308,0.01,-0.06
191309,0.08,-0.43
191310,0.00,-1.98
191311,8.63,4.06
191312,12.62,6.44
191401,15.53,8.10
191402,7.99,1.19
191403,1.16,-4.36
191404,2.35,-0.43
191405,1.26,-0.17
191406,1.57,1.12
191407,0.00,-0.01
191408,0.00,-0.07
191409,0.00,-0.51
191410,2.09,0.11
191411,1.21,-3.36
191412,6.05,-0.13
191501,9.54,2.11
191502,12.84,6.04
191503,3.24,-2.28
191504,1.86,-0.92
191505,7.27,5.84
191506,0.01,-0.44
191507,0.02,0.01
191508,0.00,-0.07
191509,0.01,-0.50
191510,0.20,-1.78
191511,2.45,-2.12
191512,9.21,3.03
191601,17.85,10.42
191602,6.38,-0.42
191603,3.41,-2.11
191604,0.53,-2.25
191605,1.18,-0.25
191606,0.07,-0.38
191607,0.06,0.05
191608,0.02,-0.05
191609,0.74,0.23
191610,2.03,0.05
191611,3.67,-0.90
191612,7.68,1.50
191701,3.15,-4.28
191702,9.08,2.28
191703,2.43,-3.09
191704,3.76,0.98
191705,0.77,-0.66
191706,0.00,-0.45
191707,0.00,-0.01
191708,0.01,-0.06
191709,0.59,0.08
191710,0.01,-1.97
191711,1.12,-3.45
191712,2.33,-3.85
191801,1.34,-6.09
191802,8.00,1.20
191803,8.03,2.51
191804,2.11,-0.67
191805,0.25,-1.18
191806,0.00,-0.45
191807,0.00,-0.01
191808,0.00,-0.07
191809,2.83,2.32
191810,1.27,-0.71
191811,3.80,-0.77
191812,2.27,-3.91
191901,3.86,-3.57
191902,13.04,6.24
191903,4.42,-1.10
191904,1.12,-1.66
