Date,Value,Anomaly
189501,45.2,-1.2
189502,50.0,0.5
189503,50.6,-1.3
189504,54.5,-0.7
189505,59.3,-0.5
189506,65.9,0.9
189507,67.4,-1.7
189508,67.3,-1.6
189509,63.7,-3.5
189510,60.2,-1.3
189511,51.2,-1.9
189512,44.4,-2.7
189601,49.2,2.8
189602,51.1,1.6
189603,52.7,0.8
189604,50.6,-4.6
189605,57.4,-2.4
189606,65.3,0.3
189607,71.0,1.9
189608,68.1,-0.8
189609,64.5,-2.7
189610,60.8,-0.7
189611,50.0,-3.1
189612,49.1,2.0
189701,44.3,-2.1
189702,46.7,-2.8
189703,46.2,-5.7
189704,57.0,1.8
189705,62.0,2.2
189706,64.9,-0.1
189707,69.1,0.0
189708,68.0,-0.9
189709,66.3,-0.9
189710,59.0,-2.5
189711,50.2,-2.9
189712,46.0,-1.1
189801,42.4,-4.0
189802,50.0,0.5
189803,49.4,-2.5
189804,57.4,2.2
189805,56.7,-3.1
189806,66.6,1.6
189807,69.6,0.5
189808,69.3,0.4
189809,66.1,-1.1
189810,62.0,0.5
189811,52.4,-0.7
189812,45.2,-1.9
189901,50.1,3.7
189902,49.1,-0.4
189903,50.6,-1.3
189904,55.4,0.2
189905,56.9,-2.9
189906,65.5,0.5
189907,68.0,-1.1
189908,66.2,-2.7
189909,66.6,-0.6
189910,58.9,-2.6
189911,53.9,0.8
189912,45.9,-1.2
190001,47.7,1.3
190002,49.4,-0.1
190003,53.8,1.9
190004,53.8,-1.4
190005,61.7,1.9
190006,65.8,0.8
190007,69.8,0.7
190008,68.0,-0.9
190009,66.6,-0.6
190010,60.7,-0.8
190011,55.5,2.4
190012,48.3,1.2
190101,46.4,0.0
190102,50.2,0.7
190103,53.3,1.4
190104,52.5,-2.7
190105,58.0,-1.8
190106,64.4,-0.6
190107,67.2,-1.9
190108,68.2,-0.7
190109,64.1,-3.1
190110,63.3,1.8
190111,55.0,1.9
190112,46.8,-0.3
190201,43.1,-3.3
190202,50.1,0.6
190203,48.8,-3.1
190204,53.3,-1.9
190205,56.0,-3.8
190206,65.4,0.4
190207,69.3,0.2
190208,68.9,0.0
190209,67.9,0.7
190210,60.8,-0.7
190211,51.6,-1.5
190212,47.4,0.3
190301,45.4,-1.0
190302,44.4,-5.1
190303,50.1,-1.8
190304,53.1,-2.1
190305,60.0,0.2
190306,65.4,0.4
190307,65.5,-3.6
190308,66.9,-2.0
190309,66.1,-1.1
190310,63.1,1.6
190311,54.0,0.9
190312,47.2,0.1
190401,44.8,-1.6
190402,48.0,-1.5
190403,51.2,-0.7
190404,54.4,-0.8
190405,61.7,1.9
190406,66.2,1.2
190407,66.9,-2.2
190408,67.2,-1.7
190409,68.3,1.1
190410,60.9,-0.6
190411,53.6,0.5
190412,46.1,-1.0
190501,48.0,1.6
190502,49.9,0.4
190503,53.9,2.0
190504,55.2,0.0
190505,56.4,-3.4
190506,62.3,-2.7
190507,68.6,-0.5
190508,67.1,-1.8
190509,65.8,-1.4
190510,60.0,-1.5
190511,52.4,-0.7
190512,45.2,-1.9
190601,47.8,1.4
190602,52.6,3.1
190603,51.0,-0.9
190604,54.9,-0.3
190605,57.8,-2.0
190606,63.5,-1.5
190607,71.6,2.5
190608,69.1,0.2
190609,66.6,-0.6
190610,62.3,0.8
190611,52.0,-1.1
190612,46.9,-0.2
190701,45.1,-1.3
190702,53.0,3.5
190703,48.6,-3.3
190704,56.5,1.3
190705,58.6,-1.2
190706,62.5,-2.5
190707,66.9,-2.2
190708,67.3,-1.6
190709,63.4,-3.8
190710,61.0,-0.5
190711,54.0,0.9
190712,48.9,1.8
190801,47.7,1.3
190802,47.1,-2.4
