Date,Value,Anomaly
189501,27.7,-1.7
189502,30.1,-0.2
189503,32.1,-1.4
189504,38.5,-0.2
189505,44.9,-0.4
189506,52.9,-0.4
189507,58.5,-2.7
189508,59.0,-1.3
189509,50.4,-3.8
189510,44.7,-0.8
189511,34.3,-2.4
189512,29.1,-1.9
189601,34.1,4.7
189602,31.6,1.3
189603,33.1,-0.4
189604,32.0,-6.7
189605,40.2,-5.1
189606,55.4,2.1
189607,62.2,1.0
189608,59.0,-1.3
189609,51.9,-2.3
189610,45.5,0.0
189611,35.8,-0.9
189612,34.7,3.7
189701,29.5,0.1
189702,25.5,-4.8
189703,25.9,-7.6
189704,40.1,1.4
189705,49.5,4.2
189706,51.5,-1.8
189707,58.9,-2.3
189708,60.8,0.5
189709,52.1,-2.1
189710,42.1,-3.4
189711,37.2,0.5
189712,29.5,-1.5
189801,22.6,-6.8
189802,33.6,3.3
189803,29.3,-4.2
189804,42.4,3.7
189805,42.2,-3.1
189806,53.2,-0.1
189807,61.0,-0.2
189808,61.9,1.6
189809,54.6,0.4
189810,44.0,-1.5
189811,35.3,-1.4
189812,28.5,-2.5
189901,31.5,2.1
189902,31.2,0.9
189903,32.9,-0.6
189904,39.8,1.1
189905,39.6,-5.7
189906,53.5,0.2
189907,60.2,-1.0
189908,54.7,-5.6
189909,55.6,1.4
189910,41.0,-4.5
189911,38.1,1.4
189912,29.5,-1.5
190001,33.8,4.4
190002,32.5,2.2
190003,37.4,3.9
190004,35.0,-3.7
190005,45.6,0.3
190006,55.8,2.5
190007,60.7,-0.5
190008,55.8,-4.5
190009,48.9,-5.3
190010,43.4,-2.1
190011,37.9,1.2
190012,31.5,0.5
190101,29.5,0.1
190102,28.9,-1.4
190103,33.1,-0.4
190104,36.0,-2.7
190105,44.6,-0.7
190106,52.0,-1.3
190107,61.1,-0.1
190108,60.7,0.4
190109,51.5,-2.7
190110,47.1,1.6
190111,39.5,2.8
190112,32.5,1.5
190201,27.9,-1.5
190202,32.3,2.0
190203,28.8,-4.7
190204,36.8,-1.9
190205,42.0,-3.3
190206,54.1,0.8
190207,58.1,-3.1
190208,58.1,-2.2
190209,54.6,0.4
190210,44.2,-1.3
190211,33.7,-3.0
190212,31.6,0.6
190301,30.3,0.9
190302,19.2,-11.1
190303,31.6,-1.9
190304,35.3,-3.4
190305,44.4,-0.9
190306,54.1,0.8
190307,56.1,-5.1
190308,58.8,-1.5
190309,52.3,-1.9
190310,46.5,1.0
190311,39.2,2.5
190312,30.0,-1.0
190401,28.2,-1.2
190402,31.6,1.3
190403,32.8,-0.7
190404,37.1,-1.6
190405,46.5,1.2
190406,53.6,0.3
190407,58.2,-3.0
190408,60.9,0.6
190409,53.9,-0.3
190410,43.5,-2.0
190411,38.4,1.7
190412,30.8,-0.2
190501,34.8,5.4
190502,30.1,-0.2
190503,35.8,2.3
190504,39.4,0.7
190505,40.9,-4.4
190506,51.9,-1.4
190507,60.8,-0.4
190508,60.5,0.2
190509,53.6,-0.6
190510,43.6,-1.9
190511,34.6,-2.1
190512,25.4,-5.6
190601,31.1,1.7
190602,33.8,3.5
190603,33.6,0.1
190604,37.9,-0.8
190605,41.7,-3.6
190606,50.0,-3.3
190607,62.4,1.2
190608,60.3,0.0
190609,53.2,-1.0
190610,46.4,0.9
190611,35.7,-1.0
190612,32.4,1.4
190701,26.2,-3.2
190702,37.7,7.4
190703,31.1,-2.4
190704,43.3,4.6
190705,44.7,-0.6
190706,49.6,-3.7
190707,59.7,-1.5
190708,58.3,-2.0
190709,51.7,-2.5
190710,47.6,2.1
190711,38.5,1.8
190712,33.6,2.6
190801,31.5,2.1
190802,31.3,1.0
190803,35.7,2.2
190804,43.8,5.1
190805,42.8,-2.5
190806,52.2,-1.1
190807,64.9,3.7
190808,61.9,1.6
190809,54.3,0.1
190810,42.6,-2.9
190811,38.8,2.1
190812,28.1,-2.9
190901,35.8,6.4
190902,30.2,-0.1
190903,31.8,-1.7
190904,41.6,2.9
190905,43.9,-1.4
190906,54.2,0.9
190907,59.0,-2.2
190908,60.1,-0.2
190909,54.0,-0.2
190910,44.0,-1.5
190911,37.1,0.4
190912,27.8,-3.2
191001,24.6,-4.8
191002,27.9,-2.4
191003,38.8,5.3
191004,44.2,5.5
191005,50.6,5.3
191006,52.9,-0.4
191007,63.1,1.9
191008,60.6,0.3
191009,53.9,-0.3
191010,46.9,1.4
191011,40.1,3.4
191012,34.8,3.8
191101,31.5,2.1
191102,25.8,-4.5
191103,34.5,1.0
191104,38.0,-0.7
191105,41.6,-3.7
191106,55.1,1.8
191107,63.2,2.0
191108,57.9,-2.4
191109,49.3,-4.9
191110,43.8,-1.7
191111,36.6,-0.1
191112,27.9,-3.1
191201,31.1,1.7
191202,33.0,2.7
191203,31.0,-2.5
191204,34.7,-4.0
191205,45.0,-0.3
191206,52.5,-0.8
191207,58.3,-2.9
191208,56.4,-3.9
191209,51.4,-2.8
191210,41.6,-3.9
191211,37.4,0.7
191212,29.9,-1.1
191301,26.7,-2.7
191302,28.2,-2.1
191303,32.6,-0.9
191304,39.1,0.4
191305,46.8,1.5
191306,51.6,-1.7
191307,59.4,-1.8
191308,61.5,1.2
191309,56.1,1.9
191310,46.2,0.7
191311,37.6,0.9
191312,30.1,-0.9
191401,32.2,2.8
191402,30.5,0.2
191403,38.1,4.6
191404,39.9,1.2
191405,47.6,2.3
191406,51.7,-1.6
191407,59.5,-1.7
191408,60.4,0.1
191409,53.4,-0.8
191410,45.4,-0.1
191411,37.7,1.0
191412,25.6,-5.4
191501,29.5,0.1
191502,29.8,-0.5
191503,35.6,2.1
191504,40.9,2.2
191505,42.0,-3.3
191506,50.9,-2.4
191507,58.5,-2.7
191508,60.7,0.4
191509,52.6,-1.6
191510,47.2,1.7
191511,36.3,-0.4
191512,30.7,-0.3
191601,23.0,-6.4
191602,32.0,1.7
191603,37.2,3.7
191604,41.4,2.7
191605,43.3,-2.0
191606,52.1,-1.2
191607,59.1,-2.1
191608,58.4,-1.9
191609,53.7,-0.5
191610,41.0,-4.5
191611,34.8,-1.9
191612,28.4,-2.6
191701,20.6,-8.8
191702,28.5,-1.8
191703,29.0,-4.5
191704,37.4,-1.3
191705,41.3,-4.0
191706,54.5,1.2
191707,62.5,1.3
191708,62.2,1.9
191709,55.2,1.0
191710,50.1,4.6
191711,40.4,3.7
191712,38.8,7.8
191801,33.0,3.6
191802,29.2,-1.1
191803,33.8,0.3
191804,40.0,1.3
191805,43.1,-2.2
191806,59.9,6.6
191807,59.6,-1.6
191808,58.6,-1.7
191809,53.8,-0.4
191810,47.8,2.3
191811,36.3,-0.4
191812,30.6,-0.4
191901,31.5,2.1
191902,28.2,-2.1
191903,31.8,-1.7
191904,40.8,2.1
191905,50.6,5.3
191906,54.3,1.0
191907,63.6,2.4
191908,62.4,2.1
191909,53.2,-1.0
191910,40.0,-5.5
191911,35.1,-1.6
191912,29.9,-1.1
192001,32.2,2.8
192002,30.8,0.5
192003,31.0,-2.5
192004,37.0,-1.7
192005,47.0,1.7
192006,52.9,-0.4
192007,59.8,-1.4
192008,61.3,1.0
192009,53.0,-1.2
192010,40.2,-5.3
192011,35.8,-0.9
192012,31.6,0.6
192101,31.4,2.0
192102,33.5,3.2
192103,37.6,4.1
192104,38.9,0.2
192105,44.2,-1.1
192106,54.6,1.3
192107,64.7,3.5
192108,61.8,1.5
192109,53.6,-0.6
192110,46.8,1.3
192111,39.3,2.6
192112,32.6,1.6
192201,22.4,-7.0
192202,25.4,-4.9
192203,31.4,-2.1
192204,36.6,-2.1
192205,46.7,1.4
192206,56.9,3.6
192207,65.2,4.0
192208,60.2,-0.1
192209,57.7,3.5
192210,44.6,-0.9
192211,33.1,-3.6
192212,33.5,2.5
192301,31.6,2.2
192302,26.2,-4.1
192303,35.4,1.9
192304,38.6,-0.1
192305,46.9,1.6
