Date,Value,Anomaly
189501,42.3,-0.8
189502,46.9,1.2
189503,47.3,-1.1
189504,52.6,-0.6
189505,59.1,-0.7
189506,68.0,0.7
189507,71.1,-3.0
189508,71.4,-1.5
189509,64.4,-3.9
189510,60.0,0.1
189511,48.5,-1.7
189512,41.8,-2.1
189601,47.1,4.0
189602,48.0,2.3
189603,49.0,0.6
189604,47.4,-5.8
189605,55.6,-4.2
189606,68.4,1.1
189607,75.5,1.4
189608,71.6,-1.3
189609,65.8,-2.5
189610,60.5,0.6
189611,48.6,-1.6
189612,46.9,3.0
189701,42.2,-0.9
189702,42.4,-3.3
189703,42.1,-6.3
189704,55.2,2.0
189705,62.9,3.1
189706,66.3,-1.0
189707,73.0,-1.1
189708,72.6,-0.3
189709,66.4,-1.9
189710,57.3,-2.6
189711,48.6,-1.6
189712,42.8,-1.1
189801,38.3,-4.8
189802,48.3,2.6
189803,45.8,-2.6
189804,56.1,2.9
189805,56.5,-3.3
189806,67.4,0.1
189807,74.0,-0.1
189808,73.9,1.0
189809,67.5,-0.8
189810,59.6,-0.3
189811,49.5,-0.7
189812,41.8,-2.1
189901,46.2,3.1
189902,46.4,0.7
189903,47.4,-1.0
189904,53.7,0.5
189905,55.2,-4.6
189906,68.4,1.1
189907,72.8,-1.3
189908,68.1,-4.8
189909,69.6,1.3
189910,56.5,-3.4
189911,51.3,1.1
189912,42.2,-1.7
190001,46.3,3.2
190002,47.0,1.3
190003,51.6,3.2
190004,50.4,-2.8
190005,60.3,0.5
190006,68.4,1.1
190007,73.7,-0.4
190008,69.4,-3.5
190009,64.5,-3.8
190010,57.9,-2.0
190011,52.3,2.1
190012,44.6,0.7
190101,43.4,0.3
190102,45.7,0.0
190103,49.7,1.3
190104,51.3,-1.9
190105,58.7,-1.1
190106,66.9,-0.4
190107,73.2,-0.9
190108,73.4,0.5
190109,65.3,-3.0
190110,62.3,2.4
190111,52.3,2.1
190112,44.3,0.4
190201,40.6,-2.5
190202,46.7,1.0
190203,44.6,-3.8
190204,50.6,-2.6
190205,55.9,-3.9
190206,68.0,0.7
190207,72.2,-1.9
190208,71.1,-1.8
190209,68.8,0.5
190210,58.7,-1.2
190211,47.5,-2.7
190212,44.2,0.3
190301,42.2,-0.9
190302,38.9,-6.8
190303,46.8,-1.6
190304,50.2,-3.0
190305,60.3,0.5
190306,68.5,1.2
190307,69.4,-4.7
190308,71.6,-1.3
190309,67.4,-0.9
190310,62.0,2.1
190311,51.9,1.7
190312,44.3,0.4
190401,42.6,-0.5
190402,45.6,-0.1
190403,47.4,-1.0
190404,52.2,-1.0
190405,62.3,2.5
190406,68.7,1.4
190407,71.4,-2.7
190408,72.8,-0.1
190409,69.1,0.8
190410,59.0,-0.9
190411,51.4,1.2
190412,42.9,-1.0
190501,46.6,3.5
190502,47.1,1.4
190503,50.4,2.0
190504,54.4,1.2
190505,56.1,-3.7
190506,65.6,-1.7
190507,73.4,-0.7
190508,72.8,-0.1
190509,66.8,-1.5
190510,59.0,-0.9
190511,48.9,-1.3
190512,40.7,-3.2
190601,44.9,1.8
190602,49.2,3.5
190603,48.3,-0.1
190604,53.2,0.0
190605,56.5,-3.3
190606,64.0,-3.3
190607,76.5,2.4
190608,73.4,0.5
190609,67.7,-0.6
190610,61.1,1.2
190611,50.7,0.5
190612,45.5,1.6
190701,42.9,-0.2
190702,50.9,5.2
190703,46.4,-2.0
190704,55.9,2.7
190705,59.0,-0.8
190706,64.5,-2.8
190707,72.2,-1.9
190708,71.5,-1.4
190709,64.6,-3.7
190710,61.2,1.3
190711,52.3,2.1
190712,46.4,2.5
190801,45.9,2.8
190802,45.4,-0.3
190803,49.5,1.1
190804,56.8,3.6
190805,56.7,-3.1
190806,65.6,-1.7
190807,78.0,3.9
190808,73.5,0.6
190809,68.5,0.2
190810,57.7,-2.2
190811,52.4,2.2
190812,42.4,-1.5
190901,49.1,6.0
190902,45.8,0.1
190903,46.5,-1.9
190904,56.2,3.0
190905,59.8,0.0
190906,68.0,0.7
190907,72.5,-1.6
190908,73.2,0.3
190909,68.4,0.1
190910,58.6,-1.3
190911,50.4,0.2
190912,43.3,-0.6
191001,40.7,-2.4
191002,43.2,-2.5
191003,51.6,3.2
191004,57.5,4.3
191005,63.7,3.9
191006,66.3,-1.0
191007,75.7,1.6
191008,73.7,0.8
191009,66.8,-1.5
191010,60.7,0.8
191011,51.6,1.4
191012,47.6,3.7
191101,45.3,2.2
191102,41.7,-4.0
191103,50.6,2.2
191104,53.4,0.2
191105,56.9,-2.9
191106,68.0,0.7
191107,76.6,2.5
191108,70.1,-2.8
191109,63.4,-4.9
191110,58.7,-1.2
191111,50.6,0.4
191112,42.8,-1.1
191201,46.2,3.1
191202,48.6,2.9
191203,46.8,-1.6
191204,49.8,-3.4
191205,60.0,0.2
191206,68.0,0.7
191207,72.8,-1.3
191208,70.1,-2.8
191209,67.1,-1.2
191210,57.5,-2.4
191211,51.9,1.7
191212,44.5,0.6
191301,41.8,-1.3
191302,46.3,0.6
191303,49.5,1.1
191304,53.9,0.7
191305,61.6,1.8
191306,65.4,-1.9
191307,74.0,-0.1
191308,75.6,2.7
191309,71.6,3.3
