Date,Value,Anomaly
189501,43.1,-0.1
189502,50.4,3.5
189503,51.1,0.8
189504,56.8,1.2
189505,63.3,0.7
189506,71.9,1.8
189507,74.3,-2.0
189508,74.5,-0.2
189509,65.6,-4.2
189510,62.5,1.3
189511,50.7,0.1
189512,43.1,-1.0
189601,48.3,5.1
189602,50.9,4.0
189603,52.1,1.8
189604,50.2,-5.4
189605,58.9,-3.7
189606,72.4,2.3
189607,78.8,2.5
189608,73.8,-0.9
189609,68.8,-1.0
189610,62.8,1.6
189611,50.4,-0.2
189612,48.9,4.8
189701,44.7,1.5
189702,45.0,-1.9
189703,45.1,-5.2
189704,59.7,4.1
189705,68.6,6.0
189706,69.4,-0.7
189707,75.2,-1.1
189708,75.4,0.7
189709,68.1,-1.7
189710,59.7,-1.5
189711,50.2,-0.4
189712,44.9,0.8
189801,39.5,-3.7
189802,49.8,2.9
189803,48.6,-1.7
189804,59.8,4.2
189805,61.0,-1.6
189806,70.6,0.5
189807,75.7,-0.6
189808,75.9,1.2
189809,68.3,-1.5
189810,60.5,-0.7
189811,50.6,0.0
189812,43.9,-0.2
189901,46.1,2.9
189902,47.3,0.4
189903,49.4,-0.9
189904,56.7,1.1
189905,58.7,-3.9
189906,71.2,1.1
189907,74.6,-1.7
189908,69.2,-5.5
189909,70.9,1.1
189910,57.1,-4.1
189911,52.9,2.3
189912,44.5,0.4
190001,49.2,6.0
190002,50.0,3.1
190003,54.8,4.5
190004,54.5,-1.1
190005,64.6,2.0
190006,72.2,2.1
190007,75.5,-0.8
190008,70.6,-4.1
190009,64.8,-5.0
190010,58.6,-2.6
190011,53.5,2.9
190012,46.4,2.3
190101,43.5,0.3
190102,46.8,-0.1
190103,52.6,2.3
190104,55.0,-0.6
190105,63.4,0.8
190106,70.2,0.1
190107,75.6,-0.7
190108,75.8,1.1
190109,66.8,-3.0
190110,63.2,2.0
190111,53.8,3.2
190112,46.6,2.5
190201,43.0,-0.2
190202,49.2,2.3
190203,48.1,-2.2
190204,54.5,-1.1
190205,60.5,-2.1
190206,71.4,1.3
190207,74.3,-2.0
190208,73.2,-1.5
190209,70.8,1.0
190210,59.7,-1.5
190211,49.0,-1.6
190212,45.1,1.0
190301,44.6,1.4
190302,39.6,-7.3
190303,48.0,-2.3
190304,53.0,-2.6
190305,64.8,2.2
190306,70.9,0.8
190307,72.0,-4.3
190308,74.0,-0.7
190309,68.6,-1.2
190310,63.8,2.6
190311,53.3,2.7
190312,46.5,2.4
190401,43.9,0.7
190402,46.3,-0.6
190403,47.6,-2.7
190404,55.3,-0.3
190405,66.2,3.6
190406,72.1,2.0
190407,74.5,-1.8
190408,75.6,0.9
190409,70.1,0.3
190410,60.1,-1.1
190411,51.5,0.9
190412,44.8,0.7
190501,47.2,4.0
190502,48.9,2.0
190503,52.3,2.0
190504,57.5,1.9
190505,59.4,-3.2
190506,68.6,-1.5
190507,76.4,0.1
190508,74.8,0.1
190509,68.6,-1.2
190510,59.2,-2.0
190511,49.3,-1.3
190512,41.3,-2.8
190601,45.2,2.0
190602,50.1,3.2
190603,48.4,-1.9
