Date,Value,Anomaly
189501,42.5,-0.8
189502,46.7,0.8
189503,47.2,-1.5
189504,52.5,-1.0
189505,59.2,-1.0
189506,68.4,0.6
189507,71.8,-3.0
189508,71.9,-1.8
189509,64.8,-4.2
189510,60.1,-0.3
189511,48.2,-2.1
189512,41.6,-2.4
189601,47.0,3.7
189602,47.7,1.8
189603,48.9,0.2
189604,47.5,-6.0
189605,55.9,-4.3
189606,68.8,1.0
189607,76.1,1.3
189608,72.2,-1.5
189609,66.0,-3.0
189610,60.5,0.1
189611,48.5,-1.8
189612,46.7,2.7
189701,42.0,-1.3
189702,42.3,-3.6
189703,41.9,-6.8
189704,54.9,1.4
189705,62.9,2.7
189706,66.8,-1.0
189707,73.7,-1.1
189708,73.1,-0.6
189709,66.7,-2.3
189710,57.6,-2.8
189711,48.8,-1.5
189712,42.8,-1.2
189801,38.6,-4.7
189802,48.4,2.5
189803,46.0,-2.7
189804,55.9,2.4
189805,56.7,-3.5
189806,67.9,0.1
189807,74.6,-0.2
189808,74.6,0.9
189809,68.1,-0.9
189810,60.1,-0.3
189811,49.7,-0.6
189812,41.9,-2.1
189901,46.3,3.0
189902,46.6,0.7
189903,47.7,-1.0
189904,54.0,0.5
189905,55.7,-4.5
189906,69.2,1.4
189907,73.8,-1.0
189908,69.1,-4.6
189909,70.2,1.2
189910,56.8,-3.6
189911,51.2,0.9
189912,42.0,-2.0
190001,46.0,2.7
190002,46.6,0.7
190003,51.6,2.9
190004,50.4,-3.1
190005,60.4,0.2
190006,69.0,1.2
190007,74.7,-0.1
190008,70.4,-3.3
190009,65.4,-3.6
190010,58.5,-1.9
190011,52.5,2.2
190012,44.6,0.6
190101,43.4,0.1
190102,46.0,0.1
190103,49.6,0.9
190104,51.2,-2.3
190105,59.0,-1.2
190106,67.4,-0.4
190107,74.0,-0.8
190108,74.3,0.6
190109,65.7,-3.3
190110,62.7,2.3
190111,52.2,1.9
190112,43.7,-0.3
190201,40.2,-3.1
190202,46.4,0.5
190203,44.4,-4.3
190204,50.5,-3.0
190205,56.0,-4.2
190206,68.7,0.9
190207,73.1,-1.7
190208,72.1,-1.6
190209,69.4,0.4
190210,59.3,-1.1
190211,47.4,-2.9
190212,43.8,-0.2
190301,41.7,-1.6
190302,39.0,-6.9
190303,47.1,-1.6
190304,50.1,-3.4
190305,60.2,0.0
190306,69.5,1.7
190307,70.7,-4.1
190308,72.9,-0.8
190309,67.9,-1.1
190310,61.9,1.5
190311,51.8,1.5
190312,44.2,0.2
190401,42.6,-0.7
190402,45.8,-0.1
190403,48.0,-0.7
190404,52.0,-1.5
190405,62.5,2.3
190406,69.4,1.6
190407,72.6,-2.2
190408,74.2,0.5
190409,70.3,1.3
190410,59.5,-0.9
190411,51.2,0.9
190412,42.6,-1.4
190501,46.8,3.5
190502,47.5,1.6
190503,50.6,1.9
190504,54.7,1.2
190505,56.8,-3.4
190506,66.5,-1.3
190507,74.6,-0.2
190508,73.4,-0.3
190509,67.7,-1.3
190510,59.2,-1.2
190511,48.8,-1.5
190512,40.5,-3.5
190601,45.4,2.1
190602,49.3,3.4
190603,49.0,0.3
190604,52.8,-0.7
190605,57.1,-3.1
190606,65.1,-2.7
190607,78.3,3.5
190608,75.0,1.3
190609,68.5,-0.5
190610,62.1,1.7
190611,50.5,0.2
190612,45.6,1.6
