Date,Value,Anomaly
189501,45.2,0.8
189502,51.7,3.1
189503,52.7,0.4
189504,58.1,0.8
189505,64.7,-0.1
189506,73.8,1.5
189507,75.1,-2.6
189508,74.9,-1.0
189509,67.6,-3.7
189510,64.0,1.3
189511,52.9,1.1
189512,44.4,-0.7
189601,49.2,4.8
189602,52.4,3.8
189603,54.4,2.1
189604,53.1,-4.2
189605,61.7,-3.1
189606,73.2,0.9
189607,79.7,2.0
189608,74.9,-1.0
189609,70.1,-1.2
189610,64.1,1.4
189611,51.5,-0.3
189612,49.6,4.5
189701,45.4,1.0
189702,47.4,-1.2
189703,47.8,-4.5
189704,60.9,3.6
189705,68.7,3.9
189706,71.9,-0.4
189707,77.6,-0.1
189708,75.8,-0.1
189709,70.0,-1.3
189710,61.5,-1.2
189711,51.2,-0.6
189712,46.1,1.0
189801,41.6,-2.8
189802,51.1,2.5
189803,51.0,-1.3
189804,61.1,3.8
189805,62.6,-2.2
189806,73.0,0.7
189807,77.5,-0.2
189808,76.4,0.5
189809,70.0,-1.3
189810,63.0,0.3
189811,52.6,0.8
189812,45.1,0.0
189901,48.2,3.8
189902,49.4,0.8
189903,52.1,-0.2
189904,58.4,1.1
189905,61.0,-3.8
189906,73.1,0.8
189907,76.0,-1.7
189908,71.4,-4.5
189909,72.9,1.6
189910,59.8,-2.9
189911,54.6,2.8
189912,45.8,0.7
190001,49.0,4.6
190002,51.0,2.4
190003,56.4,4.1
190004,56.4,-0.9
190005,66.0,1.2
190006,73.4,1.1
190007,77.1,-0.6
190008,72.9,-3.0
190009,68.4,-2.9
190010,60.4,-2.3
190011,54.7,2.9
190012,47.3,2.2
190101,45.2,0.8
190102,49.5,0.9
190103,55.1,2.8
190104,56.0,-1.3
190105,64.0,-0.8
190106,71.7,-0.6
190107,75.6,-2.1
190108,75.3,-0.6
190109,68.7,-2.6
190110,65.2,2.5
190111,55.1,3.3
190112,47.2,2.1
190201,43.2,-1.2
190202,50.6,2.0
190203,50.5,-1.8
190204,56.2,-1.1
190205,61.9,-2.9
190206,72.7,0.4
190207,76.9,-0.8
190208,74.8,-1.1
190209,72.4,1.1
190210,61.5,-1.2
190211,50.8,-1.0
190212,45.9,0.8
190301,44.7,0.3
190302,44.0,-4.6
190303,50.1,-2.2
190304,55.0,-2.3
190305,65.8,1.0
190306,73.0,0.7
190307,74.3,-3.4
190308,75.1,-0.8
190309,71.2,-0.1
190310,65.9,3.2
190311,53.8,2.0
190312,47.1,2.0
190401,45.1,0.7
190402,47.2,-1.4
190403,49.4,-2.9
190404,57.0,-0.3
190405,68.1,3.3
190406,73.8,1.5
190407,75.7,-2.0
190408,74.9,-1.0
190409,71.9,0.6
190410,62.2,-0.5
190411,52.9,1.1
190412,45.6,0.5
190501,47.2,2.8
190502,50.4,1.8
190503,54.6,2.3
190504,58.5,1.2
190505,61.1,-3.7
190506,70.1,-2.2
190507,77.4,-0.3
190508,75.3,-0.6
190509,70.2,-1.1
190510,61.5,-1.2
190511,51.2,-0.6
190512,43.4,-1.7
190601,46.5,2.1
190602,52.0,3.4
190603,51.0,-1.3
190604,57.3,0.0
190605,61.2,-3.6
190606,68.1,-4.2
190607,79.4,1.7
190608,75.8,-0.1
190609,70.8,-0.5
190610,63.4,0.7
190611,52.4,0.6
190612,46.5,1.4
190701,43.2,-1.2
190702,53.3,4.7
190703,49.0,-3.3
190704,58.6,1.3
190705,63.4,-1.4
190706,69.6,-2.7
190707,75.5,-2.2
190708,74.5,-1.4
190709,68.1,-3.2
190710,64.1,1.4
190711,53.4,1.6
190712,46.2,1.1
190801,45.7,1.3
190802,46.6,-2.0
190803,52.6,0.3
190804,59.4,2.1
190805,60.2,-4.6
190806,69.3,-3.0
190807,80.5,2.8
190808,75.8,-0.1
190809,71.7,0.4
190810,60.4,-2.3
190811,52.6,0.8
190812,41.6,-3.5
190901,48.1,3.7
190902,47.3,-1.3
190903,49.4,-2.9
190904,59.4,2.1
190905,63.6,-1.2
190906,72.2,-0.1
190907,75.8,-1.9
190908,74.9,-1.0
190909,71.8,0.5
190910,61.3,-1.4
190911,51.6,-0.2
190912,43.8,-1.3
191001,41.9,-2.5
191002,45.1,-3.5
191003,55.5,3.2
191004,59.8,2.5
191005,67.4,2.6
191006,69.9,-2.4
191007,77.7,0.0
191008,75.3,-0.6
191009,68.3,-3.0
191010,63.6,0.9
191011,52.3,0.5
191012,48.0,2.9
191101,45.2,0.8
191102,44.9,-3.7
191103,54.3,2.0
191104,55.4,-1.9
191105,60.2,-4.6
