Date,Value,Anomaly
189501,45.6,-0.3
189502,51.0,1.0
189503,51.9,-1.1
189504,56.7,0.0
189505,61.8,0.3
189506,68.6,1.7
189507,69.5,-1.2
189508,69.4,-0.9
189509,65.4,-3.1
189510,61.7,-0.7
189511,52.5,-0.8
189512,44.4,-2.4
189601,49.4,3.5
189602,52.1,2.1
189603,54.0,1.0
189604,52.3,-4.4
189605,59.7,-1.8
189606,68.2,1.3
189607,73.5,2.8
189608,70.9,0.6
189609,67.0,-1.5
189610,63.0,0.6
189611,51.3,-2.0
189612,49.6,2.8
189701,44.4,-1.5
189702,47.7,-2.3
189703,47.9,-5.1
189704,59.0,2.3
189705,64.4,2.9
189706,67.3,0.4
189707,71.5,0.8
189708,70.1,-0.2
189709,68.3,-0.2
189710,60.7,-1.7
189711,51.0,-2.3
189712,46.2,-0.6
189801,42.5,-3.4
189802,50.9,0.9
189803,51.0,-2.0
189804,59.7,3.0
189805,59.3,-2.2
189806,69.2,2.3
189807,72.3,1.6
189808,71.4,1.1
189809,68.0,-0.5
189810,63.2,0.8
189811,53.2,-0.1
189812,45.2,-1.6
189901,50.5,4.6
189902,50.0,0.0
189903,52.3,-0.7
189904,57.2,0.5
189905,58.9,-2.6
189906,67.6,0.7
189907,70.2,-0.5
189908,68.2,-2.1
189909,68.1,-0.4
189910,60.4,-2.0
189911,54.7,1.4
189912,45.9,-0.9
190001,47.5,1.6
190002,50.4,0.4
190003,55.1,2.1
190004,55.3,-1.4
190005,63.7,2.2
190006,67.7,0.8
190007,72.0,1.3
190008,69.5,-0.8
190009,67.9,-0.6
190010,62.0,-0.4
190011,55.9,2.6
190012,48.0,1.2
190101,45.9,0.0
190102,50.8,0.8
190103,54.6,1.6
190104,54.2,-2.5
190105,60.2,-1.3
190106,66.5,-0.4
190107,69.0,-1.7
190108,69.7,-0.6
190109,65.6,-2.9
190110,64.6,2.2
190111,55.5,2.2
190112,46.9,0.1
190201,42.7,-3.2
190202,50.8,0.8
190203,50.2,-2.8
190204,54.8,-1.9
190205,58.2,-3.3
190206,67.5,0.6
190207,71.0,0.3
190208,70.4,0.1
190209,69.4,0.9
190210,61.9,-0.5
190211,52.1,-1.2
190212,47.4,0.6
190301,44.9,-1.0
190302,45.2,-4.8
190303,51.3,-1.7
190304,54.8,-1.9
190305,62.1,0.6
190306,67.9,1.0
190307,67.5,-3.2
190308,68.8,-1.5
190309,67.9,-0.6
190310,64.4,2.0
190311,54.6,1.3
190312,47.2,0.4
190401,44.8,-1.1
190402,48.5,-1.5
190403,51.7,-1.3
190404,55.8,-0.9
190405,64.0,2.5
190406,68.2,1.3
190407,68.6,-2.1
190408,69.0,-1.3
190409,70.0,1.5
190410,62.1,-0.3
190411,54.3,1.0
190412,46.1,-0.7
190501,47.6,1.7
190502,50.5,0.5
190503,55.0,2.0
190504,56.7,0.0
190505,58.2,-3.3
190506,64.3,-2.6
190507,70.2,-0.5
190508,68.9,-1.4
