Date,Value,Anomaly
189501,38.5,-0.8
189502,42.4,0.9
189503,42.0,-1.4
189504,46.9,-0.1
189505,51.8,-0.6
189506,57.8,-0.5
189507,63.8,-0.6
189508,61.8,-2.7
189509,58.2,-3.2
189510,53.9,0.5
189511,42.6,-1.8
189512,38.5,-1.6
189601,41.8,2.5
189602,42.0,0.5
189603,43.8,0.4
189604,42.1,-4.9
189605,49.0,-3.4
189606,56.5,-1.8
189607,65.5,1.1
189608,64.4,-0.1
189609,58.8,-2.6
189610,51.6,-1.8
189611,40.5,-3.9
189612,42.6,2.5
189701,39.5,0.2
189702,39.9,-1.6
189703,37.6,-5.8
189704,47.7,0.7
189705,54.2,1.8
189706,57.2,-1.1
189707,61.8,-2.6
189708,63.7,-0.8
189709,58.9,-2.5
189710,52.0,-1.4
189711,42.2,-2.2
189712,40.8,0.7
189801,35.9,-3.4
189802,42.1,0.6
189803,40.2,-3.2
189804,46.2,-0.8
189805,50.2,-2.2
189806,57.9,-0.4
189807,61.8,-2.6
189808,63.9,-0.6
189809,59.3,-2.1
189810,51.4,-2.0
189811,43.5,-0.9
189812,38.7,-1.4
189901,40.4,1.1
189902,37.8,-3.7
189903,41.7,-1.7
189904,44.5,-2.5
189905,47.7,-4.7
189906,55.4,-2.9
189907,62.3,-2.1
189908,60.1,-4.4
189909,60.6,-0.8
189910,49.6,-3.8
189911,48.2,3.8
189912,41.0,0.9
190001,42.6,3.3
190002,41.6,0.1
190003,46.1,2.7
190004,45.5,-1.5
190005,51.2,-1.2
190006,58.4,0.1
190007,62.1,-2.3
190008,61.0,-3.5
190009,59.0,-2.4
190010,49.6,-3.8
190011,45.1,0.7
190012,42.0,1.9
190101,37.5,-1.8
190102,39.8,-1.7
190103,42.7,-0.7
190104,43.4,-3.6
190105,51.0,-1.4
190106,53.9,-4.4
190107,60.5,-3.9
190108,61.9,-2.6
190109,57.1,-4.3
190110,54.3,0.9
190111,44.8,0.4
190112,39.5,-0.6
190201,38.2,-1.1
190202,43.0,1.5
190203,40.9,-2.5
190204,45.2,-1.8
190205,51.6,-0.8
190206,56.6,-1.7
190207,61.6,-2.8
190208,62.9,-1.6
190209,59.5,-1.9
