Date,Value,Anomaly
189501,38.7,-0.9
189502,42.8,1.5
189503,43.1,-0.7
189504,48.7,0.0
189505,55.1,-0.4
189506,63.9,0.6
189507,67.7,-3.0
189508,68.3,-1.5
189509,60.4,-4.1
189510,56.1,0.1
189511,45.0,-1.4
189512,39.0,-1.6
189601,44.4,4.8
189602,44.1,2.8
189603,44.5,0.7
189604,42.7,-6.0
189605,50.9,-4.6
189606,64.9,1.6
189607,72.1,1.4
189608,68.4,-1.4
189609,62.3,-2.2
189610,56.7,0.7
189611,45.3,-1.1
189612,44.3,3.7
189701,39.9,0.3
189702,37.9,-3.4
189703,37.5,-6.3
189704,51.2,2.5
189705,59.4,3.9
189706,62.0,-1.3
189707,69.2,-1.5
189708,69.6,-0.2
189709,62.5,-2.0
189710,53.3,-2.7
189711,45.6,-0.8
189712,39.9,-0.7
189801,34.7,-4.9
189802,44.3,3.0
189803,41.0,-2.8
189804,52.2,3.5
189805,52.4,-3.1
189806,63.1,-0.2
189807,70.4,-0.3
189808,70.8,1.0
189809,63.8,-0.7
189810,55.2,-0.8
189811,45.5,-0.9
189812,38.9,-1.7
189901,42.8,3.2
189902,42.2,0.9
189903,42.9,-0.9
189904,49.4,0.7
189905,50.6,-4.9
189906,64.0,0.7
189907,69.0,-1.7
189908,64.3,-5.5
189909,65.8,1.3
189910,52.1,-3.9
189911,47.8,1.4
189912,39.5,-1.1
190001,44.4,4.8
190002,43.6,2.3
190003,47.5,3.7
190004,46.0,-2.7
190005,56.2,0.7
190006,64.8,1.5
190007,69.9,-0.8
190008,65.4,-4.4
190009,59.9,-4.6
190010,53.8,-2.2
190011,48.6,2.2
190012,41.9,1.3
190101,40.7,1.1
190102,41.0,-0.3
190103,45.3,1.5
190104,47.2,-1.5
190105,54.9,-0.6
190106,62.8,-0.5
190107,70.0,-0.7
190108,70.3,0.5
190109,61.6,-2.9
190110,58.1,2.1
190111,48.8,2.4
190112,42.3,1.7
190201,38.5,-1.1
190202,42.9,1.6
190203,40.3,-3.5
190204,46.6,-2.1
190205,52.0,-3.5
190206,64.1,0.8
190207,68.4,-2.3
190208,67.7,-2.1
190209,65.3,0.8
190210,54.6,-1.4
190211,43.8,-2.6
190212,41.4,0.8
190301,40.3,0.7
190302,33.4,-7.9
190303,42.0,-1.8
190304,45.9,-2.8
190305,56.3,0.8
190306,64.4,1.1
190307,65.6,-5.1
190308,68.2,-1.6
190309,63.4,-1.1
190310,58.5,2.5
190311,48.6,2.2
190312,41.4,0.8
190401,39.8,0.2
190402,41.7,0.4
190403,42.6,-1.2
190404,48.0,-0.7
190405,58.0,2.5
190406,64.4,1.1
190407,67.7,-3.0
190408,69.8,0.0
190409,64.6,0.1
190410,55.0,-1.0
190411,48.6,2.2
190412,40.5,-0.1
190501,44.0,4.4
190502,42.4,1.1
190503,45.7,1.9
190504,50.2,1.5
190505,51.5,-4.0
190506,62.0,-1.3
190507,70.3,-0.4
190508,69.9,0.1
190509,63.3,-1.2
190510,55.4,-0.6
190511,45.4,-1.0
190512,37.0,-3.6
190601,41.2,1.6
190602,44.7,3.4
190603,43.5,-0.3
190604,49.0,0.3
190605,51.9,-3.6
190606,59.9,-3.4
190607,72.6,1.9
190608,70.2,0.4
190609,64.1,-0.4
190610,56.8,0.8
190611,47.2,0.8
190612,41.9,1.3
190701,38.4,-1.2
190702,47.3,6.0
190703,42.2,-1.6
190704,51.9,3.2
190705,54.2,-1.3
190706,59.5,-3.8
190707,68.0,-2.7
190708,67.8,-2.0
190709,61.4,-3.1
190710,58.2,2.2
190711,49.3,2.9
190712,43.0,2.4
190801,42.3,2.7
190802,41.6,0.3
190803,45.4,1.6
190804,52.7,4.0
190805,51.8,-3.7
190806,61.1,-2.2
190807,74.4,3.7
190808,70.7,0.9
190809,64.2,-0.3
190810,53.7,-2.3
190811,48.7,2.3
190812,38.5,-2.1
190901,45.1,5.5
190902,41.0,-0.3
190903,42.2,-1.6
190904,52.6,3.9
190905,55.1,-0.4
190906,63.7,0.4
190907,68.8,-1.9
190908,69.8,0.0
190909,64.4,-0.1
190910,55.0,-1.0
190911,46.6,0.2
190912,38.6,-2.0
191001,36.6,-3.0
191002,39.0,-2.3
191003,48.4,4.6
191004,53.5,4.8
191005,59.5,4.0
191006,62.2,-1.1
191007,71.9,1.2
191008,70.4,0.6
191009,63.7,-0.8
191010,57.4,1.4
191011,49.1,2.7
191012,44.7,4.1
191101,41.7,2.1
191102,36.3,-5.0
191103,45.0,1.2
191104,47.6,-1.1
191105,51.6,-3.9
191106,63.5,0.2
191107,72.3,1.6
191108,66.9,-2.9
191109,59.7,-4.8
191110,54.6,-1.4
191111,47.4,1.0
191112,39.0,-1.6
191201,42.4,2.8
191202,44.1,2.8
191203,41.3,-2.5
191204,44.2,-4.5
191205,54.4,-1.1
191206,62.1,-1.2
191207,68.2,-2.5
191208,65.9,-3.9
191209,62.4,-2.1
191210,52.6,-3.4
191211,47.8,1.4
191212,40.7,0.1
191301,36.8,-2.8
191302,40.3,-1.0
191303,42.5,-1.3
191304,48.6,-0.1
191305,56.4,0.9
191306,60.7,-2.6
191307,69.6,-1.1
191308,71.1,1.3
191309,67.8,3.3
191310,58.6,2.6
191311,47.6,1.2
191312,40.2,-0.4
191401,41.9,2.3
191402,41.3,0.0
191403,49.2,5.4
191404,49.2,0.5
191405,57.3,1.8
191406,61.2,-2.1
191407,69.7,-1.0
191408,70.4,0.6
191409,63.4,-1.1
191410,56.1,0.1
191411,49.2,2.8
191412,37.4,-3.2
191501,40.2,0.6
191502,40.9,-0.4
191503,46.8,3.0
191504,49.5,0.8
191505,51.0,-4.5
191506,61.8,-1.5
191507,68.8,-1.9
191508,70.8,1.0
191509,63.2,-1.3
191510,59.1,3.1
191511,46.5,0.1
191512,40.6,0.0
191601,34.6,-5.0
191602,44.4,3.1
191603,47.4,3.6
191604,51.4,2.7
191605,53.3,-2.2
191606,61.9,-1.4
191607,68.6,-2.1
191608,67.9,-1.9
191609,64.4,-0.1
191610,52.0,-4.0
191611,45.3,-1.1
191612,38.8,-1.8
191701,35.4,-4.2
191702,40.9,-0.4
191703,40.5,-3.3
191704,47.4,-1.3
191705,50.9,-4.6
191706,64.7,1.4
191707,73.4,2.7
191708,71.5,1.7
191709,65.5,1.0
191710,61.1,5.1
191711,49.3,2.9
191712,47.2,6.6
191801,43.3,3.7
191802,41.2,-0.1
191803,44.5,0.7
191804,49.8,1.1
191805,52.6,-2.9
191806,70.1,6.8
191807,69.5,-1.2
191808,69.6,-0.2
191809,64.4,-0.1
191810,58.4,2.4
191811,45.8,-0.6
191812,40.6,0.0
191901,42.2,2.6
191902,39.5,-1.8
191903,41.7,-2.1
191904,50.4,1.7
191905,60.2,4.7
191906,63.5,0.2
191907,72.1,1.4
191908,71.1,1.3
191909,64.1,-0.4
191910,52.7,-3.3
191911,46.0,-0.4
191912,42.0,1.4
