Date,Value,Anomaly
189501,38.2,-1.0
189502,42.2,-0.1
189503,43.6,-1.8
189504,49.9,-0.8
189505,58.1,0.3
189506,65.9,0.3
189507,70.5,-1.8
189508,69.8,-1.0
189509,62.8,-2.6
189510,56.3,-0.3
189511,44.0,-2.7
189512,37.5,-2.5
189601,42.0,2.8
189602,42.3,0.0
189603,45.3,-0.1
189604,44.6,-6.1
189605,54.0,-3.8
189606,67.3,1.7
189607,72.2,-0.1
189608,69.8,-1.0
189609,62.2,-3.2
189610,56.6,0.0
189611,44.7,-2.0
189612,42.6,2.6
189701,37.9,-1.3
189702,39.0,-3.3
189703,38.6,-6.8
189704,51.7,1.0
189705,60.9,3.1
189706,66.1,0.5
189707,71.8,-0.5
189708,72.0,1.2
189709,64.3,-1.1
189710,53.8,-2.8
189711,46.8,0.1
189712,38.4,-1.6
189801,33.8,-5.4
189802,44.8,2.5
189803,42.3,-3.1
189804,52.9,2.2
189805,55.3,-2.5
189806,66.4,0.8
189807,70.5,-1.8
189808,71.0,0.2
189809,64.8,-0.6
189810,57.2,0.6
189811,46.0,-0.7
189812,38.5,-1.5
189901,41.1,1.9
189902,42.7,0.4
189903,45.3,-0.1
189904,52.2,1.5
189905,53.8,-4.0
189906,67.1,1.5
189907,72.9,0.6
189908,67.0,-3.8
189909,68.0,2.6
189910,53.2,-3.4
189911,48.1,1.4
189912,39.3,-0.7
190001,41.2,2.0
190002,43.2,0.9
190003,50.2,4.8
190004,48.3,-2.4
190005,59.2,1.4
190006,68.1,2.5
190007,72.5,0.2
190008,68.2,-2.6
190009,62.1,-3.3
190010,56.0,-0.6
190011,49.0,2.3
190012,40.2,0.2
190101,39.4,0.2
190102,42.5,0.2
190103,45.3,-0.1
190104,48.1,-2.6
190105,57.0,-0.8
190106,65.4,-0.2
190107,73.1,0.8
190108,72.5,1.7
190109,62.9,-2.5
190110,58.4,1.8
190111,50.0,3.3
190112,39.9,-0.1
190201,37.9,-1.3
190202,43.7,1.4
190203,41.8,-3.6
190204,49.2,-1.5
190205,54.7,-3.1
190206,67.8,2.2
190207,71.0,-1.3
190208,69.6,-1.2
190209,66.9,1.5
190210,55.8,-0.8
190211,44.1,-2.6
190212,39.0,-1.0
190301,37.1,-2.1
190302,35.1,-7.2
190303,44.4,-1.0
190304,49.0,-1.7
190305,57.4,-0.4
190306,68.5,2.9
190307,68.8,-3.5
190308,71.2,0.4
190309,64.2,-1.2
190310,58.7,2.1
190311,47.1,0.4
190312,39.3,-0.7
190401,38.2,-1.0
190402,42.8,0.5
190403,43.7,-1.7
190404,49.7,-1.0
190405,60.6,2.8
190406,66.7,1.1
190407,70.6,-1.7
190408,73.0,2.2
190409,67.2,1.8
190410,55.9,-0.7
190411,48.1,1.4
190412,40.1,0.1
190501,43.1,3.9
190502,44.7,2.4
190503,47.8,2.4
190504,51.2,0.5
190505,54.8,-3.0
190506,64.7,-0.9
190507,72.4,0.1
190508,70.6,-0.2
190509,65.7,0.3
190510,55.8,-0.8
190511,46.3,-0.4
190512,38.2,-1.8
190601,42.7,3.5
190602,46.2,3.9
190603,44.1,-1.3
190604,47.8,-2.9
190605,53.9,-3.9
190606,61.5,-4.1
190607,75.3,3.0
190608,71.2,0.4
190609,66.1,0.7
190610,58.2,1.6
190611,43.5,-3.2
190612,39.2,-0.8
190701,37.9,-1.3
190702,46.2,3.9
190703,42.9,-2.5
190704,53.0,2.3
190705,55.8,-2.0
190706,61.9,-3.7
190707,71.4,-0.9
190708,68.8,-2.0
190709,61.7,-3.7
190710,56.1,-0.5
190711,47.0,0.3
190712,41.6,1.6
190801,40.4,1.2
190802,39.0,-3.3
190803,44.7,-0.7
190804,51.5,0.8
190805,53.4,-4.4
190806,60.7,-4.9
190807,74.1,1.8
190808,69.8,-1.0
190809,64.8,-0.6
190810,53.5,-3.1
190811,46.6,-0.1
190812,37.3,-2.7
190901,43.8,4.6
190902,40.2,-2.1
190903,41.8,-3.6
190904,51.9,1.2
190905,55.6,-2.2
190906,65.1,-0.5
190907,70.6,-1.7
190908,69.5,-1.3
190909,64.0,-1.4
190910,54.9,-1.7
190911,45.5,-1.2
190912,37.6,-2.4
191001,35.7,-3.5
191002,39.7,-2.6
191003,48.8,3.4
191004,54.2,3.5
191005,61.7,3.9
191006,63.6,-2.0
191007,72.3,0.0
191008,70.8,0.0
191009,63.4,-2.0
191010,56.5,-0.1
191011,46.3,-0.4
191012,41.7,1.7
191101,41.2,2.0
191102,38.0,-4.3
191103,46.9,1.5
191104,48.9,-1.8
191105,53.7,-4.1
191106,63.9,-1.7
191107,73.6,1.3
191108,67.2,-3.6
191109,60.5,-4.9
191110,54.3,-2.3
191111,45.4,-1.3
191112,37.6,-2.4
191201,40.7,1.5
191202,43.7,1.4
191203,42.9,-2.5
191204,46.2,-4.5
191205,57.2,-0.6
191206,65.3,-0.3
191207,69.7,-2.6
191208,68.5,-2.3
191209,63.7,-1.7
191210,53.1,-3.5
191211,46.5,-0.2
191212,38.2,-1.8
191301,37.3,-1.9
191302,41.6,-0.7
191303,44.2,-1.2
191304,50.0,-0.7
191305,59.0,1.2
191306,62.8,-2.8
191307,72.0,-0.3
191308,73.3,2.5
191309,67.8,2.4
191310,56.9,0.3
191311,47.7,1.0
191312,40.0,0.0
191401,42.9,3.7
191402,43.6,1.3
191403,49.5,4.1
191404,51.4,0.7
191405,58.7,0.9
191406,64.2,-1.4
191407,71.3,-1.0
191408,70.7,-0.1
191409,62.8,-2.6
191410,56.1,-0.5
191411,48.6,1.9
191412,36.9,-3.1
191501,39.1,-0.1
191502,41.7,-0.6
191503,47.5,2.1
191504,50.0,-0.7
191505,53.2,-4.6
191506,64.6,-1.0
191507,71.2,-1.1
191508,72.2,1.4
191509,62.6,-2.8
191510,57.3,0.7
191511,45.3,-1.4
191512,39.9,-0.1
191601,36.1,-3.1
191602,45.8,3.5
191603,47.9,2.5
191604,52.1,1.4
191605,53.9,-3.9
191606,62.7,-2.9
191607,69.9,-2.4
191608,69.5,-1.3
191609,63.9,-1.5
191610,50.1,-6.5
191611,42.9,-3.8
191612,37.6,-2.4
191701,34.4,-4.8
191702,40.7,-1.6
191703,40.6,-4.8
191704,48.0,-2.7
191705,51.8,-6.0
191706,67.7,2.1
191707,76.4,4.1
